pt,de,fr,title,speaker,duration,tags
"
","
","
",What my religion really says about women,Alaa Murabit,12:13,"gender,peace,religion,women"
"
											Quando vinha para aqui,
											o passageiro que vinha ao meu 
lado no avião e eu
											tivemos uma conversa 
muito interessante durante o voo.
											Ele disse-me:
											""Parece que os Estados 
Unidos estão a ficar sem profissões
											""porque têm vindo a 
inventar umas quantas:
											""psicólogo de gatos, encantador
de cães, perseguidor de tornados.""
									","
											Auf dem Flug hierher
											führte ich ein interessantes Gespräch
mit meinem Sitznachbarn.
											Er sagte: ""Der USA scheinen
die Jobs auszugehen,
											denn sie erfinden einfach welche:
											Katzenpsychologe, 
Hundeflüsterer, Tornadojäger.""
									","
											En venant ici,
											j'ai eu une conversation
très intéressante avec un passager
											pendant mon vol.
											Il m'a dit : « Apparemment, les États-unis
n'ont plus assez d'emplois,
											parce qu'ils en fabriquent de nouveaux :
											phychologue pour chat, chuchoteur 
pour chien, chasseur de tornades. »
									",What my religion really says about women,Alaa Murabit,12:13,"gender,peace,religion,women"
"
","
","
",What my religion really says about women,Alaa Murabit,12:13,"gender,peace,religion,women"
"
											Uns segundos após, perguntou-me:
											""A menina, o que é que faz?""
									","
											Ein paar Sekunden später fragte er mich:
											""Und was arbeiten Sie?""
									","
											Quelques secondes plus tard, 
il m'a demandé :
											« Et vous, que faites-vous ? »
									",What my religion really says about women,Alaa Murabit,12:13,"gender,peace,religion,women"
"
","
","
",What my religion really says about women,Alaa Murabit,12:13,"gender,peace,religion,women"
"
											Ao que eu respondi
""Promotora da Paz?""
											(Risos)
									","
											Ich antwortete: ""Friedenskonsolidiererin?""
											(Lachen)
									","
											Et j'ai dit : « Artisane de paix ? »
											(Rires)
									",What my religion really says about women,Alaa Murabit,12:13,"gender,peace,religion,women"
"
","
","
",What my religion really says about women,Alaa Murabit,12:13,"gender,peace,religion,women"
"
											Todos os dias, trabalho para 
amplificar as vozes das mulheres
											e valorizar as suas experiências
											e a sua participação em processos de
promoção da paz e resolução de conflitos.
											Graças ao meu trabalho,
											reconheço que a única forma de assegurar
a participação total das mulheres,
											globalmente, é reivindicando a religião.
									","
											Tagtäglich setze ich mich für Frauen
und die Stärkung ihrer Stimmen ein,
											ich informiere die Öffentlichkeit
über ihre Erlebnisse
											und ihren Beitrag zu Konfliktlösung
und Friedensprozessen.
											Durch meine Arbeit weiß ich,
											dass eine vollständige, weltweite 
Einbeziehung von Frauen nur gelingen wird,
											wenn sie die Religion zurückerobern.
									","
											Chaque jour, je travaille pour amplifier 
les voix des femmes
											et mettre en avant leurs expériences
											et leur participation dans les processus 
de paix et la résolution des conflits.
											Grâce à mon travail,
											je reconnais que la seule façon d'assurer
une participation mondiale des femmes
											est de reconquérir leur religion.
									",What my religion really says about women,Alaa Murabit,12:13,"gender,peace,religion,women"
"
","
","
",What my religion really says about women,Alaa Murabit,12:13,"gender,peace,religion,women"
"
											Este assunto é extremamente
importante para mim.
											Como jovem muçulmana,
tenho muito orgulho na minha fé.
											É dela que retiro a força 
e a convicção necessárias
											para fazer o meu trabalho, todos os dias.
											É a razão por que sou capaz de estar 
aqui, hoje, em frente a todos vocês.
											No entanto, não consigo ignorar
											todos os estragos que foram feitos
em nome da religião,
											não só da minha, mas de todas 
as maiores religiões do mundo.
											A deturpação, manipulação e uso 
indevido das escrituras religiosas
											influenciaram as nossas 
normas sociais e culturais,
											as nossas leis, a nossa vida diária,
											de tal forma, que nós mesmos deixámos 
de ser capazes de o reconhecer.
									","
											Das liegt mir sehr am Herzen.
											Als junge Muslimin bin ich
sehr stolz auf meinen Glauben,
											jeden Tag gibt er mir Kraft und
Überzeugung für meine Arbeit.
											Dank ihm kann ich heute vor Ihnen stehen.
											Ich weiß auch, dass viel Schaden
im Namen der Religion entsteht,
											nicht nur meiner Religion,
sondern aller Weltreligionen.
											Falschdarstellung, Missbrauch und
Manipulation religiöser Schriften
											beeinflussen unsere kulturellen
und gesellschaftlichen Normen,
											unsere Gesetze, unser tägliches Leben,
											und manchmal merken wir das gar nicht.
									","
											En fait, cette question est
d'une extrême importance pour moi.
											En tant que jeune femme musulmane,
je suis très fière de ma foi.
											Elle me donne la force et la conviction
de faire mon travail tous les jours.
											Elle est la raison pour laquelle
je suis en face de vous.
											Mais, je ne peux pas ignorer
le dommage causé au nom de la religion,
											non seulement la mienne, mais
toutes les grandes religions du monde.
											La déformation, le mauvais usage et 
la manipulation des textes sacrés
											ont influencé
nos normes sociales et culturelles,
											nos lois, nos vies quotidiennes,
											à tel point que parfois
nous ne les reconnaissons plus.
									",What my religion really says about women,Alaa Murabit,12:13,"gender,peace,religion,women"
