en,fr,es,tr,title,speaker,duration,tags
"
","
","
","
",How to get serious about diversity and inclusion in the workplace,Janet Stovall,11:04,"communication,community,work,humanity,race,social change,leadership,society,inequality,United States"
"
											Everybody has that one friend —
											you know, the single-minded one,
											the one who, no matter
what the question is,
											always finds a way to make the answer
whatever it is she's single-minded about.
											I'm that friend.
									","
											On a tous une amie —
											vous savez, l'amie implacable,
											qui, quel que soit le sujet,
											s'arrange toujours pour avoir raison.
											Cette amie, c'est moi.
									","
											Todos tenemos ese amiga...
											ya saben, la de determinación firme,
											aquella que sin importar
cuál sea la pregunta
											siempre busca la forma de relacionar 
su respuesta con su determinación.
											Yo soy esa amiga.
									","
											Bilirsiniz her insanın
											soru ne olursa olsun, sabit fikirli,
											düşüncesi her neyse ona 
göre bir cevapla gelmeyi
											her zaman başarabilen bir arkadaşı vardır.
											İşte ben o arkadaşım.
									",How to get serious about diversity and inclusion in the workplace,Janet Stovall,11:04,"communication,community,work,humanity,race,social change,leadership,society,inequality,United States"
"
","
","
","
",How to get serious about diversity and inclusion in the workplace,Janet Stovall,11:04,"communication,community,work,humanity,race,social change,leadership,society,inequality,United States"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									","
											(Kahkahalar)
									",How to get serious about diversity and inclusion in the workplace,Janet Stovall,11:04,"communication,community,work,humanity,race,social change,leadership,society,inequality,United States"
"
","
","
","
",How to get serious about diversity and inclusion in the workplace,Janet Stovall,11:04,"communication,community,work,humanity,race,social change,leadership,society,inequality,United States"
"
											And the thing that I'm single-minded about
											is racism.
											If someone were to ask me, ""So, Janet,
got any plans for the 4th of July?""
											I'm subject to answer, ""Yeah,
I'm going to binge-watch 'Roots.'""
									","
											Et ce sur quoi je suis implacable
											est le racisme.
											Si quelqu'un me demande : « Alors, Janet,
qu'as-tu prévu pour le 4 juillet ? »
											Je risque de répondre :
« Je vais regarder l'intégrale de Roots. »
									","
											Y aquello en lo que soy firme
											es el racismo.
											Si alguien me preguntara: ""¿Janet,
tienes algún plan para el 4 de julio?"".
											Yo respondería: ""Claro, 
haré maratón de 'Raíces'"".
									","
											Benim sabit fikirli olduğum şey ise
											ırkçılık.
											Yani biri bana ""Hey Janet, 4 Temmuz için
herhangi bir planın var mı?'' diye sorsa
											cevabım ""Evet, Roots'u 
bir oturuşta bitireceğim."" olur.
									",How to get serious about diversity and inclusion in the workplace,Janet Stovall,11:04,"communication,community,work,humanity,race,social change,leadership,society,inequality,United States"
"
","
","
","
",How to get serious about diversity and inclusion in the workplace,Janet Stovall,11:04,"communication,community,work,humanity,race,social change,leadership,society,inequality,United States"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									","
											(Kahkahalar)
									",How to get serious about diversity and inclusion in the workplace,Janet Stovall,11:04,"communication,community,work,humanity,race,social change,leadership,society,inequality,United States"
"
","
","
","
",How to get serious about diversity and inclusion in the workplace,Janet Stovall,11:04,"communication,community,work,humanity,race,social change,leadership,society,inequality,United States"
"
											Or if they said, ""Janet,
I've got a joke for you:
											Why'd the chicken cross the road?""
											""Uh, was it a black chicken?
											Probably gentrification.""
									","
											Ou s'il me demande : « Janet,
j'ai une blague pour toi :
											Pourquoi le poulet
a-t-il traversé la route ? »
											« Euh, le poulet était noir ?
											Probablement à cause
de la gentrification. »
									","
											O si me dijeran: ""Janet, 
tengo un chiste para ti:
											¿Por qué la gallina cruza la calle?"".
											""Oh, ¿era una gallina negra?
											Quizás por gentrificación"".
									","
											Ya da biri ''Tavuk neden 
karşıdan karşıya geçmiş?""
											diye bir şaka yapsa cevabım şu olur:
											''Tavuk siyahi miydi?
											muhtemelen soylulaştırmadandır.''
									",How to get serious about diversity and inclusion in the workplace,Janet Stovall,11:04,"communication,community,work,humanity,race,social change,leadership,society,inequality,United States"
"
","
","
","
",How to get serious about diversity and inclusion in the workplace,Janet Stovall,11:04,"communication,community,work,humanity,race,social change,leadership,society,inequality,United States"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									","
											(Kahkahalar)
									",How to get serious about diversity and inclusion in the workplace,Janet Stovall,11:04,"communication,community,work,humanity,race,social change,leadership,society,inequality,United States"
"
","
","
","
",How to get serious about diversity and inclusion in the workplace,Janet Stovall,11:04,"communication,community,work,humanity,race,social change,leadership,society,inequality,United States"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Alkışlar)
									",How to get serious about diversity and inclusion in the workplace,Janet Stovall,11:04,"communication,community,work,humanity,race,social change,leadership,society,inequality,United States"
"
","
","
","
",How to get serious about diversity and inclusion in the workplace,Janet Stovall,11:04,"communication,community,work,humanity,race,social change,leadership,society,inequality,United States"
