en,es,fr,tr,de,title,speaker,duration,tags
"
","
","
","
","
",A queer vision of love and marriage,Tiq Milan and Kim Katrin Milan,17:07,"gender,gender equality,Gender spectrum,LGBT,activism,beauty,collaboration,family,compassion,happiness,feminism,humanity,identity,inequality,poetry,relationships,social change,society,Transgender,women,writing,art"
"
											Tiq Milan: Our first conversation
was on Facebook,
											and it was three days long.
									","
											Nuestra primera 
conversación fue vía Facebook
											y duró tres días.
									","
											Tiq Milan : Notre première conversation
était sur Facebook et a duré trois jours.
									","
											Tiq Milan: İlk kez sohbetimiz
Facebook'ta oldu
											ve bu sohbet üç gün sürdü.
									","
											Tiq Milan: Unser erstes Gespräch
fand auf Facebook statt
											und es dauerte drei Tage.
									",A queer vision of love and marriage,Tiq Milan and Kim Katrin Milan,17:07,"gender,gender equality,Gender spectrum,LGBT,activism,beauty,collaboration,family,compassion,happiness,feminism,humanity,identity,inequality,poetry,relationships,social change,society,Transgender,women,writing,art"
"
","
","
","
","
",A queer vision of love and marriage,Tiq Milan and Kim Katrin Milan,17:07,"gender,gender equality,Gender spectrum,LGBT,activism,beauty,collaboration,family,compassion,happiness,feminism,humanity,identity,inequality,poetry,relationships,social change,society,Transgender,women,writing,art"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Kahkahalar)
									","
											(Gelächter)
									",A queer vision of love and marriage,Tiq Milan and Kim Katrin Milan,17:07,"gender,gender equality,Gender spectrum,LGBT,activism,beauty,collaboration,family,compassion,happiness,feminism,humanity,identity,inequality,poetry,relationships,social change,society,Transgender,women,writing,art"
"
","
","
","
","
",A queer vision of love and marriage,Tiq Milan and Kim Katrin Milan,17:07,"gender,gender equality,Gender spectrum,LGBT,activism,beauty,collaboration,family,compassion,happiness,feminism,humanity,identity,inequality,poetry,relationships,social change,society,Transgender,women,writing,art"
"
											We shared over 3,000 messages between us,
											and it was during those 72 hours
that I knew she was going to be my wife.
											We didn't wait any prerequisite
amount of time for our courtship;
											we told each other
the vulnerable truths up front:
											I am a transgender man,
											which means the F on my birth
certificate should have stood for ""False,""
											instead of ""Female.""
									","
											Nos escribimos más de 3000 mensajes,
											y fue durante esas 72 horas
que supe que ella iba a ser mi esposa.
											No esperamos ningún prerequisito
durante nuestro cortejo,
											revelamos nuestras verdades
más vulnerables por adelantado.
											Yo soy un hombre transgénero,
											que significa que la F de mi certificado
de nacimiento debería significar ""Falso"",
											en vez de ""Femenino"".
									","
											Nous avons partagé plus de 3 000 messages
											et c'est au cours de ces 72 heures
que j'ai su qu'elle allait être ma femme.
											Nous n'avons pas attendu
une certaine durée pour nous séduire ;
											nous avons dit à l'autre
les vérités vulnérables :
											je suis un homme transgenre,
											donc le F sur mon certificat de naissance
aurait dû signifer « faux »
											au lieu de « féminin ».
									","
											3.000'in üzerinde mesajlaştık
											ve bu 72 saat içerisinde,
onun, eşim olacağını anladım.
											Flörtümüzde ön koşul olarak
bir bekleme zamanı belirlemedik;
											birbirimize en başta
hassas gerçekleri söyledik:
											ben cinsiyet değiştirmiş bir adamım,
											yani doğum belgemdeki
K harfi, ""Kadın"" yerine ""Kusurlu""
											kelimesini ifade ediyor.
									","
											Wir schickten 3000 Nachrichten hin und her
											und in diesen 72 Stunden wusste ich,
dass sie meine Frau sein würde.
											Wir warteten nicht die erforderliche Zeit
für unser Liebeswerben ab,
											wir redeten vorab über
die verwundbaren Wahrheiten.
											Ich bin ein Transgender-Mann,
											d. h. das F in meiner
Geburtsurkunde steht für ""Falsch"",
											statt für ""Female"" (weiblich).
									",A queer vision of love and marriage,Tiq Milan and Kim Katrin Milan,17:07,"gender,gender equality,Gender spectrum,LGBT,activism,beauty,collaboration,family,compassion,happiness,feminism,humanity,identity,inequality,poetry,relationships,social change,society,Transgender,women,writing,art"
"
","
","
","
","
",A queer vision of love and marriage,Tiq Milan and Kim Katrin Milan,17:07,"gender,gender equality,Gender spectrum,LGBT,activism,beauty,collaboration,family,compassion,happiness,feminism,humanity,identity,inequality,poetry,relationships,social change,society,Transgender,women,writing,art"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Kahkahalar)
									","
											(Gelächter)
									",A queer vision of love and marriage,Tiq Milan and Kim Katrin Milan,17:07,"gender,gender equality,Gender spectrum,LGBT,activism,beauty,collaboration,family,compassion,happiness,feminism,humanity,identity,inequality,poetry,relationships,social change,society,Transgender,women,writing,art"
"
","
","
","
","
",A queer vision of love and marriage,Tiq Milan and Kim Katrin Milan,17:07,"gender,gender equality,Gender spectrum,LGBT,activism,beauty,collaboration,family,compassion,happiness,feminism,humanity,identity,inequality,poetry,relationships,social change,society,Transgender,women,writing,art"
"
											Walking around as a woman in the world
											felt like walking with
pebbles in my shoes.
											It took the rhythm out of my swagger,
											it threw me off balance,
											it pained me with every step
I took forward.
											But today I'm a man of my own intention;
											a man of my own design.
									","
											Caminar en el mundo como mujer
											era para mí como caminar 
con piedras en los zapatos.
											Le quitaba el ritmo a mi contoneo,
											me hacía perder el equilibrio,
											me dolía con cada paso que daba.
											Pero hoy soy un hombre hecho 
a mí mismo,
											un hombre hecho a mi medida.
									","
											Me promener en tant que femme,
											c'était marcher avec des cailloux
dans mes chaussures.
											Cela ôtait le rythme à ma démarche,
											me déséquilibrait,
											me faisait mal à chaque pas.
											Aujourd'hui, je suis un homme
à ma propre intention ;
											un homme que j'ai conçu.
									","
											Bir kadın olarak yürümek, ayakkabımın
											içinde çakıl taşları
varmış gibi acı veriyordu.
											Havamı bozuyordu,
											dengemi bozuyordu,
											attığım her adım canımı acıtıyordu.
											Fakat bugün, olmak istediğim erkeğim;
											kendi tasarladığım bir erkeğim.
									","
											Als Frau in der Welt rumzulaufen,
											fühlte sich an wie Steine in den Schuhen.
											Es nahm den Rhythmus
aus meinem stolzen Gang,
											es warf mich aus der Bahn,
											jeder Schritt vorwärts schmerzte.
											Aber heute bin ich ein Mann
mit eigenen Zielen,
											ein Mann nach eigenem Entwurf.
									",A queer vision of love and marriage,Tiq Milan and Kim Katrin Milan,17:07,"gender,gender equality,Gender spectrum,LGBT,activism,beauty,collaboration,family,compassion,happiness,feminism,humanity,identity,inequality,poetry,relationships,social change,society,Transgender,women,writing,art"
