en,pt,tr,de,title,speaker,duration,tags
"
","
","
","
",How free is our freedom of the press?,Trevor Timm,5:13,"TED Fellows,crime,government,Internet,corruption,surveillance,encryption"
"
											So this is James Risen.
											You may know him as the
Pulitzer Prize-winning reporter
											for The New York Times.
											Long before anybody knew
Edward Snowden's name,
											Risen wrote a book in which
he famously exposed
											that the NSA was illegally wiretapping
the phone calls of Americans.
											But it's another chapter in that book
											that may have an even more lasting impact.
											In it, he describes a catastrophic
US intelligence operation
											in which the CIA quite literally
handed over blueprints
											of a nuclear bomb to Iran.
											If that sounds crazy, go read it.
											It's an incredible story.
									","
											Este é James Risen.
											Talvez o conheçam como o repórter
do The New York Times
											que ganhou um prémio Pulitzer.
											Muito antes de ser conhecido
o nome de Edward Snowden,
											Risen escreveu um livro
em que revelava publicamente
											que a NSA estava a escutar ilegalmente
os telefonemas dos norte-americanos.
											Mas há um outro capítulo nesse livro
											que talvez tenha tido
um impacto mais duradouro.
											Nesse capítulo ele descreve
uma operação catastrófica
											dos serviços de Informações dos EUA
											em que a CIA, literalmente,
											forneceu ao Irão
os planos duma bomba nuclear.
											Se vos parece loucura, podem lê-lo.
											É uma história incrível.
									","
											Bu James Risen.
											New York Times'a kazandırdığı
Pulitzer Ödülü'nden
											dolayı tanıyabilirsiniz.
											Edward Snowden'ın adını 
kimse bilmezken,
											Risen, Amerkalıların telefonlarının
NSA tarafından yasa dışı
											olarak dinlendiğini konu alan
bir kitap yazarak ünlü oldu.
											Ama kitapta daha kalıcı bir etki
											yaratabilecek başka bir bölüm daha vardı.
											Kitapta, CIA'in nükleer bomba
planlarını tam anlamıyla ve
											kendi elleriyle İran'a teslim ettiği
korkunç bir ABD istihbarat
											operasyonunu afişe ediyor.
											Eğer çılgınca geliyorsa, gidin okuyun.
											İnanılmaz bir hikâye.
									","
											Das ist James Risen.
											Sie kennen ihn vielleicht,
											weil er als New-York-Times-Reporter
den Pulitzer-Preis gewann.
											Lange bevor je jemand von
Edward Snowden gehört hatte,
											schrieb Risen ein Buch, in dem er
spektakulär veröffentlichte,
											dass die NSA illegal Telefone
von Amerikanern abgehört habe.
											Es ist aber ein anderes Kapitel,
											das einen bleibenden Eindruck
hinterlassen sollte.
											Darin beschreibt er eine katastrophale
US-Geheimdienstoperation,
											in der die CIA dem Iran
buchstäblich Entwürfe
											für eine Atombombe übergab.
											Falls das verrückt klingt, lesen Sie es.
											Es ist eine unglaubliche Geschichte.
									",How free is our freedom of the press?,Trevor Timm,5:13,"TED Fellows,crime,government,Internet,corruption,surveillance,encryption"
"
","
","
","
",How free is our freedom of the press?,Trevor Timm,5:13,"TED Fellows,crime,government,Internet,corruption,surveillance,encryption"
"
											But you know who didn't like that chapter?
											The US government.
											For nearly a decade afterwards,
											Risen was the subject
of a US government investigation
											in which prosecutors demanded
that he testify
											against one of his alleged sources.
											And along the way, he became the face
for the US government's recent pattern
											of prosecuting whistleblowers
and spying on journalists.
									","
											Sabem quem não gostou desse capítulo?
											O governo dos EUA.
											Durante quase 10 anos
desde a publicação desse livro,
											Risen foi alvo de uma investigação
pelo governo norte-americano
											em que a acusação exigia
que ele testemunhasse
											contra uma das suas presumíveis
fontes de informação.
											Entretanto, ele tornou-se no exemplo
de um novo padrão do governo dos EUA,
											de processos aos denunciantes
e de espionagem sobre os jornalistas.
									","
											Bu bölümden kim hoşlanmadı
biliyor musunuz?
											ABD hükûmeti.
											Neredeyse sonraki 10 yıl boyunca,
											Risen, ABD hükûmetinin
soruşturma konusu oldu.
											Savcılar yararlandığı 
kaynakların birinden
											aleyhte tanıklık yapmasını istediler.
											Zamanla ABD hükûmetinin casus
gazetecilik ve ihbarların takibi
											konularında yeni yüzü olmaya başladı.
									","
											Aber wissen Sie, wem das Kapitel
gar nicht gefiel?
											Der US-Regierung.
											Fast 10 Jahre lang
											hat die Regierung gegen Risen ermittelt
											und ihn aufgefordert,
											seine angeblichen Quellen zu nennen.
											In diesem Zug wurde er zum Symbol
für das Muster der Regierung,
											Whistleblower zu verurteilen
und Journalisten zu bespitzeln.
									",How free is our freedom of the press?,Trevor Timm,5:13,"TED Fellows,crime,government,Internet,corruption,surveillance,encryption"
"
","
","
","
",How free is our freedom of the press?,Trevor Timm,5:13,"TED Fellows,crime,government,Internet,corruption,surveillance,encryption"
"
											You see, under the First Amendment,
											the press has the right to publish
secret information in the public interest.
											But it's impossible to exercise that right
if the media can't also gather that news
											and protect the identities
of the brave men and women
											who get it to them.
											So when the government came knocking,
											Risen did what many brave reporters
have done before him:
											he refused
											and said he'd rather go to jail.
											So from 2007 to 2015,
											Risen lived under the specter
of going to federal prison.
									","
											Segundo a Primeira Emenda,
											a imprensa tem o direito de publicar
informações secretas de interesse público.
											Mas é impossível exercer esse direito
se os ""media"" não puderem reunir notícias
											nem proteger a identidade
das pessoas corajosas
											que lhas fornecem.
											Por isso, quando o governo
lhe bateu à porta,
											Risen fez o que outros corajosos
jornalistas fizeram antes dele:
											recusou e disse
que preferia ir para a prisão.
											Assim, entre 2007 e 2015,
											Risen viveu sob a pressão
de ser enviado para a prisão.
									","
											İlk anayasa değişikliğine göre
											basın, kamu yararına gizli bilgileri
yayınlama hakkına sahiptir.
											Ama medya bu haberleri toplayamaz,
kendilerine bu haberleri sağlayan
											cesur erkek ve kadınların
kimliklerini saklayamazsa
											bu imkânsız.
											Yani hükûmete bir eleştiri yapıldığında
											Risen ondan önceki cesur gazetecilerin
yaptığını yaptı:
											Reddetti
											ve ""Hapse girmeyi tercih 
ederim."" dedi.
											2007'den 2015'e kadar,
											Risen federal hapishaneye gideceği
düşüncesiyle yaşadı.
									","
											Laut Ersten Verfassungszusatz
haben die Medien das Recht,
											geheime Informationen
zu veröffentlichen.
											Aber es ist unmöglich,
dieses Recht zu anwenden,
											wenn Medien diese Informationen
nicht bekommen
											und wenn sie Identität der Mutigen
nicht schützen können,
											die sie preisgeben.
											Also als die Regierung
bei Risen anklopfte,
											tat er etwas, was viele mutige Reporter
bereits vor ihm taten:
											er weigerte sich
											und sagte, dass er lieber
ins Gefängnis gehen würde.
											Von 2007 bis 2015 lebte
Risen also mit dem Risiko,
											ins Gefängnis zu gehen.
									",How free is our freedom of the press?,Trevor Timm,5:13,"TED Fellows,crime,government,Internet,corruption,surveillance,encryption"
"
","
","
","
",How free is our freedom of the press?,Trevor Timm,5:13,"TED Fellows,crime,government,Internet,corruption,surveillance,encryption"
"
											That is, until just days before the trial,
when a curious thing happened.
											Suddenly, after years of claiming
it was vital to their case,
											the government dropped their demands
to Risen altogether.
											It turns out, in the age
of electronic surveillance,
											there are very few places
reporters and sources can hide.
											And instead of trying and failing
to have Risen testify,
											they could have his digital trail
testify against him instead.
											So completely in secret
and without his consent,
											prosecutors got Risen's phone records.
											They got his email records,
his financial and banking information,
											his credit reports,
											even travel records with a list
of flights he had taken.
											And it was among this information that
they used to convict Jeffrey Sterling,
											Risen's alleged source
and CIA whistleblower.
									","
											Até ao dia anterior ao julgamento,
em que aconteceu uma coisa curiosa.
											De repente, depois de anos a alegar
que Risen era fundamental para o processo,
											o governo abandonou as suas exigências.
											Parece que, na era
da vigilância eletrónica,
											há poucos sítios onde os jornalistas
e as suas fontes se podem esconder.
											E em vez de tentarem levar Risen
a testemunhar e não o conseguirem,
											podiam seguir o seu rasto digital
e testemunhar contra ele.
											Totalmente em segredo
e sem o seu consentimento,
											a acusação obteve
os registos telefónicos de Risen.
											Obteve os registos de e-mail
e as informações bancárias e fiscais,
											os registos de crédito,
											até os registos dos voos realizados.
											Foram estas informações que usaram
para condenar Jeffrey Sterling,
											a suposta fonte de Risen,
e denunciante da CIA.
									","
											Duruşmadan önceki gün
tuhaf bir şey oldu.
											Kendileri için çok önemli olan
bu olaydan yıllar sonra
											hükûmet Risen hakkındaki tüm
iddiaları aniden düşürdü.
											Bugünkü elektronik çağda
muhabir ve kaynakların
											saklanabileceği çok az yer var.
											Risen'in tanıklarının başarısız
olması için çalışmak yerine
											aleyhinde tanıklık için dijital
izler bulabilirlerdi.
											Yani tamamen rızası dışında ve
haberi olmadan
											savcılar, Risen'in telefon
kayıtlarını aldılar.
											E-posta kayıtlarını, finansal ve
banka bilgilerini,
											kredi raporlarını,
											hatta bir uçuş listesi içeren
seyahat bilgilerini aldılar.
											Bu belgeler Risen'ın kaynağı ve
CIA ihbarcısı olduğu kabul edilen
											Jeffrey Sterling'in mahkûm edilmesi
için kullanılan belgelerin arasındaydı.
									","
											Doch dann, nur Tage vor dem Prozess,
passierte etwas Außergewöhnliches.
											Plötzlich, obwohl sie jahrelang angaben,
											dass es unerlässlich für ihren Fall wäre,
											wurden die Forderungen der Regierung
an Risen fallen gelassen.
											Der Grund: In der Zeit
elektronischer Überwachung
											können die Reporter und Quellen
sich immer weniger verstecken.
											Anstatt zu scheitern und
Risen zum Aussagen zu bringen,
											könnten das auch seine
digitalen Fußspuren für ihn erledigen.
											Und so haben sich die Ermittler,
ohne sein Einverständnis,
											seine Telefonnachweise geheim besorgt,
											genauso wie seine E-Mail-Daten,
Finanz- und Bankinformationen,
											seine Kreditauskunft,
											und sogar Reisenachweise
mit der Liste seiner Flüge.
											Inmitten dieser Informationen
fanden sie Beweise,
											die sie nutzten, um Jeffrey Sterling,
einen CIA-Whistleblower
											und Risens vermeintliche Quelle,
zu verurteilen.
									",How free is our freedom of the press?,Trevor Timm,5:13,"TED Fellows,crime,government,Internet,corruption,surveillance,encryption"
"
","
","
","
",How free is our freedom of the press?,Trevor Timm,5:13,"TED Fellows,crime,government,Internet,corruption,surveillance,encryption"
"
											Sadly, this is only one case of many.
											President Obama ran on a promise
to protect whistleblowers,
											and instead, his Justice Department
has prosecuted more
											than all other administrations combined.
											Now, you can see how this
could be a problem,
											especially because the government
considers so much of what it does secret.
											Since 9/11, virtually every important
story about national security
											has been the result of a whistleblower
coming to a journalist.
											So we risk seeing the press
unable to do their job
											that the First Amendment
is supposed to protect
											because of the government's
expanded ability to spy on everyone.
									","
											Infelizmente este
é só um caso, entre muitos.
											O presidente Obama prometeu
proteger as fontes jornalísticas
											mas o Departamento da Justiça
já condenou mais gente
											que todas as administrações
anteriores juntas.
											Podem ver como isto pode ser um problema
											especialmente porque o governo considera
secreto grande parte do que faz.
											Desde o 11/set, quase todas as notícias
importantes sobre segurança nacional
											foram resultado de qualquer
denúncia feita a um jornalista.
											Arriscamo-nos a ver a imprensa
incapaz de fazer o seu trabalho
											que, supostamente,
a Primeira Emenda deve proteger.
											Tudo porque o governo alargou
a sua capacidade de espiar toda a gente.
									","
											Ne yazık ki, bu sadece vakalardan biri.
											Başkan Obama, muhbirleri
koruma sözü vermişti
											ama Adalet Bakanlığı diğer tüm
karma yönetimlerin tamamından
											daha fazla dava açtı.
											Şu an bunun bir sorun
olduğunu görebilirsiniz.
											Özellikle de hükûmet gizli işlerin
çoğuna dikkat ederken.
											11 Eylül'den sonra, ulusal güvenlik
konusundaki önemli hikâyelerin
											neredeyse tamamı gazetecilere
gelen bir ihbarla yazılmıştır.
											Çünkü hükûmetin herkesi gözetlemek için
genişletilen yetkileri yüzünden,
											Birinci Anayasa değişikliği 
tarafından korunması gereken
											basının görevini yerine getirmesini 
riske atmış oluruz.
									","
											Leider ist das nur einer
von vielen Fällen.
											Präsident Obama versprach bei seinem
Antritt, Whistleblower zu schützen.
											Aber stattdessen hat
die Justiz mehr verurteilt
											als alle US-Regierungen vor ihm zusammen.
											Jetzt können Sie sich vorstellen,
wie das ein Problem sein kann,
											besonders weil die Regierung zu viel
von ihrer Arbeit als geheim einstuft.
											Seit dem 11. September war fast
jeder Artikel über nationale Sicherheit
											das Ergebnis davon, dass ein
Whistleblower zu einem Journalisten ging.
											Wir setzen also
die Pressearbeit aufs Spiel,
											die durch den ersten Verfassungszusatz
geschützt werden soll,
											weil die Regierung immer mehr
Möglichkeiten hat, alle auszuspionieren.
									",How free is our freedom of the press?,Trevor Timm,5:13,"TED Fellows,crime,government,Internet,corruption,surveillance,encryption"
