en,es,title,speaker,duration,tags
"
","
",What vaccinating vampire bats can teach us about pandemics,Daniel Streicker,15:39,"disease,science,ebola,illness,health,biology,public health,medicine,Vaccines,virus,pandemic,TEDMED"
"
											The story that I'm going
to tell you today,
											for me, began back in 2006.
											That was when I first heard
about an outbreak of mysterious illness
											that was happening in the Amazon
rainforest of Peru.
											The people that were getting sick
from this illness,
											they had horrifying symptoms, nightmarish.
											They had unbelievable headaches,
											they couldn't eat or drink.
											Some of them were even hallucinating —
											confused and aggressive.
											The most tragic part of all
											was that many of the victims
were children.
											And of all of those that got sick,
											none survived.
											It turned out that what was killing
people was a virus,
											but it wasn't Ebola, it wasn't Zika,
											it wasn't even some new virus
never before seen by science.
											These people were dying
of an ancient killer,
											one that we've known about for centuries.
											They were dying of rabies.
											And what all of them had in common
was that as they slept,
											they'd all been bitten by the only mammal
that lives exclusively on a diet of blood:
											the vampire bat.
									","
											La historia que voy a contar hoy,
											para mí empezó en 2006.
											Fue cuando oí por primera vez sobre
el brote de una enfermedad misteriosa
											que estaba ocurriendo 
en la selva amazónica de Perú.
											Las personas que enfermaron
por esta afección
											tenían síntomas horribles, pesadillas.
											Tenían dolores de cabeza enormes
											no podían comer ni beber.
											Algunos incluso estaban alucinando,
											confusos y agresivos.
											Lo más trágico de todo
											era que muchas de las víctimas eran niños.
											Y de todos los que enfermaron,
											ninguno sobrevivió.
											Resultó que lo que estaba
matando a la gente era un virus,
											pero no era el ébola, no era el zika,
											ni siquiera era un virus nuevo
nunca visto por la ciencia.
											Estas personas morían
por un antiguo asesino
											que conocemos desde hace siglos.
											Se morían por la rabia.
											Y todo lo que tenían en común
era que mientras dormían,
											fueron mordidos por el único mamífero
que se alimenta solo a base de sangre:
											el murciélago vampiro.
									",What vaccinating vampire bats can teach us about pandemics,Daniel Streicker,15:39,"disease,science,ebola,illness,health,biology,public health,medicine,Vaccines,virus,pandemic,TEDMED"
"
","
",What vaccinating vampire bats can teach us about pandemics,Daniel Streicker,15:39,"disease,science,ebola,illness,health,biology,public health,medicine,Vaccines,virus,pandemic,TEDMED"
"
											These sorts of outbreaks
that jump from bats into people,
											they've become more and more common
in the last couple of decades.
											In 2003, it was SARS.
											It showed up in Chinese animal markets
and spread globally.
											That virus, like the one from Peru,
was eventually traced back to bats,
											which have probably harbored it,
undetected, for centuries.
											Then, 10 years later, we see Ebola
showing up in West Africa,
											and that surprised just about everybody
											because, according
to the science at the time,
											Ebola wasn't really supposed
to be in West Africa.
											That ended up causing the largest
and most widespread Ebola outbreak
											in history.
									","
											Este tipo de brotes que saltan
de murciélagos a personas,
											se han vuelto cada vez más comunes
en el último par de décadas.
											En 2003, fue SARS.
											Apareció en los mercados 
chinos de animales
											y se extendió mundialmente.
											Ese virus, como el de Perú, al final
se remonta a los murciélagos,
											que probablemente lo han hospedado,
sin ser detectado, por siglos.
											Entonces, 10 años después, vemos
aparecer el ébola en el oeste de África,
											y eso nos sorprendió a casi todos
											porque, de acuerdo con
la ciencia de esa época
											no se suponía que estuviera 
en el oeste de África.
											Terminó causando el brote de ébola
más grande y extendido
											en la Historia.
									",What vaccinating vampire bats can teach us about pandemics,Daniel Streicker,15:39,"disease,science,ebola,illness,health,biology,public health,medicine,Vaccines,virus,pandemic,TEDMED"
"
","
",What vaccinating vampire bats can teach us about pandemics,Daniel Streicker,15:39,"disease,science,ebola,illness,health,biology,public health,medicine,Vaccines,virus,pandemic,TEDMED"
"
											So there's a disturbing trend here, right?
											Deadly viruses are appearing in places
where we can't really expect them,
											and as a global health community,
											we're caught on our heels.
											We're constantly chasing
after the next viral emergency
											in this perpetual cycle,
											always trying to extinguish epidemics
after they've already started.
											So with new diseases appearing every year,
											now is really the time
											that we need to start thinking
about what we can do about it.
											If we just wait for the next
Ebola to happen,
											we might not be so lucky next time.
											We might face a different virus,
											one that's more deadly,
											one that spreads better among people,
											or maybe one that just completely
outwits our vaccines,
											leaving us defenseless.
									","
											Hay una tendencia inquietante, ¿no?
											Los virus mortales están apareciendo 
en lugares donde no podíamos esperar,
											y como comunidad de salud global,
											nos pisan los talones.
											Perseguimos constantemente
la próxima emergencia viral
											en este ciclo perpetuo,
											tratando de extinguir epidemias
después de que ya hayan comenzado.
											Con nuevas enfermedades
que aparecen cada año,
											ahora es realmente el momento
											en que necesitamos pensar
qué podemos hacer al respecto.
											Si solo esperamos 
a que ocurra otro ébola,
											podríamos no ser tan afortunados
la próxima vez,
											enfrentar un virus diferente,
											uno más mortal,
											que se extienda mejor entre la gente,
											o tal vez uno que simplemente
supere nuestras vacunas,
											dejándonos indefensos.
									",What vaccinating vampire bats can teach us about pandemics,Daniel Streicker,15:39,"disease,science,ebola,illness,health,biology,public health,medicine,Vaccines,virus,pandemic,TEDMED"
"
","
",What vaccinating vampire bats can teach us about pandemics,Daniel Streicker,15:39,"disease,science,ebola,illness,health,biology,public health,medicine,Vaccines,virus,pandemic,TEDMED"
"
											So can we anticipate pandemics?
											Can we stop them?
											Those are really hard questions to answer,
											and the reason is that the pandemics —
											the ones that spread globally,
											the ones that we really
want to anticipate —
											they're actually really rare events.
											And for us as a species
that is a good thing —
											that's why we're all here.
											But from a scientific standpoint,
it's a little bit of a problem.
											That's because if something
happens just once or twice,
											that's really not enough
to find any patterns.
											Patterns that could tell us when
or where the next pandemic might strike.
											So what do we do?
											Well, I think one of the solutions
we may have is to study some viruses
											that routinely jump from wild
animals into people,
											or into our pets, or our livestock,
											even if they're not the same viruses
											that we think are going
to cause pandemics.
											If we can use
those everyday killer viruses
											to work out some of the patterns
											of what drives that initial, crucial jump
from one species to the next,
											and, potentially, how we might stop it,
											then we're going to end up better prepared
											for those viruses that jump
between species more rarely
											but pose a greater threat of pandemics.
									","
											¿Podemos anticipar las pandemias?
											¿Podemos detenerlas?
											Son preguntas difíciles de responder,
											y la razón es que las pandemias,
											las que se extienden globalmente,
											las que realmente queremos anticipar,
											en realidad son eventos muy raros.
											Y para nosotros, como especie,
es algo bueno,
											es por lo que estamos aquí.
											Pero desde el punto de vista científico
es un pequeño problema.
											Eso es porque si algo sucede
una o dos veces,
											no es suficiente para encontrar patrones.
											Patrones que podrían decirnos cuándo
y dónde golpeará la próxima pandemia.
											¿Así que, qué hacemos?
											Bueno, creo que una de las soluciones
que podríamos tener es estudiar los virus
											que rutinariamente saltan 
de animales silvestres a personas,
											o nuestras mascotas, nuestro ganado,
											incluso si no son los mismos virus
											que creemos que causarán pandemias.
											Si podemos usar esos virus
asesinos cotidianos
											para resolver algunos patrones
											de lo que impulsa el salto inicial 
y crucial de una especie a la siguiente,
											y, potencialmente,
cómo podríamos detenerlo,
											entonces acabaremos mejor preparados
											para aquellos virus que saltan
entre especies con menos frecuencia
											pero representan mayor
amenaza de pandemia.
									",What vaccinating vampire bats can teach us about pandemics,Daniel Streicker,15:39,"disease,science,ebola,illness,health,biology,public health,medicine,Vaccines,virus,pandemic,TEDMED"
"
","
",What vaccinating vampire bats can teach us about pandemics,Daniel Streicker,15:39,"disease,science,ebola,illness,health,biology,public health,medicine,Vaccines,virus,pandemic,TEDMED"
"
											Now, rabies, as terrible as it is,
											turns out to be a pretty nice
virus in this case.
											You see, rabies is a scary, deadly virus.
											It has 100 percent fatality.
											That means if you get infected with rabies
and you don't get treated early,
											there's nothing that can be done.
											There is no cure.
											You will die.
											And rabies is not just
a problem of the past either.
											Even today, rabies still kills
50 to 60,000 people every year.
											Just put that number in some perspective.
											Imagine the whole West African
Ebola outbreak —
											about two-and-a-half years;
											you condense all the people
that died in that outbreak
											into just a single year.
											That's pretty bad.
											But then, you multiply it by four,
											and that's what happens
with rabies every single year.
									","
											Ahora, la rabia, tan terrible como es
											resulta ser un virus bastante
agradable en este caso.
											La rabia es un virus mortal y aterrador.
											Tiene un 100 % de mortalidad.
											Eso significa que si se infecta 
con la rabia y no es tratado pronto,
											no hay nada que se pueda hacer.
											No hay cura.
											Morirá.
											Y la rabia tampoco es 
un problema del pasado.
											Incluso hoy, la rabia aún mata
de 50 a 60 000 personas cada año.
											Solo pongan ese número en perspectiva.
											Imaginen que todo el brote
de ébola en el oeste de África,
											alrededor de dos años y medio,
											se resuma a las personas
que murieron en ese brote
											en solo en un año.
											Eso es bastante malo.
											Pero luego multiplíquelo por cuatro
											y eso es lo que ocurre
con la rabia cada año.
									",What vaccinating vampire bats can teach us about pandemics,Daniel Streicker,15:39,"disease,science,ebola,illness,health,biology,public health,medicine,Vaccines,virus,pandemic,TEDMED"
"
","
",What vaccinating vampire bats can teach us about pandemics,Daniel Streicker,15:39,"disease,science,ebola,illness,health,biology,public health,medicine,Vaccines,virus,pandemic,TEDMED"
