en,fr,pt,tr,de,title,speaker,duration,tags
"
","
","
","
","
",Can animals be deceptive?,Eldridge Adams,4:36,"animals,animation,TED-Ed,biology,science,nature"
"
											A male firefly glows above a field 
on a summer’s night,
											emitting a series of enticing flashes.
											He hopes a nearby female will respond
with her own lightshow
											and mate with him.
											Sadly for this male,
											it won’t turn out quite the way he plans.
											A female from a different species 
mimics his pulsing patterns:
											by tricking the male with 
her promise of partnership,
											she lures him in–
											and turns him into an easy meal.
											He’s been deceived.
									","
											Par une nuit d'été, une luciole mâle
brille au-dessus d'un champ,
											émettant une série de flashs lumineux.
											Il espère qu'une femelle lui répondra
de la même manière
											et s'accouplera avec lui.
											Malheureusement pour lui,
											les choses
ne se passeront pas comme prévu.
											Une femelle d'une autre espèce
imite ses clignotements :
											le piégeant ainsi
avec sa promesse de reproduction,
											elle l'attire
											et le transforme en succulent repas.
											Il s'est fait avoir.
									","
											Um pirilampo macho brilha
no campo numa noite de verão,
											emitindo uma série
de brilhos sedutores.
											Espera que uma fêmea próxima responda
com o seu próprio espetáculo de luzes
											e se acasale com ele.
											Infelizmente para esse macho,
											isso não irá acontecer.
											Uma fêmea de uma espécie diferente
imita os padrões pulsantes dele:
											iludindo o macho
com a sua promessa de união,
											ela atrai-o
											e faz dele refeição, sem esforço.
											Ele foi enganado.
									","
											Bir yaz gecesi bir tarlanın üzerinde 
erkek bir ateş böceği
											bir dizi çekici parıltı yayar.
											Yakındaki bir dişinin ona 
kendi ışık gösterisiyle cevap verip
											onunla çiftleşeceğini umar.
											Ne yazık ki bu erkek için
											işler planladığı şekilde sona ermeyecek.
											Farklı türden bir dişi onun 
titreyen örüntülerini taklit eder:
											Onunla ilişkiye girme umudu verip 
erkeği yanıltarak
											onu cezbeder –
											ve onu kolay bir yemeğe dönüştürür.
											O aldatıldı.
									","
											Ein männlicher Leuchtkäfer schwebt
in einer Sommernacht über ein Feld
											und sendet verführerische Lichtsignale.
											Er hofft, dass ein Weibchen zurücksendet
und sich dann mit ihm paart.
											Leider wird es für dieses Männchen
nicht ablaufen wie geplant.
											Ein Weibchen einer anderen Art
imitiert seine Lichtimpulse:
											Sie täuscht das Männchen
mit dem Versprechen auf Paarung,
											lockt es an — und frisst es einfach auf.
											Das Männchen ist hereingefallen.
									",Can animals be deceptive?,Eldridge Adams,4:36,"animals,animation,TED-Ed,biology,science,nature"
"
","
","
","
","
",Can animals be deceptive?,Eldridge Adams,4:36,"animals,animation,TED-Ed,biology,science,nature"
"
											Behavioral biologists have identified 
three defining hallmarks of deception
											by non-human animals:
											it must mislead the receiver,
											the deceiver must benefit,
											and it can’t simply be an accident.
											In this case we know that the predatory 
firefly’s signal isn’t an accident
											because she flexibly 
adjusts her flash pattern
											to match males of different species.
									","
											Les biologistes ont identifié
trois caractéristiques de la tromperie
											chez les animaux :
											il doit induire le récepteur en erreur,
											cela doit bénéficier au trompeur,
											et ça ne doit pas être involontaire.
											Dans notre cas, le signal de la luciole
n'est pas accidentel
											car elle modifie
la fréquence de ses flashs
											selon l'espèce du mâle qu'elle trompe.
									","
											Os biólogos comportamentais identificaram
os três traços que definem o engano
											criado pelos animais não-humanos:
											deve enganar o recetor,
											o enganador deve beneficiar-se,
											e não pode ser simplesmente um acidente.
											Neste caso, sabemos que o sinal predatório
de pirilampo não é um acidente
											porque ela adequa de modo flexível
o seu próprio padrão de brilhos
											para acasalar com machos
de diferentes espécies.
									","
											Davranış biyologları insan dışındaki
hayvanlarda aldatmanın üç tanımlayan
											niteliğini ortaya koydular:
											Alıcıyı yanlış yönlendirmeli,
											aldatıcı yarar sağlamalı
											ve sadece bir tesadüf olamaz.
											Bu durumda biliyoruz ki yırtıcı 
ateş böceği sinyali kazara değildi,
											çünkü dişi farklı türün erkeğiyle 
eşleşmesi için parıltı örüntüsünü
											esnek olarak ayarlar.
									","
											Verhaltensforscher unterscheiden
drei bestimmende Täuschungsmerkmale
											bei nicht-menschlichen Lebewesen:
											Der Empfänger muss irregeführt werden,
											der Täuscher muss profitieren
											und es muss eine Absicht dahinterstecken.
											In diesem Fall ist das Signal
des räuberischen Leuchtkäfers gewollt,
											da das Weibchen
seine Lichtsignale variiert,
											um zu Männchen anderer Arten zu passen.
									",Can animals be deceptive?,Eldridge Adams,4:36,"animals,animation,TED-Ed,biology,science,nature"
"
","
","
","
","
",Can animals be deceptive?,Eldridge Adams,4:36,"animals,animation,TED-Ed,biology,science,nature"
"
											Based on this definition,
											where is animal deception seen in nature?
									","
											D'après cette définition,
											où observe-t-on la tromperie animale
dans la nature ?
									","
											Partindo desta definição,
											onde se pode observar
o engano na Natureza?
									","
											Bu tanıma göre,
											hayvan aldatması doğada nerede görülür?
									","
											Wo findet man laut dieser Definition
Täuschung in der Tierwelt?
									",Can animals be deceptive?,Eldridge Adams,4:36,"animals,animation,TED-Ed,biology,science,nature"
"
","
","
","
","
",Can animals be deceptive?,Eldridge Adams,4:36,"animals,animation,TED-Ed,biology,science,nature"
"
											Camouflage is a good starting point–
											and one of the most familiar examples 
of animal trickery.
											The leaf-tailed gecko and the 
octopus fool viewers
											by blending into the surfaces 
on which they rest.
											Other animals use mimicry 
to protect themselves.
											Harmless scarlet kingsnakes have evolved 
red, yellow, and black patterns
											resembling those of the venomous 
eastern coral snake
											to benefit from the protective warnings 
these markings convey.
											Even some plants use mimicry:
											there are orchids that look and smell like
female wasps to attract hapless males,
											who end up pollinating the plant.
									","
											Le camouflage est un bon point de départ
											et l'un des exemples les plus courants
de ruse animale.
											La pieuvre et certains geckos
trompent les curieux
											en se fondant dans les surfaces
sur lesquelles ils sont.
											D'autres animaux utilisent le mimétisme
pour se protéger.
											Les serpents-rois ont développé des motifs
rouges, jaunes et noirs
											ressemblant à ceux
du serpent corail venimeux
											afin de bénéficier des avertissements
que ceux-ci apportent.
											Certaines plantes utilisent le mimétisme :
											des orchidées ressemblent et sentent comme
des guêpes pour attirer les mâles,
											qui finissent par polliniser la plante.
									","
											A camuflagem é um bom ponto de partida
											— e um dos exemplos mais conhecidos
de artifício animal.
											A osga-satânica-cauda-de-folha
e o polvo enganam os observadores
											confundindo-se com as superfícies
em que descansam.
											Outros animais servem-se
do mimetismo para se protegerem.
											As inofensivas cobras-rei escarlates
											desenvolveram padrões
vermelhos, amarelos e pretos
											parecidos com os da venenosa
cobra coral oriental
											para se beneficiarem do alerta de proteção
expressado por essas marcas.
											Até algumas plantas
se servem do mimetismo:
											existem orquídeas que se parecem
e cheiram como as vespas fêmeas
											para atraírem machos azarados,
que acabam por polinizar a planta.
									","
											Kamuflaj iyi bir başlangıç noktası –
											ve hayvan aldatmalarının 
en bilinen örneklerinden biri.
											Yaprak kuyruklu geko ve ahtopot 
üzerinde durdukları yüzeylere karışarak
											izleyenleri yanıltıyorlar.
											Diğer hayvanlar kendilerini 
korumak için taklit eder.
											Zararsız kırmızı kral yılanı, 
işaretlerin taşıdığı koruyucu uyarılardan
											yararlanmak için zehirli 
doğu mercan yılanına benzer
											kırmızı, sarı ve siyah 
desenlerle evrilmiştir.
											Bazı bitkiler bile taklit kullanır:
											Talihsiz erkekleri çekmek için görünüşü 

											ve kokusu dişi eşek arıları gibi 
olan orkideler vardır
											ki bu erkekler bitkiyi tozlaştırırlar.
									","
											Tarnung ist ein guter Anfang —
											und eins der bekanntesten
Beispiele für tierische List.
											Blattschwanzgecko und Krake
täuschen ihre Betrachter,
											indem sie mit dem Untergrund verschmelzen.
											Andere Tiere schützen sich durch Mimikry.
											Die harmlose Rote Königsnatter
entwickelte ein rot-gelb-schwarzes Muster,
											das dem der giftigen
Harlekin-Korallenotter ähnelt.
											So profitiert sie vom schützenden
Warneffekt dieser Farben.
											Selbst einige Pflanzen nutzen Mimikry.
											Manche Orchideen ähneln in Aussehen
und Geruch weiblichen Wespen.
											So locken sie glücklose Männchen an,
die die Pflanze schließlich bestäuben.
									",Can animals be deceptive?,Eldridge Adams,4:36,"animals,animation,TED-Ed,biology,science,nature"
"
","
","
","
","
",Can animals be deceptive?,Eldridge Adams,4:36,"animals,animation,TED-Ed,biology,science,nature"
"
											Some of these animals benefit 
by having fixed characteristics
											that are evolutionary suited 
to their environments.
											But in other cases,
											the deceiver seems to anticipate 
the reactions of other animals
											and to adjust its behavior accordingly.
											Sensing a threat,
											the octopus will rapidly change its colors
to match its surroundings.
											Dwarf chameleons color-match their 
environments more closely
											when they see a bird predator 
rather than a snake–
											birds, after all, 
have better color vision.
									","
											Certains de ces animaux ont l'avantage
d'avoir des caractéristiques fixes
											qui évoluent selon leur environnement.
											Mais dans certains cas,
											le trompeur semble anticiper
les réactions des autres animaux
											et modifier son comportement
en conséquence.
											Détectant une menace,
											la pieuvre change rapidement de couleur
pour s'adapter à son environnement.
											Les caméléons nains prennent la couleur
de leur environnement
											lorsqu'ils aperçoivent un oiseau,
mais pas pour un serpent.
											Après tout, les oiseaux
ont une meilleure vision des couleurs.
									","
											Alguns destes animais beneficiam-se
do facto de terem características fixas
											adequadas aos seus ambientes
de um ponto de vista evolutivo.
											Mas noutros casos,
											o enganador parece antecipar
as reações de outros animais
											e adaptar o seu comportamento
em conformidade.
											Sentindo uma ameaça,
											o polvo mudará rapidamente as suas cores
para se camuflar no ambiente.
											Os camaleões-anões adquirem
as cores do seu ambiente mais fielmente
											quando avistam uma ave predadora
do que uma cobra.
											De facto, as aves têm
uma melhor visão das cores.
									","
											Bu hayvanların bazıları çevrelerine 
evrimsel olarak uygun olan
											sabit özelliklere sahip olmaları 
yüzünden yarar sağlarlar.
											Fakat bazı durumlarda
											aldatıcı, diğer hayvanların 
reaksiyonlarını tahmin edip
											ona göre davranışlarını 
ayarlıyor gözükmektedir.
											Bir tehdit hissedince
											ahtopot hemen renklerini 
değiştirerek etrafına uyar.
											Yılan yerine yırtıcı bir kuş 
gördüklerinde cüce bukalemunların
											renkleri çevrelerine daha çok uyar–
											kuşlar renkleri daha iyi görür.
									","
											Einige Tiere profitieren
von festen Eigenschaften,
											die entwicklungsgeschichtlich
an ihre Umwelt angepasst sind.
											In anderen Fällen orientiert
der Täuscher sein Verhalten offenbar
											an den erwarteten Reaktionen
anderer Tiere.
											Bei Gefahr wechselt der Krake
rasch seine Farbe,
											um sich der Umgebung anzugleichen.
											Bunte Zwergchamäleons passen sich
ihrer Umwelt genauer an,
											wenn statt einer Schlange
ein Raubvogel in der Nähe ist,
											denn Vögel nehmen Farben besser wahr.
									",Can animals be deceptive?,Eldridge Adams,4:36,"animals,animation,TED-Ed,biology,science,nature"
