en,tr,de,fr,title,speaker,duration,tags
"
","
","
","
",My life as a work of art,Daniel Lismore,9:19,"creativity,art,design,culture,fashion,identity,beauty"
"
											My day starts just like yours.
									","
											Ben de güne tıpkı sizin gibi başlıyorum.
									","
											Mein Tag beginnt genau wie Ihrer.
									","
											Ma journée commence comme la vôtre.
									",My life as a work of art,Daniel Lismore,9:19,"creativity,art,design,culture,fashion,identity,beauty"
"
","
","
","
",My life as a work of art,Daniel Lismore,9:19,"creativity,art,design,culture,fashion,identity,beauty"
"
											(Laughter)
									","
											(Gülme)
									","
											(Lachen)
									","
											(Rires)
									",My life as a work of art,Daniel Lismore,9:19,"creativity,art,design,culture,fashion,identity,beauty"
"
","
","
","
",My life as a work of art,Daniel Lismore,9:19,"creativity,art,design,culture,fashion,identity,beauty"
"
											When I wake up in the morning,
											I check my phone,
											and then I have a cup of coffee.
											But then my day truly starts.
											It may not be like yours,
because I live my life as an artwork.
											Picture yourself in a giant jewelry box
											with all the beautiful things
that you have ever seen in your life.
											Then imagine that your body is a canvas.
											And on that canvas,
											you have a mission to create a masterpiece
											using the contents
of your giant jewelry box.
											Once you've created your masterpiece,
											you might think, ""Wow, I created that.
											This is who I am today.""
											Then you would pick up your house keys,
											walk out the door into the real world,
											maybe take public transport
to the center of the town ...
											Possibly walk along the streets
or even go shopping.
									","
											Sabah uyandığımda
											telefonumu kontrol ederim
											sonra kahve içerim.
											Asıl sonrasında günüm başlar.
											Sizinki gibi olmayabilir, çünkü hayatımı 
sanat eseri olarak yaşıyorum.
											Kendinizi dev bir mücevher kutusunda
hayal edin,
											hayatınızda gördüğünüz 
en güzel şeylerle dolu.
											Sonra vücudunuzun bir
tuval olduğunu hayal edin.
											O tuvalde,
											dev mücevher kutunuzun içeriğini kullanıp
											bir şaheser yaratma göreviniz var.
											Bir kez şaheserinizi yarattıktan sonra,
											""Vay canına, ben yarattım. 
Bugün ben buyum.""
											diye düşünebilirsiniz.
											Sonrasında evin anahtarlarını alıp
											gerçek dünyaya açılan kapıdan yürür,
											belki de şehir merkezine 
toplu taşıma ile gidersiniz.
											Muhtemelen sokaklarda yürür
hatta alışveriş yaparsınız.
									","
											Wenn ich morgens aufwache,
											schaue ich auf mein Handy,
											dann trinke ich eine Tasse Kaffee.
											Aber danach fängt mein Tag wirklich an.
											Er unterscheidet sich bestimmt von Ihrem,
denn ich lebe mein Leben als Kunstwerk.
											Stellen Sie sich vor,
sie wären in einem Schmuckkästchen,
											mit all den schönen Dingen,
die Sie in Ihrem Leben gesehen haben.
											Dann stellen Sie sich vor,
Ihr Körper sei eine Leinwand.
											Und es ist ihre Aufgabe,
											mit dem Inhalt ihres Schmuckkästchens,
											ein Meisterwerk
auf dieser Leinwand zu kreieren.
											Wenn Sie ihr Meisterwerk geschaffen haben,
											denken Sie vielleicht:
""Wow, das habe ich gemacht.
											Das bin ich heute.""
											Dann nehmen Sie Ihre Haustürschlüssel
											und gehen raus in die echte Welt.
											Vielleicht nehmen sie den Bus
ins Stadtzentrum ...
											Vielleicht gehen Sie durch die Straßen
oder sogar Einkaufen.
									","
											Quand je me lève le matin,
											je vérifie mon téléphone,
											et puis, je prends une tasse de café.
											C'est alors que ma journée
commence vraiment.
											Elle ne devrait pas ressembler à la vôtre
car je vis ma vie comme une œuvre d’art.
											Imaginez-vous
dans une boîte à bijoux géante
											avec toutes les belles choses
que vous avez vues dans votre vie.
											Puis, imaginez que
votre corps est une toile vierge.
											Et sur cette toile,
											vous avez pour mission
de créer un chef-d'œuvre
											en utilisant le contenu
de votre boîte à bijoux géante.
											Une fois que vous avez créé 
votre chef-d'œuvre,
											vous pourriez penser :
« Waouh ! Quelle superbe création !
											Voilà donc qui je suis aujourd'hui. »
											Ensuite, vous allez prendre vos clés,
											et sortir dans le monde réel,
											pour peut-être prendre les transports
en commun et rejoindre le centre-ville.
											Vous marcherez vraisemblablement
dans la rue et vous ferez du shopping.
									",My life as a work of art,Daniel Lismore,9:19,"creativity,art,design,culture,fashion,identity,beauty"
"
","
","
","
",My life as a work of art,Daniel Lismore,9:19,"creativity,art,design,culture,fashion,identity,beauty"
"
											That's my life, every day.
											When I walk out the door,
											these artworks are me.
											I am art.
											I have lived as art my entire adult life.
											Living as art is how I became myself.
									","
											İşte benim hayatım bu, her gün.
											Kapıdan dışarı çıktığımda
											bu sanat eserleri benim.
											Ben sanatım.
											Yetişkin hayatım boyunca 
sanat olarak yaşadım.
											Sanat olarak yaşamak,
kimliğimi belirledi.
									","
											Das ist mein Alltag.
											Wenn ich vor die Tür gehe,
											bin ich dieses Kunstwerke.
											Ich bin Kunst.
											Mein gesamtes Erwachsenendasein
habe ich als Kunst gelebt.
											In dem ich als Kunst lebe,
bin ich ich selbst geworden.
									","
											C'est ma vie, tous les jours.
											Quand je franchis le seuil,
											ces œuvres d'art sont devenues moi.
											Je suis l'art.
											J'ai entièrement vécu ma vie adulte
en tant qu'art.
											Vivre en tant qu'art
est ma manière d’être devenu moi.
									",My life as a work of art,Daniel Lismore,9:19,"creativity,art,design,culture,fashion,identity,beauty"
"
","
","
","
",My life as a work of art,Daniel Lismore,9:19,"creativity,art,design,culture,fashion,identity,beauty"
"
											I was brought up in a small village
called Fillongley, in England,
											and it was last mentioned
in the ""Domesday Book,""
											so that's the mentality.
									","
											İngiltere'de Fillongley adında
küçük bir köyde büyüdüm
											ve en son ""Domesday Book""ta bahsedildi,
											işte zihniyet bu şekilde.
									","
											Ich wuchs in einem kleinen Dorf
namens Fillongley in England auf,
											es steht im „Buch des Jüngsten Tages“,
											das ist auch die Mentalität.
									","
											J'ai grandi dans un petit village 
appelé Fillongley, en Angleterre.
											La dernière fois qu'il fut mentionné,
c'est dans le Domesday Book.
											C'est dire la mentalité.
									",My life as a work of art,Daniel Lismore,9:19,"creativity,art,design,culture,fashion,identity,beauty"
