en,fr,de,title,speaker,duration,tags
"
","
","
",A mother and son's photographic journey through dementia,Tony Luciani,13:32,"TEDx,aging,family,Alzheimer's,parenting,humanity,art,love,life,photography"
"
											When my 91-year-old mother, Elia,
moved in with me,
											I thought I was doing her a service.
											In fact, it was the other way around.
											You see, Mom was having issues
with memory loss and accepting her age.
											She looked defeated.
											I tried to make her
as comfortable as possible,
											but when I was at my easel, painting,
											I would peek over
and see her just ... there.
											She'd be staring at nothing in particular.
											I'd watch her slowly climb the stairs,
											and she wasn't the mom I grew up with.
											I saw, instead, a frail,
											tiny, old woman.
									","
											Lorsque ma mère de 91 ans, Elia,
a déménagé chez moi,
											je croyais lui rendre service.
											Cependant, c'était l'inverse.
											Maman avait des pertes
de mémoire et n'acceptait pas son âge.
											Elle semblait vaincue.
											J'ai essayé de la rendre
la plus à l'aise possible
											mais quand je peignais, à mon chevalet,
											je jetais un coup d’œil au-dessus
et la voyais juste... présente.
											Elle ne regardait rien de particulier.
											Je l'observais monter
lentement les escaliers,
											Ce n'était pas la mère qui m'avait élevé.
											Au contraire je voyais une femme fragile,
											petite et vieille.
									","
											Als meine 91-jährige Mutter Elia
bei mir einzog,
											dachte ich, ich würde ihr
einen Dienst erweisen.
											Tatsächlich war es andersrum.
											Mama wurde vergesslich und hatte Probleme,
ihr Alter zu akzeptieren.
											Sie schien besiegt worden zu sein.
											Ich wollte es ihr
so recht wie möglich machen,
											aber wenn ich an meiner Staffelei malte,
											linste ich rüber und sie war einfach ""da"".
											Sie starrte ins Leere.
											Ich beobachtete, wie sie
langsam die Treppe hochstieg
											und sie war nicht mehr
die Mama von früher.
											Stattdessen sah ich
											eine gebrechliche, winzige, alte Frau.
									",A mother and son's photographic journey through dementia,Tony Luciani,13:32,"TEDx,aging,family,Alzheimer's,parenting,humanity,art,love,life,photography"
"
","
","
",A mother and son's photographic journey through dementia,Tony Luciani,13:32,"TEDx,aging,family,Alzheimer's,parenting,humanity,art,love,life,photography"
"
											A few weeks went by,
and I needed a break from my painting.
											I wanted to play with the new camera
I had just bought.
											I was excited —
it had all sorts of dials,
											buttons and settings I wanted to learn,
											so I set up my tripod
facing this large mirror,
											blocking the doorway
to the only bathroom in the house.
									","
											Après quelques semaines,
j'avais besoin d'arrêter de peindre.
											Je voulais jouer
avec mon nouvel appareil photo.
											J'étais enthousiaste,
il y avait toutes sortes de cadrans,
											boutons et paramètres
que je voulais apprendre.
											J'ai donc installé mon trépied
devant ce grand miroir,
											en bloquant la porte des seules
toilettes de la maison.
									","
											Die Wochen vergingen
und ich brauchte eine Pause vom Malen.
											Ich wollte meine neue Kamera ausprobieren.
											Ich war aufgeregt —
ich wollte alle ihre Einstellrädchen,
											Knöpfe und Einstellungen verstehen.
											Ich stellte also mein Stativ
vor diesem großen Spiegel auf
											und blockierte so den Weg
zum einzigen Badezimmer des Hauses.
									",A mother and son's photographic journey through dementia,Tony Luciani,13:32,"TEDx,aging,family,Alzheimer's,parenting,humanity,art,love,life,photography"
"
","
","
",A mother and son's photographic journey through dementia,Tony Luciani,13:32,"TEDx,aging,family,Alzheimer's,parenting,humanity,art,love,life,photography"
"
											(Laughter)
									","
											(Rires)
									","
											(Lachen)
									",A mother and son's photographic journey through dementia,Tony Luciani,13:32,"TEDx,aging,family,Alzheimer's,parenting,humanity,art,love,life,photography"
"
","
","
",A mother and son's photographic journey through dementia,Tony Luciani,13:32,"TEDx,aging,family,Alzheimer's,parenting,humanity,art,love,life,photography"
"
											After a while, I hear,
											(Imitating Italian accent)
""I need to use the washroom.""
									","
											Après un moment, j'entends :
											(avec l'accent italien)
« Je dois aller aux toilettes »
									","
											Nach einer Weile höre ich:
											(imitiert italienischen Akzent)
""Ich muss ins Bad.""
									",A mother and son's photographic journey through dementia,Tony Luciani,13:32,"TEDx,aging,family,Alzheimer's,parenting,humanity,art,love,life,photography"
"
","
","
",A mother and son's photographic journey through dementia,Tony Luciani,13:32,"TEDx,aging,family,Alzheimer's,parenting,humanity,art,love,life,photography"
"
											(Laughter)
									","
											(Rires)
									","
											(Lachen)
									",A mother and son's photographic journey through dementia,Tony Luciani,13:32,"TEDx,aging,family,Alzheimer's,parenting,humanity,art,love,life,photography"
"
","
","
",A mother and son's photographic journey through dementia,Tony Luciani,13:32,"TEDx,aging,family,Alzheimer's,parenting,humanity,art,love,life,photography"
"
											""Five minutes, Mom. I need to do this.""
											15 minutes later, and I hear, again,
											""I need to use the washroom.""
											""Five more minutes.""
											Then this happened.
									","
											« Cinq minutes, Maman, 
j'ai besoin de faire ça. »
											Quinze minutes plus tard
et j'entends à nouveau :
											« Je dois aller aux toilettes
											- Encore cinq minutes. »
											Puis, voici ce qui est arrivé.
									","
											""Fünf Minuten, Mama.
Ich muss kurz was machen.""
											15 Minuten später höre ich wieder:
											""Ich muss ins Bad.""
											""Noch fünf Minuten.""
											Dann passierte das.
									",A mother and son's photographic journey through dementia,Tony Luciani,13:32,"TEDx,aging,family,Alzheimer's,parenting,humanity,art,love,life,photography"
"
","
","
",A mother and son's photographic journey through dementia,Tony Luciani,13:32,"TEDx,aging,family,Alzheimer's,parenting,humanity,art,love,life,photography"
"
											(Laughter)
									","
											(Rires)
									","
											(Lachen)
									",A mother and son's photographic journey through dementia,Tony Luciani,13:32,"TEDx,aging,family,Alzheimer's,parenting,humanity,art,love,life,photography"
"
","
","
",A mother and son's photographic journey through dementia,Tony Luciani,13:32,"TEDx,aging,family,Alzheimer's,parenting,humanity,art,love,life,photography"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Applaus)
									",A mother and son's photographic journey through dementia,Tony Luciani,13:32,"TEDx,aging,family,Alzheimer's,parenting,humanity,art,love,life,photography"
"
","
","
",A mother and son's photographic journey through dementia,Tony Luciani,13:32,"TEDx,aging,family,Alzheimer's,parenting,humanity,art,love,life,photography"
"
											And this.
									","
											Et cela.
									","
											Und das.
									",A mother and son's photographic journey through dementia,Tony Luciani,13:32,"TEDx,aging,family,Alzheimer's,parenting,humanity,art,love,life,photography"
"
","
","
",A mother and son's photographic journey through dementia,Tony Luciani,13:32,"TEDx,aging,family,Alzheimer's,parenting,humanity,art,love,life,photography"
"
											(Laughter)
									","
											(Rires)
									","
											(Lachen)
									",A mother and son's photographic journey through dementia,Tony Luciani,13:32,"TEDx,aging,family,Alzheimer's,parenting,humanity,art,love,life,photography"
"
","
","
",A mother and son's photographic journey through dementia,Tony Luciani,13:32,"TEDx,aging,family,Alzheimer's,parenting,humanity,art,love,life,photography"
"
											And then, this.
									","
											Et encore, ça.
									","
											Und dann das.
									",A mother and son's photographic journey through dementia,Tony Luciani,13:32,"TEDx,aging,family,Alzheimer's,parenting,humanity,art,love,life,photography"
