en,es,pt,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
","
",Why veterans miss war,Sebastian Junger,13:08,"film,global issues,journalism,peace,war,PTSD"
"
											I'm going to ask and try to answer,
											in some ways, kind of an uncomfortable question.
											Both civilians, obviously, and soldiers
											suffer in war;
											I don't think any civilian has ever missed
											the war that they were subjected to.
											I've been covering wars for almost 20 years,
											and one of the remarkable things for me
											is how many soldiers find themselves missing it.
											How is it someone can go through
											the worst experience imaginable,
											and come home, back to their home,
											and their family, their country, and miss the war?
											How does that work? What does it mean?
											We have to answer that question,
											because if we don't, it'll be impossible
											to bring soldiers back
											to a place in society where they belong,
											and I think it'll also be impossible to stop war,
											if we don't understand how that mechanism works.
									","
											Les preguntaré y trataré de responder
											de alguna forma, 
una pregunta algo incómoda.
											Tanto civiles, obviamente, como soldados
											sufren en la guerra;
											no creo que ningún civil haya extrañado
											la guerra a la cual fue sometido.
											He hecho coberturas de guerras 
por casi 20 años,
									","
											Vou perguntar e tentar responder,
											de certo modo, a uma pergunta incómoda.
											É óbvio que tanto os civis 
como os soldados sofrem na guerra.
											Penso que nunca nenhum civil teve 
saudades da guerra a que foi sujeito.
											Faço a cobertura de guerras 
há quase 20 anos
											e uma das coisas mais notáveis para mim
											é muitos soldados sentirem saudades dela.
											Como é possível que uma pessoa
											passe pela pior experiência 
que se possa imaginar,
											volte para casa, para a sua casa,
											para a família, para o seu país 
e tenha saudades da guerra?
											Como é que isso se passa? 
O que é que isso significa?
											Temos que responder a esta pergunta
											porque, se não o fizermos,
											será impossível reintegrar os soldados
											no lugar da sociedade a que 
eles pertencem.
											Também acho que será 
impossível acabar com a guerra,
											se não percebermos como 
funciona este mecanismo.
									","
											Je vais poser une question sensible,
											et essayer d'y répondre.
											Il est évident que les civils
tout comme les soldats
											souffrent de la guerre ;
											je ne pense pas que la guerre
qu'ils ont subie
											ait jamais manqué à un civil.
											J'ai couvert la guerre
pendant presque vingt ans,
											et pour moi, l'une
des choses remarquables
											est le nombre de soldats
à qui la guerre manque.
											Comment est-il possible
que quelqu'un vive
											la pire expérience imaginable,
											et rentre chez lui, dans sa maison,
											avec sa famille, dans son pays,
et que la guerre lui manque ?
											Comment cela fonctionne-t-il ?
Qu'est-ce que cela veut dire ?
											Nous devons répondre à cette question,
											parce que si nous n'y répondons pas,
cela deviendra impossible
											de ramener les soldats
											et de faire en sorte qu'ils
trouvent leur place dans la société,
											et je pense qu'il sera aussi impossible
d'arrêter la guerre,
											si on ne comprend pas ce mécanisme.
									","
											Ich werde versuchen,
											eine eher unangenehme Frage
zu beantworten.
											Sowohl Zivilisten als auch Soldaten
											müssen im Krieg Leid ertragen.
											Ich glaube nicht, dass irgendein Zivilist
											jemals einen Krieg vermisst hat, 
dem er ausgesetzt war.
											Ich berichte seit
fast 20 Jahren über Kriege
											und mich überrascht es immer wieder,
											wie viele Soldaten den Krieg vermissen.
											Wie kann es sein, dass jemand
											furchtbare Dinge erlebt
											und dann nach Hause zurückkehrt
											zu seiner Familie, 
und dann den Krieg vermisst?
											Wie kann das sein und was bedeutet das?
											Wir müssen eine Antwort darauf finden.
											Wenn uns das nicht gelingt, 
wird es uns nicht möglich sein,
											Soldaten nach Hause zu holen
											und für sie einen geeigneten Platz 
in unserer Gesellschaft zu finden.
											Ich glaube auch, dass wir den Krieg
nicht beenden können,
											wenn wir ihr Verhalten nicht verstehen.
									","
											Bir soru soracağım 
ve cevaplamaya çalışacağım.
											Bu bazı yönlerden rahtsız edici bir soru.
											Tabii ki hem siviller hem de askerler
											savaştan zarar görürler.
											Hiçbir sivilin, maruz kaldığı savaşı
											özlediğini sanmıyorum.
											20 yıla yakındır, savaşı kaleme aldım
											ve en çok dikkatimi çeken şeylerden biri,
											birçok askerin savaşı özlüyor olması.
											Bir insan nasıl olur da
											akla gelebilecek en kötü deneyimi yaşayıp,
											evine, ailesine, ülkesine
											döndükten sonra savaşı özleyebilir?
											Bu nasıl olur? Ne anlama gelir?
											Bu soruyu cevaplamak zorundayız.
											Aksi takdirde askerleri toplumda
											ait oldukları yere
											geri getirmemiz mümkün olmayacak
											ve bu mekanizmanın 
nasıl işlediğini anlamazsak
											savaşı durdurmak da mümkün olmayacak.
									",Why veterans miss war,Sebastian Junger,13:08,"film,global issues,journalism,peace,war,PTSD"
"
","
","
","
","
","
",Why veterans miss war,Sebastian Junger,13:08,"film,global issues,journalism,peace,war,PTSD"
"
											The problem is that war
											does not have a simple, neat truth,
											one simple, neat truth.
									","
											y algo singular para mí
											es la cantidad de soldados 
que terminan extrañándola.
											¿Cómo es que alguien puede pasar
											por la peor experiencia 
que se pueda imaginar
											y regresar, volver a su hogar,
											a su familia, a su país, 
y extrañar la guerra?
											¿Cómo funciona eso?¿Qué significa?
											Tenemos que responder a esa pregunta,
											porque si no lo hacemos, será imposible
											hacer que los soldados vuelvan
											a un lugar en la sociedad 
donde pertenecen,
											y creo que será imposible 
acabar con la guerra,
											si no entendemos cómo funciona 
este mecanismo.
									","
											O problema é que a guerra
											não tem uma verdade simples, límpida,
											uma verdade simples, nítida.
									","
											Le problème est que la guerre
											n'est pas une vérité simple et nette,
											une vérité simple et nette.
									","
											Das Problem ist, dass es im Krieg
											keine einfache
und unumstößliche Wahrheit gibt.
									","
											Sorun şu ki, savaşta
											basit ve çıplak bir gerçek yok.
											Tek bir basit, çıplak gerçek.
									",Why veterans miss war,Sebastian Junger,13:08,"film,global issues,journalism,peace,war,PTSD"
"
","
","
","
","
","
",Why veterans miss war,Sebastian Junger,13:08,"film,global issues,journalism,peace,war,PTSD"
"
											Any sane person hates war,
											hates the idea of war,
											wouldn't want to have anything to do with it,
											doesn't want to be near it,
doesn't want to know about it.
											That's a sane response to war.
											But if I asked all of you in this room,
											who here has paid money
											to go to a cinema
											and be entertained by a Hollywood war movie,
											most of you would probably raise your hands.
											That's what's so complicated about war.
											And trust me, if a room full of peace-loving people
											finds something compelling about war,
											so do 20-year-old soldiers
											who have been trained in it, I promise you.
											That's the thing that has to be understood.
									","
											El problema es que la guerra
											no tiene una verdad simple, clara,
											una sola verdad simple y clara.
									","
											Qualquer pessoa sã odeia a guerra,
											odeia a ideia da guerra,
											não quer ter a ver nada com ela,
											não quer estar perto dela, 
não quer saber nada sobre ela.
											É uma resposta sã à guerra.
											Mas, se eu perguntasse a todos 
nesta sala,
											quem aqui já gastou 
dinheiro para ir ao cinema
											e assistir a um filme de 
Hollywood sobre a guerra,
											provavelmente a maior parte 
levantaria o braço.
											É isso que é tão complicado sobre a guerra.
											Se uma sala cheia de 
pessoas amantes da paz
											acha que a guerra é uma coisa absorvente,
											passa-se o mesmo com soldados de 20 anos
											que foram treinados 
para isso, seguramente.
											É isso que tem que ser compreendido.
									","
											Toute personne saine déteste la guerre,
											déteste l'idée de la guerre,
											ne voudrait avoir rien
à voir avec la guerre,
											ne veut pas en être proche,
ne veut pas en entendre parler.
											C'est une réponse saine à la guerre.
											Mais si je vous demandais,
à tous dans cette salle,
											qui a déjà payé
											pour aller au cinéma
											et se divertir en regardant
un film de guerre hollywoodien,
											la plupart d'entre vous
lèveraient probablement la main.
											C'est ce qui est compliqué avec la guerre.
											Et croyez-moi, si une pièce remplie
de personnes pacifiques
											trouve quelque chose
d'attrayant à propos de la guerre,
											il en est de même pour un soldat de 20 ans
											qui y a été entraîné, je vous le promets.
											C'est la chose qui doit être comprise.
									","
											Jeder mit gesundem Menschenverstand
											verabscheut Krieg,
											möchte nichts mit Krieg zu tun haben
											und auch nicht 
an einem Krieg beteiligt sein.
											Das ist eine vernünftige
Einstellung zu Kriegen.
											Aber wenn ich Ihnen hier im Publikum
die Frage stellen würde,
											wer schon einmal Geld bezahlt hat,
											um ins Kino zu gehen
											und sich von einem Hollywood-Kriegsfilm 
unterhalten zu lassen,
											dann würden die meisten von Ihnen 
vermutlich die Hand heben.
											Deswegen ist Krieg so kompliziert.
											Wenn also ein Raum voll 
friedfertiger Menschen
											etwas an Kriegen fesselnd finden kann,
											dann geht es 20-jährigen Soldaten
											mit einer militärischen
Ausbildung ganz genauso.
											Das muss man begreifen.
									","
											Aklı başında her insan
savaştan nefret eder,
											savaş fikrinden nefret eder,
											savaşla bir ilgisi olmasını istemez,
											yakınında olmak istemez,
haberini almak istemez.
											Bu savaşa verilen mantıklı bir tepki.
											Ama size, ""Bu salonda kimler
											sinemaya gidip,
											Hollywood yapımı bir savaş filmi
											izlemek için para verdi?"" diye sorsam,
											muhtemelen çoğunuz elinizi kaldırırsınız.
											Savaşın karmaşık olan yanı da bu.
											İnanın, eğer bir salon dolusu
barışsever insana
											savaşa dair bir şeyler
ilgi çekici geliyorsa,
											savaşmak üzere eğitilmiş 
20 yaşındaki askerlere de
											aynısı olacaktır, hiç kuşkunuz olmasın.
											Anlaşılması gereken şey işte bu.
									",Why veterans miss war,Sebastian Junger,13:08,"film,global issues,journalism,peace,war,PTSD"
"
","
","
","
","
","
",Why veterans miss war,Sebastian Junger,13:08,"film,global issues,journalism,peace,war,PTSD"
"
											I've covered war for about 20 years, as I said,
											but my most intense experiences in combat
											were with American soldiers in Afghanistan.
											I've been in Africa, the Middle East,
											Afghanistan in the '90s,
											but it was with American soldiers in 2007, 2008,
											that I was confronted with
											very intense combat.
											I was in a small valley called the Korengal Valley
											in eastern Afghanistan.
											It was six miles long.
											There were 150 men of
Battle Company in that valley,
											and for a while, while I was there,
											almost 20 percent of all the combat
											in all of Afghanistan was happening
											in those six miles.
											A hundred and fifty men were absorbing
											almost a fifth of the combat for all of NATO forces
											in the country, for a couple months.
											It was very intense.
											I spent most of my time at a small outpost
											called Restrepo.
											It was named after the platoon medic
											that had been killed about two
months into the deployment.
											It was a few plywood B-huts
											clinging to a side of a ridge,
											and sandbags, bunkers, gun positions,
											and there were 20 men up there
											of Second Platoon, Battle Company.
											I spent most of my time up there.
											There was no running water.
											There was no way to bathe.
											The guys were up there for a month at a time.
											They never even got out of their clothes.
											They fought. The worked.
											They slept in the same clothes.
											They never took them off,
and at the end of the month,
											they went back down to the company headquarters,
											and by then, their clothes were unwearable.
											They burned them and got a new set.
											There was no Internet. There was no phone.
											There was no communication
with the outside world up there.
											There was no cooked food.
											There was nothing up there
											that young men typically like:
											no cars, no girls, no television, nothing
											except combat.
											Combat they did learn to like.
									","
											Cualquier persona sensata odia la guerra,
											odia la idea de guerra,
											no le gustaría tener algo que ver con eso,
											no quiere estar cerca,
no quiere saber sobre la guerra.
											Esa es una respuesta sensata a la guerra.
											Pero si les pregunto a todos 
en este lugar,
											¿quiénes de Uds. han pagado
											para ir al cine
											y entretenerse con una película bélica 
de Hollywood?,
											es posible que muchos de Uds. 
levanten la mano.
											Eso es lo complicado de la guerra.
											Y créanme, que si en un lugar lleno
de amantes de la paz
											hay personas que encuentran 
algo cautivador en la guerra,
											también lo harán 
unos soldados veinteañeros
											que han sido entrenados para ello, 
se los aseguro.
											Eso es lo que se tiene que entender.
									","
											Fiz a cobertura de guerras 
durante cerca de 20 anos,
											mas as minhas experiências 
mais intensas em combate
											foram com soldados 
norte-americanos no Afeganistão.
											Estive em África, no Médio Oriente,
											no Afeganistão na década de 90,
											mas foi com soldados 
norte-americanos em 2007 e 2008
											que fui confrontado 
com combates muito intensos.
											Estive num pequeno vale 
chamado Korengal Valley
											no leste do Afeganistão.
											Tinha 10 km de comprimento.
											Havia 150 homens da 
Companhia de Batalha naquele vale.
											Durante uns tempos, 
enquanto eu ali estive,
											quase 20 por cento de todos os combates
											em todo o Afeganistão,
											estavam a acontecer naqueles 10 km.
											Cento e cinquenta homens 
estavam a absorver
											quase um quinto do combate
											de todas as forças da NATO 
no país, durante uns meses.
											Foi muito intenso.
											Passei a maior parte do tempo
											num pequeno posto avançado 
chamado Restrepo.
											Este nome era do médico do pelotão
											que tinha sido morto 2 meses antes, 
durante a instalação.
											Havia uns barracões de contraplacado
											encostados a um lado duma elevação
											e sacos de areia, ""bunkers"", 
e ninhos de metralhadoras.
											Havia ali 20 homens
											do Segundo Pelotão, 
da Companhia de Batalha.
											Passei ali a maior parte do tempo.
											Não havia água corrente,
											não se podia tomar banho.
											O pessoal estava ali um mês seguido.
											Nem sequer despiam a roupa.
											Combatiam, trabalhavam,
											dormiam sempre com a mesma roupa.
											Nunca se despiam e, no fim do mês,
											regressavam ao quartel-general 
da companhia.
											Nessa altura, 
as roupas estavam sem préstimo.
											Queimavam-nas e arranjavam roupa nova.
											Não havia Internet. Não havia telefone.
											Não havia comunicações 
com o mundo exterior.
											Não havia comida cozinhada.
											Não havia nada
											do que a malta nova normalmente gosta:
											carros, raparigas, televisão, nada,
											a não ser combates.
											Combates de que eles aprenderam a gostar.
									","
											Comme je l'ai dit, j'ai couvert la guerre
pendant presque 20 ans,
											mais mon expérience de combat
la plus intense
											a été avec les soldats américains
en Afghanistan.
											Je suis allé en Afrique, au Moyen-Orient,
											en Afghanistan dans les années 90,
											mais c'était avec les soldats américains
en 2007 et 2008,
											que j'ai été confronté
											à un combat très intense.
											J'étais dans une petite vallée
appelée la vallée de Korengal,
											dans l'est de l'Afghanistan.
											Cette vallée faisait 
une dizaine de kilomètres.
											Il y avait dans cette vallée
150 hommes d'une unité combattante,
											et pendant un certain temps,
alors que j'y étais,
											presque 20% des combats
											d'Afghanistan se produisaient
											dans cette dizaine de kilomètres.
											Cent cinquante hommes absorbaient
											presque un cinquième des combats
des forces de l'OTAN
											dans le pays, durant quelques mois.
											C'était très intense.
											J'ai passé la plupart du temps
dans un petit avant-poste
											du nom de Restrepo.
											Il portait le nom du peloton médical
											qui avait été tué environ deux mois
après le déploiement.
											Il y avait quelques cabanes
en contre-plaqué,
											accrochées à une crête de montagne,
											et des sacs de sable, des bunkers,
des positions de tir,
											et il y avait 20 hommes là-bas
											du deuxième peloton.
											J'ai passé la plupart de mon temps là-bas.
											Il n'y avait pas d'eau courante.
											On ne pouvait pas se laver.
											Les gars y étaient pour un mois.
											Ils n'enlevaient jamais leurs habits.
											Ils combattaient. Ils travaillaient.
											Ils dormaient dans les mêmes vêtements.
											Ils ne les enlevaient jamais,
et à la fin du mois,
											ils redescendaient au quartier général
de la compagnie,
											et arrivés là, leurs vêtements
ne pouvaient plus être portés.
											Ils les brûlaient 
et en prenaient d'autres.
											Il n'y avait pas d'internet 
ni de téléphone.
											Là-bas, il n'y avait aucune communication
avec le monde extérieur.
											Il n'y avait pas de nourriture cuisinée.
											Il n'y avait rien là-bas
											que les jeunes hommes 
aiment habituellement :
											pas de voitures, pas de filles,
pas de télévision, rien
											mis à part des combats.
											Des combats qu'ils ont appris à apprécier.
									","
											Ich berichte seit 20 Jahren über Kriege,
											aber meine intensivste Kampferfahrung
											habe ich mit amerikanischen Soldaten
in Afghanistan erlebt.
											Ich war in Afrika, im Nahen Osten
											und in den 1990er Jahren in Afghanistan,
											aber einen besonders
intensiven Kampfeinsatz
											habe ich im Jahr 2007 und 2008
mit amerikanischen Soldaten erlebt.
											Ich war damals in einem kleinen Tal,
											dem Korengal-Tal, im Osten Afghanistans.
											Das Tal war etwa 10 km lang.
											150 Soldaten der Battle Company 
befanden sich in diesem Tal.
											Während ich dort war, fanden eine Weile
											ungefähr 20 % aller Kämpfe
in ganz Afghanistan
											in diesem Tal statt.
											150 Männer haben fast ein Fünftel
											aller Afghanistan-Einsätze 
der NATO-Streitkräfte miterlebt,
											und zwar mehrere Monate lang.
											Das waren sehr intensive Gefechte.
											Ich verbrachte die meiste Zeit auf einem
kleinen Außenposten namens Restrepo.
											Dieser war nach 
dem Arzt der Einheit benannt,
											der ca. 2 Monate nach Einsatzbeginn 
getötet worden war.
											In diesem Tal gab es 
einige Hütten aus Sperrholz,
											die auf dem Hang 
eines Gebirgskamms standen,
											und außerdem Sandsäcke, 
Bunker und Geschützstellungen.
											20 Männer des zweiten Platoons,
Battle Company, waren dort.
											Hier habe ich die meiste Zeit verbracht.
											Es gab kein fließendes Wasser
und keine Möglichkeit zum Baden.
											Die Soldaten waren dort einen Monat lang.
											Sie konnten noch nicht 
einmal ihre Kleidung ausziehen.
											Sie haben gekämpft und gearbeitet.
											Sie haben in derselben Kleidung geschlafen
											und diese nie ausgezogen.
											Als sie am Ende des Monats 
ins Hauptquartier ins Tal zurückkehrten,
											konnte man die Kleidung wegwerfen.
											Sie wurde verbrannt und die Soldaten
bekamen eine neue.
											Es gab weder Internet noch Telefon.
											Kommunikation mit der Außenwelt 
war dort oben nicht möglich.
											Es gab dort kein gekochtes Essen.
											Es gab dort oben überhaupt nichts,
											was junge Männer normalerweise mögen:
											keine Autos, keine Frauen, 
kein Fernsehen, gar nichts,
											nur Kampfeinsätze.
											Und diese Kampfeinsätze haben sie
mit der Zeit zu mögen gelernt.
									","
											Dediğim gibi, yaklaşık 
20 yıldır savaşı kaleme aldım
											ancak en yoğun çatışma deneyimlerimi
											Amerikan askerleriyle birlikte 
Afganistan'da yaşadım.
											Afrika'da, Orta Doğu'da,
											90'larda Afganistan'da bulundum
											fakat 2007, 2008 yıllarında
Amerikan askerleriyle birlikte
											çok yoğun çatışmalara
											tanıklık ettim.
											Afganistan'ın doğusunda,
											Korengal Vadisi adında
küçük bir vadideydim.
											10 kilometre uzunluğundaydı.
											Bu vadide, B Bölüğü'nden 150 asker vardı
											ve benim orada bulunduğum süre zarfında,
											Afganistan'daki bütün çatışmaların
											yaklaşık %20'si bu 10 km içerisinde
											meydana geliyordu.
											150 asker, birkaç ay süresince
											ülkedeki tüm NATO kuvvetlerinin 
girdiği çatışmaların
											neredeyse beşte birine göğüs gerdi.
											Çok yoğundu.
											Zamanımın çoğunu Restrepo adında
											küçük bir karakolda geçirdim.
											Görevinin 2. ayında öldürülen
											müfreze doktorunun adı verilmişti.
											Karakol, bir tepenin sırtına tutunmuş
											birkaç kontrplak baraka,
											kum torbaları, sığınaklar, 
silah mevzileri
											ve B Bölüğü 2. Müfreze'nin
											20 askerinden oluşuyordu.
											Zamanımın çoğunu orada geçirdim.
											Şebeke suyu yoktu.
Banyo yapmak imkansızdı.
											Askerler bir ay boyunca orada kalıyordu.
											Kıyafetlerini hiç çıkarmadılar.
											Savaştılar, çalıştılar.
											Aynı kıyafetlerle uyudular.
											Hiç çıkarmadılar.

											Ayın sonunda
bölük karargahına geri döndüklerinde
											kıyafetleri artık giyilemez durumdaydı.
											Yakıp, yenilerini giydiler.
											İnternet yoktu, telefon yoktu.
											Dış dünyayla iletişim kurmanın
hiçbir yolu yoktu.
											Pişmiş yemek yoktu.
											Normalde genç adamların
sevebileceği şeylerin
											hiçbiri orada yoktu:
											arabalar, kızlar, televizyon...
											Çatışma dışında hiçbir şey.
											Çatışmayı sevmeyi öğrendiler.
									",Why veterans miss war,Sebastian Junger,13:08,"film,global issues,journalism,peace,war,PTSD"
"
","
","
","
","
","
",Why veterans miss war,Sebastian Junger,13:08,"film,global issues,journalism,peace,war,PTSD"
"
											I remember one day, it was a very hot day
											in the spring,
											and we hadn't been in a fight
											in a couple of weeks, maybe.
											Usually, the outpost was attacked,
											and we hadn't seen any
combat in a couple of weeks,
											and everyone was just stunned
											with boredom and heat.
											And I remember the lieutenant walking past me
											sort of stripped to the waist.
											It was incredibly hot.
											Stripped to the waist, walked past me muttering,
											""Oh God, please someone attack us today.""
											That's how bored they were.
											That's war too, is a lieutenant saying,
											""Please make something happen
											because we're going crazy.""
									","
											Como les dije, he cubierto guerras 
por casi 20 años,
											pero las experiencias más intensas 
que tuve en zonas de combate
											fueron con soldados
estadounidenses en Afganistán.
											Estuve en África, el Medio Oriente,
											Afganistán en los noventa,
											pero fue con soldados 
estadounidenses en 2007, 2008
											en donde me enfrenté
											a un combate muy intenso.
											Estaba en el Valle de Korengal
											al este de Afganistán.
											Tiene 10 kilómetros de longitud.
											Había una unidad de combate 
con 150 hombres en el valle,
											y por un momento, mientras estuve allí,
											casi el 20 % del combate
											en todo Afganistán estaba sucediendo
											en esos 10 kilómetros.
											150 hombres absorbieron
											casi una quinta parte del combate 
de todas las fuerzas de la OTAN
											en aquel país, por un par de meses.
											Fue muy intenso.
											Pasé la mayor parte del tiempo en
un puesto de avanzada
											llamado Restrepo.
											Fue nombrado así por un médico del pelotón
											que fue asesinado a 2 meses de su envío.
											Eran unos barracones 
de madera contrachapada
											aferrados a un lado de la cumbre,
											y bolsas de arena, búnkeres, 
posiciones de arma,
											y había 20 hombres allá arriba
											del segundo pelotón 
de la Compañía de Batalla.
											Estuve mucho tiempo allí.
											No había agua corriente.
											Ni forma de bañarse.
											Los chicos estaban allí 
por un mes a la vez.
											Incluso nunca se quitaban su uniforme.
											Peleaban. Trabajaban.
											Dormían con el mismo uniforme.
											Nunca se lo quitaban, 
y a fin de mes,
											bajaban a los cuarteles de la compañía,
											y cuando lo hacían, 
sus uniformes ya eran inservibles.
											Los quemaban y les daban uno nuevo.
											No había Internet ni teléfono.
											Allí no había comunicación 
con el mundo exterior.
											No había alimentos cocinados.
											Allá arriba no había nada
											que a los jóvenes normalmente les gusta:
											autos, chicas, televisión, nada,
											excepto combate.
											Combates que empezaron a apreciar.
									","
											Lembro-me de que, um dia,
											era um dia muito quente, na primavera.
											Não tínhamos tido nenhum combate
											há umas semanas, talvez.
											Normalmente, o posto avançado era atacado
											mas não tínhamos tido 
nenhum combate há umas semanas.
											Estavam todos atordoados,
											cheios de tédio e de calor.
											Lembro-me de que passou por mim 
um tenente
											quase nu da cintura para cima.
											— estava um calor incrível —
											de tronco nu, passou por mim a murmurar:
											""Por amor de Deus, 
alguém nos ataque hoje"".
											Estavam aborrecidos a este ponto.
											Nesta guerra também, um tenente dizia:
											""Por favor, que aconteça alguma coisa
											""senão, enlouquecemos"".
									","
											Je me souviens d'un jour,
un jour très chaud
											durant le printemps,
											et nous n'avions pas combattu
											depuis deux semaines, peut-être.
											D'habitude, l'avant-poste était attaqué,
											et nous n'avions pas combattu
depuis deux semaines,
											et tout le monde était accablé
											par l'ennui et la chaleur.
											Et je me souviens du lieutenant
passant devant moi
											avec un bandage à la taille.
											Il faisait incroyablement chaud.
											Le lieutenant, bandé à la taille,
passa devant moi en murmurant :
											« Mon Dieu, s'il vous plaît,
que quelqu'un nous attaque aujourd'hui »
											Voilà à quel point ils s'ennuyaient.
											C'est aussi ça la guerre, 
d'après un lieutenant,
											« S'il vous plaît,
que quelque chose se passe
											parce que nous sommes en train
de devenir fous. »
									","
											Ich erinnere mich noch 
an einen sehr heißen Tag
											im Frühling.
											Wir hatten womöglich wochenlang
											keinen Kampfeinsatz mehr erlebt.
											Normalerweise wurde der Außenposten 
ständig angegriffen,
											aber seit einigen Wochen hatte es
keine Kämpfe mehr gegeben.
											Alle waren wegen der Langeweile und Hitze
											geradezu wie benommen.
											Ich weiß noch, wie der Lieutenant
											mit freiem Oberkörper an mir vorbei lief.
											Es war unglaublich heiß.
											Er lief also an mir vorbei und murmelte:
											""Oh Gott, wenn uns nur
heute jemand angreift.""
											So langweilig war den Soldaten.
											Auch das gehört zum Krieg, 
wenn der Lieutenant sagt:
											""Hoffentlich passiert bald etwas,
											ansonsten drehen wir durch.""
									","
											Bir günü hatırlıyorum, bahar aylarında
											çok sıcak bir gündü,
											belki birkaç haftadır
											çatışmaya girmemiştik.
											Genelde karakol saldırı altında olurdu
											ancak birkaç haftadır çatışma olmamıştı.
											Herkes sıkıntıdan ve sıcaktan
											sersemlemiş durumdaydı.
											Teğmen, belinden üstü çıplak halde
											yanımdan geçti.
											Hava son derece sıcaktı.
											Belden üstü çıplak,
mırıldanarak yanımdan geçti:
											""Tanrım, ne olur bugün 
birileri bize saldırsın!""
											İşte bu kadar sıkılmışlardı.
											Savaş böyle de bir şey,
bir teğmenin şöyle demesi:
											""Lütfen bir şeyler olsun,
											yoksa çıldıracağız.""
									",Why veterans miss war,Sebastian Junger,13:08,"film,global issues,journalism,peace,war,PTSD"
