en,tr,title,speaker,duration,tags
"
","
","The ""opportunity gap"" in US public education — and how to close it",Anindya Kundu,7:59,"education,United States,student,teaching,social change,potential"
"
											My first job out of college
was as an academic researcher
											at one of the largest juvenile
detention centers in the country.
											And every day I would drive
to this building
											on the West Side of Chicago,
											go through the security checkpoint
											and walk down these brown, brick hallways
as I made my way down to the basement
											to observe the intake process.
									","
											Üniversiteden sonraki ilk işim ülkedeki
en büyük çocuk cezaevlerinden birinde
											akademik araştırmacı olmaktı.
											Her gün Chicago'nun Batı Yakası'ndaki
bu binaya giderdim,
											güvenlik kontrolünden geçerdim
											ve kahverengi tuğla koridorlardan geçip
											içeri alım sürecini izlemek için
bodruma inerdim.
									","The ""opportunity gap"" in US public education — and how to close it",Anindya Kundu,7:59,"education,United States,student,teaching,social change,potential"
"
","
","The ""opportunity gap"" in US public education — and how to close it",Anindya Kundu,7:59,"education,United States,student,teaching,social change,potential"
"
											The kids coming in
were about 10 to 16 years old,
											usually always black and brown,
											most likely from the same impoverished
South and West Sides of Chicago.
											They should've been
in fifth to tenth grade,
											but instead they were here
for weeks on end
											awaiting trial for various crimes.
											Some of them came back to the facility
14 times before their 15th birthday.
											And as I sat there on the other side
of the glass from them,
											idealistic with a college degree,
											I wondered to myself:
											Why didn't schools do something more
to prevent this from happening?
									","
											Alınan çocuklar 10-16 yaşları arasındaydı,
											genelde siyahi ve Latin asıllılardı,
											büyük ihtimalle Chicago'nun aynı yoksul
Güney ve Batı Yakası'ndan geliyorlardı.
											Beş ile onuncu sınıfta olmaları gerekirken
											burada haftalardır çeşitli suçlar yüzünden
mahkemelerini bekliyorlardı.
											Bazıları daha on beş yaşına girmeden önce
on dört kere buraya gelmişlerdi.
											Orada camın diğer tarafında otururken
											idealist bir üniversite mezunu olarak
kendi kendime düşünüyordum:
											Neden okullar bunu engellemek için
daha fazla çabalamıyor?
									","The ""opportunity gap"" in US public education — and how to close it",Anindya Kundu,7:59,"education,United States,student,teaching,social change,potential"
"
","
","The ""opportunity gap"" in US public education — and how to close it",Anindya Kundu,7:59,"education,United States,student,teaching,social change,potential"
"
											It's been about 10 years since then,
											and I still think about how some kids
get tracked towards college
											and others towards detention,
											but I no longer think about schools'
abilities to solve these things.
											You see, I've learned that so much
of this problem is systemic
											that often our school system
perpetuates the social divide.
											It makes worse what it's supposed to fix.
											That's as crazy or controversial
											as saying that our health care system
isn't preventative
											but somehow profits
off of keeping us sick ...
											oops.
									","
											Bunun üzerinden yaklaşık on yıl geçti
											ve bazı öğrenciler üniversiteye giderken
											bazılarının cezaevlerine gitmeleri
hakkında hâlâ düşünüyorum
											ama artık bu sorunu çözmede
okulların yeterliklerini sorgulamıyorum.
											Fark ettim ki bu sorunun
büyük bir kısmı sistemle ilgili
											ve çoğunlukla okul sistemimiz
sosyal bölünmeyi sürdürüyor,
											iyileştirmesi gerekirken
daha da kötüleştiriyor.
											Bu, sağlık hizmetimizin
hastalığı önlemek yerine
											bir şekilde hasta olmamızı sağlayarak
											kazanç elde ettiğini söylemek kadar
çılgınca ve tartışmalı,
											eyvah.
									","The ""opportunity gap"" in US public education — and how to close it",Anindya Kundu,7:59,"education,United States,student,teaching,social change,potential"
"
","
","The ""opportunity gap"" in US public education — and how to close it",Anindya Kundu,7:59,"education,United States,student,teaching,social change,potential"
"
											(Laughter)
									","
											(Gülüşmeler)
									","The ""opportunity gap"" in US public education — and how to close it",Anindya Kundu,7:59,"education,United States,student,teaching,social change,potential"
"
","
","The ""opportunity gap"" in US public education — and how to close it",Anindya Kundu,7:59,"education,United States,student,teaching,social change,potential"
"
											I truly do believe though
that kids can achieve great things
											despite the odds against them,
											and in fact, my own research shows that.
											But if we're serious about helping
more kids from across the board
											to achieve and make it in this world,
											we're going to have to realize
that our gaps in student outcomes
											are not so much about achievement
as much as they are about opportunity.
									","
											Tüm kalbimle inanıyorum ki
											olanaksızlıklara rağmen bu çocuklar
harika şeyler başarabilirler.
											Üstelik araştırmam da bunu doğruluyor.
											Daha fazla çocuğun bir şeyler başarmasına
											tüm toplumu kapsayarak
yardım etmekte ciddiysek
											öğrenci kazanımındaki farkın
olanakla ilgili olduğu kadar
											başarıyla ilgili olmadığını
anlamamız gerekir.
									","The ""opportunity gap"" in US public education — and how to close it",Anindya Kundu,7:59,"education,United States,student,teaching,social change,potential"
