en,es,pt,tr,de,title,speaker,duration,tags
"
","
","
","
","
",Teach teachers how to create magic,Christopher Emdin,6:54,"education,science,teaching,social change,religion,presentation,storytelling,magic,innovation"
"
											Right now
											there is an aspiring teacher
											who is working on a 60-page paper
											based on some age-old education theory
											developed by some dead education professor
											wondering to herself what this task
											that she's engaging in
											has to do with what she wants to do with her life,
											which is be an educator,
											change lives, and spark magic.
											Right now there is an aspiring teacher
											in a graduate school of education
											who is watching a professor babble on and on
											about engagement
											in the most disengaging way possible.
											Right now
											there's a first-year teacher at home
											who is pouring through lesson plans
											trying to make sense of standards,
											who is trying to make sense of how
to grade students appropriately,
											while at the same time saying to herself
											over and over again,
											""Don't smile till November,""
											because that's what she was taught
											in her teacher education program.
											Right now there's a student
											who is coming up with a way
											to convince his mom or dad
											that he's very, very sick
											and can't make it to school tomorrow.
											On the other hand, right now
											there are amazing educators
											that are sharing information,
											information that is shared in such a beautiful way
											that the students are sitting
at the edge of their seats
											just waiting for a bead of sweat
											to drop off the face of this person
											so they can soak up all that knowledge.
											Right now there is also a person
											who has an entire audience rapt with attention,
											a person that is weaving a powerful narrative
											about a world
											that the people who are listening
											have never imagined or seen before,
											but if they close their eyes tightly enough,
											they can envision that world
											because the storytelling is so compelling.
											Right now there's a person who can tell an audience
											to put their hands up in the air
											and they will stay there till he says,
											""Put them down.""
											Right now.
									","
											Ahora mismo,
											hay una profesora aspirante
											trabajando en un documento 
de 60 páginas
											basado en alguna antigua 
teoría de educación
											desarrollada por un profesor 
de educación muerto,
											preguntándose a sí misma 
lo que esta tarea
											en la que está participando
											tiene que ver con lo que 
quiere hacer con su vida,
											que es ser una educadora,
											cambiar vidas y 
producir magia.
											Ahora mismo, hay 
una profesora aspirante
											en una escuela de 
postgrado en educación
											mirando a un profesor 
balbuceando una y otra vez
											sobre compromiso
											de la manera más 
desencantada posible.
											Ahora mismo,
											hay una profesora de 
primer año en casa
											que está trabajando 
en planear lecciones
											que logren dar 
sentido a las normas,
											que intenta dar sentido a cómo evaluar 
a los estudiantes adecuadamente,
											diciéndose a sí misma 
al mismo tiempo
											una y otra vez,
											""No sonrías hasta noviembre"",
											porque eso es lo 
que le enseñaron
											en su programa de 
formación docente.
											Ahora mismo, 
hay un estudiante
											que está ideando una forma
											de convencer a 
su madre o a su padre
											de que está muy, muy enfermo
											y no puede ir a 
clase mañana.
											Por otro lado, ahora mismo
											existen educadores increíbles
											compartiendo información,
											información compartida 
de una manera tan hermosa
											que los estudiantes están 
sentados en vilo en sus asientos
											a la espera de que 
una gota de sudor
											caiga de la cara 
de esta persona
											para que puedan disfrutar 
de todo ese conocimiento.
											Ahora mismo, también 
hay una persona
											que tiene a todo 
un público absorto,
											una persona construyendo 
una narrativa poderosa
											sobre un mundo
											que la gente que le escucha
											nunca había imaginado 
o visto antes,
											pero si cierran sus ojos 
con fuerza suficiente,
											pueden imaginar ese mundo
											porque la narración 
es irresistible.
											Ahora mismo, hay una persona
que puede decirle a una audiencia
											que suba sus manos
											y las dejen allí hasta que diga,
											""Bájenlas"".
											Ahora mismo.
									","
											Neste preciso momento,
											há uma professora estagiária
											que está a trabalhar 
num documento de 60 páginas
											baseada nalguma teoria educativa antiga
											elaborada por algum 
Professor de Educação, já falecido,
											e que pergunta a si mesma 
o que é que esta tarefa
											em que está envolvida
											tem a ver com 
o que ela quer fazer da sua vida,
											que é ser uma educadora,
											mudar vidas e espalhar magia.
											Neste momento, há um professor estagiário
											numa Escola Superior de Educação
											que está a assistir à conversa interminável 
de um Professor
											sobre empenhamento
											da forma mais enfadonha possível.
											Neste preciso momento
											há uma professora no seu primeiro ano 
de serviço que, em casa,
											se debate com planos de aulas
											tentando perceber o sentido das normas,
											tentando perceber como avaliar
adequadamente os estudantes,
											enquanto, simultaneamente, 
diz para consigo própria,
											vezes sem conta:
											""Não sorrias até Novembro"",
											porque foi o que lhe ensinaram
											no programa de formação de professores.
											Neste preciso momento, há um estudante
											que está a imaginar a forma
											de convencer a mãe ou o pai
											de que está muito, muito doente
											e não pode ir à escola amanhã.
											Por outro lado, neste momento,
											há educadores espantosos
											que estão a partilhar informação,
											informação que é partilhada 
de modo tão belo
											que os estudantes ficam sentados 
na extremidade das suas cadeiras
											à espera que uma gota de suor
											caia pelo rosto daquela pessoa
											para poderem absorver todo aquele saber.
											Neste momento, também há uma pessoa
											que arrebata a atenção de 
toda uma audiência
											uma pessoa que está a tecer 
uma narrativa poderosa
											de um mundo
											o qual as pessoas que estão a ouvir
											nunca imaginaram nem viram antes,
											mas se fecharem os olhos bem fechados,
											podem visualizar esse mundo
											porque a forma como a história é contada 
é muito absorvente.
											Neste momento, há uma pessoa 
que pode dizer a uma audiência
											para levantarem os braços
											e assim ficarem até que ele diga:
											""Baixem os braços"".
											Agora mesmo.
									","
											Şu an
											bir yerlerde gelecek vadeden bir öğretmen var.
											Hayatta olmayan bir eğitim profesörü tarafından geliştirilmiş
											fi tarihinden kalma bir tür eğitim teorisi üzerine kurulu
											60 sayfalık bir yazı üzerinde çalışan bir öğretmen.
											Uğraştığı bu işin
											eğitimci olmak gibi,
											hayatları değiştirmek ve çevreye büyü saçmak gibi
											hayatında yapmak istedikleri ile ne alakası olduğunu
											düşünüp duruyor.
											Şu an bir yerlerde gelecek vadeden bir öğretmen var
											bir eğitim fakültesinde
											bir profesörün ""olaya dahil etmek"" hakkında
											hem de mümkün olan en itici şekilde
											nutuk çekmesini izliyor.
											Şu an
											evinde oturan bir stajyer öğretmen var.
											Ders planları arasında kaybolup gitmiş,
											prosedürleri anlamaya çalışan,
											öğrencilere nasıl düzgün bir şekilde not vereceğini anlamaya çalışan,
											aynı zamanda da kendine
											tekrar tekrar şunu söyleyip duruyor:
											""Haziran'a kadar gülümseme"".
											Çünkü ona eğitim yıllarında
											öğretilen buydu.
											Şu an, anne ve babasını
											gerçekten çok hasta olduğu için
											yarın okula gidemeyeceğine
											inandırmanın bir yolunu bulmaya çalışan
											bir öğrenci var bir yerlerde.
											Diğer yandan, şu an
											bilgiyi paylaşan
											muhteşem öğretmenler var.
											O kadar güzel bir şekilde paylaşılan bilgiler ki
											öğrenciler sıralarının ucunda oturup
											bu kişinin yüzünden bir ter damlası aksın da
											bütün bu bilgiyi bez gibi emebilsinler
											diye bekliyorlar.
											Ayrıca şu an bir kişi daha var.
											bütün seyircilerin dikkatini kendine kitlemiş,
											dinleyen insanların
											daha önce hiç hayal etmediği
											ya da görmediği
											ama yaptığı anlatım çok ikna edici olduğu için
											gözlerini yeterince sıkı kapatırlarsa
											o dünyayı hayal edebilecekleri bir biçimde
											dünya hakkında güçlü bir betimleme yapan bir kişi var.
											Şu an, seyircilere ellerini havaya kaldırmalarını söyleyebilecek
											ve ""ellerinizi aşağı indirin""
											diyene kadar o insanları öyle tutabilecek
											bir kişi var.
									","
											In diesem Moment
											sitzt eine angehende Lehrerin
											gerade an einer 60-seitigen Arbeit,
											die auf einer uralten 
Erziehungstheorie basiert,
											entwickelt von einem toten 
Pädagogik-Professor,
											und sie fragt sich selbst, 
was diese Aufgabe,
											die sie gerade macht,
											mit ihrem Lebenswunsch zu tun hat,
											Lehrerin zu werden,
											Leben zu verändern 
und Magie zu versprühen.
											In diesem Moment sieht 
ein angehender Lehrer
											in einer Pädagogik-Hochschule
											einen Professor immer weiter
											über Engagement schwafeln,
											in der unengagiertesten Form überhaupt.
											In diesem Moment
											brütet eine Grundschullehrerin
											zu Hause über Stundenplänen,
											und versucht, aus den 
Standards schlau zu werden,
											und überlegt, wie sie ihre Schüler 
angemessen benoten soll,
											während sie sich gleichzeitig
											immer wieder sagt:
											""Lächle nicht bis November"",
											denn das hat sie
											in ihrer Lehrerausbildung gelernt.
											Genau in diesem Moment
											denkt sich ein Schüler etwas aus,
											um seine Mutter oder 
seinen Vater zu überzeugen,
											dass er sehr, sehr krank ist
											und morgen nicht zur Schule gehen kann.
											Andererseits gibt es gerade
											fantastische Lehrer,
											die Informationen vermitteln
											auf eine so unglaublich schöne Art,
											dass die Schüler auf 
ihren Stuhlkanten sitzend
											darauf warten, dass ein Schweißtropfen
											das Gesicht dieser Person runterläuft,
											damit sie all das Wissen aufsaugen können.
											Genau jetzt gibt es auch eine Person,
											die ein gesamtes Publikum 
in ihren Bann zieht,
											eine Person, die eine kraftvolle Erzählung
											über eine Welt webt,
											die die Zuhörer
											sich noch nie vorgestellt 
oder gesehen haben,
											aber wenn sie ihre Augen 
fest genug schließen,
											können sie sich diese Welt ausmalen,
											weil die Erzählweise so fesselnd ist.
											In diesem Augenblick 
bittet jemand ein Publikum,
											die Hände in die Luft zu heben,
											und sie halten sie hoch, bis er sagt:
											""Nehmt sie runter.""
											Genau jetzt.
									",Teach teachers how to create magic,Christopher Emdin,6:54,"education,science,teaching,social change,religion,presentation,storytelling,magic,innovation"
"
","
","
","
","
",Teach teachers how to create magic,Christopher Emdin,6:54,"education,science,teaching,social change,religion,presentation,storytelling,magic,innovation"
"
											So people will then say,
											""Well, Chris, you describe the guy
											who is going through some awful training
											but you're also describing these powerful educators.
											If you're thinking about the world of education
											or urban education in particular,
											these guys will probably cancel each other out,
											and then we'll be okay.""
									","
											Así que la gente va a decir,
											""Bueno, Chris, describes al chico
											que está pasando por un 
tipo de formación terrible,
											pero también estás describiendo
a esos poderosos educadores.
											Si están pensando en 
el mundo de la educación
											o en la educación 
urbana, en particular,
											esos chicos probablemente 
se anulan entre sí,
											y por tanto estaremos bien"".
									","
											As pessoas dirão então:
											""Bem, Chris, tu descreves o tipo
											""que está a obter uma má formação
											""mas também estás a descrever 
educadores maravilhosos.
											""Se estás a pensar no mundo do ensino
											""ou do ensino urbano em particular,
											""esses tipos provavelmente 
anular-se-ão uns aos outros,
											""e, então tudo ficará bem"".
									","
											Şu an...
											Peki şimdi insanlar diyecek ki,
											""Pekala Chris, sen şimdi
											hem berbat bir eğitimden geçmiş kişileri tanımlıyorsun
											hem de bir takım güçlü eğitimcileri tanımlıyorsun.
											Eğer eğitim dünyası
											ya da bilhassa mahalli eğitim hakkında düşünüyorsan,
											bu kişiler birbirlerini sıfırlayacaklar
									","
											Es werden Leute sagen:
											""Chris, du beschreibst den Typen,
											der eine furchtbare Ausbildung durchläuft,
											aber du beschreibst auch 
diese starken Erzieher.
											Wenn man an das Bildungswesen denkt
											oder an städtische Ausbildung,
											gleichen sich diese Typen aus,
											und dann wird es uns gut gehen.""
									",Teach teachers how to create magic,Christopher Emdin,6:54,"education,science,teaching,social change,religion,presentation,storytelling,magic,innovation"
"
","
","
","
","
",Teach teachers how to create magic,Christopher Emdin,6:54,"education,science,teaching,social change,religion,presentation,storytelling,magic,innovation"
"
											The reality is, the folks I described
											as the master teachers,
											the master narrative builders,
											the master storytellers
											are far removed from classrooms.
											The folks who know the skills about how to teach
											and engage an audience
											don't even know what teacher certification means.
											They may not even have the degrees
											to be able to have anything
											to call an education.
											And that to me is sad.
											It's sad because the people who I described,
											they were very disinterested in the learning process,
											want to be effective teachers,
											but they have no models.
											I'm going to paraphrase Mark Twain.
											Mark Twain says that proper preparation,
											or teaching,
											is so powerful that it can turn bad morals to good,
											it can turn awful practices into powerful ones,
											it can change men and transform them
											into angels.
									","
											La realidad es que 
la gente que he descrito
											como los grandes educadores,
											los grandes 
constructores de narraciones,
											los grandes narradores,
											están muy lejos de las clases.
											Las personas que conocen 
las habilidades de cómo enseñar
											y cautivar al público
											ni siquiera saben lo que significa
la certificación docente.
											Es probable que ni siquiera 
tengan los grados,
											para tener algo
											que puedan llamar educación.
											Y eso para mí es triste.
											Es triste porque la gente 
que he descrito,
											con muy poco interés ​​
en el proceso de aprendizaje,
											quieren ser profesores eficaces,
											pero no tienen 
modelos para seguir.
											Voy a parafrasear 
a Mark Twain.
											Mark Twain dijo que 
la preparación adecuada,
											o la enseñanza,
											es tan poderosa que puede 
convertir la mala moral en buena,
											puede convertir prácticas horribles
en prácticas poderosas,
											puede cambiar a 
los hombres y transformarlos
											en ángeles.
									","
											Na realidade, os tipos que descrevi
											como mestres instrutores,
											como mestres inventores de narrativas,
											como mestres contadores de histórias,
											estão muito longe das salas de aulas.
											As pessoas que conhecem 
as técnicas de como ensinar
											e cativar uma audiência
											nem sequer sabem o que significa 
um diploma de professor.
											Podem mesmo nem ter as habilitações
											para poderem ter algo
											a que possam chamar instrução.
											E, para mim, isso é triste.
											É triste porque aquelas pessoas 
que eu descrevi,
											estavam muito desinteressadas
do processo de aprendizagem,
											queriam ser professores eficientes,
											mas não tinham modelos.
											Vou parafrasear Mark Twain.
											Mark Twain diz que 
uma preparação adequada, ou ensinar,
											é uma coisa tão poderosa
											que pode transformar 
uma moral má numa moral boa,
											pode transformar más acções 
em acções poderosas,
											pode mudar os homens
											e transformá-los em anjos.
									","
											ve bizim için de bir sıkıntı kalmayacak"".
											Gerçek şu ki, tanımını yaptığım bu insanlar,
											usta öğretmenler,
											usta betimlemeciler,
											usta hikayeciler gibi kişiler
											sınıflardan çok uzaklarda.
											Öğretme becerilerine sahip olan
											ve seyirciyi olaya dahil edebilen kişiler
											öğretmenlik lisansının ne olduğunu bile bilmiyorlar.
											Eğitim denilebilecek bir şey gördüklerini
											gösterebilecek bir diplomaya bile
											sahip olmayabilirler.
											Ve bu benim için üzücü.
											Bu üzücü, çünkü en başta tanımını yaptığım
											öğrenme sürecinde çok ilgisiz olan bu kişiler
											etkili öğretmenler olmak istiyorlar
											ama hiç bir örneğe sahip değiller.
											Mark Twain'den bir alıntı yapacağım.
											Mark Twain der ki, düzgün bir hazırlık ya da öğretim
											o kadar güçlüdür ki
											kötü ahlakı iyiye çevirebilir,
											berbat davranışları güçlü davranışlara çevirebilir,
											insanları değiştirebilir
									","
											In Wirklichkeit sind die Leute,
											die ich als Super-Lehrer beschrieb,
											als meisterhafte Geschichten-Entwickler,
											die Meister des Geschichtenerzählens,
											fernab von den Klassenzimmern.
											Die Leute, die die Fähigkeiten 
haben, zu lehren
											und die Zuhörer zu fesseln,
											wissen noch nicht mal, 
was eine Lehrzulassung bedeutet.
											Sie haben vielleicht nicht mal Abschlüsse,
											die sie auf irgendeine Weise
											als Ausbildung bezeichnen können.
											Und das macht mich traurig.
											Es ist traurig, denn die Leute, 
die ich beschrieben habe,
											waren am Lernprozess sehr desinteressiert,
											sie wollen erfolgreiche Lehrer sein,
											aber sie haben keine Vorbilder.
											Ich werde Mark Twain paraphrasieren.
											Mark Twain sagte, 
dass eine gute Vorbereitung
											oder guter Unterricht,
											so kraftvoll sein kann, dass er 
schlechte Sitten in gute ändern,
											Missstände in Vorzüge
											und Menschen in Engel
											verwandeln kann.
									",Teach teachers how to create magic,Christopher Emdin,6:54,"education,science,teaching,social change,religion,presentation,storytelling,magic,innovation"
"
","
","
","
","
",Teach teachers how to create magic,Christopher Emdin,6:54,"education,science,teaching,social change,religion,presentation,storytelling,magic,innovation"
"
											The folks who I described earlier
											got proper preparation in teaching,
											not in any college or university,
											but by virtue of just being in the
same spaces of those who engage.
											Guess where those places are?
											Barber shops,
											rap concerts, and most importantly,
											in the black church.
											And I've been framing this idea
called Pentecostal pedagogy.
											Who here has been to a black church?
											We got a couple of hands.
											You go to a black church,
											their preacher starts off
											and he realizes that he has to engage the audience,
											so he starts off with this sort of wordplay
											in the beginning oftentimes,
											and then he takes a pause,
											and he says, ""Oh my gosh, they're
not quite paying attention.""
											So he says, ""Can I get an amen?""
									","
											La gente que he 
descrito anteriormente
											tiene la preparación 
adecuada para la enseñanza,
											no de cualquier universidad,
											sino en virtud de sólo estar en los
mismos espacios de aquellos que cautivan.
											¿Adivinan dónde 
están esos lugares?
											En las peluquerías,
											en los conciertos de rap 
y, lo más importante,
											en la iglesia 
afroamericana.
											He estado planteando esta idea 
llamada pedagogía pentecostal.
											¿Quién de Uds. ha estado 
en una iglesia afroamericana?
											Tenemos un par de manos.
											Uds. van a una iglesia afroamericana,
											su predicador comienza
											y se da cuenta de que tiene 
que cautivar a la audiencia,
											así que empieza con este 
tipo de juegos de palabras
											en el principio a menudo,
											y luego hace una pausa,
											y dice, ""Oh, Dios mío, no están 
prestando atención del todo"".
											Así que dice, ""¿Me dan un amén?""
									","
											As pessoas que descrevi anteriormente
											receberam uma formação adequada 
para ensinarem,
											mas não foi em nenhuma escola 
ou universidade,
											mas por estarem nos mesmos espaços 
daqueles que são empenhados.
											Têm ideia de onde são esses lugares?
											Nas barbearias,
											nos concertos de ""rap"" e, 
mais importante ainda,
											na igreja dos negros.
											E eu tenho andado a delinear esta ideia, 
chamada pedagogia do Pentecostes.
											Quem, aqui, já esteve 
numa igreja de negros?
											Há meia dúzia de braços no ar.
											Vamos a uma igreja de negros,
											o pregador começa
											e sabe que tem que cativar a audiência,
											então começa com aquela espécie 
de jogo de palavras
											muitas vezes no início,
											e depois faz uma pausa,
											e diz: ""Oh, meu Deus, não estão 
a prestar atenção nenhuma"".
											E então ele diz: ""Podem dizer amen?""
									","
											ve onları meleklere dönüştürebilir.
											İkinci etapta tanımını yaptığım bu kişiler
											her hangi bir üniversite veya kolejde değil
											insanları olaya dahil edebilen kişilerle aynı ortamı paylaşma fırsatını yakalayarak
											düzgün bir öğretim eğitimi almış.
											Tahmin edin bu yerler neresi.
											Berber dükkanları,
											rap konserleri ve en önemlisi de
											siyahi kiliselerinde.
											Ve bir süredir Pentekostal pedagoji olarak adlandırılan bu fikri şekillendirmeye çalışıyorum.
											Hanginiz daha önceden bir siyahi kilisesinde bulundu?
											Bir çift el görüyorum.
											Bir siyahi kilisesine gidersiniz,
											vaiz başlangıcı yapar
											ve farkeder ki seyirciyi olaya dahil etmesi gerekiyor,
											öyleyse en başlarda çoğu zaman
											kelime oyunlarına başlar
											ve sonra bir duruverir
											ve der ki ""Aman tanrım, kimsenin ilgi göstermiyor""
									","
											Die Leute, die ich 
vorher beschrieben habe,
											wurden auf das Lehren gut vorbereitet,
											aber nicht an einer Hochschule oder Uni,
											sondern weil sie mit denjenigen 
in einem Raum sind, die begeistern.
											Raten Sie, wo diese Orte sind?
											Friseurläden,
											Rap-Konzerte, und vor allem,
											in der schwarzen Kirchengemeinde.
											Ich habe diese Idee namens 
Pfingstpädagogik formuliert.
											Wer war schon mal 
in einer schwarzen Kirche?
											Da heben ein paar die Hände.
											In einer schwarzen Kirche
											erkennt der Pfarrer zu Beginn,
											dass er das Publikum beteiligen muss,
											also fängt er oftmals
											mit einer Art Wortspiel an,
											und dann macht er eine Pause
											und sagt: ""Du meine Güte, 
sie hören nicht zu.""
											Also sagt er: ""Krieg ich ein Amen?""
									",Teach teachers how to create magic,Christopher Emdin,6:54,"education,science,teaching,social change,religion,presentation,storytelling,magic,innovation"
"
","
","
","
","
",Teach teachers how to create magic,Christopher Emdin,6:54,"education,science,teaching,social change,religion,presentation,storytelling,magic,innovation"
"
											Audience: Amen.
									","
											Audiencia: Amén.
									","
											Audiência: ""Amen.""
									","
											o zaman da der ki ""Amin diyin ey müminler!""
									","
											Publikum: Amen.
									",Teach teachers how to create magic,Christopher Emdin,6:54,"education,science,teaching,social change,religion,presentation,storytelling,magic,innovation"
