en,pt,tr,title,speaker,duration,tags
"
","
","
",How to connect with depressed friends,Bill Bernat,13:10,"health,TEDx,communication,depression,compassion,humanity,friendship,personal growth,relationships"
"
											The one conversation that uplifted me
more than any other in my life
											was with a woman who told me
											how, a few days earlier,
											she drove her Jeep Wrangler
to the edge of the Grand Canyon
											and sat there, revving the engine,
											thinking about driving over.
											Even though I had severe social anxiety,
											in that conversation,
I was totally at ease.
									","
											A conversa que mais me encorajou
em toda a minha vida
											foi com uma mulher que me contou
											que, uns dias antes,
											conduziu o seu Jeep Wrangler 
até ao precipício do Grand Canyon
											e ficou lá, acelerando o motor,
											pensando em cair por ali abaixo.
											Embora eu sofresse
de ansiedade social grave,
											naquela conversa
eu estava completamente à vontade.
									","
											Hayatımda moralimi en çok düzelten sohbet,
											bana birkaç gün önce
											Büyük Kanyon'un kenarına
											arabasını çekip marşa basarak aracı
											aşağı sürmeyi düşündüğünü söyleyen
											bir kadınla yaptığımdı.
											Ağır sosyal anksiyetem 
olmasına rağmen
											o konuşmada
tamamen rahattım.
									",How to connect with depressed friends,Bill Bernat,13:10,"health,TEDx,communication,depression,compassion,humanity,friendship,personal growth,relationships"
"
","
","
",How to connect with depressed friends,Bill Bernat,13:10,"health,TEDx,communication,depression,compassion,humanity,friendship,personal growth,relationships"
"
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									",How to connect with depressed friends,Bill Bernat,13:10,"health,TEDx,communication,depression,compassion,humanity,friendship,personal growth,relationships"
"
","
","
",How to connect with depressed friends,Bill Bernat,13:10,"health,TEDx,communication,depression,compassion,humanity,friendship,personal growth,relationships"
"
											She told me what was going on in her life
											in the days and months leading up,
											what her thoughts were
at that exact moment,
											why she wanted to die,
											and why she didn't do it.
											We nodded and half-smiled,
											and then it was my turn
to talk about my journey
											to a dining table
in the hygienic community area
											of the mental health wing
of a mountain-town hospital.
											I took too many sleeping pills,
											and after they treated me for that,
											they were like, ""Hey, we would love it
if you would be our guest
											in the psych ward.""
									","
											Ela contou-me
o que se passara na sua vida
											nos dias e meses anteriores,
											em que é que estava a pensar
naquele momento,
											porque é que queria morrer
											e porque é que não o fizera.
											Assentimos e fizemos um meio sorriso,
											e depois foi a minha vez
de contar a minha experiência
											até chegar a um refeitório
no espaço comunitário
											na ala de saúde mental
de um hospital numa cidade montanhosa.
											Tomara demasiados
comprimidos para dormir
											e depois de me tratarem,
por causa disso, disseram-me:
											""Ei, seria um prazer
ter-te como convidado
											""na enfermaria psiquiátrica.""
									","
											Bana onu bu noktaya getiren gün ve aylarda
											hayatında neler olup bittiğini,
											tam o anda aklından neler geçtiğini,
											neden ölmek istediğini ve bunu
											neden yapmadığını anlattı.
											Başımızı salladık ve yarım ağızla güldük,
											sonra kendimi nasıl olup da 
dağ kasabasındaki bir hastanenin
											ruh sağlığı polikliniğindeki 
ortak alandaki
											bir yemek masasında bulduğumu 
anlatma sırası bana geçmişti.
											Çok fazla uyku hapı içmiştim,
											gerekli tedaviyi uyguladıktan sonra
											bana ""Psikoloji koğuşunda
sizi ağırlamak bizim için
											büyük zevk olur."" dediler.
									",How to connect with depressed friends,Bill Bernat,13:10,"health,TEDx,communication,depression,compassion,humanity,friendship,personal growth,relationships"
"
","
","
",How to connect with depressed friends,Bill Bernat,13:10,"health,TEDx,communication,depression,compassion,humanity,friendship,personal growth,relationships"
"
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									",How to connect with depressed friends,Bill Bernat,13:10,"health,TEDx,communication,depression,compassion,humanity,friendship,personal growth,relationships"
"
","
","
",How to connect with depressed friends,Bill Bernat,13:10,"health,TEDx,communication,depression,compassion,humanity,friendship,personal growth,relationships"
"
											We joked that her suicide
would have made a way better postcard.
									","
											Dissemos, na brincadeira, que o suicídio
dela teria dado um postal mais bonito.
									","
											Onun intiharının daha
kartpostal-vari olduğuna dair şakalaştık.
									",How to connect with depressed friends,Bill Bernat,13:10,"health,TEDx,communication,depression,compassion,humanity,friendship,personal growth,relationships"
