es,pt,fr,title,speaker,duration,tags
"
","
","
","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
"
											(Música)
									","
											(Música)
									","
											(Musique)
									","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
"
","
","
","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
"
											[""Edipo Rey""]
									","
											[O Rei Édipo]
									","
											[ « Oedipus Rex » ]
									","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
"
","
","
","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
"
											[""El Rey León""]
									","
											[O Rei Leão]
									","
											[ « Le Roi Lion » ]
									","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
"
","
","
","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
"
											[""Titus""]
									","
											[Titus]
									","
											[ « Titus » ]
									","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
"
","
","
","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
"
											[""Frida""]
									","
											[Frida]
									","
											[ « Frida » ]
									","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
"
","
","
","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
"
											[""La flauta mágica""]
									","
											[A Flauta Mágica]
									","
											[ « La Flûte Enchantée » ]
									","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
"
","
","
","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
"
											[""A través del universo""]
									","
											[Across the Universe]
									","
											[ « À Travers l'Univers » ]
									","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
"
","
","
","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
"
											(Aplausos)
									","
											(Aplausos)
									","
											(Applaudissements)
									","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
"
","
","
","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
"
											Julie Taymor: Gracias. Muchas gracias.
											Esos fueron algunos ejemplos 
de obras de teatro, óperas
											y películas que he creado
en los últimos veinte años.
									","
											Obrigada! Muito obrigada!
											Viram algumas amostras de peças, óperas
											e filmes que fiz nestes últimos 20 anos.
									","
											Julie Taymor : 
Merci. Merci beaucoup.
											Voilà quelques extraits des pièces,
des opéras
											et des films que j'ai faits 
ces 20 dernières années.
									","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
"
","
","
","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
"
											Pero ahora, para comenzar, quisiera
											trasladarlos a un momento
											que tuvo lugar 
cuando visité Indonesia.
											Ese momento 
fue crucial en mi vida
											y, como todos los mitos,
											este tipo de historias
necesitan contarse más de una vez,
											para no olvidarlas.
											Y cuando atravieso 
momentos difíciles,
											como ahora,
que estoy atravesando el crisol
											y el fuego de la transformación,
											que, de hecho, 
es por lo que pasan todos Uds.
											Todo creador sabe que hay un punto
											en el que no se ha convertido 
en un fénix o en cenizas.
									","
											Mas gostaria de começar agora
											levando-vos a uma época
											em que estive na Indonésia
											que é um momento importante na minha vida
											e, como todos os mitos,
											estas histórias precisam de ser contadas
											e recontadas para que não as esqueçamos.
											E quando vivo momentos turbulentos
											como estou a viver agora, 
a passar pelo cadinho
											e pelo fogo da transformação
											como nos acontece a todos.
											Todos aqueles que criam, 
sabem que há um ponto
											em que não nos tornamos 
na fénix ou nas cinzas.
									","
											Mais j'aimerais commencer
											par vous ramener 
à un moment
											par lequel je suis passée, 
en Indonésie,
											et qui représente 
un moment fondateur de ma vie,
											et, comme tous les mythes,
											il faut répéter ces histoires
											encore et encore, 
de peur de les oublier.
											Quand je suis dans une zone de turbulences, 
comme nous savons
											que je suis en ce moment, 
dans l'épreuve
											et le feu de la transformation,
											ce qui est notre cas à tous, 
en fait.
											Toutes les personnes qui créent 
savent qu' il y a un moment
											où ça n'est encore ni le phénix, 
ni la cendre.
									","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
"
","
","
","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
"
											(Risas)
											Y estoy justo ahí, al borde.
											De esto hablaré después; es otra historia.
									","
											(Risos)
											E eu estou mesmo no fio da navalha,
											como vos vou contar, é outra história.
									","
											(Rires)
											Et j'y suis, juste ici, 
sur ce fil,
											dont je vous parlerai, 
c'est une autre histoire.
									","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
"
","
","
","Spider-Man, The Lion King and life on the creative edge",Julie Taymor,18:28,"creativity,entertainment,fear,film,theater"
