pt,tr,en,fr,de,title,speaker,duration,tags
"
","
","
","
","
",Why our IQ levels are higher than our grandparents',James Flynn,18:40,"culture,education"
"
											Vamos fazer uma rápida viagem
											pela história cognitiva do século XX,
											porque durante esse século,
											os nossos espíritos 
alteraram-se drasticamente.
											Como sabem, os carros que 
as pessoas guiavam em 1900
											modificaram-se porque 
as estradas são melhores
											e por causa da tecnologia.
											As nossas mentes também se modificaram.
											Deixámos de ser pessoas 
que tinham um mundo concreto
											e analisavam esse mundo basicamente
											em termos de quanto ele as beneficiava.
											Passámos a ser pessoas 
que veem um mundo muito complexo,
											um mundo onde tivemos de desenvolver
											novos hábitos mentais, 
novos hábitos de espírito.
											Estes incluem coisas como
											dotar esse mundo concreto 
com uma classificação,
											introduzir abstrações que tentamos fazer
											com consistência lógica
											e também levando a sério o hipotético,
											ou seja, meditando sobre 
o que poderia ter sido
											em vez do que é.
									","
											20. yüzyılın bilişsel tarihine
											hızlı bir yolculuk yapacağız,
											çünkü bu yüzyılda
											zihinlerimiz dramatik bir şekilde değişti.
											Bildiğiniz gibi, 1900'lerde insanların kullandığı
											araçlar değişti, çünkü günümüzde yollar daha iyi
											ve teknoloji daha ileri.
											Zihinlerimiz de değişti.
											Maddesel dünya ile uğraşan insanlar olmaktan çıkıp
											o dünyayı kendimize fayda sağlayacak
											şekilde analiz edeceğimiz
											oldukça karmaşık bir dünya ile karşı karşıya geldik
											ve bu dünya bizi yeni zihinsel alışkanlıklar,
											yeni bir kafa yapısı geliştirmek durumunda bıraktı.
											Bunlar arasında bu maddesel dünyayı
											sınıflandırmak,
											mantık yönünden tutarlı
											ama varsayımları da ciddiye alan,
											ne olabileceğinden ziyade,
											ne olduğunu merak ederek
											yeni soyutlamalar geliştirmek var.
									","
											We are going to take a quick voyage
											over the cognitive history of the 20th century,
											because during that century,
											our minds have altered dramatically.
											As you all know, the cars that people drove in 1900
											have altered because the roads are better
											and because of technology.
											And our minds have altered, too.
											We've gone from people who confronted a concrete world
											and analyzed that world primarily in terms
											of how much it would benefit them
											to people who confront a very complex world,
											and it's a world where we've had to develop
											new mental habits, new habits of mind.
											And these include things like
											clothing that concrete world with classification,
											introducing abstractions that we try to make
											logically consistent,
											and also taking the hypothetical seriously,
											that is, wondering about what might have been
											rather than what is.
									","
											Nous allons faire un tour rapide
											de l'histoire cognitive du 20ème siècle,
											car pendant ce siècle,
											nos esprits ont évolué radicalement.
											Comme vous le savez,
les voitures qu'on conduisait en 1900
											ont évolué
grâce à l'amélioration des routes,
											et grâce à la technologie.
											Et nos esprits ont évolué aussi.
											Nous étions confrontés
à un monde matériel,
											et nous analysions ce monde
principalement en termes
											de ce qu'il pourrait nous rapporter,
											et nous voilà confrontés
à un monde très complexe,
											un monde où nous avons dû développer
											de nouvelles habitudes intellectuelles,
de nouvelles habitudes de l'esprit.
											Comme par exemple
											recouvrir ce monde matériel
de classification,
											introduire des concepts abstraits
que nous essayons de rendre
											cohérents sur le plan logique,
											ou encore envisager sérieusement
des hypothèses,
											c'est à dire se poser des questions
sur ce qui aurait pu être,
											plutôt que sur ce qui est.
									","
											Wir unternehmen eine kurze Reise
											durch die kognitive Geschichte 
des 20. Jahrhunderts,
											denn während dieses Jahrhunderts
											haben sich unsere Gehirne dramatisch verändert.
											Wie Sie wissen, veränderten sich die Autos, 
die die Menschen um 1900 fuhren,
											weil die Straßen besser waren
											und aufgrund von Technologie.
											Und unsere Gehirne haben sich auch verändert.
											Wir sind von Menschen, die einer 
konkreten Welt gegenüberstanden
											und diese Welt primär danach analysierten,
											wie sehr sie ihnen nutzen würde,
											zu Menschen geworden, die einer 
sehr komplexen Welt ausgesetzt sind.
											Und in dieser Welt mussten wir
											neue mentale Gewohnheiten, 
neue Denkschemata entwickeln.
											Und das schließt Dinge ein wie
											die konkrete Welt mit Klassifikationen auszukleiden,
											Abstraktionen einzuführen, 
die wir versuchen
											logisch konsistent zu machen,
											und wir nehmen auch das Hypothetische ernst,
											d.h. wir fragen uns eher, was sein könnte,
											als was ist.
									",Why our IQ levels are higher than our grandparents',James Flynn,18:40,"culture,education"
"
","
","
","
","
",Why our IQ levels are higher than our grandparents',James Flynn,18:40,"culture,education"
"
											Reparei nessa mudança drástica
											através dos impressionantes 
resultados de QI ao longo do tempo,
											que melhoraram em grande escala.
											Ou seja, não obtemos apenas 
mais respostas certas
											nos testes de QI.
											Obtemos muito mais respostas certas 
nos testes de QI
											do que em cada geração anterior,
											desde a época em que foram inventados.
											De facto, se classificássemos 
as pessoas de há cem anos
											pelas normas modernas,
											elas teriam um QI médio de 70.
											Se nos classificássemos 
pelas normas deles,
											teríamos um QI médio de 130.
											Ora bem, isso levantou 
todo o tipo de questões.
											Estariam os nossos antepassados imediatos
											no limite do atraso mental?
											(Risos)
											Porque 70 é normalmente 
a pontuação para o atraso mental.
											Ou estamos nós à beira 
de sermos todos dotados?
											Porque 130 é a linha de corte 
para os talentosos.
									","
											Şimdi, bu çarpıcı husus zaman içerisinde
											önemli I.Q. artışları ile dikkatimi çekti.
											Muazzam bir artıştan söz ediyorum.
											Yani I.Q. testlerinde yalnızca bir kaç adet doğru
											cevap artışından söz etmiyoruz.
											Testlerin icat edildiği zamandan bugüne
											her bir jenerasyon bir diğerine göre
											giderek daha fazla soruyu doğru yanıtlıyor.
											Gerçekten de eğer bir yüzyıl önceki insanları
											bugünün değerleri ile ölçeklerseniz
											ortalama I.Q'ları 70 çıkardı.
											Eğer bizi onların değerlerine göre ölçerseniz
											ortalama I.Q.'muz 130 olurdu.
											Şimdi bu konu her tür soruyu beraberinde getirmekte:
											Yakın atalarımız
											zihinsel özürlülüğün eşiğinde miydi?
											Çünkü 70 normalde zeka geriliğinin sınırıdır.
											Yoksa bizler neredeyse üstün yetenekli miyiz?
											Çünkü 130 da üstün yetenek sınırıdır.
									","
											Now, this dramatic change was drawn to my attention
											through massive I.Q. gains over time,
											and these have been truly massive.
											That is, we don't just get a few more questions right
											on I.Q. tests.
											We get far more questions right on I.Q. tests
											than each succeeding generation
											back to the time that they were invented.
											Indeed, if you score the people a century ago
											against modern norms,
											they would have an average I.Q. of 70.
											If you score us against their norms,
											we would have an average I.Q. of 130.
											Now this has raised all sorts of questions.
											Were our immediate ancestors
											on the verge of mental retardation?
											Because 70 is normally the score for mental retardation.
											Or are we on the verge of all being gifted?
											Because 130 is the cutting line for giftedness.
									","
											Mon attention a été attirée
sur ce changement radical
											par les énormes augmentations de Q.I.
dans le temps,
											car elles ont été vraiment énormes.
											C'est à dire, ce ne sont pas seulement
quelques réponses de plus que nous avons justes
											dans les tests de Q.I.
											Ce sont beaucoup plus de réponses justes
dans les tests de Q.I.
											à chaque génération,
											depuis l'époque où ils ont été inventés.
											En effet,
si on testait les gens d'il y a un siècle
											avec les normes d'aujourd'hui,
											ils obtiendraient en moyenne
un Q.I. de 70.
											Si on nous testait avec leurs normes,
											nous aurions en moyenne
un Q.I. de 130.
											Cela soulève toutes sortes de questions.
											Est-ce à dire que nos proches aïeux
											étaient au bord du retard mental ?
											Parce que, normalement,
70 est la limite du retard mental.
											Ou bien sommes nous tous
proches d'être surdoués ?
											Parce que c'est à partir de 130
qu'on est déclaré surdoué.
									","
											Meine Aufmerksamkeit wurde auf 
diese dramatische Änderung gelenkt,
											durch massive IQ-Zunahmen im Lauf der Zeit,
											und diese waren wirklich enorm.
											D.h. wir lösen bei IQ-Tests nicht nur
											ein paar Fragen mehr.
											Wir lösen viel mehr Fragen in IQ-Tests richtig,
											als jede vorhergehende Generation
											bis zurück zur Zeit ihrer Erfindung.
											Wenn man die Leute freilich 
vor einem Jahrhundert
											nach modernen Normen bewertet,
											hätten sie einen durchschnittlichen IQ von 70.
											Wenn man uns nach 
ihren Normen bewerten würde,
											hätten wir einen durchschnittlichen IQ von 130.
											Das wirft alle möglichen Fragen auf.
											Waren unsere unmittelbaren Vorfahren
											am Rande einer Geistesschwäche?
											Denn 70 ist normalerweise 
der Wert für geistige Behinderung.
											Oder sind wir kurz davor, 
alle hochbegabt zu sein?
											Denn 130 ist der Grenzwert für Hochbegabung.
									",Why our IQ levels are higher than our grandparents',James Flynn,18:40,"culture,education"
"
","
","
","
","
",Why our IQ levels are higher than our grandparents',James Flynn,18:40,"culture,education"
"
											Vou tentar argumentar 
uma terceira alternativa
											que é mais iluminadora 
do que qualquer das anteriores.
											Para colocar isso em perspetiva,
											imaginemos que um marciano desceu à Terra
											e encontrou uma civilização destruída.
											Esse marciano era um arqueólogo
											e encontrou registos 
de pontuações de tiro,
											que as pessoas tinham usado 
para o tiro ao alvo.
											Em primeiro lugar, olhou para 1865.
											Descobriu que, num minuto,
											as pessoas só tinham acertado 
uma bala no alvo.
											Depois descobriu que, em 1898,
											elas acertavam no alvo 
cerca de cinco balas num minuto.
											E depois, por volta de 1918, 
acertavam cem balas no alvo.
											Inicialmente, aquele arqueólogo 
ficaria perplexo e diria:
											""Vejam: estes testes foram concebidos
											para descobrir até que ponto 
as pessoas tinham a mão firme,
											quão aguçada era a sua visão,
											se eles tinham controlo da sua arma.
											Como é que o desempenho 
melhorou assim tanto?""
											Claro que nós sabemos qual é a resposta.
											Se o marciano olhasse 
para os campos de batalha,
											descobriria que as pessoas 
só tinham mosquetes
											na época da Guerra Civil,
											que tinham espingardas de repetição
											na época da guerra hispano-americana,
											e que, depois, tinham metralhadoras
											na época da I Guerra Mundial.
											Por outras palavras, foi o equipamento
											nas mãos do soldado vulgar
											que foi o responsável, 
e não uma visão mais aguçada,
											nem uma mão mais firme.
									","
											Şimdi ben diğerlerinden daha aydınlatıcı olan
											üçüncü bir seçeneği tartışmaya açacağım.
											Bunu gözünüzde canlandırmak için
											diyelim ki bir Marslı Dünya'ya geldi
											ve yok olmuş bir medeniyet buldu.
											Bu Marslı bir arkeologdu
											ve insanların atış yapmak için kullandığı
											hedef çizelgeleri buldu.
											Öncelikle 1865 yılına baktılar
											ve bir dakika içinde insanların
											hedefin merkezine tek bir mermi atabildiğini gördüler.
											1898'de ise bir dakika içinde
											hedef merkezine beş mermi isabet ettiriyorlardı.
											1918'de ise bu sayı 100'e çıkıyordu.
											Başta arkeolog oldukça şaşırırdı.
											ve ""Bakın,"" derlerdi, ""bu testler
											insanların ellerinin sabitliğini,
											gözlerinin keskinliğini ve
											silaha hakim olup olmadıklarını anlamak için tasarlanmış.
											Bu kabiliyet böylesi inanılmaz
											bir seviyeye nasıl gelebildi?""
											Yani, cevap olarak elbette biliyoruz ki
											Marslı savaş alanlarına bakmış olsaydı
											insanların İç Savaş esnasında
											yalnızca eski tip tüfekleri olduğunu görecekti,
											İspanyol-Amerikan Savaşı'nda
											mükerrer ateşli tüfekleri olduğunu,
											1. Dünya Savaşı'nda ise
											makineli tüfeklerini.
											Başka bir deyişle, ortalama bir askerin
											isabetliliğini sağlayan
											gözlerinin keskinliği ya da elinin sabitliği değil,
											donanımı idi.
									","
											Now I'm going to try and argue for a third alternative
											that's much more illuminating than either of those,
											and to put this into perspective,
											let's imagine that a Martian came down to Earth
											and found a ruined civilization.
											And this Martian was an archaeologist,
											and they found scores, target scores,
											that people had used for shooting.
											And first they looked at 1865,
											and they found that in a minute,
											people had only put one bullet in the bullseye.
											And then they found, in 1898,
											that they'd put about five bullets in the bullseye in a minute.
											And then about 1918 they put a hundred bullets in the bullseye.
											And initially, that archaeologist would be baffled.
											They would say, look, these tests were designed
											to find out how much people were steady of hand,
											how keen their eyesight was,
											whether they had control of their weapon.
											How could these performances have escalated
											to this enormous degree?
											Well we now know, of course, the answer.
											If that Martian looked at battlefields,
											they would find that people had only muskets
											at the time of the Civil War
											and that they had repeating rifles
											at the time of the Spanish-American War,
											and then they had machine guns
											by the time of World War I.
											And, in other words, it was the equipment
											that was in the hands of the average soldier
											that was responsible, not greater keenness of eye
											or steadiness of hand.
									","
											Je vais tenter de plaider
pour une troisième hypothèse
											qui est bien plus riche d'enseignement
que ces deux premières.
											Pour recadrer les choses,
											imaginons qu'un martien se pose sur Terre
											et trouve les ruines d'une civilisation.
											Ce martien est archéologue,
											et il trouve des cibles
											que les gens ont utilisé pour le tir.
											Tout d'abord, il regarde celles de 1865,
											et il trouve que les gens
n'ont mis dans le mille
											qu'une fois par minute.
											Puis il trouve qu'en 1898,
											ils ont mis dans le mille
cinq fois par minute.
											Puis, vers 1918,
ils ont mis cent fois dans le mille.
											Au début, cet archéologue serait déconcerté.
											Il dirait, écoutez,
ces tests étaient conçus
											pour mesurer la précision de leurs gestes,
											l'acuité de leur vision,
											la maîtrise de leur arme.
											Comment se peut-il que leurs performances
aient augmenté
											à ce point ?
											Aujourd'hui, nous connaissons la réponse,
bien sûr.
											Si ce martien étudiait les champs de bataille,
											il découvrirait que les gens
n'avaient que des mousquets
											à l'époque de la Guerre Civile,
											et qu'ils avaient des fusils à répétition
											à l'époque de la Guerre Hispano-Américaine,
											puis qu'ils avaient des mitraillettes
											à l'époque de la Première Guerre mondiale.
											En d'autres termes,
c'est l'équipement
											à la disposition du soldat moyen
											qui est en cause,
pas une meilleure acuité visuelle,
											ni la précision du geste.
									","
											Ich werde nun für 
eine dritte Alternative plädieren,
											die viel aufschlussreicher 
als die beiden anderen ist,
											und um diese zu relativieren,
											lassen Sie uns annehmen, 
dass ein Marsmensch auf die Erde käme
											und eine zerstörte Gesellschaft vorfände.
											Und dieser Marsmensch wäre ein Archäologe,
											und sie fänden Punktezahlen,
											die Menschen zum Schießen benutzt hatten.
											Und zuerst betrachteten sie 1865
											und sie stellten in kurzer Zeit fest,
											dass die Menschen nur 
einen Volltreffer gelandet hatten.
											Und sie stellten fest, dass sie 1898
											in einer Minute fünf Mal 
ins Schwarze getroffen hatten.
											Und um 1918 trafen sie 100 Mal ins Schwarze.
											Anfangs war der Archäologe ratlos.
											Sie sagten etwa: ""Diese Tests waren so angelegt,
											um herauszufinden, ob die Menschen 
eine ruhige Hand hatten,
											wie gut ihr Sehvermögen war,
											ob sie Kontrolle über ihre Waffen hatten.
											Wie konnten die Leistungen sich
											bis zu diesem enormen Maß steigern?""
											Nun, wir kennen die Antwort natürlich.
											Wenn sich dieser Marsmensch 
die Schlachtfelder anschaut,
											würden sie entdecken, 
dass die Menschen zur Zeit
											des Bürgerkriegs nur Musketen hatten,
											und dass sie Repetiergewehre hatten
											zur Zeit des Spanisch-Amerikanischen Krieges,
											und bis zum 1. Weltkrieg
											hatten sie Maschinengewehre.
											Und anders gesagt war es die Ausstattung
											in den Händen eines durchschnittlichen Soldaten,
											die dafür verantwortlich war – 
nicht die höhere Sehschärfe
											oder eine ruhigere Hand.
									",Why our IQ levels are higher than our grandparents',James Flynn,18:40,"culture,education"
"
","
","
","
","
",Why our IQ levels are higher than our grandparents',James Flynn,18:40,"culture,education"
"
											Ora bem, temos que imaginar 
a artilharia mental
											que adquirimos ao longo desses cem anos.
											Acho que um outro pensador nos vai ajudar.
											Chama-se Luria.
											Luria observou pessoas
											pouco antes de elas entrarem
na idade científica.
											Descobriu que essas pessoas
											eram resistentes em classificar
o mundo concreto.
											Queriam dividi-lo em pequenos pedaços 
que pudessem usar.
											Descobriu que elas eram resistentes
											a fazer deduções hipotéticas,
											a especular sobre o que poderia ser.
											Por fim, descobriu que elas 
não lidavam bem com abstrações
											nem utilizavam a lógica 
nessas abstrações.
									","
											Şimdi kafamızda canlandırmamız gereken
											bu birkaç yüzyıl boyunca edindiğimiz zihinsel silahlar.
											Ve sanırım burada bize bir başka düşünür yardım edecek,
											ki bu kişi de Luria.
											Luria bilim çağına girmeden hemen önce
											insanlara baktı ve bu insanların
											maddi dünyayı sınıflandırmaya
											direniş gösterdiğini gördü.
											Onu kullanabilecekleri küçük
											parçalara bölmek arzusundaydılar.
											Varsayımsal olanı anlamak,
											ne olabileceği hakkında kafa yormak
											konusuna dirençli olduklarını gördü,
											ve soyutlamalarla, 
yahut o soyutlamaları
											mantık yoluyla anlamakla 
baş edemediklerini farketti.
									","
											Now what we have to imagine is the mental artillery
											that we have picked up over those hundred years,
											and I think again that another thinker will help us here,
											and that's Luria.
											Luria looked at people
											just before they entered the scientific age,
											and he found that these people
											were resistant to classifying the concrete world.
											They wanted to break it up
											into little bits that they could use.
											He found that they were resistant
											to deducing the hypothetical,
											to speculating about what might be,
											and he found finally that they didn't deal well
											with abstractions or using logic on those abstractions.
									","
											Ce qu'il nous faut imaginer,
c'est l'artillerie mentale
											que nous avons acquise
au cours de ce siècle,
											et là encore, je crois qu'un autre penseur
va nous y aider.
											il s'agit de Luria.
											Luria a étudié des gens
											qui n'étaient pas encore entrés
dans l'ère scientifique,
											et il a découvert que ces gens
											étaient réfractaires
à la classification du monde matériel.
											Ils voulaient le diviser
											en petits éléments
qu'ils pouvaient utiliser.
											Il a découvert qu'ils étaient réfractaires
											à l'élaboration d'une hypothèse,
											à la réflexion sur ce qui pourrait être,
											et il a enfin découvert
qu'ils ne se débrouillaient pas très bien
											avec les abstractions, ou avec la logique
appliquée à ces concepts abstraits.
									","
											Wir müssen uns die mentale Artillerie vorstellen,
											die wir innerhalb dieser hundert
Jahre erworben haben,
											und ein anderer Denker wird uns 
hierbei sicher helfen,
											und das ist Luria.
											Luria betrachtete Menschen,
											bevor sie ins wissenschaftliche Zeitalter eintraten,
											und er fand heraus, dass diese Menschen
											resistent gegenüber einer Klassifizierung 
der konkreten Welt waren.
											Sie wollten sie in Kleinteile
											aufbrechen, die sie benutzen konnten.
											Er fand heraus, dass sie sich weigerten,
											Hypothetisches zu folgern,
											darüber zu spekulieren, was sein könnte,
											und stellte schließlich fest, 
dass sie sich mit Abstraktionen
											oder dem Anwenden von Logik 
bei diesen Abstraktionen schwer taten.
									",Why our IQ levels are higher than our grandparents',James Flynn,18:40,"culture,education"
"
","
","
","
","
",Why our IQ levels are higher than our grandparents',James Flynn,18:40,"culture,education"
"
											Vou dar-vos uma amostra 
das entrevistas que ele fez.
											Ele falou com o chefe duma pessoa
											na Rússia rural.
											Como era vulgar em 1990,
											ele tinha apenas cerca de 
quatro anos de escolaridade.
											Luria perguntou a essa pessoa:
											""O que é que os corvos e os peixes 
têm em comum?""
											O indivíduo respondeu:
""Absolutamente nada.
											Veja bem: eu posso comer um peixe.
Mas não como um corvo.
											Um corvo pode pescar um peixe.
											Um peixe não pode 
fazer nada com um corvo"".
											Luria disse:
											""Mas não são ambos animais?""
											E o homem responde:
""Claro que não.
											Um é um peixe.
											O outro é um pássaro.""
											Luria ficou interessado, realmente,
											no que poderia fazer 
com esses objetos concretos.
											Depois Luria foi ter 
com outra pessoa e disse:
									","
											Şimdi size mülakatlarından 
bazı örnekler vermek istiyorum.
											Rusya'nın taşra bölgesinde
											insanlarla konuştu.
											1900'lerde olduğu üzere onlar da
											yalnızca dört yıllık okul eğitimi almışlardı.
											O kişiye şöyle sordu:
											""Kargalarla balıkların ortak özelliği nedir?""
											Arkadaş: ""Kesinlikle hiçbir şey.
											Yani bilirsin, bir balığı yiyebilirim. Kargayı yiyemem.
											Bir karga balığı gagalayabilir.
											Balık kargaya bir şey yapamaz."" dedi.
											Ve Luria ""İkisi de hayvan değil midir?"" diye sordu.
											Adam: ""Tabi ki değil.
											Biri balıktır,
											öbürü ise kuş."" diye cevap verdi.
											Ve özellikle bu somut nesnelerle
											ne yapabileceğiyle ilgilenmekteydi.
									","
											Now let me give you a sample of some of his interviews.
											He talked to the head man of a person
											in rural Russia.
											They'd only had, as people had in 1900,
											about four years of schooling.
											And he asked that particular person,
											what do crows and fish have in common?
											And the fellow said, ""Absolutely nothing.
											You know, I can eat a fish. I can't eat a crow.
											A crow can peck at a fish.
											A fish can't do anything to a crow.""
											And Luria said, ""But aren't they both animals?""
											And he said, ""Of course not.
											One's a fish.
											The other is a bird.""
											And he was interested, effectively,
											in what he could do with those concrete objects.
									","
											Je vais vous donner un aperçu
de quelques uns de ses interviews.
											Il a parlé au chef de quelqu'un,
											dans une région rurale de la Russie.
											Il n'avait fait,
comme c'était l'usage en 1900,
											que quatre ans d'école.
											Et il a demandé à cette personne là,
											qu'ont en commun les corbeaux et les poissons ?
											Et le gars a dit :
""Absolument rien.
											Voyons, je mange du poisson.
Je ne mange pas du corbeau.
											Un corbeau peut picorer un poisson.
											Un poisson ne peut rien faire à un corbeau.""
											Et Luria a dit : ""Mais est-ce que ce ne sont pas
tous deux des animaux ?""
											Et il a répondu : ""Bien sûr que non.
											L'un est un poisson.
											L'autre est un oiseau.""
											Il ne s'intéressait, en fait,
											qu'à ce qu'il pouvait faire
de ces objets matériels.
									","
											Lassen Sie mich Ihnen ein Beispiel 
für seine Interviews geben.
											Er sprach mit dem Chef einer Person
											im ländlichen Russland.
											Sie hatten, wie bei Menschen um 1900 üblich,
											etwa vier Jahre Schulbildung.
											Und er fragte diese bestimmte Person,
											was Krähe und Fische gemeinsam haben.
											Und der Kerl sagte: ""Absolut nichts.
											Fisch kann ich essen, Krähen nicht.
											Eine Krähe kann nach einem Fisch picken.
											Ein Fisch kann einer Krähe gar nichts antun.""
											Und Luria sagte: ""Aber beide sind doch Tiere?""
											Und er sagte: ""Natürlich nicht.
											Der eine ist ein Fisch.
											Das andere ist ein Vogel.""
											Ihn interessierte im Grunde,
											was er mit diesen konkreten 
Objekten machen könnte.
									",Why our IQ levels are higher than our grandparents',James Flynn,18:40,"culture,education"
