en,fr,tr,title,speaker,duration,tags
"
","
","
",Game theory challenge: Can you predict human behavior?,Lucas Husted,4:40,"TED-Ed,economics,animation,education,math,computers,science"
"
											A few months ago we posed a challenge 
to our community.
											We asked everyone: given a range of 
integers from 0 to 100,
											guess the whole number closest to 2/3 
of the average of all numbers guessed.
											So if the average of all guesses is 60, 
the correct guess will be 40.
											What number do you think was the 
correct guess at 2/3 of the average?
									","
											Il y a quelques mois, nous avons lancé
un défi à notre communauté.
											Nous avons demandé à tout le monde :
											étant donné un intervalle d'entiers
allant de 0 à 100,
											devinez le nombre entier
le plus près de deux tiers
											de la moyenne des nombres soumis.
											Si la moyenne des estimations est 60,
la bonne estimation sera 40.
											A votre avis, quelle était
la bonne estimation
											des deux tiers de la moyenne ?
									","
											Birkaç ay önce çevremizdeki
insanlara bir görev verdik.
											Herkese sorduk: 0'dan 100'e kadar
bir tam sayı aralığını ele aldığımızda,
											tahmin edilen tüm sayıların ortalamasının
2/3'üne en yakın tam sayı ne olurdu?
											Yani, tüm tahminlerin ortalaması 60 ise,
doğru cevap 40 olacaktır.
											Ortalamanın 2/3'ünde doğru tahmin
sizce hangi sayı olabilir?
									",Game theory challenge: Can you predict human behavior?,Lucas Husted,4:40,"TED-Ed,economics,animation,education,math,computers,science"
"
","
","
",Game theory challenge: Can you predict human behavior?,Lucas Husted,4:40,"TED-Ed,economics,animation,education,math,computers,science"
"
											Let’s see if we can try and reason 
our way to the answer.
											This game is played under conditions known
to game theorists as common knowledge.
											Not only does every player have 
the same information —
											they also know that everyone else does,
											and that everyone else knows that 
everyone else does, and so on, infinitely.
											Now, the highest possible average would 
occur if every person guessed 100.
											In that case, 2/3 of the average 
would be 66.66.
											Since everyone can figure this out,
											it wouldn’t make sense to guess 
anything higher than 67.
									","
											Voyons si, en raisonnant,
nous pouvons trouver la réponse.
											Ce jeu est joué dans des conditions
											appelées « connaissance commune »
en théorie des jeux.
											Non seulement chaque joueur
a les mêmes informations,
											mais il sait que tout le monde les a
											et tout le monde sait que tout le monde
sait que tout le monde les a
											et ainsi de suite.
											La moyenne la plus élevée serait
si tout le monde répondait 100.
											Dans ce cas, deux tiers
de la moyenne seraient 66,66.
											Puisque tout le monde
peut déterminer cela,
											cela n'a pas de sens de répondre
un nombre plus élevé que 67.
									","
											Deneyelim ve cevabı
bulabilecek miyiz görelim.
											Oyun, teorisyenlerin bilinen gerçek
adını verdiği koşullar altında oynanıyor.
											Her oyuncu aynı bilgilere sahip —
											herkesin sahip olduğu bilgiyi biliyorlar
											ve herkes de herkesin bildiğini
biliyor ve sonsuza dek böyle sürüyor.
											Eğer herkes 100'ü tahmin etse,
en yüksek olası ortalama ortaya çıkar.
											Bu durumda ortalamanın 2/3'ü
66,66 olacaktır.
											Herkesin de düşünebileceği gibi,
											67'den yüksek bir tahminde bulunmak
mantıklı olmayacaktır.
									",Game theory challenge: Can you predict human behavior?,Lucas Husted,4:40,"TED-Ed,economics,animation,education,math,computers,science"
"
","
","
",Game theory challenge: Can you predict human behavior?,Lucas Husted,4:40,"TED-Ed,economics,animation,education,math,computers,science"
"
											If everyone playing comes to 
this same conclusion,
											no one will guess higher than 67.
											Now 67 is the new highest 
possible average,
											so no reasonable guess should be 
higher than ⅔ of that, which is 44.
											This logic can be extended further 
and further.
											With each step, the highest possible 
logical answer keeps getting smaller.
											So it would seem sensible to guess the 
lowest number possible.
									","
											Si tous les gens qui jouent
en sont venus à cette conclusion,
											personne ne répondra
un nombre plus élevé que 67.
											67 est maintenant la moyenne
la plus élevée possible,
											aucune réponse raisonnable ne devrait être
plus élevée que deux tiers de 67, soit 44.
											Cette logique peut être appliquée
à maintes reprises.
											A chaque étape, la réponse logique
la plus élevée continue de diminuer.
											Il semblerait sensé de répondre
le nombre le plus faible possible.
									","
											Eğer oynayan herkes aynı sonuca varırsa,
											hiçbiri 67'den yüksek tahminde
bulunmayacaktır.
											Şimdi 67, yeni en yüksek
olası ortalamamız,
											öyleyse hiçbir makul tahmin bunun ⅔'ünden,
yani 44'den büyük olmamalı.
											Bu mantık daha da ileri götürülebilir.
											Her adımla, en yüksek olası
makul cevap küçülmeye devam eder.
											Öyleyse olası en düşük sayıyı
tahmin etmek mantıklı gelecektir.
									",Game theory challenge: Can you predict human behavior?,Lucas Husted,4:40,"TED-Ed,economics,animation,education,math,computers,science"
"
","
","
",Game theory challenge: Can you predict human behavior?,Lucas Husted,4:40,"TED-Ed,economics,animation,education,math,computers,science"
"
											And indeed, if everyone chose zero,
											the game would reach what’s known 
as a Nash Equilibrium.
											This is a state where every player has 
chosen the best possible strategy
											for themselves given 
everyone else playing,
											and no individual player can benefit 
by choosing differently.
									","
											En effet, si tout le monde choisit zéro,
											le jeu atteindrait ce que l'on appelle
un équilibre de Nash.
											C'est un état où chaque joueur a choisi
la meilleure stratégie possible
											étant donné ce que tous les autres jouent
											et aucun joueur ne peut profiter
d'un choix différent.
									","
											Aslında, eğer herkes sıfırı seçerse,
											oyun Nash Dengesi olarak bilinen
noktaya ulaşacaktır.
											Bu, her oyuncunun, diğer oyuncuların
oynadığını bilerek kendileri için
											olası en iyi stratejiyi
seçtiği bir durumdur
											ve hiçbir birey farklı bir şey seçerek
fayda sağlayamaz.
									",Game theory challenge: Can you predict human behavior?,Lucas Husted,4:40,"TED-Ed,economics,animation,education,math,computers,science"
"
","
","
",Game theory challenge: Can you predict human behavior?,Lucas Husted,4:40,"TED-Ed,economics,animation,education,math,computers,science"
"
											But, that’s not what happens 
in the real world.
											People, as it turns out, either aren’t 
perfectly rational,
											or don’t expect each other 
to be perfectly rational.
											Or, perhaps, it’s some combination 
of the two.
									","
											Mais ce n'est pas ce qu'il se passe
dans le monde réel.
											Il s'avère que les gens
soit ne sont pas parfaitement rationnels
											ou ne s'attendent pas à ce que les autres
soient parfaitement rationnels.
											Peut-être est-ce une combinaison des deux.
									","
											Fakat, gerçek dünyada işler böyle yürümez.
											İnsanlar, görünen o ki,
ne kusursuz mantığa sahipler,
											ne de birbirlerinin kusursuz
mantığa sahip olmasını bekliyorlar.
											Belki de bu, ikisinin kombinasyonudur.
									",Game theory challenge: Can you predict human behavior?,Lucas Husted,4:40,"TED-Ed,economics,animation,education,math,computers,science"
