en,tr,es,pt,title,speaker,duration,tags
"
","
","
","
",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
											People use the internet
for various reasons.
											It turns out that one of the most
popular categories of website
											is something that people
typically consume in private.
											It involves curiosity,
											non-insignificant levels
of self-indulgence
											and is centered around recording
the reproductive activities
											of other people.
									","
											İnsanlar interneti çeşitli 
sebeplerden dolayı kullanıyor.
											Meğerse internet sitelerinin
en popüler kategorilerinden biri
											insanların genellikle başkaları 
yokken baktığı bir şeymiş.
											Merakı, rahata düşkünlüğün
pek az olmadığı seviyeleri içeriyor
											ve diğer insanların üreme aktivitelerini
kayda almanın çevresinde dönüyor.
									","
											La gente usa Internet por varios motivos.
											Resulta que una de las categorías
más populares de páginas web
											es algo que la gente consume
normalmente en privado.
											Tiene que ver con la curiosidad,
											con niveles significativos
de autocomplacencia
											que giran en torno a las 
actividades reproductivas
											de otras personas.
									","
											As pessoas usam a Internet
por diversas razões.
											Acontece que uma das categorias
mais populares da Internet
											é uma coisa que as pessoas
habitualmente consomem em privado.
											Envolve a curiosidade,
											com níveis significativos 
de autocomplacência
											e centra-se em registar
as atividades reprodutivas
											de outras pessoas.
									",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
","
","
","
",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
											(Laughter)
											Of course, I'm talking about genealogy —
									","
											(Gülüşmeler)
											Tabii ki soyağacından bahsediyorum —
									","
											(Risas)
											Obviamente estoy hablando
de la genealogía...
									","
											(Risos)
											Claro que estou a falar da genealogia,
									",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
","
","
","
",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
											(Laughter)
											the study of family history.
									","
											(Gülüşmeler)
											soygeçmiş bilimi.
									","
											(Risas)
											el estudio de la historia familiar.
									","
											(Risos)
											o estudo da história familiar.
									",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
","
","
","
",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
											When it comes to detailing family history,
											in every family, we have this person
that is obsessed with genealogy.
											Let's call him Uncle Bernie.
											Uncle Bernie is exactly the last person
you want to sit next to
											in Thanksgiving dinner,
											because he will bore you to death
with peculiar details
											about some ancient relatives.
											But as you know,
											there is a scientific side for everything,
											and we found that Uncle Bernie's stories
											have immense potential
for biomedical research.
									","
											Soygeçmişi detaylandırmak
söz konusu olunca
											her ailede soyağacına
takıntılı bir kişi vardır.
											Bu kişiye Bernie amca diyelim.
											Bernie amca, Şükran Günü yemeğinde
											kesinlikle yan yana oturmak 
isteyeceğiniz son insandır
											çünkü bazı eski akrabalarınız hakkındaki
garip detaylarla içinizi bayacaktır.
											Ancak bildiğiniz üzere
											her şeyin bir bilimsel tarafı da vardır
											ve Bernie amcanın hikâyelerinin
biyomedikal araştırma için
											çok büyük bir potensiyele 
sahip olduğunu bulduk.
									","
											Cuando se trata de detallar
la historia familiar
											en todas las familias hay una persona
obsesionada con la genealogía.
											Llamémosle tío Bernie.
											El tío Bernie es justo la última persona
a cuyo lado te quieres sentar
											en la cena de Acción de Gracias,
											porque te aburrirá soberanamente
con detalles concretos
											sobre parientes antiguos.
											Pero como ya saben,
											todo tiene un lado científico,
											y hemos descubierto
que las historias del tío Bernie
											tienen un potencial inmenso
para la investigación biomédica.
									","
											Quando se trata de pormenorizar
a história familiar,
											em todas as famílias, temos uma pessoa
obcecada pela genealogia.
											Vamos chamar-lhe o Tio Bernie.
											O Tio Bernie é a última pessoa
que queremos ao nosso lado
											no jantar do Dia de Ação de Graças,
											porque ele chateia-nos até à morte
											com pormenores curiosos
sobre parentes antigos.
											Mas, como sabem,
											tudo tem um lado científico,
											e encontrámos nas histórias do Tio Bernie
											um potencial enorme
para a investigação biomédica.
									",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
","
","
","
",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
											We let Uncle Bernie
and his fellow genealogists
											document their family trees through
a genealogy website called geni.com.
											When users upload
their trees to the website,
											it scans their relatives,
											and if it finds matches to existing trees,
											it merges the existing
and the new tree together.
											The result is that large
family trees are created,
											beyond the individual level
of each genealogist.
											Now, by repeating this process
with millions of people
											all over the world,
											we can crowdsource the construction
of a family tree of all humankind.
									","
											Bernie amcanın ve soy izleme 
uzmanlarının geni.com adındaki
											bir soyağacı internet sitesi aracılığıyla
soyağaçlarını belgelemelerini istedik.
											Kullancılar soyağaçlarını 
internet sitesine yüklediklerinde
											akrabalarını tarıyor
											ve var olan ağaçlarla eşleşmeler buluyor,
											var olan ve yeni ağacı birleştiriyor.
											Varılan sonuç, geniş soyağaçlarının
											her soy izleme uzmanın 
bireysel düzeyinin ötesinde yaratıldığı.
											Şimdi, bu süreci tüm dünyadaki
milyonlarca insanla tekrar ettiğimizde
											tüm insalığın bir soyağacının yapısını
kitle kaynakla kullanabiliriz.
									","
											Dejamos que el tío Bernie
y sus amigos genealogistas
											documenten sus árboles genealógicos
a través de una web llamada geni.com.
											Cuando los usuarios
suben sus árboles a la web
											este escanea a sus familiares
											y si encuentra coincidencias
con árboles existentes
											combina el árbol existente con el nuevo.
											El resultado es que se crean
árboles genealógicos enormes,
											más allá del nivel individual
de cada genealogista.
											Al repetir este proceso
con millones de personas
											de todo el mundo,
											podemos colaborar para crear
un árbol genealógico de toda la humanidad.
									","
											Vamos pôr o Tio Bernie
e os seus camaradas genealogistas
											a documentar as suas árvores genealógicas
num ""website"" chamado geni.com.
											Quando os utilizadores colocam
as suas árvores neste ""website"",
											este percorre os parentes
											e, se encontra coincidências
com outras árvores existentes,
											sobrepõe a nova árvore
às árvores já existentes.
											O resultado é que se vão criando
grandes árvores genealógicas,
											para além do nível individual
de cada genealogia.
											Repetindo este processo
com milhões de pessoas,
											pelo mundo inteiro,
											podemos construir uma árvore
genealógica de toda a humanidade.
									",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
"
","
","
","
",How we're building the world's largest family tree,Yaniv Erlich,11:22,"science,DNA,humanity,data,family,history,genetics,TEDMED"
