en,pt,de,title,speaker,duration,tags
"
","
","
",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
											(Music)
									","
											(Música)
									","
											(Musik)
									",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
","
","
",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
											(Applause)
									","
											(Aplausos)
									","
											(Applaus)
									",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
","
","
",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
											Trevor Copp: When ""Dancing With the Stars""
first hit the airwaves,
											that is not what it looked like.
									","
											Trevor Copp: Quando ""Dança com as Estrelas""
foi para o ar pela primeira vez.
											não era este o aspeto que tinha.
									","
											Trevor Copp: Als ""Let's Dance""
erstmals ins Fernsehen kam,
											sah es nicht gerade so aus.
									",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
","
","
",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
											(Laughter)
									","
											(Risos)
									","
											(Lachen)
									",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
","
","
",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
											Jeff and I were full-time
ballroom dance instructors
											when the big TV ballroom revival hit,
											and this was incredible.
											I mean, one day we would say ""foxtrot,""
											and people were like ""Foxes trotting.""
									","
											Jeff e eu éramos professores
de danças de salão a tempo inteiro
											quando se deu a grande explosão
do salão de baile na TV.
											Foi uma coisa incrível!
											Ou seja, um dia dizíamos ""foxtrot"",
											e as pessoas andavam
tipo ""raposas""... ""a trotar?""
									","
											Jeff und ich waren Vollzeit-
Tanzlehrer für Gesellschaftstanz,
											als das große TV-Gesellschaftstanz-
Revival übertragen wurde
											und das war unglaublich.
											An einem Tag sagten wir ""Foxtrot""
											und die Leute so: ""Wie? Füchse trotten?""
									",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
","
","
",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
											(Laughter)
									","
											(Risos)
									","
											(Lachen)
									",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
","
","
",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
											And the next day they were telling us
											the finer points of a good feather step.
											And this blew our minds.
											I mean, all of the ballroom dance
geeking out that we had always done
											on why salsa worked differently
than the competitive rumba
											and why tango traveled unlike the waltz,
											all of that just hit
the public consciousness,
											and it changed everything.
									","
											No dia seguinte, vinham descrever-nos
											as subtilezas
de um bom ""feather step"".
											Isso fez-nos imensa impressão.
											Todas aquelas explicações de dança,
de entusiasta exagerado, que déramos
											sobre porque é que a salsa
era diferente da rumba de competição
											e porque é que o tango se dançava
de modo diferente da valsa,
											tudo isso, tinha atingido
a consciência do público
											e isso mudou tudo.
									","
											Doch schon am nächsten Tag
erzählten sie uns
											über die feinen Aspekte
eines guten Federschritts.
											Und dies haute uns echt um.
											All die Standardtänzer wurden zu Nerds,
so wie wir, wenn es darum geht,
											warum Salsa anders funktioniert
als die wetteifernde Rumba
											und warum man sich beim Tango
anders bewegt als beim Walzer.
											Über all dies machten
sich die Leute jetzt Gedanken,
											und das veränderte alles.
									",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
","
","
",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
											But running parallel to this excitement,
											the excitement that suddenly,
somehow, we were cool —
									","
											Mas, em paralelo com este entusiasmo,
											o entusiasmo de que, subitamente,
nós éramos o máximo...
									","
											Aber gleichzeitig
zu dieser Aufgeregtheit —
											die Aufgeregtheit, dass wir
auf einmal plötzlich cool waren —
									",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
","
","
",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
											(Laughter)
									","
											(Risos)
									","
											(Lachen)
									",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
","
","
",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
											there was also this reservation.
											Why this and why now?
									","
											... também havia algumas reservas.
											Porquê isto e porquê agora?
									","
											gab es auch Vorbehalte.
											Warum dies und warum jetzt?
									",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
","
","
",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
											Jeff Fox: When Trevor and I
would get together for training seminars
											or just for fun,
											we'd toss each other around, mix it up,
											take a break from having
to lead all the time.
											We even came up with a system
for switching lead and follow
											while we were dancing,
											as a way of taking turns and playing fair.
											It wasn't until we used that system
as part of a performance
											in a small festival
											that we got an important tap
on the shoulder.
											Lisa O'Connell, a dramaturge
and director of a playwright center,
											pulled us aside after the show and said,
											""Do you have any idea
how political that was?""
									","
											Jeff Fox: Quando o Trevor e eu
dançávamos juntos
											em seminários de formação
ou só para nos divertirmos,
											trocávamos de papel, misturávamos,
											para descansar de ter que estar
sempre a guiar a dança.
											Até arranjámos um sistema
de trocar quem guiava
											enquanto dançávamos,
revezando-nos e partilhando.
											Foi quando usámos esse sistema
integrado numa exibição
											num pequeno festival
											que sentimos uma importante
palmada no ombro.
											Lisa O'Connell, dramaturga e diretora
de um centro recreativo,
											puxou-nos de lado,
depois do espetáculo, e disse:
											""Fazem ideia de quanto
aquilo foi político?""
									","
											Jeff Fox: Wenn Trevor und ich
uns zu Schulungsseminaren treffen
											oder nur zum Spaß,
											schleudern wir uns gegenseitig
umher, wechseln uns ab,
											sodass jeder von uns mal führt.
											Wir haben ein System entwickelt
zum Wechsel von Führen und Folgen,
											beim Tanzen,
											bei dem wir uns abwechseln und fair sind.
											Erst als wir das System
als Teil einer Darbietung
											auf einem kleinen Fest vorführten,
											wurde uns auf die Schulter geklopft.
											Lisa O'Connell, eine Dramaturgin
und Leiterin eines Theaterzentrums
											nahm uns nach der Show
zur Seite und sagte:
											""Wissen Sie eigentlich,
wie politisch das gerade war?""
									",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
","
","
",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
											(Laughter)
									","
											(Risos)
									","
											(Lachen)
									",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
","
","
",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
											So that began an eight-year
collaboration to create a play
											which not only further developed
our system for switching
											but also explored the impact
of being locked into a single role,
											and what's worse,
											being defined by that single role.
									","
											Então, começou uma colaboração
de oito anos para criar uma peça
											que não só desenvolvia ainda mais
o nosso sistema de trocas
											como também explorava o impacto
de estar preso a um único papel
											e, o que é pior,
											de ser definido por esse único papel.
									","
											So begann eine 8-jährige Zusammenarbeit,
um ein Stück zu schaffen.
											Dabei entwickelten wir unser
Wechselsystem weiter
											und befassten uns damit, 
in einer einzigen Rolle festzustecken,
											und was noch schlimmer ist,
											über diese Rolle definiert zu werden.
									",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
"
","
","
",Ballroom dance that breaks gender roles,Trevor Copp and Jeff Fox,15:33,"art,beauty,creativity,dance,culture,entertainment,gender,performance,identity,performance art,social change,TEDx,society"
