en,pt,es,title,speaker,duration,tags
"
","
","
",Why Africa must become a center of knowledge again,Olúfẹ́mi Táíwò,13:30,"Africa,history,library,leadership,agriculture,resources,philosophy,society,rivers,water"
"
											What stands between Africa's current
prostrate condition
											and a future of prosperity and abundance
for its long-suffering populations?
											One word:
											knowledge.
											If Africa is to become a continent
that offers the best life for humans,
											it must become a knowledge society
											immediately.
											This is what I have called
""Africa's knowledge imperative.""
									","
											Qual é a maior barreira entre a condição
atual de prostração de África
											e um futuro de prosperidade e abundância
para os seus povos em longo sofrimento?
											Uma palavra:
											conhecimento.
											Se a África quiser oferecer as melhores
condições para a vida humana,
											terá que se tornar numa
sociedade de conhecimento
											imediatamente.
											Isto é o que chamei de
""Imperativo Africano de Conhecimento"".
									","
											¿Qué hay entre la postración 
actual de África
											y un futuro de prosperidad y abundancia 
para su población sufriente ?
											Una palabra:
											conocimiento.
											Si África va a ser un continente 
que ofrece mejor vida para los humanos,
											debe convertirse en 
una sociedad del conocimiento
											inmediatamente.
											Esto es lo que he llamado 
""el conocimiento imperativo de África"".
									",Why Africa must become a center of knowledge again,Olúfẹ́mi Táíwò,13:30,"Africa,history,library,leadership,agriculture,resources,philosophy,society,rivers,water"
"
","
","
",Why Africa must become a center of knowledge again,Olúfẹ́mi Táíwò,13:30,"Africa,history,library,leadership,agriculture,resources,philosophy,society,rivers,water"
"
											Our universities must reduce emphasis
on producing manpower
											for running our civil society,
											our economy
											and our political institutions.
											They should be dedicated mainly
to knowledge production.
											What sense is there
in producing civil engineers
											who are not supported
by soil scientists and geologists,
											who make it their business
to create knowledge about our soil
											and our rocks?
											What use is there in producing lawyers
											without juries who produce knowledge
											of the underlying philosophical
foundations of the legal system?
											We must seek knowledge.
											We must approach the matter of knowledge
											with a maniacal commitment,
											without let or hindrance.
									","
											As nossas universidades devem reduzir
a ênfase em produzir força de trabalho
											para gerir a nossa sociedade civil,
											a nossa economia,
											e as nossas instituições políticas.
											Devem dedicar-se principalmente
à produção de conhecimento.
											Que sentido faz produzir engenheiros civis
											sem o apoio de pedólogos e geólogos,
											que se dedicam à produção de conhecimento
sobre os nossos solos
											e sobre as nossas rochas?
											Que utilidade há em produzir advogados
											sem júris que produzam conhecimento
											sobre os pilares filosóficos
subjacentes ao sistema legal?
											Temos que ir em busca de conhecimento.
											Temos que nos focar
no tema do conhecimento
											com um empenho maníaco,
											sem entraves nem impedimentos.
									","
											Nuestras universidades deben reducir 
el énfasis en producir mano de obra
											para gobernar nuestra sociedad civil,
											nuestra economía
											y nuestras instituciones políticas.
											Deberían dedicarse principalmente 
a la producción de conocimiento.
											¿Qué sentido tiene 
producir ingenieros civiles
											sin apoyo de científicos y geólogos,
											que hacen su negocio creando 
conocimiento sobre nuestro suelo
											y nuestras rocas?
											¿De qué sirve producir abogados
											sin jurados que producen conocimiento
											de los fundamentos filosóficos 
subyacentes del sistema legal?
											Debemos buscar conocimiento.
											Debemos acercarnos a 
la cuestión del conocimiento
											con un compromiso maniático,
											sin cesar ante obstáculos.
									",Why Africa must become a center of knowledge again,Olúfẹ́mi Táíwò,13:30,"Africa,history,library,leadership,agriculture,resources,philosophy,society,rivers,water"
"
","
","
",Why Africa must become a center of knowledge again,Olúfẹ́mi Táíwò,13:30,"Africa,history,library,leadership,agriculture,resources,philosophy,society,rivers,water"
"
											Though we must seek knowledge
to solve problems we know of,
											we must also seek knowledge
											when there is no problem in view —
											especially when there
is no problem in view.
											We must seek to know as much
of what there is to know of all things,
											limited only by the insufficiency
of our human nature,
											and not only when the need arises.
											Those who do not seek knowledge
when it is not needed
											will not have it when they must have it.
									","
											Embora tenhamos que buscar conhecimento
para resolver os nossos problemas,
											devemos também buscar conhecimento
											quando não existem problemas
à nossa frente
											— especialmente quando não existem
problemas à nossa frente.
											Devemos procurar saber tanto quanto 
há para saber sobre todas as coisas,
											limitados apenas pela insuficiência
da nossa natureza humana,
											e não apenas quando é necessário.
											Aqueles que não procuram conhecimento 
quando ele não é preciso
											não o terão quando ele for necessário.
									","
											Aunque debemos buscar conocimiento 
para resolver problemas que conocemos,
											también debemos buscar el conocimiento
											cuando no hay ningún problema a la vista.
											Especialmente cuando no hay 
ningún problema a la vista.
											Debemos tratar de saber todo lo que hay 
que saber de todas las cosas,
											limitado solo por la insuficiencia 
de nuestra naturaleza humana,
											y no solo cuando surge la necesidad.
											Aquellos que no buscan conocimiento 
cuando no es necesario
											no lo tendrán cuando necesitan tenerlo.
									",Why Africa must become a center of knowledge again,Olúfẹ́mi Táíwò,13:30,"Africa,history,library,leadership,agriculture,resources,philosophy,society,rivers,water"
"
","
","
",Why Africa must become a center of knowledge again,Olúfẹ́mi Táíwò,13:30,"Africa,history,library,leadership,agriculture,resources,philosophy,society,rivers,water"
"
											The biggest crisis in Africa today
is the crisis of knowledge:
											how to produce it,
											how to manage it,
											and how to deploy it effectively.
											For instance, Africa does not
have a water crisis.
											It has a knowledge crisis
regarding its water,
											where and what types it is,
											how it can be tapped and made available
where and when needed to all and sundry.
											How does a continent that is home
											to some of the largest
bodies of water in the world —
											the Nile,
											the Niger,
											the Congo,
											the Zambezi
											and the Orange Rivers —
											be said to have a water crisis,
											including in countries
											where those rivers are?
											And that is only surface water.
									","
											A maior crise que a África atravessa hoje
é a crise de conhecimento:
											como produzi-lo,
											como geri-lo,
											e como implementá-lo de forma eficaz.
											Por exemplo, a África não tem 
uma crise de água.
											Tem uma crise de conhecimento
relativo à sua água,
											onde a tem e que tipos tem,
											como pode ser canalizada
e disponibilizada,
											onde e quando é precisa
para tudo e para todos.
											Como é possível dizer
que um continente que é lar
											dos maiores corpos de água do mundo
											— o Nilo,
											o Níger,
											o Congo,
											o Zambeze,
											e o Orange —
											tem uma crise de água,
											incluindo nos países
											onde residem esses rios?
											E isto é só a água à superfície.
									","
											La mayor crisis en África hoy 
es la crisis del conocimiento:
											cómo producirlo,
											cómo administrarlo,
											y cómo implementarlo 
de manera efectiva.
											Por ejemplo, África no tiene 
una crisis de agua.
											Tiene una crisis de conocimiento 
con respecto a su agua,
											dónde y de qué tipo es,
											cómo se puede aprovechar 
y poner a disposición
											donde y cuando sea necesario para todos.
											¿Cómo es posible que un continente
											con los recursos de agua 
más grandes del mundo,
											el Nilo,
											el Níger,
											el Congo,
											el Zambezi
											y los ríos Orange ,
											tiene una crisis de agua,
											incluso en países
											donde están esos ríos?
											Y eso es solo agua de la superficie.
									",Why Africa must become a center of knowledge again,Olúfẹ́mi Táíwò,13:30,"Africa,history,library,leadership,agriculture,resources,philosophy,society,rivers,water"
"
","
","
",Why Africa must become a center of knowledge again,Olúfẹ́mi Táíwò,13:30,"Africa,history,library,leadership,agriculture,resources,philosophy,society,rivers,water"
"
											While we wrongly dissipate our energies
fighting the wrong crises,
											all those who invest in knowledge about us
											are busy figuring out
how to pipe water from Libya's aquifers
											to quench Europe's thirst.
											Such is our knowledge
of our water resources
											that many of our countries have given up
											on making potable water a routine presence
											in the lives of Africans,
											rich or poor,
											high and low,
											rural and urban.
											We eagerly accept
what the merchants of misery
											and the global African Studies
safari professoriat
											and their aid-addled,
											autonomy-fearing African minions
											in government, universities
and civil society
											tell us regarding how nature
has been to stinting towards Africa
											when it comes to the distribution
of water resources in the world.
											We are content to run our cities
and rural dwellings alike
											on boreholes.
											How does one run metropolises
on boreholes and wells?
									","
											Enquanto gastamos as nossas energias
a lutar contra as crises erradas,
											todos aqueles que investem 
em conhecimento sobre nós
											estão ocupados a descobrir como canalizar
água dos aquíferos da Líbia
											para saciar a sede da Europa.
											O nosso conhecimento
sobre as nossas reservas de água é tão mau
											que muitos dos nossos países desistiram
											de tornar a água potável num bem diário
											na vida dos africanos,
											ricos ou pobres,
											altos e baixos,
											rurais e urbanos.
											Aceitamos ansiosamente aquilo
que os comerciantes da miséria
											e os catedráticos 
de Estudos Africanos globais
											e os seus confusos ajudantes,
											lacaios africanos
com receio da autonomia,
											no governo, nas universidades
e na sociedade civil,
											nos dizem para vermos como a natureza
tem limitado a África
											quando se fala sobre a distribuição
da água pelo mundo.
											Contentamo-nos em gerir as nossas cidades
e casas rurais da mesma forma
											com poços.
											Como é que se gere uma metrópole
com poços e fontes?
									","
											Mientras gastamos nuestra energía 
luchando contra crisis equivocadas,
											todos los que invierten 
en conocimiento sobre nosotros
											se ocupan de averiguar cómo 
extraer agua de los acuíferos de Libia
											para saciar la sed de Europa.
											Tan malo es nuestro conocimiento 
de nuestros recursos hídricos
											que muchos de nuestros países 
han abandonado
											hacer que el agua potable 
sea una presencia rutinaria
											en la vida de los africanos,
											ricos o pobres,
											altos y bajos,
											rurales y urbanos.
											Aceptamos con entusiasmo 
lo que los mercaderes de la miseria
											y los catedráticos de 
estudios globales africanos
											y sus confusos ayudantes,
											lacayos africanos 
temerosos de la autonomía
											en el gobierno, las universidades 
y la sociedad civil
											nos dicen cómo la naturaleza ataca África
											cuando se trata de la distribución 
de los recursos hídricos en el mundo.
											Nos contentamos en dirigir nuestras 
ciudades y viviendas rurales
											de igual forma como en los pozos.
											¿Cómo se administra
una metrópolis de pozos y fuentes?
									",Why Africa must become a center of knowledge again,Olúfẹ́mi Táíwò,13:30,"Africa,history,library,leadership,agriculture,resources,philosophy,society,rivers,water"
