en,es,de,title,speaker,duration,tags
"
","
","
",The art of first impressions — in design and life,Chip Kidd,18:57,"TED Books,books,creativity,design,literature"
"
											Blah blah blah blah blah.
											Blah blah blah blah,
											blah blah, blah blah blah blah blah blah.
											Blah blah blah, blah.
									","
											Bla, bla, bla, bla, bla.
											Bla, bla, bla, bla,
											bla, bla, bla, bla, bla, bla, bla, bla.
											Bla, bla, bla, bla.
									","
											Bla bla bla bla bla.
											Bla bla bla bla,
											bla bla, bla bla bla bla bla bla.
											Bla bla bla bla.
									",The art of first impressions — in design and life,Chip Kidd,18:57,"TED Books,books,creativity,design,literature"
"
","
","
",The art of first impressions — in design and life,Chip Kidd,18:57,"TED Books,books,creativity,design,literature"
"
											So what the hell was that?
											Well, you don't know
because you couldn't understand it.
											It wasn't clear.
											But hopefully, it was said
with enough conviction
											that it was at least
alluringly mysterious.
									","
											¿Qué diablos fue eso?
											Bueno, no lo saben
porque no podían entenderlo.
											No estaba claro.
											Pero es de esperar, que se dijera
con suficiente convicción
											que era al menos
seductoramente misterioso.
									","
											Was zum Henker war das?
											Sie wissen es nicht,
denn Sie konnten es nicht verstehen.
											Es war nicht deutlich.
											Aber hoffentlich war es mit
genügend Überzeugung gesagt,
											zumindest ein wenig verlockend mysteriös.
									",The art of first impressions — in design and life,Chip Kidd,18:57,"TED Books,books,creativity,design,literature"
"
","
","
",The art of first impressions — in design and life,Chip Kidd,18:57,"TED Books,books,creativity,design,literature"
"
											Clarity or mystery?
											I'm balancing these two things
in my daily work as a graphic designer,
											as well as my daily life as a New Yorker
											every day,
											and there are two elements
that absolutely fascinate me.
									","
											¿Claridad o misterio?
											Equilibro ambas cosas en mi trabajo
diario como diseñador gráfico,
											así como en mi vida diaria
como neoyorquino
											cada día,
											y hay dos elementos que
absolutamente me fascinan.
									","
											Klarheit oder Rätsel?
											In meiner täglichen Arbeit als Designer
halte ich beide Dinge im Gleichgewicht,
											genau so wie mein tägliches Leben
als New Yorker,
											und zwei Elemente faszinieren mich sehr.
									",The art of first impressions — in design and life,Chip Kidd,18:57,"TED Books,books,creativity,design,literature"
"
","
","
",The art of first impressions — in design and life,Chip Kidd,18:57,"TED Books,books,creativity,design,literature"
"
											Here's an example.
											Now, how many people know what this is?
											Okay. Now how many people
know what this is?
											Okay. Thanks to two more deft strokes
by the genius Charles M. Schulz,
											we now have seven deft strokes
that in and of themselves
											create an entire emotional life,
											one that has enthralled
hundreds of millions of fans
											for over 50 years.
											This is actually a cover of a book
											that I designed about the work
of Schulz and his art,
											which will be coming out this fall,
											and that is the entire cover.
											There is no other typographic information
or visual information on the front,
											and the name of the book
is ""Only What's Necessary.""
											So this is sort of symbolic about
the decisions I have to make every day
											about the design that I'm perceiving,
											and the design I'm creating.
									","
											He aquí un ejemplo.
											¿Cuánta gente sabe qué es esto?
											Ahora ¿cuánta gente sabe qué es esto?
											Gracias a dos hábiles trazos adicionales
del genio de Charles M. Schulz,
											ahora tenemos que siete trazos
hábiles que en sí mismos
											crean toda una completa vida emocional,
											que ha cautivado
a cientos de millones de fans
											hace más de 50 años.
											Esto es en verdad
la cubierta de un libro
											que diseñé para
la obra de Schulz y su arte,
											que se publica este otoño,
											y esa es toda la cubierta.
											No hay otra información tipográfica
o visual en la parte frontal,
											y el nombre del libro
es ""Solo lo necesario"".
											Esto es algo simbólico acerca de las
decisiones que debo tomar todos los días
											sobre el diseño que percibo,
											y el diseño que creo.
									","
											Hier ist ein Beispiel.
											Wieviele von Ihnen wissen, was das ist?
											Okay. Wie viele von Ihnen
wissen jetzt, was das ist?
											Okay. Dank zweier geschickter Striche
des Genies Charles M. Schulz
											haben wir nun sieben flinke Striche,
											die in sich ein vollständiges,
emotionales Leben schaffen.
											Eines, das hundert Millionen Fans
über 50 Jahre gefesselt hat.
											Das ist eigentlich das Buchcover,
											das ich über das Werk und die Kunst
von Schulz designt habe
											und das diesen Herbst herauskommen wird.
											Das ist der vollständige Einband.
											Auf der Vorderseite ist keine weitere
schriftliche oder grafische Information
											und der Name des Buches ist
[Deutsch] ""Nur das Notwendige"".
											Das steht also symbolisch für
alle täglichen Entscheidungen
											über das Design, das mir auffällt
und das ich gestalte.
									",The art of first impressions — in design and life,Chip Kidd,18:57,"TED Books,books,creativity,design,literature"
"
","
","
",The art of first impressions — in design and life,Chip Kidd,18:57,"TED Books,books,creativity,design,literature"
"
											So clarity.
											Clarity gets to the point.
											It's blunt. It's honest. It's sincere.
											We ask ourselves this.
[""When should you be clear?""]
									","
											Así que claridad.
											Claridad llega al punto.
											Es contundente.
Es honesta. Es sincera.
											Nos preguntamos esto.
[""¿Cuándo se debe ser claro?""]
									","
											Zur Klarheit.
											Klarheit kommt zum Punkt.
											Sie ist unverblümt,
ehrlich und aufrichtig.
											Wir fragen uns:
[""Wann sollten wir klar sein?""]
									",The art of first impressions — in design and life,Chip Kidd,18:57,"TED Books,books,creativity,design,literature"
"
","
","
",The art of first impressions — in design and life,Chip Kidd,18:57,"TED Books,books,creativity,design,literature"
