en,pt,fr,tr,es,title,speaker,duration,tags
"
","
","
","
","
",Will there ever be a mile-high skyscraper?,Stefan Al,4:44,"TED-Ed,animation,physics,architecture,cities,technology,infrastructure,innovation,invention"
"
											In 1956,
											architect Frank Lloyd Wright
											proposed a mile-high skyscraper.
											It was going to be the world’s 
tallest building,
											by a lot —
											five times as high as the Eiffel Tower.
											But many critics laughed at the architect,
											arguing that people would have to wait 
hours for an elevator,
											or worse, that the tower would collapse 
under its own weight.
											Most engineers agreed,
											and despite the publicity 
around the proposal,
											the titanic tower was never built.
									","
											Em 1956, o arquiteto Frank Lloyd Wright
											propôs um arranha-céus
com 1600 m de altura.
											Seria o edifício mais alto do mundo.
											Por uma enorme diferença
											— cinco vezes mais alto
do que a Torre Eiffel.
											Mas muitos críticos riram-se do arquiteto,
											argumentando que as pessoas
teriam de esperar horas por um elevador
											ou, pior ainda, a torre desmoronar-se-ia
sob o seu próprio peso.
											Muitos engenheiros concordaram
											e. apesar da publicidade
em volta desta proposta,
											a titânica torre nunca foi construída.
									","
											En 1956,
											l'architecte Frank Lloyd Wright 

											a proposé un gratte-ciel 
de 1 600 mètres de haut.
											Ça aurait été le bâtiment
le plus haut du monde,
											très haut —
											de cinq fois plus haut que la Tour Eiffel.
											Mais de nombreux critiques 
se sont moqués de l'architecte,
											arguant que les gens devraient 
attendre des heures pour un ascenseur,
											ou pire, que la tour s'effondrerait
sous son propre poids.
											Les ingénieurs étaient d'accord,
											et malgré la publicité 
autour de la proposition,
											la tour titanesque
n'a jamais été construite.
									","
											1956'da
											Mimar Frank Lloyd Wright
											1,6 km yüksekliğinde bir gökdelen önerdi.
											Dünyanın en uzun binası olacaktı,
											oldukça uzun —
											Eyfel Kulesi'nin 5 katı kadar.
											Ama birçok eleştirmen, insanların asansör
için saatlerce beklemesi gerektiğini
											veya daha da kötüsü kulenin 
kendi ağırlığı altında yıkılacağını
											söyleyerek mimarla alay ettiler.
											Çoğu mühendis aynı fikirdeydi
											ve önerinin tanıtımına rağmen
											dev kule hiçbir zaman inşa edilmedi.
									","
											En 1956,
											el arquitecto Frank Lloyd Wright
											propuso un rascacielos
de 1,5 km de altura.
											Sería el edificio más alto del mundo
por mucha diferencia:
											cinco veces más que la Torre Eiffel.
											Pero muchos críticos
se burlaron del arquitecto,
											argumentando que la gente
pasaría horas esperando el ascensor,
											o peor, que la torre colapsaría
											bajo su propio peso
											La mayoría de los ingenieros concordaban
											y, pese a la publicidad de la propuesta,
											esa torre titánica nunca se construyó.
									",Will there ever be a mile-high skyscraper?,Stefan Al,4:44,"TED-Ed,animation,physics,architecture,cities,technology,infrastructure,innovation,invention"
"
","
","
","
","
",Will there ever be a mile-high skyscraper?,Stefan Al,4:44,"TED-Ed,animation,physics,architecture,cities,technology,infrastructure,innovation,invention"
"
											But today,
											bigger and bigger buildings are going up 
around the world.
											Firms are even planning skyscrapers 
more than a kilometer tall,
											like the Jeddah Tower in Saudi Arabia,
											three times the size of the Eiffel Tower.
											Very soon,
											Wright’s mile-high miracle 
may be a reality.
									","
											Mas, hoje, elevam-se edifícios
cada vez mais altos por todo o mundo.
											Há empresas que planeiam arranha-céus
com mais de 1000 m de altura,
											como a Torre Jeddah, na Arábia Saudita,
											três vezes mais altas
do que a Torre Eiffel.
											Dentro em breve,
											o milagre de Wright de 1600 m
de altura pode vir a ser uma realidade.
									","
											Mais aujourd'hui,
											des bâtiments de plus en plus grands
montent dans le monde entier.
											Les entreprises prévoient même 
des gratte-ciel de plus d’un kilomètre,
											comme la Tour du Royaume
en Arabie saoudite,
											trois fois plus grande que la tour Eiffel.
											Très bientôt,
											la tour miraculeuse de Wright
pourrait devenir réalité.
									","
											Ama günümüzde,
											çok daha büyük binalar 
dünyanın her yerinde dikiliyorlar.
											Şirketler, Eyfel Kulesi'nin üç katı olan
											Suudi Arabistan'daki Kraliyet Kulesi gibi
											bir kilometre yüksekliğinden daha 
uzun gökdelenler bile planlıyorlar.
											Yakında,
											Wright'ın 1,6 km yüksekliğindeki 
mucizesi gerçek olabilir.
									","
											Hoy, sin embargo, se construyen edificios
cada vez más altos en todo el mundo.
											Incluso hay empresas que planean construir
rascacielos de más de 1 km de altura,
											como la Torre Jeddah en Arabia Saudita,
											tres veces más alta que la Torre Eiffel.
											Muy pronto, la maravilla de Wright
de 1,5 km de alto podría hacerse realidad.
									",Will there ever be a mile-high skyscraper?,Stefan Al,4:44,"TED-Ed,animation,physics,architecture,cities,technology,infrastructure,innovation,invention"
"
","
","
","
","
",Will there ever be a mile-high skyscraper?,Stefan Al,4:44,"TED-Ed,animation,physics,architecture,cities,technology,infrastructure,innovation,invention"
"
											So what exactly was stopping us
											from building these megastructures 
70 years ago,
											and how do we build something 
a mile high today?
									","
											O que é que nos impedia, há 70 anos,
											de construir essas megaestruturas
											e como é que construímos hoje
um edifício com 1600 m de altura?
									","
											Alors, qu'est-ce qui nous empêchait 

											de construire ces mégastructures 
il y a 70 ans,
											comment construisons-nous aujourd'hui
quelque chose d'un kilomètre de haut ?
									","
											70 yıl önce bizi bu dev yapıları
inşa etmekten
											alıkoyan tam olarak neydi
											ve bugün nasıl olur da 1,6 km
yüksekliğinde bir şey inşa ediyoruz?
									","
											¿Qué era entonces lo que nos impedía
construir estas megaestructuras
											hace 70 años,
											y cómo construimos hoy 
una estructura de 1,5 km de alto?
									",Will there ever be a mile-high skyscraper?,Stefan Al,4:44,"TED-Ed,animation,physics,architecture,cities,technology,infrastructure,innovation,invention"
"
","
","
","
","
",Will there ever be a mile-high skyscraper?,Stefan Al,4:44,"TED-Ed,animation,physics,architecture,cities,technology,infrastructure,innovation,invention"
"
											In any construction project,
											each story of the structure needs to be 
able to support the stories on top of it.
											The higher we build,
											the higher the gravitational pressure 
from the upper stories on the lower ones.
											This principle has long dictated 
the shape of our buildings,
											leading ancient architects to favor 
pyramids with wide foundations
											that support lighter upper levels.
											But this solution doesn’t quite translate 
to a city skyline–
											a pyramid that tall would be roughly 
one-and-a-half miles wide,
											tough to squeeze into a city center.
									","
											Em qualquer projeto de construção,
											cada piso da estrutura tem de poder
suportar os pisos que tiver por cima.
											Quanto mais alta for a construção,
											maior será a pressão da gravidade
dos pisos superiores sobre os inferiores.
											Este princípio sempre ditou
a forma dos nossos edifícios,
											levando os antigos arquitetos 
a preferir pirâmides com bases amplas
											que suportavam níveis superiores
mais leves.
											Mas esta solução não corresponde
à silhueta duma cidade
											— uma pirâmide dessa altura teria
uns 2400 m de lado,
											difícil de inserir no centro
duma cidade.
									","
											Dans tout projet de construction,
											chaque étage de la structure doit pouvoir
supporter les étages supérieurs.
											Plus nous construisons haut,
											plus le poids des étages supérieurs
sur les étages inférieurs augmente.
											Ce principe a longtemps dicté
la forme de nos bâtiments,
											amenant les architectes antiques
à privilégier les pyramides
											aux fondations larges
											qui supportent des 
niveaux supérieurs plus légers.
											Mais cette solution ne correspond pas 
tout à fait à l’horizon de la ville –
											une pyramide aussi haute aurait environ
un kilomètre et demi de largeur,
											et serait difficile à placer
dans un centre-ville.
									","
											Herhangi bir inşaat projesinde
											yapının her katı üzerindeki katları
destekleyebilecek güçte olmalıdır.
											Daha yüksek inşa ettikçe
											üst katların aşağıdakilere yerçekimi 
baskısı daha fazla olacaktır.
											Bu ilke, eski mimarların 
daha hafif üst katları destekleyen
											geniş temelli piramitleri 
tercih etmelerine yol açarak
											binalarımızın şeklini etkiledi.
											Ama bu çözüm tam olarak şehre uymuyor—
											o kadar yükseklikteki bir bina 
hemen hemen 2,4 km genişliğinde olurdu
											ki bu binayı şehir merkezine
sığdırmak zor olurdu.
									","
											En toda construcción,
											cada nivel de la estructura debe ser capaz
de resistir los niveles superiores.
											Cuanto más alta es la estructura,
											mayor es el peso que ejercen
los pisos de arriba sobre los de abajo.
											Este principio dicta desde hace tiempo
el diseño de los edificios,
											y llevó a los arquitectos de la antigüedad
a optar por pirámides con bases anchas
											que soportan los niveles
superiores más livianos.
											Pero esta solución no se presta muy bien
al diseño del paisaje urbano.
											Una pirámide de esa altura
tendría unos 2400 metros de ancho,
											difícil de acomodar
en el centro de una ciudad.
									",Will there ever be a mile-high skyscraper?,Stefan Al,4:44,"TED-Ed,animation,physics,architecture,cities,technology,infrastructure,innovation,invention"
"
","
","
","
","
",Will there ever be a mile-high skyscraper?,Stefan Al,4:44,"TED-Ed,animation,physics,architecture,cities,technology,infrastructure,innovation,invention"
"
											Fortunately, strong materials like 
concrete can avoid this impractical shape.
											And modern concrete blends are reinforced 
with steel-fibers for strength
											and water-reducing polymers 
to prevent cracking.
											The concrete in the world’s tallest tower,
Dubai’s Burj Khalifa,
											can withstand about 8,000 tons of pressure
per square meter–
											the weight of over 1,200 
African elephants!
									","
											Felizmente, materiais fortes, como o betão
podem evitar esta forma impraticável.
											O betão moderno é reforçado
com fibras de aço para ser mais forte
											e com polímeros que reduzem a água
que impedem as rachas.
											O betão na torre mais alta do mundo,
a Burj Khalifa, no Dubai,
											aguenta cerca de 8000 toneladas
de pressão por metro quadrado
											— o peso de mais de 1200
elefantes africanos!
									","
											Heureusement, des matériaux solides
comme le béton peuvent éviter
											cette forme peu pratique.
											Et les mélanges de béton modernes
sont renforcés avec des fibres d'acier
											pour la résistance
											et des polymères réducteurs d'eau
pour empêcher la fissuration.
											Le béton de la plus haute tour du monde,
le Burj Khalifa de Dubaï,
											peut supporter environ 8 000 tonnes
de pression par mètre carré,
											soit le poids de plus
de 1 200 éléphants d’Afrique !
									","
											Neyse ki, beton gibi güçlü materyaller 
bu uygulanamaz şekli önleyebilir.
											Modern beton karışımları, güç için çelik 
liflerle ve çatlatmayı önlemek için
											su azaltıcı polimelerle 
güçlendirilmektedir.
											Dünyanın en yüksek kulesi 
Dubai'nin Burj Khalifa'sı
											metrekare başına 8000 
tonluk baskıya dayanabilir
											ki bu 1200'ü aşkın Afrika
filin ağırlığına denktir.
									","
											Por suerte, los materiales
resistentes como el hormigón
											nos evitan esta forma tan poco práctica.
											Los hormigones modernos están reforzados
con fibras de acero para mayor resistencia
											y con polímeros reductores de agua
para prevenir la formación de grietas.
											El hormigón del Burj Khalifa en Dubái,
la torre más alta del mundo,
											tiene una resistencia aproximada
de 8000 toneladas por metro cuadrado.
											¡Sería el peso equivalente
a más de 1200 elefantes africanos!
									",Will there ever be a mile-high skyscraper?,Stefan Al,4:44,"TED-Ed,animation,physics,architecture,cities,technology,infrastructure,innovation,invention"
