en,es,tr,pt,title,speaker,duration,tags
"
","
","
","
",A crash course in organic chemistry,Jakob Magolan,15:53,"chemistry,TEDx,education,science,teaching"
"
											I'd like you to ask yourself,
											what do you feel when you hear
the words ""organic chemistry?""
											What comes to mind?
											There is a course offered
at nearly every university,
											and it's called Organic Chemistry,
											and it is a grueling, heavy
introduction to the subject,
											a flood of content
that overwhelms students,
											and you have to ace it if you want
to become a doctor or a dentist
											or a veterinarian.
											And that is why so many students
perceive this science like this ...
											as an obstacle in their path,
											and they fear it and they hate it
											and they call it a weed-out course.
											What a cruel thing for a subject
to do to young people,
											weed them out.
											And this perception spread
beyond college campuses long ago.
											There is a universal anxiety
about these two words.
									","
											Quisiera que se preguntaran
											qué es lo que sienten cuando oyen
las palabras ""química orgánica"".
											¿Qué les viene a la mente?
											En casi todas las universidades
se dicta una materia
											llamada Química Orgánica,
											y es una dura y pesada
introducción al tema.
											Es un aluvión de información
que abruma a los alumnos
											y hay que aprobarla sí o sí
para ser médico o dentista
											o veterinario.
											Y por eso hay tantos alumnos
que ven a esta ciencia así:
											como un obstáculo en su camino.
											Le temen, la odian
											y dicen que es una ""materia filtro"".
											Qué cosa tan cruel
para hacerle a los jóvenes:
											""filtrarlos"".
											Esta percepción se extendió
más allá del campus hace tiempo.
											Estas dos palabras provocan
una ansiedad universal.
									","
											Kendinize sormanızı
istiyorum.
											""Organik Kimya"" lafını duyunca
ne hissediyorsunuz?
											Aklınıza neler geliyor?
											Neredeyse her üniversitede
											organik kimya adında bir ders vardır.
											Konuya ağır, işkence
gibi bir giriş yapılır.
											Öğrenciler içeriğin
yoğunluğundan bunalır.
											Eğer doktor, diş hekimi ya da
veteriner olmak istiyorsanız
											bu dersi geçmek zorundasınız.
											Bu yüzden pek çok öğrenci
bu bilimi önlerine konulan
											bir engel olarak görür,
											ondan korkar ve nefret eder.
											Ona ayıklama dersi diyorlar.
											Bir dersin gençlere yapabileceği
en kötü şey
											onları ayıklamak.
											Bu algı çok uzun zamandır
üniversite dışına yayılmış durumda.
											Bu iki kelimeyle 
ilgili evrensel bir korku var.
									","
											Gostava de vos perguntar:
											O que sentem quando ouvem dizer
as palavras ""química orgânica""?
											O que vos vem à cabeça?
											Há uma cadeira em quase
todas as universidades
											que se chama Química Orgânica.
											É uma pesada introdução
exaustiva ao tema,
											uma torrente de conteúdos
que esmaga os estudantes
											e que temos que fazer
para sermos médicos ou dentistas
											ou veterinários.
											É por isso que muitos estudantes
encaram esta ciência assim:
											como um obstáculo no seu caminho.
											Têm medo dela e odeiam-na.
											Chamam-lhe uma cadeira eliminatória.
											Que coisa cruel haver um tema
que elimina jovens.
											Esta perceção espalhou-se há muito tempo
											pelos campus universitários.
											Há uma ansiedade universal
em relação a estas duas palavras.
									",A crash course in organic chemistry,Jakob Magolan,15:53,"chemistry,TEDx,education,science,teaching"
"
","
","
","
",A crash course in organic chemistry,Jakob Magolan,15:53,"chemistry,TEDx,education,science,teaching"
"
											I happen to love this science,
											and I think this position
in which we have placed it
											is inexcusable.
											It's not good for science,
and it's not good for society,
											and I don't think it has to be this way.
											And I don't mean that this class
should be easier. It shouldn't.
											But your perception of these two words
											should not be defined
by the experiences of premed students
											who frankly are going through
a very anxious time of their lives.
											So I'm here today because I believe
											that a basic knowledge
of organic chemistry is valuable,
											and I think that it can be made
accessible to everybody,
											and I'd like to prove that to you today.
											Would you let me try?
									","
											Pero encanta esta ciencia
											y creo que el lugar que le hemos dado
											es inexcusable.
											No es bueno para la ciencia,
no es bueno para la sociedad,
											y yo no creo que tenga que ser así.
											Y con esto no quiero decir que 
el curso debería ser más fácil.
											No debería serlo.
											Pero la idea que Uds. tienen
de estas dos palabras...
											[química orgánica]
											no debería depender de la experiencia
de los aspirantes a medicina
											que francamente están pasando
por una etapa de mucha tensión.
											Así que hoy estoy aquí porque creo
											que vale la pena saber lo básico
de química orgánica
											y creo que puede ser accesible para todos,
											y hoy me gustaría demostrarlo.
											¿Me dejan intentarlo?
									","
											Bu bilimi hep sevdim
											ve onu böyle bir 
duruma getirmiş olmamızın
											bir mazereti yok.
											Ne bilim için ne de toplum için iyi
											ve bence böyle olmamalı.
											Bu ders daha kolay olmalı demiyorum.
Zaten olmamalı.
											Fakat bu iki kelimeden anladığınız
											hayatlarının çok sıkıntılı bir döneminde
olan tıp hazırlık sınıfı öğrencilerinin
											deneyimleriyle eş değer olmamalı.
											Bugün buradayım çünkü
											temel organik kimya bilgisinin
değerli olduğuna inanıyorum.
											Bence herkesin anlayabileceği
şekilde anlatılabilir.
											Bugün size bunu kanıtlamak istiyorum.
											Denememe izin verir misiniz?
									","
											Acontece que eu adoro esta ciência
											e penso que esta posição
em que foi colocada
											é indesculpável.
											Não é boa para a ciência,
e não é boa para a sociedade.
											Penso que não tem que ser assim.
											E não estou a dizer que esta cadeira
devia ser mais fácil, nada disso.
											Mas a vossa perceção destas duas palavras
											não devia ser definida pela experiência
de estudantes de medicina
											que, francamente, passam
por uma época muito ansiosa da vida.
											Assim, venho aqui porque creio
											que um conhecimento básico
de química orgânica é valioso
											e penso que pode ser acessível
a toda a gente.
											Gostava de provar isso hoje.
											Posso tentar?
									",A crash course in organic chemistry,Jakob Magolan,15:53,"chemistry,TEDx,education,science,teaching"
"
","
","
","
",A crash course in organic chemistry,Jakob Magolan,15:53,"chemistry,TEDx,education,science,teaching"
"
											Audience: Yeah!
									","
											Público: ¡Sí!
									","
											Seyirciler: Evet!
									","
											Audiência: Sim!
									",A crash course in organic chemistry,Jakob Magolan,15:53,"chemistry,TEDx,education,science,teaching"
"
","
","
","
",A crash course in organic chemistry,Jakob Magolan,15:53,"chemistry,TEDx,education,science,teaching"
"
											Jakob Magolan: All right, let's go for it.
									","
											Jakob Magolan: Muy bien, ¡allá vamos!
									","
											Peki o zaman başlayalım.
									","
											Jakob Magolan: Ok, vamos lá.
									",A crash course in organic chemistry,Jakob Magolan,15:53,"chemistry,TEDx,education,science,teaching"
"
","
","
","
",A crash course in organic chemistry,Jakob Magolan,15:53,"chemistry,TEDx,education,science,teaching"
"
											(Laughter)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											(Risos)
									",A crash course in organic chemistry,Jakob Magolan,15:53,"chemistry,TEDx,education,science,teaching"
