en,pt,tr,de,fr,title,speaker,duration,tags
"
","
","
","
","
",What it's like to be Muslim in America,Dalia Mogahed,16:16,"faith,culture,Islam,United States"
"
											What do you think when you look at me?
											A woman of faith? An expert?
											Maybe even a sister.
											Or oppressed,
											brainwashed,
											a terrorist.
											Or just an airport security line delay.
											That one's actually true.
									","
											O que é que pensam quando olham para mim?
											Uma mulher de fé? Uma especialista?
											Talvez uma irmã.
											Ou uma pessoa oprimida,
											a quem fizeram uma lavagem ao cérebro,
											uma terrorista.
											Ou apenas um atraso
na fila de segurança do aeroporto.
											Esta última, por acaso, é verdade.
									","
											Bana baktığınızda ne düşünüyorsunuz?
											İnançlı bir kadın? Bir uzman?
											Belki bir abla.
											Ya da baskılara maruz kalmış,
											beyni yıkanmış,
											bir terörist.
											Ya da sadece havaalanı güvenlik görevlisi.
											Aslında doğru olan bu.
									","
											Was denken Sie, wenn Sie mich ansehen?
											Eine Gläubige? Eine Expertin?
											Vielleicht sogar eine Schwester.
											Oder unterdrückt,
											einer Gehirnwäsche unterzogen,
											eine Terroristin?
											Oder ganz einfach eine Verzögerung
beim Sicherheitscheck am Flughafen.
											Das ist tatsächlich wahr.
									","
											À quoi pensez-vous en me regardant ?
											Une femme de foi ? Une experte ?
											Peut-être même une sœur.
											Ou une femme opprimée,
											endoctrinée,
											une terroriste.
											Ou juste un retard
pour passer la sécurité à l'aéroport.
											Celle-là est vraie.
									",What it's like to be Muslim in America,Dalia Mogahed,16:16,"faith,culture,Islam,United States"
"
","
","
","
","
",What it's like to be Muslim in America,Dalia Mogahed,16:16,"faith,culture,Islam,United States"
"
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Lachen)
									","
											(Rires)
									",What it's like to be Muslim in America,Dalia Mogahed,16:16,"faith,culture,Islam,United States"
"
","
","
","
","
",What it's like to be Muslim in America,Dalia Mogahed,16:16,"faith,culture,Islam,United States"
"
											If some of your perceptions were negative,
I don't really blame you.
											That's just how the media
has been portraying
											people who look like me.
											One study found
											that 80 percent of news coverage
about Islam and Muslims is negative.
											And studies show that Americans
say that most don't know a Muslim.
											I guess people don't talk
to their Uber drivers.
									","
											Se alguma das vossas suposições
foi negativa, não vos censuro.
											É assim que os ""media"" têm retratado
											pessoas com o meu aspeto.
											Um estudo descobriu
											que 80% das notícias sobre o Islão
e os muçulmanos são negativas.
											E há estudos que mostram que a maioria dos
norte-americanos não conhece um muçulmano.
											Acho que as pessoas não falam
com os motoristas da Uber.
									","
											Eğer olumsuz fikirleriniz varsa,
sizleri suçlamıyorum.
											Medya benim gibi görünen insanları
											bu şekilde resmediyor.
											Yapılan bir çalışma,
											İslam ve Müslümanlarla ilgili haberlerin
%80'inin olumsuz olduğunu göstermiştir.
											Ve araştırmalara göre birçok Amerikalı
bir Müslümanın ne olduğunu bilmiyor.
											Sanırım insanlar, Uber sürücüleri ile
konuşmuyorlar.
									","
											Ich gebe Ihnen nicht die Schuld 
für Ihre negativen Eindrücke.
											So stellen die Medien Leute dar,
											die so aussehen wie ich.
											Eine Studie ergab,
											dass 80 % der Berichterstattung
über den Islam und Muslime negativ ist.
											Studien zeigen: Die Amerikaner meinen,
die meisten würden keine Muslime kennen.
											Vermutlich sprechen die Leute nicht
mit ihren Uber-Fahrern.
									","
											Je ne vous blâme pas, si l'une
de vos perceptions était négative.
											C'est juste la façon dont les gens
comme moi sont décrits dans les médias.
											Une étude a révélé
											que 80 % des actualités sur l'islam
et les musulmans sont négatives.
											D'autres que la plupart des Américains
disent ne connaître aucun musulman.
											Je suppose qu'ils ne parlent pas
avec leurs chauffeurs Uber.
									",What it's like to be Muslim in America,Dalia Mogahed,16:16,"faith,culture,Islam,United States"
"
","
","
","
","
",What it's like to be Muslim in America,Dalia Mogahed,16:16,"faith,culture,Islam,United States"
"
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Lachen)
									","
											(Rires)
									",What it's like to be Muslim in America,Dalia Mogahed,16:16,"faith,culture,Islam,United States"
"
","
","
","
","
",What it's like to be Muslim in America,Dalia Mogahed,16:16,"faith,culture,Islam,United States"
"
											Well, for those of you
who have never met a Muslim,
											it's great to meet you.
											Let me tell you who I am.
											I'm a mom, a coffee lover —
											double espresso, cream on the side.
											I'm an introvert.
											I'm a wannabe fitness fanatic.
											And I'm a practicing, spiritual Muslim.
											But not like Lady Gaga says,
because baby, I wasn't born this way.
											It was a choice.
									","
											Para aqueles que nunca conheceram
um muçulmano,
											é um prazer conhecer-vos.
											Vou dizer-vos quem sou.
											Sou mãe, adoro café
											— expresso duplo, com natas à parte.
											Sou introvertida.
											Sou fanática por me manter em forma.
											E sou muçulmana espiritual praticante.
											Mas não como diz a Lady Gaga,
""porque, querida, eu não nasci assim"".
											Foi uma escolha.
									","
											Daha önce bir Müslümanla
tanışmamış olanlar,
											sizinle tanıştığıma çok memnun oldum.
											Müsaadenizle size kim olduğumu anlatayım.
											Ben bir anneyim, bir kahve aşığıyım —
											double espresso, yanında krema.
											İçine kapanık biriyim.
											Özenti bir fitnes fanatiğiyim.
											Ve ibadetlerini yapan,
dindar bir Müslümanım.
											Ama Lady Gaga'nın dediği gibi değil,
çünkü bebeğim, ben böyle doğmadım.
											Bu bir seçimdi.
									","
											Für alle die, die noch nie
einen Muslimen kennengelernt haben:
											Es ist großartig, Sie kennenzulernen.
											Ich sage Ihnen, wer ich bin.
											Ich bin eine Mutter,
eine Kaffeeliebhaberin —
											doppelter Espresso, mit Sahne extra.
											Ich bin introvertiert,
											eine Möchtegern-Fitness-Fanatikerin,
											und ich bin eine praktizierende,
spirituelle Muslimin.
											Aber nicht wie Lady Gaga singt,
denn, Baby, ich wurde nicht so geboren.
											Ich habe mich dazu entschieden.
									","
											Alors, pour ceux d'entre vous
qui n'ont jamais rencontré un musulman,
											c'est un plaisir de vous rencontrer !
											Permettez-moi de me présenter.
											Je suis une mère, une amatrice de café —
											double expresso, crème à part —
											je suis introvertie,
											j'aspire à une bonne forme physique
											et je suis une musulmane
pratiquante et spirituelle.
											Mais pas comme l'a dit Lady Gaga,
car bébé je ne suis pas née ainsi.
											C'était un choix.
									",What it's like to be Muslim in America,Dalia Mogahed,16:16,"faith,culture,Islam,United States"
"
","
","
","
","
",What it's like to be Muslim in America,Dalia Mogahed,16:16,"faith,culture,Islam,United States"
"
											When I was 17, I decided to come out.
											No, not as a gay person
like some of my friends,
											but as a Muslim,
											and decided to start wearing
the hijab, my head covering.
											My feminist friends were aghast:
											""Why are you oppressing yourself?""
											The funny thing was,
											it was actually at that time
a feminist declaration of independence
											from the pressure I felt as a 17-year-old,
											to conform to a perfect
and unattainable standard of beauty.
											I didn't just passively accept
the faith of my parents.
											I wrestled with the Quran.
											I read and reflected
and questioned and doubted
											and, ultimately, believed.
											My relationship with God —
it was not love at first sight.
											It was a trust and a slow surrender
											that deepened with every
reading of the Quran.
											Its rhythmic beauty
sometimes moves me to tears.
											I see myself in it.
I feel that God knows me.
											Have you ever felt like someone sees you,
completely understands you
											and yet loves you anyway?
											That's how it feels.
									","
											Quando tinha 17 anos, decidi revelar-me.
											Não, não como ""gay"",
como algumas das minhas amigas,
											mas como muçulmana.
											Decidi começar a usar o hijab,
andar de lenço na cabeça.
											As minhas amigas feministas
ficaram horrorizadas:
											""Porque é que te oprimes?""
											O engraçado é que, nessa altura,
											foi uma declaração
feminista de independência
											da pressão que eu sentia,
aos 17 anos,
											de obedecer a um padrão perfeito
e inatingível de beleza.
											Eu não aceitei passivamente
a fé dos meus pais.
											Lutei com o Corão.
											Li e refleti,
questionei e duvidei
											e acabei por acreditar.
											A minha relação com Deus
não foi amor à primeira vista.
											Foi uma rendição confiante e lenta
											que se aprofundou
a cada leitura do Corão.
											A sua beleza rítmica, por vezes,
emociona-me até às lágrimas.
											Revejo-me nela.
Sinto que Deus me conhece.
											Já sentiram que alguém vos vê,
vos compreende totalmente
											e, apesar disso, vos ama?
											É isso que eu sinto.
									","
											17 yaşındayken, açıklamaya karar verdim.
											Hayır, bazı gay arkadaşlarım gibi değil,
											ama bir Müslüman olarak
											ve başörtüsü takmaya başladım,
başımı kapattım.
											Feminist arkadaşlarım donakaldı:
											""Kendini neden baskılıyorsun?""
											İşin garip yanı,
											tam o sıralarda feminist
bağımsızlık bildirgesi çıkmıştı.
											17 yaşımda hissettiğim baskıdan
											mükemmel ve erişilemez bir
güzellik standardına bağlanmıştım.
											Ailemin inançlarını
pasif olarak kabul etmedim.
											Kur'an ile mücadele ettim.
											Okudum ve düşündüm
ve sorguladım ve şüphelendim
											ve sonunda inandım.
											Tanrı ile olan ilişkim —
ilk görüşte aşk değildi.
											Kur'an'ı her okuyuşumla derinleşen
											bir güven ve yavaş bir teslim oluştu.
											Ritmik güzelliği bazen
göz yaşlarımla karışıyor.
											İçinde kendimi görüyorum.
Tanrı'nın beni bildiğini hissediyorum.
											Hiç o hissi yaşadınız mı, birisinin sizi
gördüğünü, sizi tamamen anladığını
											ve sizi her şekilde sevdiği hissini?
											Bu his böyle bir his.
									","
											Als ich 17 Jahre alt war, traf ich
die Entscheidung, mich zu outen.
											Nein, nicht als homosexueller Mensch,
wie einige meiner Freunde,
											sondern als Muslimin.
											Ich entschied mich, den Hijab,
meine Kopfbedeckung zu tragen.
											Meine feministischen Freundinnen
waren entsetzt:
											""Warum unterdrückst du dich selbst?""
											Das Lustige war:
											Damals war es für mich doch eine
feministische Unabhängigkeitserklärung,
											und zwar gegenüber dem Druck, 
den ich als 17-Jährige fühlte,
											mich einem perfekten und unerreichbaren
Schönheitsideal anzupassen.
											Ich habe nicht nur passiv
den Glauben meiner Eltern angenommen.
											Ich habe mit dem Koran gerungen.
											Ich las ihn, dachte nach,
stellte in Frage, zweifelte
											und glaubte letztendlich.
											Meine Beziehung zu Gott
war nicht Liebe auf den ersten Blick.
											Sie war Vertrauen und langsame Hingabe,
											die sich mit jedem Lesen 
des Korans vertiefte.
											Die Schönheit der Rhythmik
bringt mich manchmal zum Weinen.
											Ich erkenne mich selbst darin.
Ich fühle, dass Gott mich kennt.
											Hatten Sie jemals das Gefühl, dass jemand
Sie wahrnimmt, Sie vollständig versteht,
											und doch irgendwie liebt?
											So fühlt es sich an.
									","
											A 17 ans, j'ai décidé
de sortir du placard.
											Non, pas comme homosexuelle
à l'instar de certains de mes amis,
											mais en tant que musulmane,
											et j'ai décidé de commencer
à porter le hijab, le voile.
											Mes amies féministes étaient médusées :
											« Pourquoi t'opprimes-tu ? »
											Le plus drôle était
											qu'en fait, c'était une déclaration
d'indépendance féministe
											de la pression que je subissais
à mes 17 ans,
											pour être conforme au standard parfait
et inatteignable de la beauté.
											En fait, je n'ai pas accepté passivement
la foi de mes parents.
											J'ai mené mon combat avec le Coran.
											J'ai lu, réfléchi,
posé des questions et douté
											pour arriver finalement à la foi.
											Ma relation avec Dieu
n'a pas été un coup de foudre.
											Ce fut une confiance
et une lente acceptation
											qui s'est forgée
avec chaque lecture du Coran.
											Parfois, sa beauté rythmique
me donnait les larmes aux yeux.
											Je me reconnais en lui.
Je sens que Dieu me connaît.
											Avez-vous déjà senti que quelqu'un
vous voit, vous comprend parfaitement
											et pourtant, il vous aime quand même ?
											Voilà ce que je ressens.
									",What it's like to be Muslim in America,Dalia Mogahed,16:16,"faith,culture,Islam,United States"
"
","
","
","
","
",What it's like to be Muslim in America,Dalia Mogahed,16:16,"faith,culture,Islam,United States"
"
											And so later, I got married,
											and like all good Egyptians,
											started my career as an engineer.
									","
											Mais tarde, casei-me
											e, como todas as boas egípcias,
											comecei a minha carreira como engenheira.
									","
											Ve daha sonra, evlendim
											ve her iyi Mısırlı gibi
											bir mühendis olarak kariyerime başladım.
									","
											Später heiratete ich
											und begann, wie alle guten Ägypter,
											meine Karriere als Ingenieurin.
									","
											Un peu plus tard, je me suis mariée
											et, comme toute bonne Égyptienne,
											j'ai commencé ma carrière d'ingénieure.
									",What it's like to be Muslim in America,Dalia Mogahed,16:16,"faith,culture,Islam,United States"
"
","
","
","
","
",What it's like to be Muslim in America,Dalia Mogahed,16:16,"faith,culture,Islam,United States"
"
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Lachen)
									","
											(Rires)
									",What it's like to be Muslim in America,Dalia Mogahed,16:16,"faith,culture,Islam,United States"
"
","
","
","
","
",What it's like to be Muslim in America,Dalia Mogahed,16:16,"faith,culture,Islam,United States"
"
											I later had a child,
after getting married,
											and I was living essentially
the Egyptian-American dream.
									","
											Mais tarde, tive um bebé,
depois de me casar,
											e vivia o sonho egípcio-americano.
									","
											Evlendikten sonra çocuğum oldu
											ve gerçekten Mısırlı-Amerikalı
rüyasını yaşıyordum.
									","
											Ich hatte später,
nach meiner Heirat, ein Kind,
											und lebte im Grunde
den ""Ägyptisch-Amerikanischen Traum"".
									","
											Plus tard, j'ai eu un enfant,
après m'être mariée,
											et je vivais, en substance,
le rêve américano-égyptien.
									",What it's like to be Muslim in America,Dalia Mogahed,16:16,"faith,culture,Islam,United States"
"
","
","
","
","
",What it's like to be Muslim in America,Dalia Mogahed,16:16,"faith,culture,Islam,United States"
"
											And then that terrible morning
of September, 2001.
											I think a lot of you probably remember
exactly where you were that morning.
											I was sitting in my kitchen
finishing breakfast,
											and I look up on the screen
and see the words ""Breaking News.""
											There was smoke,
airplanes flying into buildings,
											people jumping out of buildings.
											What was this?
											An accident?
											A malfunction?
											My shock quickly turned to outrage.
											Who would do this?
											And I switch the channel and I hear,
									","
											Depois, naquela terrível manhã
de setembro de 2001
											— penso que todos vocês se lembram
exatamente onde estavam nessa manhã —
											eu estava na cozinha
a acabar o pequeno-almoço,
											olhei para o ecrã e vi as palavras
""Últimas Notícias"".
											Havia fumo,
aviões a embater em edifícios,
											pessoas a saltar dos edifícios.
											O que era aquilo?
											Um acidente?
											Uma avaria?
											O meu choque depressa passou a indignação.
											Quem faria uma coisa assim?
											Mudei de canal e ouvi:
									","
											Ve sonra Eylül 2001'in korkunç sabahı.
											Sanıyorum bir çoğunuz o sabah
nerede olduğunuzu hatırlıyorsunuzdur.
											Mutfağımda oturmuş kahvaltımı bitiriyordum
											ve ekrana bakıp ""Son Dakika Haberi""
kelimelerini gördüm.
											Duman vardı,
uçaklar binalara çarpıyordu,
											insanlar binalardan atlıyordu.
											Bu neydi?
											Bir kaza mı?
											Bir arıza mı?
											Şok halim çabucak öfkeye döndü.
											Bunu kim yapar?
											Sonra kanalı değiştirince şunları duydum:
									","
											Dann kam jener schreckliche 
Morgen im September 2001.
											Viele von Ihnen erinnern sich
vermutlich genau, wo sie da waren.
											Ich saß in meiner Küche,
hatte zu Ende gefrühstückt,
											schaute auf den Bildschirm
und sah das Wort ""Eilmeldung"".
											Da war Rauch,
Flugzeuge flogen in Gebäude,
											Menschen sprangen aus den Gebäuden.
											Was war das?
											Ein Unfall?
											Eine technische Störung?
											Mein Schock verwandelte 
sich schnell in Empörung.
											Warum sollte man so etwas tun?
											Ich wechselte den Fernsehkanal und hörte:
									","
											Puis ce fut cette matinée terrible
de septembre 2001.
											Je crois que beaucoup se rappellent
exactement où ils étaient ce matin-là.
											Je finissais mon petit-déjeuner
dans ma cuisine
											et je me suis tournée vers l'écran,
j'ai lu les mots « Dernières nouvelles ».
											Il y avait de la fumée, des avions
s'écrasaient contre les gratte-ciel,
											des gens se jetaient des gratte-ciel.
											Que se passait-il ?
											Un accident ?
											Une panne d'avion ?
											Mon choc s'est rapidement
transformé en indignation.
											Qui ferait cela ?
											J'ai changé de chaîne et entendu :
									",What it's like to be Muslim in America,Dalia Mogahed,16:16,"faith,culture,Islam,United States"
"
","
","
","
","
",What it's like to be Muslim in America,Dalia Mogahed,16:16,"faith,culture,Islam,United States"
