en,pt,tr,fr,es,title,speaker,duration,tags
"
","
","
","
","
",How diversity makes teams more innovative,Rocío Lorenzo,11:05,"business,collaboration,data,creativity,gender,gender equality,leadership,innovation,society,women,work,women in business,diversity"
"
											Fifteen years ago,
											I thought that the diversity stuff
was not something I had to worry about.
											It was something an older
generation had to fight for.
											In my university,
we were 50-50, male-female,
											and we women often had better grades.
											So while not everything was perfect,
											diversity and leadership decisions
											was something that would happen
naturally over time, right?
									","
											Há quinze anos,
											eu pensava que a questão da diversidade
não era algo que me preocupasse.
											Era um problema pelo qual
a geração mais velha tinha tido que lutar.
											Na minha universidade metade
eram rapazes e metade raparigas.
											Muitas vezes, nós, as mulheres,
tínhamos melhores notas.
											Por isso, embora nem tudo fosse perfeito,
											a diversidade e as decisões de liderança
											eram algo que chegaria naturalmente
com o passar do tempo.
									","
											15 yıl önce,
											çeşitlilik konusunun endişelenmem
gereken bir şey olmadığını düşünürdüm.
											Bizden önceki neslin, elde
etmek için uğraştığı bir şeydi.
											Üniversitemde kadın
erkek oranı yarı yarıyaydı
											ve biz kadınların notları
genelde daha yüksekti.
											Her şey mükemmel olmasa da,
											çeşitlilik ve liderliği 
ilgilendiren kararlar
											zamanla, doğal bir
şekilde alınır, değil mi?
									","
											Il y a quinze ans,
											je pensais ne pas devoir m'inquiéter
de la question de la diversité.
											C'était à la génération plus ancienne
de se battre pour ça.
											Dans mon université,
c'était 50-50, hommes-femmes,
											et nous, les femmes, obtenions souvent
de meilleures notes.
											Donc, même si tout n'était pas parfait,
											la diversité
et les décisions de leadership
											adviendraient probablement
naturellement avec le temps, non ?
									","
											Hace 15 años,
											creía que la diversidad
											no era algo de lo que 
me tenía que preocupar,
											y por lo que solo las generaciones 
más antiguas tenían que luchar.
											En la universidad, éramos 
50 hombres y 50 mujeres,
											y a menudo, nosotras obteníamos
las mejores notas.
											Así que, aunque no todo era perfecto,
											las decisiones de gestión y la diversidad
											eran cosas que llegarían con
el paso del tiempo, ¿no es así?
									",How diversity makes teams more innovative,Rocío Lorenzo,11:05,"business,collaboration,data,creativity,gender,gender equality,leadership,innovation,society,women,work,women in business,diversity"
"
","
","
","
","
",How diversity makes teams more innovative,Rocío Lorenzo,11:05,"business,collaboration,data,creativity,gender,gender equality,leadership,innovation,society,women,work,women in business,diversity"
"
											Well, not quite.
											While moving up the ladder
working as a management consultant
											across Europe and the US,
											I started to realize how often
I was the only woman in the room
											and how homogenous leadership still is.
											Many leaders I met
											saw diversity as something to comply with
out of political correctness,
											or, best case, the right thing to do,
											but not as a business priority.
											They just did not have a reason to believe
											that diversity would help them achieve
their most immediate, pressing goals:
											hitting the numbers,
delivering the new product,
											the real goals they are measured by.
									","
											Bom, nem por isso.
											Enquanto progredia na carreira
de consultora de gestão
											na Europa e nos EUA,
											comecei a perceber que, em muitas
situações, era a única mulher presente
											e que a liderança ainda está
muito homogénea.
											Conheci muitos diretores
											que viam a diversidade como algo
a cumprir para ser politicamente correto
											ou, no melhor dos casos,
como ""a coisa certa a fazer"",
											mas não era considerada
uma prioridade do negócio.
											Esses diretores não tinham nenhum
motivo para acreditar
											que a diversidade podia ajudá-los a
atingir as suas metas mais importantes:
											atingir os números,
entregar um novo produto,
											aqueles objetivos pelos quais
as pessoas são avaliadas.
									","
											Aslında, pek de öyle değil.
											Yönetim danışmanı olarak 
Avrupa ve Amerika'da
											kariyerimde basamakları tırmanırken,
											fark ettim ki, hep odadaki tek kadındım
											ve liderlik yapısı hala aynıydı.
											Tanıştığım çoğu lider,
											çeşitliliği, herhangi bir grubu
incitmemek adına uyulan ya da
											en iyi ihtimalle, yapılması
doğru olan olarak görüyorlar,
											işyerinde bir öncelik olarak değil.
											Çeşitliliğin, acil, önemli
hedeflere ulaşmada
											yardımcı olacağına inanmak
için bir sebepleri yoktu.
											Hedef rakamlara ulaşmak, 
yeni ürünü pazara çıkarmak,
											değerlendirmeye alınan gerçek hedefler.
									","
											Eh bien, pas tout à fait.
											J'évoluais comme consultante en management
											à travers l'Europe et les US,
											quand j'ai commencé à réaliser que j'étais
souvent la seule femme dans la salle
											et à quel point les positions supérieures
sont toujours aussi homogènes.
											Beaucoup des leaders que j'ai rencontrés,
											pensaient qu'il fallait se conformer
à la diversité
											pour être politiquement correct
											ou, dans le meilleur des cas,
la décision juste,
											mais pas une priorité pour les affaires.
											Ils n'avaient simplement
pas de raison de croire
											que la diversité les aiderait à atteindre 
leurs objectifs le plus pressants :
											atteindre leurs objectifs financiers,
livrer un nouveau produit,
											ce sur quoi ils sont vraiment évalués.
									","
											Bueno, no siempre.
											Al ascender como consultora de gestión
											en Europa y EE.UU.,
											empecé a notar cuán frecuente
											yo era la única mujer en la sala,
											y cuán homogénea 
seguía siendo la directiva.
											Muchos de los directores que conocí
consideraban que la diversidad
											era algo con que cumplir
para ser políticamente correcto,
											o, en el mejor de los casos,
la decisión correcta
											pero no una prioridad comercial.
											En pocas palabras, ellos no creían
											que la diversidad les ayudaría a lograr
sus metas más cercanas y primordiales:
											alcanzar metas financieras 
y lanzar un producto
											metas reales que pueden medirse.
									",How diversity makes teams more innovative,Rocío Lorenzo,11:05,"business,collaboration,data,creativity,gender,gender equality,leadership,innovation,society,women,work,women in business,diversity"
"
","
","
","
","
",How diversity makes teams more innovative,Rocío Lorenzo,11:05,"business,collaboration,data,creativity,gender,gender equality,leadership,innovation,society,women,work,women in business,diversity"
"
											My personal experience
working with diverse teams
											had been that while they require
a little bit more effort at the beginning,
											they did bring fresher,
more creative ideas.
											So I wanted to know:
											Are diverse organizations
really more innovative,
											and can diversity be more
than something to comply with?
											Can it be a real competitive advantage?
									","
											A minha experiência pessoal
ao trabalhar com diversas equipas
											ensinou-me que, apesar de exigirem
mais esforço no início,
											acabam por trazer ideias
mais criativas e mais frescas.
											Então, quis saber:
											Será que as organizações
diversificadas são mais inovadoras?
											E será a diversidade mais
do que algo para ser cumprido?
											Poderá ser uma vantagem competitiva real?
									","
											Çeşitliliği olan ekiplerle
çalışmış biri olarak
											söyleyebilirim ki, başlangıçta
biraz daha fazla çaba gerekiyor,
											ama neticede daha taze 
ve yaratıcı fikirler ortaya çıkıyor.
											Sonra merak ettim:
											Çeşitliliğe sahip şirketler 
gerçekten daha mı yenilikçi,
											ve çeşitlilik uyulan bir şeyden
daha fazlası olabilir mi?
											Gerçekten rekabet üstünlüğü sağlar mı?
									","
											Personnellement, travailler 
au sein d'équipes diversifiées
											a requis un peu plus d'effort au début,
mais, de fait,
											elles ont apporté des idées
plus fraîches et plus créatives.
											Donc j'ai voulu savoir :
											les plus diversifiées des organisations
sont-elles vraiment plus innovantes,
											et la diversité peut-elle être plus 
qu'une chose à laquelle on se conforme ?
											Un réel avantage compétitif ?
									","
											En lo personal, trabajar 
con equipos heterogéneos
											me resultó algo difícil 
en un principio, sin embargo,
											al final, logré que aportaran
ideas más nuevas y creativas.
											Entonces, quise saber:
											¿Son realmente más innovadoras
las empresas diversas?
											¿La diversidad puede ser algo más 
que un requisito que cumplir?
											¿Será acaso una 
ventaja competitiva verdadera?
									",How diversity makes teams more innovative,Rocío Lorenzo,11:05,"business,collaboration,data,creativity,gender,gender equality,leadership,innovation,society,women,work,women in business,diversity"
"
","
","
","
","
",How diversity makes teams more innovative,Rocío Lorenzo,11:05,"business,collaboration,data,creativity,gender,gender equality,leadership,innovation,society,women,work,women in business,diversity"
"
											So to find out, we set up a study
with the Technical University of Munich.
											We surveyed 171 companies
in Germany, Austria and Switzerland,
											and as we speak, we're expanding the study
											to 1,600 companies
											in five additional countries
around the world.
											We asked those companies
basically two things:
											how innovative they are
and how diverse they are.
									","
											Para responder a isto, criámos um estudo
com a Universidade Técnica de Munique.
											Convidámos 171 empresas
da Alemanha, da Áustria e da Suíça
											e, enquanto vos falo neste momento,
o estudo está a ser expandido
											a 1600 empresas
											em mais cinco países pelo mundo inteiro.
											Fizemos a essas empresas duas perguntas:
											quão inovadoras são
e quão diversificadas são.
									","
											Cevabı bulmak için Münih Teknik Üni. 
ile bir araştırma yaptık.
											Almanya, Avusturya ve İsviçre'de 
171 şirket ile anket yaptık.
											Şu anda da çalışmayı,
											beş ülke daha ekleyerek,
											1600 şirkete genişletiyoruz.
											Şirketlere iki temel soru sorduk:
											ne kadar yenilikçiler ve şirket
içinde ne kadar çeşitlilik var.
									","
											Pour le savoir, nous avons fait une étude 
avec l'Université Technique de Munich.
											Nous avons interrogé 171 entreprises
en Allemagne, en Autriche et en Suisse,
											et en ce moment-même,
nous étendons nos recherches
											à 1600 entreprises
											dans cinq autre pays de par le monde.
											Nous avons en fait demandé
à ces entreprises deux choses :
											leur degré d'innovation 
et leur degré de diversité.
									","
											Para averiguarlo hicimos un estudio 
con la Universidad Técnica de Múnich,
											en donde encuestamos a 171 empresas
de Alemania, Austria y Suiza,
											y actualmente estamos expandiendo 
el estudio a 1600 empresas
											de otros cinco países en el mundo.
											Preguntamos a dichas empresas
solo dos cosas:
											cuán innovadoras y cuán diversas son.
									",How diversity makes teams more innovative,Rocío Lorenzo,11:05,"business,collaboration,data,creativity,gender,gender equality,leadership,innovation,society,women,work,women in business,diversity"
"
","
","
","
","
",How diversity makes teams more innovative,Rocío Lorenzo,11:05,"business,collaboration,data,creativity,gender,gender equality,leadership,innovation,society,women,work,women in business,diversity"
"
											To measure the first one,
											we asked them about innovation revenue.
											Innovation revenue is the share
of revenues they've made
											from new products and services
in the last three years,
											meaning we did not ask them
how many creative ideas they have,
											but rather if these ideas
translate into products and services
											that really make the company
more successful today and tomorrow.
											To measure diversity,
we looked at six different factors:
											country of origin,
age and gender, amongst others.
									","
											Para responder à primeira pergunta,
											pedimos-lhes os valores
da receita da inovação.
											A receita da inovação
é a parte das receitas que tiveram
											proveniente de novos produtos
e serviços dos últimos três anos.
											Ou seja, não quisemos saber
quantas ideias criativas têm,
											mas sim, se essas ideias se traduzem
em produtos e serviços
											que trazem mais sucesso para a empresa.
agora e no futuro.
											Para medir a diversidade,
olhámos para seis fatores diferentes:
											país de origem, idade e sexo,
entre outros.
									","
											İlkini ölçmek için
											yenilikten gelen kazancı sorduk.
											Yenilik kazancı, son 3 yılda 

											yeni hizmet ve ürünlerin 
toplam gelirdeki payı.
											Yani ""Kaç yaratıcı fikir
buldunuz?"" diye sormadık.
											Onun yerine ""O fikirler, şirketi bugün
ve yarın daha başarılı yapacak olan
											ürün ve hizmetlere
dönüştü mü?"" diye sorduk.
											Çeşitliliği ölçmek için altı
farklı etkene baktık:
											menşe ülke, yaş, cinsiyet
gibi etkenler ve diğerleri.
									","
											Pour mesurer le premier,
											nous leur avons demandé
leur revenu sur innovation.
											Le revenu sur innovation
est la part des revenus obtenue
											via de nouveaux produits et services
ces trois dernières années,
											nous n'avons donc pas demandé
combien d'idées créatives ils ont eues
											mais plutôt si ces idées se sont traduites
en produits et services
											qui font que l'entreprise réussit mieux
jour après jour.
											Pour mesurer la diversité, nous avons
regardé six facteurs différents :
											pays d'origine, âge et genre,
entre autres.
									","
											Para medir la primera,
											les preguntamos sobre 
los ingresos por innovación.
											El ingreso por innovación
es la ganancia que genera
											los nuevos productos y servicios
vendidos en los últimos 3 años,
											es decir, no les preguntamos 
cuántas ideas creativas tenían,
											sino más bien si dichas ideas
se traducían en productos y servicios
											que hacían a la empresa
más próspera hoy y mañana.
											Para medir la diversidad
evaluamos seis distintos factores:
											entre ellos, el país de origen, 
la edad y el género.
									",How diversity makes teams more innovative,Rocío Lorenzo,11:05,"business,collaboration,data,creativity,gender,gender equality,leadership,innovation,society,women,work,women in business,diversity"
