es,pt,fr,de,title,speaker,duration,tags
"
","
","
","
",The art of misdirection,Apollo Robbins,8:47,"crime,entertainment"
"
											¿Creen que es posible controlar
la atención de las personas?
											Y aún más que eso,
											¿qué hay de predecir el comportamiento humano?
											Creo que si se pudiese, son ideas interesantes.
											Quiero decir, para mí, sería un superpoder perfecto,
											una forma malvada de verlo.
											Pero en mi caso, he pasado los últimos 20 años
											estudiando el comportamiento humano
de manera poco ortodoxa:
											siendo carterista.
											Cuando pensamos en el engaño,
											pensamos en que hay algo que sucede a escondidas,
											cuando en realidad, generalmente, 
son las cosas que están justo en frente nuestro
											las que son más difíciles de ver,
											lo que vemos cotidianamente, que nos ciega.
									","
											Acham que é possível 
controlar a atenção de alguém?
											Mais do que isso, 
e prever o comportamento humano?
											Acho que são ideias interessantes.
											Para mim, esse seria 
o superpoder perfeito.
											É uma abordagem perversa.
											Mas para mim, no passado, 
passei os últimos 20 anos
											a estudar o comportamento humano 
duma maneira muito pouco ortodoxa:
											sendo carteirista.
											Quando pensamos em falta de atenção,
											pensamos em olhar para outro lado,
											quando as coisas 
que estão mesmo à nossa frente
											são as mais difíceis de ver,
											as coisas para que olhamos 
todos os dias e que não vemos.
									","
											Vous pensez qu'il est possible de contrôler 
l'attention de quelqu'un ?
											Plus que ça,
											vous pensez qu'on peut prédire 
le comportement humain ?
											Ce serait intéressant, 
si on pouvait le faire.
											Pour moi, ce serait 
le super pouvoir par excellence,
											en réalité c'est plutôt machiavélique 
de le voir comme ça.
											Mais en ce qui me concerne,
j'ai passé les 20 dernières années
											à étudier le comportement humain 
d'un point de vue assez peu orthodoxe :
											celui du pickpocket.
											Quand on pense 
diversion,
											on pense à quelque chose 
qui serait à l'écart,
											alors que c'est souvent les choses 
qui sont juste sous notre nez
											qui sont les plus dures à voir,
											on est aveuglé par les choses 
de notre quotidien.
									","
											Glauben Sie, dass es möglich ist,
jemandes Aufmerksamkeit zu steuern?
											Und noch mehr,
											wie steht es damit, menschliches
Verhalten vorherzusagen?
											Das wären interessante Gedanken,
wenn es möglich wäre.
											Für mich wäre das jedenfalls
die perfekte Superkraft,
											sogar etwas bösartig.
											Über die letzten 20 Jahre habe ich
											das menschliche Verhalten aus einem recht unkonventionellen Blickpunkt erforscht:
											Taschendiebstahl.
											Wenn wir über Täuschung sprechen,
											meinen wir etwas wie,
in eine andere Richtung zu schauen,
											wenn genau das direkt vor unserer Nase
											am schwierigsten zu erkennen ist.
											Man ist blind für die alltäglichen Dinge.
									",The art of misdirection,Apollo Robbins,8:47,"crime,entertainment"
"
","
","
","
",The art of misdirection,Apollo Robbins,8:47,"crime,entertainment"
"
											Por ejemplo, ¿cuántos de Uds. todavía
tienen su teléfono celular encima
											en este momento?
											Perfecto. Vuelvan a revisar.
											Asegúrense de que aún lo tengan.
											Estuve haciendo un poco de compras de antemano.
											Seguramente lo han visto un par de veces hoy
											pero voy a hacerles una pregunta al respecto.
											Sin mirar su teléfono celular directamente,
											¿recuerdan el ícono en el margen inferior derecho?
											Sáquenlos y comprueben 
qué tan acertados estuvieron
											¿Cómo les fue? Levanten la mano.
									","
											Por exemplo, quem é que ainda tem
o telemóvel no bolso?
											Ok. Verifiquem novamente.
											Têm-no mesmo?
											Andei há pouco a fazer compras...
											(Risos)
											Já olharam para ele várias vezes hoje,
											mas vou fazer-vos uma pergunta.
											Sem olharem directamente para ele,
											conseguem lembrar-se do ícone que está
no canto inferior direito?
											Tirem-no cá para fora, 
verifiquem e vejam se acertaram.
											Como é que se saíram?
											Mostrem as mãos. Acertámos?
									","
											Par exemple, 
combien d'entre vous avez votre portable
											sur vous, là maintenant ?
											Génial. Vérifiez.
											Assurez-vous 
qu'il est toujours là.
											J'ai fait un peu de shopping 
à l'avance.
											Vous l'avez sans doute regardé
plusieurs fois dans la journée
											mais je vais vous poser une question.
											Sans regarder tout de suite votre portable,
											vous souvenez-vous de l'icône qui se trouve 
dans le coin, en bas, à droite ?
											Sortez vos portables, 
vérifiez si vous avez vu juste.
											Alors ? Levez la main. 
Combien parmi vous avaient raison ?
									","
											Ein Beispiel, 
wie viele von Ihnen haben
											im Moment ihr Handy bei sich?
											Großartig. Nochmal überprüft.
											Stellen Sie sicher, 
dass Sie es nochhaben.
											Ich hab mich vorher bei Ihnen bedient.
											Wahrscheinlich haben Sie heute
einige Male drauf gesehen,
											aber ich werde Ihnen eine Frage
über Ihr Handy stellen.
											Ohne es direkt anzuschauen,
											können Sie sich an das Symbol
in der rechten unteren Ecke erinnern?
											Sehen Sie nach und überprüfen Sie, 
ob Sie richtig lagen.
											Wie erging es Ihnen?
Handzeichen. Lagen wir richtig?
									",The art of misdirection,Apollo Robbins,8:47,"crime,entertainment"
"
","
","
","
",The art of misdirection,Apollo Robbins,8:47,"crime,entertainment"
"
											Ahora que lo verificaron, guárdenlos,
											porque todos los teléfonos tienen algo en común.
											Sin importar cómo organizan los íconos,
											el reloj siempre queda visible en la pantalla.
											Entonces, sin mirar su teléfono, ¿qué hora era?
											Acaban de mirar su reloj, ¿verdad?
											Es una idea interesante. Les voy a pedir que vayamos más allá, con un juego de confianza.
											Cierren los ojos.
											Entiendo que les estoy pidiendo esto
cuando acaban de oír
											que hay un carterista en la sala, 
pero cierren los ojos.
									","
											Agora que já olharam, guardem-nos.
											Todos os telefones 
têm alguma coisa em comum.
											Seja como for que organizem os ícones,
											continuam a ter um relógio na frente.
											Então, sem olharem para o relógio, 
que horas eram?
											Acabaram de olhar para o relógio, não foi?
											É uma ideia interessante. 
Vamos avançar com um jogo de confiança.
											Fechem os olhos.
											Eu sei que estou a pedir-vos isto,
quando acabaram de ouvir
											que há um carteirista na sala, 
mas fechem os olhos.
									","
											Maintenant que vous avez terminé, 
éteignez-les,
											car tous les portables ont 
quelque chose en commun.
											Peu importe votre manière 
de gérer les icônes,
											il y a quand même 
une horloge sur l'écran.
											Alors,sans regarder votre portable,
quelle heure était-il ?
											Vous venez de voir l'horloge,
n'est-ce pas ?
											Intéressant. Maintenant je vais vous demander d'aller encore plus loin avec un test de confiance.
											Fermez les yeux.
											Je me rends bien compte de ce que je vous demande de faire alors que vous venez d'apprendre
											qu'il y a un pickpocket dans la salle,
mais fermez les yeux.
									","
											Jetzt, da Sie damit fertig sind,
schließen Sie es,
											denn jedes Handy hat eines gemeinsam.
											Ganz gleich, wie Sie die Symbole anordnen,
											Sie haben vorne immer eine Uhr.
											Also, ohne auf Ihr Handy zu sehen,
wie viel Uhr war es?
											Sie haben gerade auf Ihre Uhr geschaut, oder?
											Das ist ein interessanter Gedanke.
Jetzt bitte ich Sie, einen Schritt weiter zu gehen,
											in einem Spiel des Vertrauens.
Schließen Sie Ihre Augen.
											Ich weiß, dass ich Sie darum bitte,
nachdem Sie gehört haben,
											dass sich ein Taschendieb im Saal befindet,
aber schließen Sie Ihre Augen.
									",The art of misdirection,Apollo Robbins,8:47,"crime,entertainment"
"
","
","
","
",The art of misdirection,Apollo Robbins,8:47,"crime,entertainment"
"
											Me han estado observando durante unos 30 segundos.
											Con sus ojos cerrados, 
¿pueden decirme qué llevo puesto?
											Traten de adivinar.
											¿De qué color es mi camisa?
¿De qué color es mi corbata?
											Ahora abran los ojos.
											Levanten la mano si acertaron.
									","
											Vocês têm estado a observar-me 
há cerca de 30 segundos.
											Com os olhos fechados, 
o que é que eu tenho vestido?
											Dêem o vosso melhor palpite.
											De que cor é a minha camisa? 
De que cor é a minha gravata?
											Agora abram os olhos.
											Levantem as mãos, acertaram?
									","
											Vous m'avez observé pendant 30 secondes.
											En gardant les yeux fermés,
comment suis-je habillé ?
											Faites au mieux.
											De quelle couleur est ma chemise ?
Ma cravate ?
											Maintenant ouvrez les yeux.
											Ceux qui ont deviné juste lèvent la main.
									","
											Sie haben mich etwa 30 Sekunden lang gesehen.
											Mit geschlossenen Augen, was habe ich an?
											Raten Sie ruhig.
											Welche Farbe hat mein Hemd?
Welche Farbe hat meine Krawatte?
											Öffnen Sie jetzt Ihre Augen.
											Handzeichen, lagen Sie richtig?
									",The art of misdirection,Apollo Robbins,8:47,"crime,entertainment"
"
","
","
","
",The art of misdirection,Apollo Robbins,8:47,"crime,entertainment"
"
											Es interesante, ¿verdad? 
Algunos somos un poco
											más perceptivos que otros.
Así parece ser.
											Pero tengo una teoría diferente
acerca de ese modelo de atención.
											Existen modelos sofisticados de atención,
El modelo de atención de Posner.
											Me gusta pensar que es muy sencillo,
como un sistema de vigilancia.
											Es como si tuvieran todos 
estos sensores sofisticados,
											y un pequeño guardia de seguridad 
en nuestro cerebro.
											Me gusta llamarlo Frank.
											Entonces, Frank está sentado en su escritorio,
											tiene todo tipo de información
interesante frente a él,
											equipos de tecnología de punta, tiene cámaras,
											tiene un telefonito que puede levantar, los oídos,
											todos estos sentidos, estas percepciones.
											Pero la atención es lo que guía nuestra percepción,
											es lo que controla nuestra realidad.
Es el portal a la mente.
											Si no prestan atención a algo,
no somos conscientes de ello.
											Irónicamente, se puede prestar atención
a algo sin ser consciente de ello.
											Por eso existe el efecto coctel:
											Cuando están en una fiesta,
están conversando con alguien,
											y aun así pueden reconocer su nombre
											y no se dieron cuenta 
de que lo estaban oyendo.
									","
											Interessante, não é?
											Parece que há uns 
mais observadores do que outros.
											Mas eu tenho uma teoria diferente 
sobre esse modelo de atenção.
											Existem modelos de atenção giros, 
o modelo tripartido de Posner.
											Eu penso nisso de forma muito 
simples, como um sistema de vigilância.
											É como se tivéssemos 
todos estes sensores catitas
											e no nosso cérebro houvesse um segurança.
											Gosto de chamar-lhe Frank.
											Então o Frank está sentado a uma mesa.
											Tem todo o tipo de informações 
à sua frente,
											equipamento de alta tecnologia, câmaras,
											tem um pequeno telefone 
que pode atender, com auscultadores,
											todos estes sentidos, 
todas estas percepções.
											Mas é a atenção que direcciona as percepções.
											É o que controla a realidade. 
É a porta de entrada para a mente.
											Se não dão atenção a uma coisa, 
não se apercebem dela.
											Ironicamente, podem dar atenção 
a uma coisa sem se aperceberem dela.
											Por exemplo, o efeito cocktail:
											quando estão numa festa, 
a falar com alguém,
											mas reconhecem o vosso nome
											sem se aperceberem 
de que o estavam a ouvir.
									","
											Intéressant, n'est-ce pas ?
Certains d'entre nous sont un peu
											plus attentifs que les autres.
Apparemment.
											Mais j'ai une autre théorie sur le sujet, 
sur ce modèle d'attention.
											Il y a toute sorte de modèles d'attention élaborés 
dont celui de Posner basé sur la trinité des réseaux.
											De mon côté, j'aime à envisager la chose de manière très simple, comme un système de surveillance.
											C'est un peu comme si 
vous aviez tous ces capteurs sophistiqués,
											et à l'intérieur de votre cerveau,
il y a un petit gardien de sécurité.
											Moi, je l'appelle Frank.
											Donc Frank est assis à un bureau.
											Il a toutes sortes d'infos sympas 
devant lui
											du matériel de haute technologie, 
des caméras,
											il a un petit téléphone à sa disposition, 
il entend,
											tous ces sens, ces perceptions.
											Mais c'est l'attention 
qui guide vos perceptions,
											c'est ce qui contrôle votre réalité. 
C'est une porte qui s'ouvre sur l'esprit.
											Ce n'est qu'en s'occupant de quelque chose 
qu'on en devient conscient.
											Il est ironique qu'on soit obligé d'être conscient 
de quelque chose pour s'en occuper.
											C'est pour cette raison qu'il y a l'effet cocktail :
											Vous êtes à une soirée, 
vous discutez avec quelqu'un
											et pourtant vous pouvez 
reconnaître votre nom
											sans même savoir que vous écoutiez.
									","
											Das ist interessant, oder?
Manche sind etwas aufmerksamer
											als andere. So scheint es.
											Aber ich habe eine andere Theorie 
über die Aufmerksamkeit.
											Es gibt komplexe Theorien über Aufmerksamkeit,
wie Posner's Spotlight-Modell zur Aufmerksamkeit.
											Ich stelle es mir ganz einfach
wie ein Überwachungssystem vor.
											Es gibt all diese tollen Sensoren
											und im Gehirn gibt es einen kleinen Wachmann.
											Ich nenne ihn am liebsten Frank.
											Frank sitzt also an seinem Schreibtisch.
											Er hat eine Menge 
toller Informationen zur Verfügung,
											High-Tech-Geräte, er hat Kameras,
											er hat ein kleines Telefon,
um die Ohren abzuhören,
											all die Sinne, all diese Wahrnehmungen.
											Aber die Aufmerksakeit steuert 
Ihre Wahrnehmungen
											und steuert Ihre Realität.
Sie ist das Tor zum Geist.
											Wenn Sie etwas nicht bemerken,
sind Sie sich dessen nicht bewusst.
											Ironischerweise aber, können Sie etwas bemerken,
ohne sich dessen bewusst zu sein.
											Deshalb gibt es den Cocktail-Effekt:
											Sie sind auf einer Party,
unterhalten sich mit jemandem,
											und dennoch können Sie
Ihren Namen erkennen,
											ohne überhaupt zu bemerken,
dass Sie ihn gehört haben.
									",The art of misdirection,Apollo Robbins,8:47,"crime,entertainment"
