en,de,title,speaker,duration,tags
"
","
","The ""dead zone"" of the Gulf of Mexico",Nancy Rabalais,12:02,"pollution,oceans,farming,food,life,biosphere,science,marine biology"
"
											Good evening, welcome to New Orleans.
											I don't know if you knew this,
											but you are sitting within 15 minutes
of one of the largest rivers in the world:
											the Mississippi river.
											Old Man River, Big Muddy.
											And it goes as far north
as the state of Minnesota,
											as far east as the state of New York,
											as far west as Montana.
											And 100 miles from here, river miles,
											it empties its fresh water and sediments
into the Gulf of Mexico.
											That's the end of Geography 101.
									","
											Guten Abend, willkommen in New Orleans.
											Vielleicht wissen Sie es noch nicht,
											aber Sie sitzen 15 Minuten von einem 
der größten Flüsse der Welt entfernt,
											dem Mississippi.
											„Old Man River“ — „Big Muddy“.
											Er fließt nördlich aus Minnesota,
											im Osten bis in den Staat New York,
											im Westen bis nach Montana.
											100 Flussmeilen von hier
entleert er sein Frischwasser
											und das Sediment in den Golf von Mexiko.
											So weit das kleine Einmaleins
der Geographie.
									","The ""dead zone"" of the Gulf of Mexico",Nancy Rabalais,12:02,"pollution,oceans,farming,food,life,biosphere,science,marine biology"
"
","
","The ""dead zone"" of the Gulf of Mexico",Nancy Rabalais,12:02,"pollution,oceans,farming,food,life,biosphere,science,marine biology"
"
											(Laughter)
									","
											(Lachen)
									","The ""dead zone"" of the Gulf of Mexico",Nancy Rabalais,12:02,"pollution,oceans,farming,food,life,biosphere,science,marine biology"
"
","
","The ""dead zone"" of the Gulf of Mexico",Nancy Rabalais,12:02,"pollution,oceans,farming,food,life,biosphere,science,marine biology"
"
											Now we're going to go
to what is in that water.
											Besides the sediment, there are dissolved
molecules, nitrogen and phosphorus.
											And those, through a biological process,
											lead to the formation
of areas called dead zones.
											Now, dead zone is a quite ominous word
											if you're a fish or a crab.
									","
											Sehen wir uns nun die
Zusammensetzung des Wassers an.
											Neben dem Sediment
enthält es gelöste Moleküle,
											Stickstoff und Phosphor.
											Diese formen durch
einen biologischen Prozess
											sogenannte Todeszonen.
											„Todeszone“ ist ein bedrohliches Wort,
											falls Sie ein Fisch oder eine Krabbe sind.
									","The ""dead zone"" of the Gulf of Mexico",Nancy Rabalais,12:02,"pollution,oceans,farming,food,life,biosphere,science,marine biology"
"
","
","The ""dead zone"" of the Gulf of Mexico",Nancy Rabalais,12:02,"pollution,oceans,farming,food,life,biosphere,science,marine biology"
"
											(Laughter)
									","
											(Lachen)
									","The ""dead zone"" of the Gulf of Mexico",Nancy Rabalais,12:02,"pollution,oceans,farming,food,life,biosphere,science,marine biology"
"
","
","The ""dead zone"" of the Gulf of Mexico",Nancy Rabalais,12:02,"pollution,oceans,farming,food,life,biosphere,science,marine biology"
"
											Even a little worm in the sediments.
											Which means that there's not enough oxygen
											for those animals to survive.
									","
											Sogar für einen kleinen Wurm im Sediment.
											Es bedeutet, dass nicht
genug Sauerstoff enthalten ist,
											damit diese Lebewesen überleben.
									","The ""dead zone"" of the Gulf of Mexico",Nancy Rabalais,12:02,"pollution,oceans,farming,food,life,biosphere,science,marine biology"
"
","
","The ""dead zone"" of the Gulf of Mexico",Nancy Rabalais,12:02,"pollution,oceans,farming,food,life,biosphere,science,marine biology"
