es,pt,tr,en,de,title,speaker,duration,tags
"
","
","
","
","
",Toward a new understanding of mental illness,Thomas Insel,13:03,"TEDx,brain,depression,health,mental health,neuroscience,Alzheimer's"
"
											Vamos a empezar 
con buenas noticias
											que tienen que ver con
lo que sabemos con certeza,
											basado en la investigación biomédica,
											que en realidad ha influido
en los resultados
											de muchas enfermedades graves.
									","
											Vamos começar com boas notícias,
											e as boas notícias têm a ver com 
o que sabemos
											baseado em pesquisa biomédica
											que, na verdade, tenha mudado 
as consequências
											de muitas doenças graves.
									","
											Haydi, iyi haberlerle başlayalım
											ve iyi haberler biyomedikal araştırmalara
											dayalı öğrendiklerimizin
											birçok ciddi hastalığın sonuçlarını
											nasıl değiştirdiğiyle ilgili.
									","
											So let's start with some good news,
											and the good news has to do with what do we know
											based on biomedical research
											that actually has changed the outcomes
											for many very serious diseases?
									","
											Wir wollen mit der guten Nachricht anfangen,
											und die gute Nachricht
handelt davon, was wir
											aus der biomedizinischen Forschung wissen,
											was tatsächlich die Folgen
											vieler schwerer Leiden verändert hat.
									",Toward a new understanding of mental illness,Thomas Insel,13:03,"TEDx,brain,depression,health,mental health,neuroscience,Alzheimer's"
"
","
","
","
","
",Toward a new understanding of mental illness,Thomas Insel,13:03,"TEDx,brain,depression,health,mental health,neuroscience,Alzheimer's"
"
											Comencemos con la leucemia,
											la leucemia linfoblástica aguda (LLA),
											el cáncer más común en la infancia.
											Cuando yo era un estudiante,
											la tasa de mortalidad era 
más o menos del 95%.
											Hoy en día, unos 25 o 30 años 
después, hablamos
											de una tasa de mortalidad 
que se ha reducido en un 85%.
											Cada año seis mil niños
											que antes habrían muerto a causa 
de esta enfermedad son curados.
											Si quieren ver cifras muy grandes,
											miren estos números para
la enfermedad cardíaca,
											la cual solía ser
la principal causa de muerte,
											sobre todo entre 
hombres de 40 años.
											Hoy, estamos viendo una reducción 
del 63% de la mortalidad
											debida a enfermedades cardiovasculares...
											notablemente, 1.1 millones 
de vidas salvadas cada año.
											El SIDA, increíblemente, 
acaba de ser definido,
											el mes pasado,
como una enfermedad crónica,
											lo que significa que si alguien 
de 20 años contrae el VIH
											se espera que viva no semanas, 
meses o un par de años,
											como decíamos hace
solo una década,
											sino que se cree 
que viva décadas,
											probablemente muera a los 
60 o 70 años por otras causas.
											Estos son simplemente
cambios extraordinarios
											en el panorama de algunas de 
las principales causas de muerte.
											Y una en particular
											que probablemente 
no conozcan, el ictus,
											ha sido, junto con 
las enfermedades del corazón,
											una de las principales causas
de muerte en este país,
											es una enfermedad en
la cual ahora sabemos
											que si se logra llevar a las personas 
a la sala de emergencia
											en las tres horas 
siguientes al ataque,
											un 30% de ellas 
podrá volver a casa
											sin ningún tipo 
de discapacidad.
									","
											Comecemos pela leucemia,
											leucemia linfóide aguda, LLA,
											o cancro mais comum nas crianças.
											Quando eu era estudante,
											a taxa de mortalidade era de cerca de 95%.
											Hoje, passados 25, 30 anos falamos de
											uma taxa de mortalidade que diminuiu em 85%.
											Seis mil crianças por ano
											que antes teriam morrido com esta doença, 
estão agora curadas.
											Se querem os números mesmo grandes,
											olhem para estes números sobre 
a doença cardíaca.
											A doença cardíaca costumava ser 
a maior responsável por mortes,
											sobretudo para homens na casa dos 40.
											Hoje, vimos uma redução de 63% 
na mortalidade
											por doença cardíaca —
											notavelmente, 1,1 milhões de mortes evitadas 
todos os anos.
											A SIDA, incrivelmente, foi nomeada,
											no mês passado, como uma doença crónica,
											o que significa que alguém de 22 anos 
que contraia o vírus
											tem uma esperança de vida não de semanas, 
meses ou um par de anos,
											como se dizia há uma década,
											mas sim de décadas,
											para morrer provavelmente com 60 ou 70 anos, 
de outras causas.
											Estas são apenas mudanças notáveis
											no panorama de algumas das maiores 
causadoras de mortes.
											E uma em especial,
											sobre a qual provavelmente não sabem, 
o AVC,
											que tem sido, assim como a doença cardíaca,
											uma das maiores causas de morte no país,
											é uma doença sobre a qual agora sabemos
											que se pusermos as pessoas nas urgências
											dentro de três horas desde o início,
											cerca de 30% delas poderão deixar o hospital
											sem qualquer incapacidade.
									","
											Lösemi ile başlayalım,
											akut lenfoblastik lösemi, ALL,
											çocuklar arasında en yaygın kanser.
											Ben öğrenciyken
											bu hastalıktan ölüm oranı yaklaşık yüzde 95'ti.
											Bugün, 25-30 yıl sonra, ölüm oranının
											yüzde 85 azalmış olduğunu görüyoruz.
											Her yıl altı bin çocuk, önceden olsa
											bu hastalıktan ölebilecekken, şimdi tedavi edilebiliyor.
											Eğer büyük rakamlar görmek istiyorsanız,
											kalp hastalığıyla ilgili şu rakamlara bir bakın.
											Kalp hastalığı, eskiden, özellikle 40 yaşlarındaki
											erkekler için en büyük ölüm sebebiydi.
											Bugün, kalp hastalığına bağlı ölümlerde
											yüzde 63 azalma görülüyor,
											önemli biçimde, her yıl 1.1 milyon ölüm önleniyor.
											AIDS, inanılmaz bir biçimde, henüz geçtiğimiz ay,
											kronik hastalık olarak kabul edildi,
											bu, 20 yaşında AIDS olan birisinin,
											10 yıl önce söylediğimiz gibi, haftalar değil, aylar değil,
											birkaç yıl değil, onlarca sene yaşayacağı
											ve muhtemelen 60-70'lerine geldiğinde
											bambaşka sebeplerden öleceği anlamına geliyor.
											Bunlar öldürücü hastalıkların bazılarıyla ilgili
											olağanüstü, olağanüstü değişiklikler.
											Özellikle bir tanesi var ki,
											muhtemelen bilmiyorsunuz, inme,
											kalp hastalığı ile birlikte, bu ülkedeki
											en öldürücü hastalıklardan biri.
											bugünkü bilgilerimize göre
											başlangıcından sonra üç saat içinde acile yetiştirilmiş
											hastaların yüzde 30'unun,
											herhangi bir sakatlık edinmeden
											hastaneden ayrılabildiği bir hastalık.
									","
											Let's start with leukemia,
											acute lymphoblastic leukemia, ALL,
											the most common cancer of children.
											When I was a student,
											the mortality rate was about 95 percent.
											Today, some 25, 30 years later, we're talking about
											a mortality rate that's reduced by 85 percent.
											Six thousand children each year
											who would have previously died of this disease are cured.
											If you want the really big numbers,
											look at these numbers for heart disease.
											Heart disease used to be the biggest killer,
											particularly for men in their 40s.
											Today, we've seen a 63-percent reduction in mortality
											from heart disease —
											remarkably, 1.1 million deaths averted every year.
											AIDS, incredibly, has just been named,
											in the past month, a chronic disease,
											meaning that a 20-year-old who becomes infected with HIV
											is expected not to live weeks, months, or a couple of years,
											as we said only a decade ago,
											but is thought to live decades,
											probably to die in his '60s or '70s from other causes altogether.
											These are just remarkable, remarkable changes
											in the outlook for some of the biggest killers.
											And one in particular
											that you probably wouldn't know about, stroke,
											which has been, along with heart disease,
											one of the biggest killers in this country,
											is a disease in which now we know
											that if you can get people into the emergency room
											within three hours of the onset,
											some 30 percent of them will be able to leave the hospital
											without any disability whatsoever.
									","
											Fangen wir mit Leukämie an,
											akuter lymphatischer Leukämie, ALL,
											dem verbreitetsten Krebs bei Kindern.
											Als ich Student war,
											lag die Sterblichkeitsrate bei 95 Prozent.
											Heutzutage, 25, 30 Jahre später,
reden wir über
											eine Sterblichkeitsrate, die
um 85 Prozent verringert ist.
											Jedes Jahr werden sechstausend Kinder,
											die früher an dieser Erkrankung
gestorben wären, geheilt.
											Wenn Sie ein paar wirklich
große Zahlen brauchen
											schauen Sie sich diese Zahlen
für Herzleiden an.
											Herzerkrankungen waren
der schlimmste Killer,
											speziell bei Männern zwischen 40 und 50.
											Heutzutage haben wir einen Rückgang
der Sterberate um 63 Prozent
											bei Herzleiden –
											beachtlich: 1,1 Millionen
weniger Tote jedes Jahr.
											Unglaublich: AIDS wird seit neuestem,
											seit letztem Monat, als
chronische Krankheit bezeichnet,
											was heißt, dass ein 20-jähriger,
der sich mit HIV infiziert,
											nicht mehr nur eine Lebenserwartung
von Wochen, Monaten oder ein paar Jahren,
											wie wir vor zehn Jahren noch sagten,
											sondern von Jahrzehnten hat,
											bis er mit 60 oder 70
an etwas völlig Anderem stirbt.
											Das sind ganz beachtliche,
beachtliche Veränderungen
											in den Prognosen der schlimmsten Killer.
											Und eine ganz besonders,
											wie Sie wahrscheinlich gar nicht wussten,
der Schlaganfall,
											der zusammen mit Herzleiden
											einer der bösesten Killer
in diesem Land war,
											ist eine Krankheit,
für die wir jetzt wissen,
											dass, wenn man die Leute
innerhalb von drei Stunden
											nach dem Anfall in die Notaufnahme bekommt,
											etwa 30 Prozent von ihnen
das Krankenhaus ohne
											irgendeine Beeinträchtigung
wieder verlassen können.
									",Toward a new understanding of mental illness,Thomas Insel,13:03,"TEDx,brain,depression,health,mental health,neuroscience,Alzheimer's"
"
","
","
","
","
",Toward a new understanding of mental illness,Thomas Insel,13:03,"TEDx,brain,depression,health,mental health,neuroscience,Alzheimer's"
"
											Historias increíbles,
											historias de resultado positivo
											que nos llevan a comprender
											algo acerca de las enfermedades
que nos ha permitido
											detectar e intervenir a tiempo.
											Detección temprana, 
intervención temprana,
											esa es la historia 
de estos logros.
									","
											Histórias notáveis,
											histórias que nos dão boas notícias,
											e tudo se resume a perceber
											algo sobre as doenças que nos tenha permitido
											detectá-las e intervir cedo.
											Detecção precoce, intervenção precoce,
											é a história destes sucessos.
									","
											Çarpıcı hikayeler,
											iyi haber hikayeleri,
											bütün bu hikayeler erken teşhis ve
											erken müdahalede bulunmamıza izin veren
											hastalıklar hakkında bize bir şey anlatıyor.
											Erken teşhis, erken müdahale,
											bu başarıların hikayesi budur.
									","
											Remarkable stories,
											good-news stories,
											all of which boil down to understanding
											something about the diseases that has allowed us
											to detect early and intervene early.
											Early detection, early intervention,
											that's the story for these successes.
									","
											Bemerkenswerte Geschichten,
											gute Nachrichten,
											die alle darauf hinauslaufen,
dass wir so viel Wissen
											über diese Krankheiten
gewonnen haben, dass wir
											sie früh erkennen und
früh behandeln können.
											Früherkennung und schnelles Gegensteuern
											sind die Erklärungen für diese Erfolge.
									",Toward a new understanding of mental illness,Thomas Insel,13:03,"TEDx,brain,depression,health,mental health,neuroscience,Alzheimer's"
"
","
","
","
","
",Toward a new understanding of mental illness,Thomas Insel,13:03,"TEDx,brain,depression,health,mental health,neuroscience,Alzheimer's"
"
											Lamentablemente, las noticias 
no son todas buenas.
											Hablemos de otra historia
											que tiene que ver con el suicidio.
											Ahora, esto no es, por supuesto, 
una enfermedad en sí.
											Es un estado o una situación
											que conduce a la muerte.
											Lo que no saben es 
lo frecuente que es.
											Hay 38 mil suicidios cada año
en los Estados Unidos.
											Eso significa uno 
cada 15 minutos.
											La tercera causa de muerte
más común en personas
											entre los 15 y los 25 años.
											Es algo increíble 
cuando se dan cuenta
											que es dos veces
más común que el homicidio
											y, como causa de 
muerte, más común
											que los accidentes de tráfico 
mortales en este país.
											Ahora, cuando hablamos de suicidio,
											también hay un aporte médico,
											ya que el 90 % de los suicidios
											están relacionados con
una enfermedad mental:
											depresión, trastorno bipolar,
esquizofrenia,
											anorexia, trastorno límite de 
la personalidad. Hay una larga lista
											de trastornos que contribuyen,
											y como mencioné antes, 
a menudo a una edad temprana.
									","
											Infelizmente, nem todas as notícias são boas.
											Falemos de outra história
											que tem a ver com suicídio.
											Claro que isto não é mesmo uma doença.
											É uma condição ou é uma situação
											que leva à mortalidade.
											O que não sabem é quão predominante é.
											Há 38 000 suicídios todos os anos nos EUA.
											Isso significa um a cada 15 minutos.
											É a terceira causa de morte mais comum
											entre os 15 e os 25 anos.
											É uma história extraordinária 
quando nos apercebemos
											de que é duas vezes mais 
do que o homicídio
											e até mais comum como causa de morte
											do que mortes por acidentes 
nas estradas deste país.
											Quando falamos de suicídio,
											também há uma contribuição médica,
											porque 90% deles
											relacionam-se com problemas mentais:
											depressão, bipolaridade, esquizofrenia,
											anorexia, personalidade <i>borderline</i>. 
Há uma grande lista
											de distúrbios que contribuem,
											e, como referi antes, muitas vezes 
começam cedo.
									","
											Ne yazık ki, haberler o kadar da iyi değil.
											Başka bir hikaye hakkında konuşalım,
											intihar ile ilgili bir hikaye.
											Şimdi bu, tabii ki, aslında bir hastalık değil.
											Bu, ölüme yol açan bir durum
											veya bir hal.
											Farkında olmadığınız, bunun ne kadar yaygın olduğu.
											ABD'de her yıl 38.000 intihar vakası oluyor.
											Bu, yaklaşık her 15 dakikada bir kişi anlamına geliyor.
											15 ve 25 yaş arası insanlar arasında
											üçüncü en sık rastlanan ölüm nedeni.
											bunun cinayetten iki kat fazla ve aslında bu ülkede
											trafik kazalarından daha sık rastlanan bir ölüm
											nedeni olduğunu anladığınızda, bu bir anlamda
											sıra dışı bir hikayedir.
											Şimdi, intihar hakkında konuştuğumuzda,
											burada tıbbi katkı da söz konusudur,
											çünkü intiharların yüzde 90'ı
											bir akıl hastalığı ile ilişkilidir:
											depresyon, bipolar bozukluk, şizofreni,
											anoreksi, sınırda kişilik bozukluğu. Katkıda bulunan
											ve daha önce de belirttiğim gibi
											sıklıkla erken yaşta etkileyen uzun bir rahatsızlıklar listesi var.
									","
											Unfortunately, the news is not all good.
											Let's talk about one other story
											which has to do with suicide.
											Now this is, of course, not a disease, per se.
											It's a condition, or it's a situation
											that leads to mortality.
											What you may not realize is just how prevalent it is.
											There are 38,000 suicides each year in the United States.
											That means one about every 15 minutes.
											Third most common cause of death amongst people
											between the ages of 15 and 25.
											It's kind of an extraordinary story when you realize
											that this is twice as common as homicide
											and actually more common as a source of death
											than traffic fatalities in this country.
											Now, when we talk about suicide,
											there is also a medical contribution here,
											because 90 percent of suicides
											are related to a mental illness:
											depression, bipolar disorder, schizophrenia,
											anorexia, borderline personality. There's a long list
											of disorders that contribute,
											and as I mentioned before, often early in life.
									","
											Leider ist nicht alles an der Nachricht gut.
											Sprechen wir über eine andere Geschichte,
											die mit Selbstmord zu tun hat.
											Das ist natürlich an sich keine Krankheit.
											Es ist ein Zustand oder ein Umstand,
											der zu Sterblichkeit führt.
											Man macht sich nicht so klar,
wie verbreitet das ist.
											Jedes Jahr gibt es 38.000 Selbstmorde
in den Vereinigten Staaten.
											Also etwa einen alle 15 Minuten.
											Die dritthäufigste Todesursache für Menschen
											zwischen 15 und 25.
											Es ist eine ganz besondere Geschichte,
wenn man sich klar macht,
											dass das doppelt so häufig ist wie Mord
											und als Todesursache sogar häufiger
											als Verkehrsunfälle in diesem Land.
											Wenn wir über Selbstmord reden,
											gibt es auch einen medizinischen Anteil,
											weil 90 Prozent aller Selbstmorde
											etwas mit psychischen Störungen
zu tun haben:
											Depression, Bipolare Störung,
Schizophrenie,
											Magersucht, Borderline-Störung.
Es gibt eine lange Liste
											von beteiligten Störungen,
											und das, wie schon erwähnt,
häufig in frühen Jahren.
									",Toward a new understanding of mental illness,Thomas Insel,13:03,"TEDx,brain,depression,health,mental health,neuroscience,Alzheimer's"
"
","
","
","
","
",Toward a new understanding of mental illness,Thomas Insel,13:03,"TEDx,brain,depression,health,mental health,neuroscience,Alzheimer's"
"
											Pero no se trata solo de mortalidad
por estos trastornos.
											También es la morbilidad.
											Si nos fijamos 
en la discapacidad
											medida por la Organización 
Mundial de la Salud,
											con algo llamado Años de vida
potencialmente perdidos,
											una especie de indicador 
que solo a un economista
											se le podría ocurrir,
											salvo que es un modo de
entender lo que se pierde
											en términos de discapacidad
por causas médicas,
											y como pueden ver, casi 30%
											de toda discapacidad por
cualquier causa médica
											puede atribuirse a 
trastornos mentales,
											síndromes neuropsiquiátricos.
									","
											Mas não é só a mortalidade destes distúrbios.
											É também a morbilidade.
											Se olharem para a deficiência,
											tal como é medida pela 
Organização Mundial de Saúde
											com algo a que eles chamam ""Anos de Vida 
Ajustados pela Incapacidade"",
											uma espécie de métrica que ninguém imaginaria
											excepto um economista,
											excepto que é uma maneira de tentar 
capturar o que se perdeu
											em termos de deficiência com causas médicas,
											e como podem ver, praticamente 30%
											de todas as deficiências com causas médicas
											podem ser atribuídas a distúrbios mentais,
											síndromes neuropsiquiátricas.
									","
											Ama mesele sadece bu rahatsızlıklar nedeniyle ölüm değil.
											Aynı zamanda hastalık oranı.
											Dünya Sağlık Örgütü tarafından
											Yeti Kaybına Uyarlanmış Yaşam Yılları olarak
											tanımlanarak ölçülen şekliyle engellilik durumuna bakarsanız,
											bir ekonomist dışında kimsenin düşünmeyeceği
											bir tür ölçü,
											tıbbi nedenlerle engellilik durumlarında
											kayıpların geri kazanılmasının bir yolu olması dışında
											ve gördüğünüz gibi, tüm tıbbi rahatsızlıklardan
											dolayı oluşan tüm engelliliğin neredeyse
											yüzde 30'u ruhsal rahatsızlıklara,
											nöropsikiyatrik sendromlara bağlanabilir.
									","
											But it's not just the mortality from these disorders.
											It's also morbidity.
											If you look at disability,
											as measured by the World Health Organization
											with something they call the Disability Adjusted Life Years,
											it's kind of a metric that nobody would think of
											except an economist,
											except it's one way of trying to capture what is lost
											in terms of disability from medical causes,
											and as you can see, virtually 30 percent
											of all disability from all medical causes
											can be attributed to mental disorders,
											neuropsychiatric syndromes.
									","
											Aber es ist nicht nur die
Sterblichkeit von diesen Störungen.
											Es ist auch die Krankhaftigkeit.
											Wenn man sich Behinderungen ansieht,
											wie sie die WHO misst,
											nämlich mit ihren sogenannten
behinderungsbereinigten Lebensjahren,
											– das ist ein Maß, das sich nur
											Wirtschaftswissenschaftler ausdenken können –
											aber es ist eine Methode
zu versuchen, die Verluste
											durch krankheitsbedingte Behinderungen
zu beziffern,
											und man sieht, dass nahezu 30 Prozent
											aller krankheitsbedingter Behinderungen
											auf mental-psychische Störungen
zurückzuführen sind,
											auf neurologisch-psychiatrische Störungen.
									",Toward a new understanding of mental illness,Thomas Insel,13:03,"TEDx,brain,depression,health,mental health,neuroscience,Alzheimer's"
