en,es,fr,pt,tr,de,title,speaker,duration,tags
"
","
","
","
","
","
",An unsung hero of the civil rights movement,Christina Greer,3:57,"animation,activism,TED-Ed,history,culture,community,social change,race,society"
"
											On August 28th, 1963,
											Martin Luther King Jr. delivered 
his “I Have a Dream” speech
											at the March on Washington for 
Jobs and Freedom.
											That day,

											nearly a quarter million people
											gathered on the national mall
											to demand an end to the discrimination,
segregation, violence,
											and economic exclusion 
black people still faced
											across the United States.
											None of it would have been possible 
without the march’s chief organizer
											– a man named Bayard Rustin.
									","
											El 28 de agosto de 1963
											Martin Luther King Jr. presentó
su discurso ""I Have a Dream""
											en la Marcha sobre Washington
por trabajos y libertad.
											Ese día,
											cerca de un cuarto de millón de personas
se reunieron en el paseo nacional
											para demandar el fin de la discriminación,
segregación, violencia,
											y exclusión económica con la que
aún lidiaba la gente de color
											en todo Estados Unidos.
											Nada de esto hubiera sido posible
sin el organizador de la marcha:
											un hombre llamado Bayard Rustin.
									","
											Le 28 août 1963,
											Matin Luther King a prononcé
son discours « I have a dream »
											lors de la marche pour l'emploi
et la liberté à Washington.
											Ce jour-là,
											près de 250 000 personnes
											se sont réunies sur l'esplanade nationale
											pour exiger la fin de la discrimination,
de la ségrégation, de la violence
											et de l'exclusion économique
auxquelles les Noirs étaient confrontés
											à travers les États-Unis.
											Rien de cela n'aurait été possible sans
l'organisateur principal de la marche,
											un homme du nom de Bayard Rustin.
									","
											A 28 de Agosto de 1963,
											Martin Luther King Jr. proferiu 
o seu discurso ""Eu tenho um sonho"",
											na Marcha sobre Washington 
pelo Trabalho e Liberdade.
											Nesse dia, perto de um quarto
de milhão de pessoas
											reuniram-se no Passeio Nacional
											para exigir o fim da discriminação,
da segregação, da violência,
											e da exclusão económica
que os negros ainda sofriam
											nos Estados Unidos da América.
											Nada disto seria possível
sem o organizador da marcha
											— um homem chamado Bayard Rustin.
									","
											28 Ağustos 1963'te
Martin Luther King Jr.,
											İş ve Özgürlük için yapılan
Washington Yürüyüşünde
											""Bir Hayalim Var"" konuşmasını yaptı.
											O gün, neredeyse çeyrek milyon insan
											siyahi insanların Amerika 
Birleşik Devletleri'nde
											karşı karşıya kaldıkları
ayrımcılık, ırkçılık, şiddet
											ve ekonomik dışlamayı sonlandırmayı
talep etmek için ulusal yolda toplandılar.
											Bunların hiçbiri 
yürüyüşün esas örgütleyicisi
											Bayard Rustin olmasa mümkün olmazdı.
									","
											Am 28. August 1963
											hielt Martin Luther King Jr.
seine ""I Have a Dream""- Rede
											im Rahmen des Marsches auf Washington
für Arbeit und Freiheit.
											An diesem Tag
											kamen fast 250.000 Menschen
											auf der National Mall zusammen,
											um ein Ende der Diskriminierung, 
Segregation, Gewalt
											und wirtschaftlichen Ausgrenzung
gegenüber Schwarzen,
											in den Vereinigten Staaten zu fordern.
											Ohne den Hauptorganisator des Marsches 
wäre nichts davon möglich gewesen
											— einem Mann namens Baynard Rustin.
									",An unsung hero of the civil rights movement,Christina Greer,3:57,"animation,activism,TED-Ed,history,culture,community,social change,race,society"
"
","
","
","
","
","
",An unsung hero of the civil rights movement,Christina Greer,3:57,"animation,activism,TED-Ed,history,culture,community,social change,race,society"
"
											Rustin grew up in a Quaker household,
											and began peacefully protesting
racial segregation in high school.
											He remained committed to 
pacifism throughout his life,
											and was jailed in 1944 as a conscientious 
objector to World War II.
											During his two-year imprisonment,
											he protested the segregated 
facilities from within.
									","
											Rustin creció en un hogar cuáquero
											y empezó a protestar pacíficamente contra
la segregación racial en el instituto.
											Se comprometió con
el pacifismo durante toda su vida
											y fue encarcelado en 1944 como objetor de
conciencia de la Segunda Guerra Mundial.
											Durante sus dos años de prisión,
											protestó por las instalaciones
segregadas desde dentro.
									","
											Rustin a grandi dans un foyer quaker
											et a commencé à protester pacifiquement
contre la ségrégation raciale au lycée.
											Il est resté attaché au pacifisme
tout au long de sa vie
											et a été emprisonné en 1944
											comme objecteur de conscience
à la Seconde Guerre mondiale.
											Durant ses deux années d'incarcération,
											il a protesté de l'intérieur
contre les établissements ségrégués.
									","
											Rustin cresceu numa família ""quaker"",
											e começou a protestar pacificamente
contra a segregação no ensino secundário.
											Manteve-se empenhado
com o pacifismo durante toda a vida,
											e foi preso em 1944 como objetor de 
consciência na Segunda Guerra Mundial.
											Durante a sua pena de dois anos,
											protestou contra a segregação
nas instalações prisionais.
									","
											Rustin, bir Quaker evinde doğdu
											ve lisede, ırk ayrımını barışçıl
bir biçimde protesto etmeye başladı.
											Tüm hayatı boyunca barışçılığı savundu
											ve 1944 yılında 2. Dünya Savaşı'na 
vicdani retçi olduğu için hapse atıldı.
											İki yıllık mahkumiyeti boyunca,
											dahilinde bulunan
ayrılmış tesisleri protesto etti.
									","
											Rustin stammte aus einer Quäkerfamilie
											und begann in der High School mit
friedlichen Protesten gegen Segregation.
											Er blieb sein ganzes Leben lang 
überzeugter Pazifist
											und wurde 1944 wegen Verweigerung der 
Teilnahme am Zweiten Weltkrieg inhaftiert.
											Während seiner zweijährigen Haft
											sprach er sich weiterhin 
gegen Rassentrennung aus.
									",An unsung hero of the civil rights movement,Christina Greer,3:57,"animation,activism,TED-Ed,history,culture,community,social change,race,society"
"
","
","
","
","
","
",An unsung hero of the civil rights movement,Christina Greer,3:57,"animation,activism,TED-Ed,history,culture,community,social change,race,society"
"
											Wherever Rustin went,
											he organized and advocated, 

											and was constantly attuned to the 
methods, groups, and people
											who could help further 
messages of equality.
											He joined the Communist Party
											when black American’s civil rights 
were one of its priorities,
											but soon became disillusioned by the 
party’s authoritarian leanings
											and left.
											In 1948,
											he traveled to India to learn the 
peaceful resistance strategies
											of the recently assassinated 
Mahatma Gandhi.
											He returned to the United States

											armed with strategies 
for peaceful protest,
											including civil disobedience.
									","
											Donde fuera Rustin,
											organizó y luchó,
											y estaba en constante sintonía
con métodos, grupos y personas
											quienes podrían ayudar más 
a los mensajes de igualdad.
											Se unió al Partido Comunista
											cuando los derechos civiles de
los afroamericanos eran una prioridad,
											pero se desilusionó por 
las inclinaciones autoritarias del partido
											y se marchó.
											En 1948,
											viajó a India para aprender
estrategias de resistencia pacíficas
											del recientemente asesinado
Mahatma Gandhi.
											Volvió a los Estados Unidos
											armado con estrategias
de protesta pacífica,
											incluyendo la desobediencia civil.
									","
											Où que Rustin aille,
											il organisait, revendiquait
											et était toujours à l'écoute des méthodes,
des groupes et des gens
											qui pouvaient l'aider à faire avancer
des messages d'égalité.
											Il a rejoint le parti communiste
											quand les droits civils des Noirs
américains étaient une de ses priorités
											mais a vite été désabusé
par les tendances autoritaires du parti
											et l'a quitté.
											En 1948,
											il a voyagé en Inde pour apprendre
les stratégies de résistance pacifique
											de Mahatma Gandhi, récemment assassiné.
											Il est revenu aux États-Unis
											armé de stratégies
de manifestation pacifique,
											y compris la désobéissance civile.
									","
											Onde quer que Rustin fosse,
											organizava e defendia,
											e estava constantemente em sintonia 
com os métodos, grupos e pessoas
											que poderiam melhorar
as mensagens de igualdade.
											Juntou-se ao Partido Comunista
											quando os direitos civis da comunidade
negra eram uma prioridade sua,
											mas logo se desiludiu com as
tendências autoritárias do partido
											e saiu.
											Em 1948, viajou para a Índia
											para aprender estratégias
de resistência pacífica
											do recém-assassinado Mahatma Gandhi.
											Voltou para os Estados Unidos da América,
											armado com estratégias
para protestos pacíficos,
											incluindo a desobediência civil.
									","
											Rustin nereye gittiyse
eşitlik mesajını daha iyi yayabilecek
											metotları, grupları ve insanları 
organize etti ve destekledi.
											Ayrıca bunlara uyum sağladı.
											Önceliklerinden biri siyahi 
Amerikalıların hakları iken
											Komünist partiye katıldı
											fakat kısa sürede partinin
sıkı yönetim eğilimini fark etti
											ve ayrıldı.
											1948'de yakın zamanda suikaste 
uğrayan Mahatma Gandhi'den
											barışçıl direniş stratejisi 
öğrenmek için Hindistan'a gitti.
											Pasif direniş dahil öğrendiği barışçıl 
protesto stratejileri ile beraber
											Amerika Birleşik Devletleri'ne döndü.
									","
											Überall wo er hinkam,
											setzte er seinen Aktivismus fort
											und beschäftigte sich immerfort mit
Methoden, Vereinen und Menschen,
											die helfen konnten, 
für Gleichberechtigung zu werben.
											Er trat der kommunistischen Partei bei,
											als Bürgerrechte für Afro-Amerikaner
zu deren Prioritäten gehörten.
											Die autoritären Neigungen der Partei 
enttäuschten ihn jedoch bald
											und er trat aus.
											Im Jahre 1948
											reiste er nach Indien, um Strategien 
für den friedlichen Widerstand
											des kurz zuvor ermordeten 
Mahatma Gandhi zu erlernen.
											Er kehrte in die USA zurück,
											bewaffnet mit Strategien 
für friedlichen Protest,
											einschließlich des zivilen Ungehorsams.
									",An unsung hero of the civil rights movement,Christina Greer,3:57,"animation,activism,TED-Ed,history,culture,community,social change,race,society"
"
","
","
","
","
","
",An unsung hero of the civil rights movement,Christina Greer,3:57,"animation,activism,TED-Ed,history,culture,community,social change,race,society"
"
											He began to work with 
Martin Luther King Jr in 1955,
											and shared these ideas with him.
											As King’s prominence increased,
											Rustin became his main advisor,
											as well as a key strategist in the 
broader civil rights movement.
											He brought his organizing expertise 

											to the 1956 bus boycotts 
in Montgomery, Alabama
											—in fact,
											he had organized and participated 
in a transportation protest
											that helped inspire the boycotts 
almost a decade before.
									","
											Empezó a trabajar con
Martin Luther King Jr. en 1955,
											y compartió estas ideas con él.
											A medida que la importancia
de King creció,
											Rustin se volvió su principal consejero,
											así como un estratega clave en
el Movimiento por los Derechos Civiles.
											Brindó su experiencia organizativa
											a los boicots de autobuses
en Montgomery, Alabama;
											de hecho,
											había organizado y participado
en una protesta de transporte
											que ayudó a inspirar los boicots
casi una década antes.
									","
											Il a commencé à travailler
avec Martin Luther King en 1955
											et a partagé ces idées avec lui.
											King gagnant en notoriété,
											Rustin est devenu son conseiller principal
											ainsi qu'un stratégiste clé
du mouvement des droits civils.
											Il a apporté son expertise
de l'organisation
											aux boycotts des bus en 1956
à Montgomery, en Alabama —
											en fait,
											il avait organisé et participé
à une contestation des transports
											près d'une décennie auparavant
et qui a inspiré les boycotts.
									","
											Começou a trabalhar
com Martin Luther King Jr. em 1955,
											e partilhou essas ideias com ele.
											À medida que a popularidade
de King aumentava,
											Rustin tornou-se
no seu conselheiro principal,
											bem como o estratega chave
no movimento pelos direitos civis.
											Levou a sua experiência organizativa
											para os boicotes aos transportes
em 1956 em Montgomery, Alabama.
											Na verdade,
											Rustin tinha organizado e participado
em protestos aos transportes
											quase uma década antes,
ajudando a inspirar os boicotes.
									","
											1955'te Martin Luther King Jr.
ile çalışmaya başladı
											ve onun fikirlerini paylaştı.
											King'in şöhreti arttıkça
											Rustin onun baş danışmanı oldu
											ve Sivil Haklar Hareketinde
önemli bir stratejist konumuna yükseldi.
											Organizasyon yeteceğini 1956 
otobüs protestolarında kullandı.
											Hatta ulaşım protestosu 
organize ederek ve ona katılarak
											protestoların on yıl evvel
bundan ilham almasına yardım etti.
											Washington'daki ulusal 
yürüyüşü yönettiğinde
									","
											1955 begann er 
mit Martin Luther King Jr. zu arbeiten
											und erzählte ihm von diesen Ideen.
											Als Kings Bekanntheit stieg,
											wurde Rustin sein Hauptberater,
											sowie ein Hauptstratege für die
gesamte Bürgerrechtsbewegung.
											Durch sein organisatorisches Geschick
											trug er zu den Busboykotten 
in Montgomery, Alabama 1956 bei.
											In der Tat
											hatte er schon ein Jahrzehnt zuvor
einen Transportprotest organisiert,
											der als Vorbild für die Boykotte diente.
									",An unsung hero of the civil rights movement,Christina Greer,3:57,"animation,activism,TED-Ed,history,culture,community,social change,race,society"
"
","
","
","
","
","
",An unsung hero of the civil rights movement,Christina Greer,3:57,"animation,activism,TED-Ed,history,culture,community,social change,race,society"
"
											His largest-scale organizing project 
came in 1963,
											when he led the planning for the 
national march on Washington.
											The possibility of riots that could 
injure marchers
											and undermine their message of peaceful 
protest was a huge concern.
											Rustin not only worked with the DC 
police and hospitals to prepare,
											but organized and trained a volunteer 
force of 2,000 security marshals.
											In spite of his deft management,
											some of the other organizers did 
not want Rustin to march in front
											with other leaders from the south, 
because of his homosexuality.
									","
											Su proyecto organizativo
de mayor escala llegó en 1963,
											cuando lideró la planificación de 
la marcha nacional a Washington.
											La posibilidad de disturbios que
pudieran herir a los participantes
											y minar su mensaje de protesta 
pacífica era una enorme preocupación.
											Rustin no solo trabajó con la policía
de DC y hospitales para prepararse,
											sino que organizó y entrenó una fuerza
voluntaria de 2000 agentes de seguridad.
											A pesar de su hábil gestión,
											algunos de los otros organizadores
no querían a Rustin marchando delante
											con otros líderes del sur, 
debido a su homosexualidad.
									","
											Son plus grand projet eut lieu en 1963,
											lorsqu'il a dirigé l'organisation
de la marche nationale sur Washington.
											Le risque d'émeutes
pouvant blesser les marcheurs
											et saper leur message de manifestation
pacifique était une grande inquiétude.
											Rustin a travaillé à la préparation
avec la police et les hôpitaux
											et il a aussi organisé et formé une force
de 2 000 agents de sécurité bénévoles.
											Malgré son habile organisation,
											certains des autres organisateurs
ne voulaient pas que Rustin soit devant
											avec les autres leaders du Sud,
du fait de son homosexualité.
									","
											O seu maior projeto de organização
chegou em 1963,
											quando liderou o planeamento para
a marcha nacional sobre Washington.
											A possibilidade de tumultos
que poderiam ferir os manifestantes
											e minar a mensagem de protesto
pacífico era uma grande preocupação.
											Rustin trabalhou com a polícia
de DC e com os hospitais para o preparar,
											mas também organizou e treinou
uma força de 2000 seguranças voluntários.
											Apesar da sua hábil gestão,
											alguns dos outros organizadores
não o queriam a marchar na dianteira
											juntamente com os líderes do Sul,
por causa da sua homossexualidade.
									","
											1963 yılında en geniş organizasyon
projesini gerçekleştirdi.
											Başkaldıranların
yürüyenleri incitme olasılığı
											ve barışçıl protestolarını bozmaları
başlıca endişe kaynağıydı.
											Rustin sadece DC polisi ile çalışmakla
ve hastaneleri hazırlamakla kalmadı
											ve 2000 kişiden oluşan
gönüllü mareşali de organize edip eğitti.
											Becerikli yönetim kabiliyetine rağmen
											bazı organizatörler
Rustin eşcinsel olduğundan
											onun diğer güneyli liderlerle 
beraber önde yürümesini istemedi.
									","
											Sein größtes Organisationsprojekt
war im Jahre 1963,
											als er die Planung 
des Marsches auf Washington durchführte.
											Dass mögliche Aufstände 
die Marschierenden gefährden und
											der Botschaft des friedlichen Protests 
schaden könnten, war die Hauptsorge.
											Rustin arbeitete nicht nur mit der Polizei
und Krankenhäusern zusammen,
											sondern trainierte auch eine freiwillge 
Einheit von 2000 Sicherheitsmarschällen.
											Trotz seines geschickten Management
											wollten andere Organisatoren nicht, 
dass Rustin vorne
											mit anderen Anführern aus dem Süden 
marschiert, da er homosexuell war.
									",An unsung hero of the civil rights movement,Christina Greer,3:57,"animation,activism,TED-Ed,history,culture,community,social change,race,society"
