en,tr,es,pt,title,speaker,duration,tags
"
","
","
","
",The wicked wit of Jane Austen,Iseult Gillespie,4:43,"TED-Ed,animation,literature,book,books,world cultures,culture,money,novel,feminism"
"
											Whether she’s describing 
bickering families,
											quiet declarations of love,
											or juicy gossip,
											Jane Austen’s writing often feels as 
though it was written just for you.
											Her dry wit and cheeky playfulness 
informs her heroines,
											whose conversational tone welcomes readers
with a conspiratorial wink.
											It’s even been said that some readers 
feel like the author’s secret confidante,
											trading letters with their delightfully 
wicked friend Jane.
											But this unique brand of 
tongue-in-cheek humor
											is just one of the many feats found 
in her sly satires
											of society, civility, 
and sweeping romance.
									","
											İster aile münakaşalarını,
ister aşk ilanlarını
											ister de ağız sulandırıcı
											dedikoduları tanımlasın,
											Jane Austen'ın yazısı genellikle
sadece sizin için yazıldığı hissini verir.
											Güzel konuşmaları okuyucuyu
entrikalı bir göz kırpmayla karşılayan
											kadın kahramanlarını, sert zekâsı
ve küstah oyunculuğuyla ağırlar.
											Hatta bazı okuyucuların, yazarın
gizli sırdaşı gibi, hoş bir muzipliğe
											sahip arkadaşı Jane ile mektuplaşıyor
gibi hissettikleri bile söylenir.
											Fakat bu emsalsiz şaka yollu mizah tarzı,
											toplum, nezaket ve coşkulu romantizme
yaptığı muzip taşlamalarında bulunan
											birçok beceriden sadece birisi.
									","
											Ya sea con descripciones
de rencillas familiares,
											secretas declaraciones de amor
											o pícaras habladurías,
											las novelas de Jane Austen parecen 
estar hechas a medida del lector.
											Su ingenio mordaz y jocosa 
insolencia dan vida a sus heroínas,
											que con su tono intimista
hacen un guiño cómplice al lector.
											Algunos lectores se sienten incluso
confidentes secretos de la autora,
											como si intercambiaran cartas con Jane,
una amiga deliciosamente incisiva.
											Pero este sello particular
de su irónico humor
											es tan solo una genialidad más
de sus agudas sátiras
											que criticaban la sociedad, 
la civilidad y los amores apasionados.
									","
											Quer quando descreve
discussões familiares,
											secretas declarações de amor
											ou mexericos saborosos,
											a escrita de Jane Austen, por vezes,
parece ter sido escrita só para nós.
											O seu espírito mordaz, atrevido
e brincalhão, dá vida às suas heroínas,
											cujo tom coloquial acolhe as leitoras
com um piscar de olhos cúmplice.
											Até já tem sido dito que algumas leitoras
											se sentem como confidentes
secretas da autora,
											trocando cartas com a sua amiga Jane,
deliciosamente maliciosa.
											Mas esta marca única
do seu humor irónico
											é apenas um dos muitos traços
que encontramos nas suas agudas sátiras
											da sociedade, da civilidade
e dos amores incondicionais.
									",The wicked wit of Jane Austen,Iseult Gillespie,4:43,"TED-Ed,animation,literature,book,books,world cultures,culture,money,novel,feminism"
"
","
","
","
",The wicked wit of Jane Austen,Iseult Gillespie,4:43,"TED-Ed,animation,literature,book,books,world cultures,culture,money,novel,feminism"
"
											Written in the early nineteenth century,
											Austen's novels decode 
the sheltered lives
											of the upper classes in rural England.
											From resentment couched in pleasantries
											to arguing that masks attraction,
											her work explores the bewildering 
collision of emotions and etiquette.
									","
											On dokuzuncu yüzyılın başlarında yazılan
											Austen'ın romanları,
İngiltere kırsalının üst sınıflarının
											korunaklı yaşamlarını deşifre eder.
											Şakacılıkta saklanan içerlemelerden,
											o maskelerin cazibesi tartışmalarına,
											eserleri duygu ve görgü kurallarının
şaşırtıcı çatışmasını keşfediyor.
									","
											Escritas a principios del siglo XIX,
											sus novelas ponen 
al descubierto la vida acomodada
											de las clases altas 
en la Inglaterra rural.
											Desde rencores disfrazados
detrás de amables cumplidos
											a discusiones que disimulaban
veladas atracciones,
											su obra expone la desconcertante oposición
											entre los sentimientos
y las convenciones sociales.
									","
											Escritos no início do século XIX,
											os romances de Austen descodificam
as vidas resguardadas
											das classes mais altas
numa Inglaterra rural.
											Desde rancores disfarçados 
por detrás de gracejos
											até a discussões que dissimulam
atrações ocultas,
											a sua obra explora
a oposição desconcertante
											entre emoções e etiqueta.
									",The wicked wit of Jane Austen,Iseult Gillespie,4:43,"TED-Ed,animation,literature,book,books,world cultures,culture,money,novel,feminism"
"
","
","
","
",The wicked wit of Jane Austen,Iseult Gillespie,4:43,"TED-Ed,animation,literature,book,books,world cultures,culture,money,novel,feminism"
"
											But while romance is a common 
thread in her work,
											Austen dismissed the sentimental style 
of writing so popular at the time.
											Instead of lofty love stories,
											her characters act naturally, 
and often awkwardly.
											They trade pragmatic advice, 
friendly jokes
											and not-so-friendly barbs 
about their arrogant peers.
											As they grapple with the endless rules 
of their society,
											Austen’s characters can usually find humor
											in all the hypocrisy, propriety, 
and small talk.
											As Mr. Bennet jokes 
to his favorite daughter,
											“For what do we live, 
but to make sport for our neighbors
											and laugh at them in our turn?”
									","
											Fakat eserlerinde romantizm
ortak bir parça olsa da
											Austen o zamanlar popüler yazının
duygusal tarzını kapı dışarı etmiştir.
											Gururlu aşk hikâyeleri yerine,
											karakterleri doğal ve genelde
acemice davranırlar.
											Birbirleriyle pragmatik
nasihatler, dostça şakalar
											ve kibirli akranları hakkında çok da
dostça olmayan hakaretler paylaşırlar.
											Austen'ın karakterleri toplumun
sonsuz kurallarıyla boğuştukça
											riyakarlık, adap ve gevezelikte
											genelde keyif bulabilirler.
											Bay Bennet en sevdiği kızına
şöyle şaka yapar,
											""Komşularımızla dalga geçmek
ve sonra sıramız geldiğinde
											onlara gülmek dışında
ne için yaşıyoruz ki?""
									","
											Si bien el amor es un tema
recurrente en sus novelas,
											Austen no adhería a la literatura 
sentimental, tan popular en su época.
											Lejos de sublimes historias de amor,
											sus personajes actúan con naturalidad,
y a menudo con torpeza.
											Intercambian consejos pragmáticos,
bromas bien intencionadas
											y comentarios punzantes
sobre la arrogancia de sus pares.
											Obligados a lidiar con 
las infinitas reglas de la sociedad,
											los personajes de Austen 
saben rescatar una cuota de humor
											en medio de la hipocresía,
el decoro y los diálogos banales.
											Así lo expresa el Sr. Bennet
cuando bromea con su hija favorita:
											""¿Para qué vivimos si no es
para entretener a nuestros vecinos,
											y reírnos nosotros de ellos a la vez?"".
									","
											Mas embora o romance seja 
um tema comum na sua obra,
											Austen rejeitou o estilo sentimental
de escrita, tão popular na época.
											Em vez de histórias de amor sublimes,
											as suas personagens agem naturalmente,
por vezes desajeitadamente.
											Trocam conselhos pragmáticos,
piadas amigáveis
											e farpas menos amigáveis
sobre a arrogância dos seus pares.
											Enquanto lutam com as intermináveis
regras da sociedade,
											as personagens de Austen
encontram habitualmente o humor
											no meio de toda a hipocrisia,
o decoro e as conversas fúteis.
											Tal como Mr. Bennet graceja
com a sua filha preferida:
											""Para que vivemos senão
para enganar os nossos vizinhos
											""e depois, rirmo-nos deles?""
									",The wicked wit of Jane Austen,Iseult Gillespie,4:43,"TED-Ed,animation,literature,book,books,world cultures,culture,money,novel,feminism"
"
","
","
","
",The wicked wit of Jane Austen,Iseult Gillespie,4:43,"TED-Ed,animation,literature,book,books,world cultures,culture,money,novel,feminism"
"
											And though her heroines might ridicule 
senseless social mores,
											Austen fully understood the practical 
importance of maintaining appearances.
											At the time she was writing,
											a wealthy marriage was a financial 
necessity for most young women,
											and she often explores the tension between
the mythical quest for love,
											and the economic benefits 
of making a match.
											The savvy socialite Mary Crawford sums 
this up in ""Mansfield Park;""
											“I would have everybody marry 
if they can do it properly:
											I do not like to have people 
throw themselves away.”
									","
											Kadın kahramanları mantıksız sosyal
geleneklerle alay edebilse de
											Austen görünümü muhafaza etmenin
nesnel önemini tamamen anlamıştı.
											Yazdığı dönemlerde,
											çoğu genç kadın için zengin bir evlilik,
maddi bir gereksinimdi
											ve genelde, efsanevi aşk arayışı ile
bir eş bulmanın ekonomik faydaları
											arasındaki gerilimi keşfediyor.
											Bilgili sosyetik Mary Crawford,
Mansfield Park'da bunu şöyle özetliyor;
											""Doğru dürüst yapabilselerdi,
herkesi evlendirirdim:
											İnsanların kendilerini boşa
harcamalarından hoşlanmıyorum.""
									","
											Y si bien sus heroínas ridiculizan 
las absurdas costumbres sociales,
											Austen tenía muy en claro la importancia
práctica de mantener las apariencias.
											En su época,
											un matrimonio acomodado era 
una necesidad financiera para las jóvenes,
											y sus obras expresan a menudo la tensión
entre la búsqueda mítica del amor
											y los beneficios económicos
de encontrar un buen partido.
											Mary Crawford, astuta dama de sociedad,
resume la idea en ""Mansfield Park"":
											""Me gustaría que todos se casaran
si pudieran hacerlo como es debido.
											No es bueno que la gente 
desperdicie su vida"".
									","
											Embora as suas heroínas ridicularizem
os absurdos costumes sociais,
											Austen compreendia plenamente
											a importância prática
de manter as aparências.
											Na época em que escreveu,
											um casamento rico era uma necessidade
financeira para a maioria das jovens
											e ela explora muitas vezes a tensão
entre a procura mítica do amor
											e os benefícios económicos
de um bom matrimónio.
											Mary Crawford, a astuta dama da sociedade
resume isto em ""Mansfield Park"":
											""Eu gostaria que todos casassem
se o fizessem como deve ser.
											""Não gosto de ver as pessoas
a desperdiçarem a sua vida"".
									",The wicked wit of Jane Austen,Iseult Gillespie,4:43,"TED-Ed,animation,literature,book,books,world cultures,culture,money,novel,feminism"
"
","
","
","
",The wicked wit of Jane Austen,Iseult Gillespie,4:43,"TED-Ed,animation,literature,book,books,world cultures,culture,money,novel,feminism"
"
											Unsurprisingly, these themes were also 
present in Austen’s personal life.
											Born in 1775,
											she lived in the social circles 
found in her novels.
											Jane's parents supported her education,
											and provided space for her to write 
and publish her work anonymously.
											But writing was hardly lucrative work.
											And although she had sparks of chemistry,
											she never married.
									","
											Bu temaların ayrıca Austen'ın kişisel
yaşamında da olması şaşırtıcı değil.
											1775'de doğdu
											ve romanlarındaki
sosyal çevrelerde yaşadı.
											Jane'in ebeveynleri eğitimini destekledi
											ve yazması ve çalışmalarını isimsiz
olarak yayınlaması için alan sağladılar.
											Fakat yazmak, güç bela
kazanç getiren bir işti.
											Ayrıca kimya kıvılcımları yaşasa da
											hiçbir zaman evlenmedi.
									","
											No sorprende que estos temas formaran 
parte de la vida personal de Austen.
											Nacida en 1775,
											perteneció a los círculos sociales
que describe en sus novelas.
											Sus padres le brindaron
una buena educación,
											y apoyaron su carrera literaria
y la publicación anónima de sus obras.
											Pero ser escritora 
no era un trabajo lucrativo.
											Y si bien tuvo algunos amores fugaces,
											nunca contrajo matrimonio.
									","
											Não admira que estes temas
											também estejam presentes
na vida pessoal de Austen.
											Nascida em 1775,
											pertencia aos círculos sociais
que encontramos nos seus romances.
											Os pais de Jane proporcionaram-lhe
uma boa educação
											e deram-lhe espaço para ela escrever
e publicar a sua obra anonimamente.
											Mas a escrita dificilmente
era um trabalho lucrativo
											e, embora ela tivesse
alguns amores fugazes
											nunca se casou.
									",The wicked wit of Jane Austen,Iseult Gillespie,4:43,"TED-Ed,animation,literature,book,books,world cultures,culture,money,novel,feminism"
