en,pt,title,speaker,duration,tags
"
","
",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
											OK, I have a question for all of us.
											You ready?
											Is all winning success?
									","
											Tenho uma pergunta para todos nós,
											Estão prontos?
											Será que vitória equivale
sempre a sucesso?
									",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
","
",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
											(Murmurs)
									","
											(Murmúrios)
									",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
","
",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
											Oh.
									","
											Oh.
									",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
","
",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
											(Laughter)
									","
											(Risos)
									",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
","
",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
											Whoa. OK.
									","
											Oh. Ok.
									",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
","
",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
											I am the recently retired head coach
											of the UCLA Women's Gymnastics Team,
											a position that I held for 29 years.
									","
											Sou a recentemente reformada
treinadora principal
											da Equipa de Ginástica Feminina
da Universidade da Califórnia,
											uma posição em que me mantive por 29 anos.
									",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
","
",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
											(Applause)
									","
											(Aplausos)
									",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
","
",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
											Thank you.
									","
											Obrigada.
									",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
","
",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
											And during my tenure,
											I experienced a lot of winning.
											I led our team to seven
National Championships,
											I was inducted into
the UCLA Athletic Hall of Fame
											and I was even voted
the Coach of the Century
											by the Pac-12 Conference.
									","
											Durante o exercício do meu cargo,
											convivi com muitas vitórias.
											Levei a nossa equipa
a sete Campeonatos Nacionais,
											entrei para o “Passeio da Fama
Desportivo” da UCLA
											e até fui eleita Treinadora do Século
											pela Conferência do PAC-12.
									",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
","
",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
											(Applause)
									","
											(Aplausos)
									",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
","
",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
											Winning is really, really,
											like, really, really fun.
									","
											Vencer é mesmo, mesmo
											muito divertido.
									",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
","
",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
											(Laughter)
									","
											(Risos)
									",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
","
",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
											But I am here to share my insight:
											winning does not always equal success.
											All across America and around the world,
											we have a crisis
											in the win-at-all-cost cultures
											that we have created.
											In our schools,
											in our businesses, in politics,
											winning at all cost
has become acceptable.
											As a society,
											we honor the people
at the top of the pyramid.
											We effusively applaud those people who win
championships and elections and awards.
											But sadly, quite often,
											those same people
are leaving their institutions
											as damaged human beings.
											Sadly, with straight A's,
											kids are leaving school damaged.
											With awards and medals,
											athletes often leave their teams damaged,
											emotionally, mentally,
not just physically.
											And with huge profits, employees
often leave their companies damaged.
											We have become so hyperfocused
on that end result,
											and when the end result is a win,
											the human component of how we got there
											often gets swept under the proverbial rug,
											and so does the damage.
									","
											Mas estou aqui para partilhar
a minha experiência:
											vencer nem sempre equivale a sucesso.
											Por toda a América e por todo o mundo,
											temos uma crise
											na cultura de vencer a todo o custo
											que criámos.
											Nas nossas escolas,
											nos negócios, na política,
											vencer a todo o custo,
tornou-se aceitável.
											Como sociedade,
											honramos as pessoas
no topo da pirâmide.
											Aplaudimos efusivamente aqueles que ganham
campeonatos, eleições e prémios.
											Mas infelizmente, várias vezes,
											essas mesmas pessoas
estão a deixar as suas instituições
											como seres humanos afetados.
											Infelizmente, com 20 valores a tudo,
											as crianças estão 
a sair das escolas afetadas.
											Com prémios e medalhas,
											os atletas muitas vezes 
saem das suas equipas afetados.
											emocional e mentalmente,
não só fisicamente.
											E com enormes lucros,
											trabalhadores por vezes
saem das suas empresas afetados.
											Temos estado tão hiperfocados
nesse resultado final,
											que, quando o resultado final
é uma vitória,
											a componente humana
de como lá chegámos
											por vezes não é valorizada,
											e o mesmo acontece com os danos.
									",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
"
","
",Why winning doesn't always equal success,Valorie Kondos Field,15:49,"success,sports,leadership,empathy,compassion,emotions,trust,humanity,society,social change,philosophy"
