en,tr,es,title,speaker,duration,tags
"
","
","
",What it's like to be a woman in Hollywood,Naomi McDougall Jones,17:00,"activism,creativity,business,gender equality,culture,social change,movies,storytelling,society,women,TEDx"
"
											I'm going to begin today with a story
											and end with a revolution.
									","
											Güne bir öyküyle başlayacak
											ve bir devrimle bitireceğim.
									","
											Voy a empezar hoy con una historia
											y terminar con una revolución.
									",What it's like to be a woman in Hollywood,Naomi McDougall Jones,17:00,"activism,creativity,business,gender equality,culture,social change,movies,storytelling,society,women,TEDx"
"
","
","
",What it's like to be a woman in Hollywood,Naomi McDougall Jones,17:00,"activism,creativity,business,gender equality,culture,social change,movies,storytelling,society,women,TEDx"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risas)
									",What it's like to be a woman in Hollywood,Naomi McDougall Jones,17:00,"activism,creativity,business,gender equality,culture,social change,movies,storytelling,society,women,TEDx"
"
","
","
",What it's like to be a woman in Hollywood,Naomi McDougall Jones,17:00,"activism,creativity,business,gender equality,culture,social change,movies,storytelling,society,women,TEDx"
"
											Are you ready?
									","
											Hazır mısınız?
									","
											¿Están listos?
									",What it's like to be a woman in Hollywood,Naomi McDougall Jones,17:00,"activism,creativity,business,gender equality,culture,social change,movies,storytelling,society,women,TEDx"
"
","
","
",What it's like to be a woman in Hollywood,Naomi McDougall Jones,17:00,"activism,creativity,business,gender equality,culture,social change,movies,storytelling,society,women,TEDx"
"
											Audience: Yes!
									","
											Seyirci: Hazırız!
									","
											Público: ¡Sí!
									",What it's like to be a woman in Hollywood,Naomi McDougall Jones,17:00,"activism,creativity,business,gender equality,culture,social change,movies,storytelling,society,women,TEDx"
"
","
","
",What it's like to be a woman in Hollywood,Naomi McDougall Jones,17:00,"activism,creativity,business,gender equality,culture,social change,movies,storytelling,society,women,TEDx"
"
											Naomi McDougall-Jones: Here's the story.
											All my life I wanted to be an actress.
											From the time I was very small,
I could feel the magic of storytelling
											and I wanted to be a part of it.
											So, at the ripe age of 21,
											I graduated from the American
Academy of Dramatic Arts
											in New York City,
											bright-eyed and bushy-tailed,
and ready to take my rightful place
											as the next Meryl Streep.
											That's my grandmother, not Meryl Streep.
									","
											Naomi McDougall-Jones :
Öykümüz şöyle:
											Hayatım boyunca
bir oyuncu olmayı istedim.
											Çok küçük yaşlardan beri,
öykü anlatmanın büyüsünü hissediyor
											ve bunun bir parçası olmak istiyordum.
											Böylece olgun bir yaşta, 21' imde
											Ney York'taki, Amerikan Drama
Sanatları Akademisinden
											mezun oldum.
											İçim içime sığmıyordu 
ve hak ettiğim yeri alıp
											yeni Meryl Streep olmaya hazırdım.
											Bu anneannem,
Meryl Streep değil.
									","
											Naomi McDougall-Jones: 
Esta es la historia.
											Toda mi vida quise ser actriz.
											Desde muy pequeña podía sentir 
la magia de contar historias
											y quería ser parte de ello.
											Así que, a los 21 años,
											me gradué en la Academia 
Estadounidense de Arte Dramático
											en la ciudad de Nueva York,
											con ojos vivos y con la coleta tupida, 
lista para ocupar mi lugar legítimo
											como la siguiente Meryl Streep.
											Esa es mi abuela, no Meryl Streep.
									",What it's like to be a woman in Hollywood,Naomi McDougall Jones,17:00,"activism,creativity,business,gender equality,culture,social change,movies,storytelling,society,women,TEDx"
"
","
","
",What it's like to be a woman in Hollywood,Naomi McDougall Jones,17:00,"activism,creativity,business,gender equality,culture,social change,movies,storytelling,society,women,TEDx"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risas)
									",What it's like to be a woman in Hollywood,Naomi McDougall Jones,17:00,"activism,creativity,business,gender equality,culture,social change,movies,storytelling,society,women,TEDx"
