es,pt,tr,fr,title,speaker,duration,tags
"
","
","
","
",How a penny made me feel like a millionaire,Tania Luna,5:31,"culture,money,homelessness"
"
											Tenía cinco años y estaba muy orgullosa.
											Mi papá terminaba de construir la mejor letrina
											en nuestro pueblito de Ucrania.
											Adentro, es un agujero en el suelo 
enorme y apestoso,
											Pero de por fuera, 
es de formica blanca nacarada
											que brilla literalmente al sol.
											Me hizo sentir tan orgullosa,
tan importante,
											que me nombré la líder 
de mi grupo de amigos
											y diseñé misiones para cumplir.
											Íbamos de casa en casa
											buscando moscas atrapadas 
en las telas de araña
											para liberarlas.
									","
											Tenho cinco anos e estou muito orgulhosa.
											O meu pai construiu a melhor casa de banho exterior
											no nosso pequeno vilarejo na Ucrânia.
											Lá dentro, é um buraco mal cheiroso no chão
											mas por fora, é de fórmica branca nacarada
											que brilhava literalmente ao sol.
											Isto faz-me sentir tão orgulhosa, tão importante
											que me designei a mim mesma líder 
do nosso pequeno grupo de amigos
											e criava missões para nós.
											Íamos, então, de casa em casa
											à procura de moscas presas em teias de aranha
											e libertávamo-las.
									","
											5 yaşındaydım ve çok gururluydum.
											Babam Ukrayna'daki küçük köyümüzdeki
											en güzel ek binayı henüz inşa etmişti.
											İçerisi, kötü kokuyordu, zemininde koca bir delik vardı,
											ancak dışı, inci gibi beyaz formika kaplı
											ve gerçekten de güneşte parıldıyordu.
											Bu beni çok gururlandırmıştı, çok önemli olduğumu hissediyordum,
											kendimi küçük arkadaş grubumun lideri olarak görevlendirmiştim
											ve bizim için yeni görevler buluyordum.
											Evden eve gezinmeye başladık,
											örümcek ağlarına takılmış sinekleri bulup
											onları kurtarıyorduk.
									","
											J'ai 5 ans et je suis très fière.
											Mon père vient de construire
les meilleures latrines de tout
											notre petit village d'Ukraine.
											A l'intérieur, c'est un trou dans le sol, 
béant et malodorant
											mais à l'extérieur, 
c'est du formica blanc nacré
											qui brille littéralement au soleil.
											Et cela me procure un tel sentiment
de fierté et d'importance
											que je m'autoproclame chef
de mon petit groupe de copains
											et nous invente toutes sortes de missions.
											Nous déambulons alors
de maison en maison
											à la recherche de mouches 
prises dans des toiles d'araignée
											et nous les libérons.
									",How a penny made me feel like a millionaire,Tania Luna,5:31,"culture,money,homelessness"
"
","
","
","
",How a penny made me feel like a millionaire,Tania Luna,5:31,"culture,money,homelessness"
"
											Cuatro años antes, cuando tenía un año,
											después del accidente de Chernóbil,
											la lluvia era negra.
											A mi hermana se le caía el pelo 
a mechones
											y yo estuve nueve meses en el hospital.
											No se permitían visitas,
											así que mi mamá sobornó 
a un trabajador del hospital.
											Compró un uniforme de enfermera
											y se coló todas las noches
para sentarse a mi lado.
											Cinco años después,
un hecho rescatable e inesperado.
											Gracias a Chernóbil, 
conseguimos asilo en los EE.UU.
									","
											Quatro anos antes, com um ano de idade
											após o acidente de Chernobyl
											a chuva caía negra
											e o cabelo da minha irmã caía em tufos
											e eu fiquei internada nove meses.
											As visitas não eram permitidas
											por isso, a minha mãe subornou um funcionário.
											Ela conseguiu uma bata de enfermeira
											e vinha todas as noites sentar-se ao meu lado.
											Cinco anos depois, uma luz ao fundo do túnel.
											Graças a Chernobyl, obtivemos asilo nos EUA.
									","
											4 yıl önce, ben 1 yaşındayken,
											Çernobil kazasından sonra,
											yağmur siyah renkte yağdı,
											ve kız kardeşimin saçları tutam tutam dökülmüştü,
											ben de 9 ay boyunca hastanede kalmıştım.
											Misafirlere giriş izni yoktu,
											bu yüzden annem bir hastane çalışanına rüşvet vermişti.
											Bir hemşire üniforması edinip,
											her gece yanımda oturmak için gizlice odama gelirdi.
											5 yıl sonra, beklenmeyen bir umut ışığı doğdu.
											Çernobil sayesinde, Amerika'da sığınma hakkı kazandık.
									","
											Quatre ans plus tôt, 
alors que je n'avais qu'un an,
											il tombait des pluies noires
											et les cheveux de ma sœur
tombaient par touffes
											à cause de l'accident de Tchernobyl.
											Quant à moi,
j'ai passé neuf mois à l'hôpital.
											Comme les visiteurs n'étaient pas admis,
											ma mère a dû soudoyer
une employée de l'hôpital.
											Elle s'est procurée un uniforme d'infirmière
											et se glissait toutes les nuits dans ma chambre
pour être à mon chevet
											Mais comme on dit,
à quelque chose malheur est bon.
											Cinq ans plus tard, grâce à Tchernobyl, 
nous obtenons l'asile aux États-Unis.
									",How a penny made me feel like a millionaire,Tania Luna,5:31,"culture,money,homelessness"
"
","
","
","
",How a penny made me feel like a millionaire,Tania Luna,5:31,"culture,money,homelessness"
"
											Tenía seis años y no lloré 
cuando nos fuimos de nuestro hogar
											y vinimos a EE. UU.,
											porque esperaba que fuera un lugar
lleno de cosas raras
											y maravillosas, como bananas, chocolate
											y chicles Bazooka.
											Los chicles Bazooka envueltos con esas 
pequeñas historietas
											que conseguíamos una vez al año en Ucrania.
											Teníamos que mascar un chicle 
una semana entera.
									","
											Com seis anos de idade, não chorei 
quando deixámos a nossa casa
											e fomos para a América
											porque esperava que fosse um lugar 
de coisas raras
											e maravilhosas, como bananas e chocolate
											e pastilha elástica Bazooka
											com pequenas histórias em BD lá dentro
											como nos davam uma vez por ano na Ucrânia
											e que tínhamos de mascar um pedaço 
durante uma semana inteira.
									","
											6 yaşındaydım ve Amerika'ya geldik.
											Evden ayrılırken ağlamadım çünkü Amerika'nın
											az bulunan müthiş şeylerle dolu
											bir yer olduğunu umuyordum. Mesela muz,
											çikolata, Bazooka sakızı gibi şeylerle.
											içinde küçük çizgi film çıkartmaları olan Bazooka sakızı
											Bazooka'yı Ukrayna'da yılda bir kere alabilirdik
											ve bir parça sakızı tüm hafta çiğnememiz gerekirdi.
									","
											J'ai six ans et je ne pleure pas 
quand nous quittons la maison
											et arrivons aux États-Unis,
											parce que je m'attends 
à découvrir un endroit
											truffé de bonnes choses,
comme des bananes, du chocolat
											et des chewing-gum Bazooka.
											Le chewing-gum Bazooka
avec ses petites BD à l’intérieur,
											ce chewing-gum qu'on recevait 
une fois par an en Ukraine
											et qu'on mâchait pendant 
toute une semaine.
									",How a penny made me feel like a millionaire,Tania Luna,5:31,"culture,money,homelessness"
"
","
","
","
",How a penny made me feel like a millionaire,Tania Luna,5:31,"culture,money,homelessness"
"
											El día que llegamos a Nueva York,
											mi abuela y yo encontramos un centavo
											en el piso del refugio para indigentes 
donde paraba mi familia.
											Pero no sabíamos que era 
un refugio para indigentes.
											Creíamos que era un hotel, 
un hotel lleno de ratas.
											Encontramos ese centavo casi fosilizado en el piso
											y pensamos que un hombre muy rico 
debía haberlo dejado allí
											porque la gente normal 
nunca pierde dinero.
											Apreté el centavo en la palma de mi mano;
											estaba pegajoso y oxidado,
											pero yo sentía que tenía una fortuna.
											Decidí que iba a comprar
											mi propio chicle Bazooka.
											Y en ese momento 
me sentí una millonaria.
									","
											No primeiro dia em que chegámos a Nova Iorque
											eu e a minha avó achámos um centavo
											no chão do albergue para os sem-abrigo, 
onde a minha família foi abrigada.
											Só que não sabíamos que era um abrigo 
para desalojados.
											Pensávamos que era um hotel, 
um hotel cheio de ratos.
											Então encontrámos aquela moeda fossilizada no chão
											e pensámos que alguém muito rico 
a havia deixado lá
											porque pessoas normais não perdem dinheiro.
											E segurei a moeda na palma da mão
											estava pegajosa e enferrujada
											mas senti-me a segurar numa fortuna.
											Decidi que arranjaria meu próprio pedaço
											de pastilha elástica Bazooka.
											E naquele momento, senti-me uma milionária.
									","
											New York'a ilk geldiğimiz gün,
											ailemin kaldığı kimsesizler barınağında,
											anneannemle beraber yerde bir kuruş bulduk.
											Sadece, orasının bir kimsesizler barınağı olduğunu bilmiyorduk.
											Oranın farelerle dolu bir otel olduğunu düşünüyorduk.
											O, adeta fosilleşmiş olan kuruşu yerde bulduk,
											ve çok zengin bir adamın düşürmüş olabileceğini düşündük
											çünkü sıradan bir insan parasını öylece kaybetmezdi.
											Ve o kuruşu avucumun içinde tuttum,
											yapışkan ve paslıydı,
											ama beni sanki bir servet tutuyormuşum gibi hissettirmişti.
											Kendime ait gerçek bir Bazooka sakızı
											almaya karar verdim.
											Ve işte o an, tam bir milyoner gibi hissettim.
									","
											Donc le jour de notre arrivée à New York,
											ma grand-mère et moi 
trouvons une pièce d'un cent
											sur le sol du foyer pour sans-abris,
où l'on séjournait avec ma famille.
											Mais nous ne savions pas 
que c'était un foyer pour les sans-abris.
											Nous pensons que c'est un hôtel, 
un hôtel avec beaucoup de rats.
											Nous trouvons donc ce penny
pratiquement fossilisé sur le sol
											et nous pensons qu'un homme
très riche a dû la laisser là,
											parce que les personnes normales
ne perdent pas leur argent.
											Je tiens donc cette pièce 
dans le creux de ma main
											et bien qu'elle soit collante et rouillée,
											j'ai l'impression de tenir une fortune.
											Je décide d'aller m'acheter mon propre
											chewing-gum Bazooka.
											Et à ce moment-là,
j'ai l'impression d'être millionnaire.
									",How a penny made me feel like a millionaire,Tania Luna,5:31,"culture,money,homelessness"
"
","
","
","
",How a penny made me feel like a millionaire,Tania Luna,5:31,"culture,money,homelessness"
"
											Un año más tarde, volví a sentir lo mismo
											cuando encontramos una bolsa 
llena de animales de peluche en la basura.
											De repente tenía más juguetes
											de los que había tenido en toda mi vida.
									","
											Cerca de um ano depois, tive a mesma sensação
											quando achei um saco cheio de 
animais de peluche no lixo
											e de repente tenho mais brinquedos
											do que jamais tivera em toda a minha vida.
									","
											Yaklaşık 1 yıl sonra, çöpte bir çanta dolusu
											peluş hayvan bulduğumda ve hayatımda ilk defa
											aniden bu kadar çok oyuncağa sahip olduğumda da
											yine bu şekilde hissettim.
									","
											Environ un an plus tard,
j'ai cette même impression
											lorsque l'on trouve un sac plein
de peluches dans une poubelle
											et je me retrouve tout à coup
à avoir plus de jouets
											que je n'en ai jamais eu.
									",How a penny made me feel like a millionaire,Tania Luna,5:31,"culture,money,homelessness"
