en,es,pt,tr,fr,title,speaker,duration,tags
"
","
","
","
","
",Stunning photos of the endangered Everglades,Mac Stone,19:15,"TEDx,activism,animals,nature,photography,birds"
"
											So I've had the great privilege
											of traveling to some incredible places,
											photographing these distant landscapes
and remote cultures
											all over the world.
											I love my job.
									","
											He tenido el gran privilegio
											de viajar a sitios increíbles
											y fotografiar paisajes lejanos 
y culturas remotas
											por todo el mundo.
											Adoro mi trabajo.
									","
											Eu tive o enorme privilégio
											de viajar a locais incríveis,
											a fotografar distantes paisagens
e culturas longínquas
											por todo o mundo.
											Adoro o meu trabalho.
									","
											Dünyanın her yerinde
											bu uzak manzaraların ve kültürlerin 

											fotoğraflarını çekmek, 
böyle harika yerleri gezmek gibi
											büyük bir ayrıcalığa sahiptim.
											İşimi seviyorum.
									","
											J'ai eu l'immense privilège
											de voyager dans 
des endroits incroyables,
											de photographier des paysages 
distants et des cultures isolées
											dans le monde entier.
											J'adore mon travail.
									",Stunning photos of the endangered Everglades,Mac Stone,19:15,"TEDx,activism,animals,nature,photography,birds"
"
","
","
","
","
",Stunning photos of the endangered Everglades,Mac Stone,19:15,"TEDx,activism,animals,nature,photography,birds"
"
											But people think it's
this string of epiphanies
											and sunrises and rainbows,
											when in reality, it looks
more something like this.
									","
											La gente piensa que es 
una cadena de epifanías,
											amaneceres y arcoíris,
											cuando, en realidad, 
se parece más a algo así.
									","
											As pessoas pensam que isso
é um rosário de revelações,
											de nasceres do sol e de arcos-íris,
											quando, na realidade, 
é mais parecido com isto.
									","
											Ancak insanlar bu işin bu görüntü dizesi,
											gün doğumu ve gökkuşakları 
olduğunu sanıyorlar.
											Gerçekse, daha çok böyle bir şey.
									","
											Les gens pensent que mon travail 
est une série d'épiphanies,
											de levers de soleil et d'arcs-en-ciel,
											alors qu'en réalité, ça ressemble plutôt 
à quelque chose comme ça.
									",Stunning photos of the endangered Everglades,Mac Stone,19:15,"TEDx,activism,animals,nature,photography,birds"
"
","
","
","
","
",Stunning photos of the endangered Everglades,Mac Stone,19:15,"TEDx,activism,animals,nature,photography,birds"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Rires)
									",Stunning photos of the endangered Everglades,Mac Stone,19:15,"TEDx,activism,animals,nature,photography,birds"
"
","
","
","
","
",Stunning photos of the endangered Everglades,Mac Stone,19:15,"TEDx,activism,animals,nature,photography,birds"
"
											This is my office.
									","
											Esta es mi oficina.
									","
											Esta é a minha profissão.
									","
											Burası benim ofisim.
									","
											Voici mon bureau.
									",Stunning photos of the endangered Everglades,Mac Stone,19:15,"TEDx,activism,animals,nature,photography,birds"
"
","
","
","
","
",Stunning photos of the endangered Everglades,Mac Stone,19:15,"TEDx,activism,animals,nature,photography,birds"
"
											We can't afford the fanciest places
to stay at night,
											so we tend to sleep a lot outdoors.
											As long as we can stay dry,
											that's a bonus.
											We also can't afford
the fanciest restaurants.
											So we tend to eat
whatever's on the local menu.
											And if you're in the Ecuadorian Páramo,
											you're going to eat
a large rodent called a cuy.
									","
											No podemos permitirnos
los alojamientos más lujosos,
											así que solemos dormir al exterior.
											Mientras estemos secos,
											es un plus.
											Tampoco podemos comer
en los mejores restaurantes.
											Así que comemos lo que 
nos ofrezca el menú local.
											Y si uno está en el páramo ecuatoriano,
											come un gran roedor llamado ""cuy"".
									","
											Sem poder pagar os locais mais requintados
para passar a noite,
											costumamos dormir ao relento.
											Se nos mantivermos secos, já é um bónus.
											Também sem poder pagar
os restaurantes mais elegantes,
											costumamos comer
o que há no menu local.
											Se estivermos no Páramo equatoriano,
											vamos comer um grande roedor
chamado porquinho-da-índia.
									","
											Lüks yerlerde gece kalmaya 
gücümüz yetmediğinden,
											daha çok dışarıda uyumayı tercih ediyoruz.
											Kuru kalabildiğimiz sürece,
											bizim için ödül sayılır.
											Lüks restoranlara da 
paramız yetmeyeceğinden,
											yerel menüde ne varsa onu 
yemeyi tercih ediyoruz.
											Eğer Ekvador Páramo'da iseniz,
											kobay adı verilen büyük 
bir kemirgen yersiniz.
									","
											Passer la nuit dans des endroits 
chics est trop cher,
											alors nous dormons souvent dehors.
											Tant que nous restons au sec,
											c'est un bonus.
											Les beaux restaurants 
sont aussi trop chers pour nous.
											Alors nous mangeons tout 
ce qui est sur le menu local.
											Et si vous êtes 
dans le Páramo équatorien,
											vous mangerez un gros rongeur 
appelé cochon d'Inde.
									",Stunning photos of the endangered Everglades,Mac Stone,19:15,"TEDx,activism,animals,nature,photography,birds"
"
","
","
","
","
",Stunning photos of the endangered Everglades,Mac Stone,19:15,"TEDx,activism,animals,nature,photography,birds"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Rires)
									",Stunning photos of the endangered Everglades,Mac Stone,19:15,"TEDx,activism,animals,nature,photography,birds"
"
","
","
","
","
",Stunning photos of the endangered Everglades,Mac Stone,19:15,"TEDx,activism,animals,nature,photography,birds"
