en,fr,de,title,speaker,duration,tags
"
","
","
",Forget shopping. Soon you'll download your new clothes,Danit Peleg,6:20,"TEDYouth,art,business,design,future,fashion,invention,materials,shopping,manufacturing,3D printing"
"
											In the past few months, I've been
traveling for weeks at a time
											with only one suitcase of clothes.
											One day, I was invited
to an important event,
											and I wanted to wear
something special and new for it.
											So I looked through my suitcase
and I couldn't find anything to wear.
											I was lucky to be at the technology
conference on that day,
											and I had access to 3D printers.
											So I quickly designed
a skirt on my computer,
											and I loaded the file on the printer.
											It just printed the pieces overnight.
											The next morning,
I just took all the pieces,
											assembled them together in my hotel room,
											and this is actually the skirt
that I'm wearing right now.
									","
											Ces derniers mois, j'ai beaucoup voyagé,
plusieurs semaines à la fois,
											avec une seule valise de vêtements.
											Un jour, j'étais invitée
à un événement important.
											Je voulais y porter quelque chose
de nouveau et spécial.
											En regardant dans ma valise,
je n'ai rien trouvé à me mettre.
											J'avais la chance d'être à une conférence
sur les technologies,
											et d'avoir accès à des imprimantes 3D.
											J'ai conçu une jupe en vitesse
sur l'ordinateur,
											et j'ai transféré
le fichier à l'imprimante.
											Les pièces ont été imprimées dans la nuit.
											Le matin suivant, j'ai pris ces pièces,
											je les ai assemblées
dans ma chambre d'hôtel,
											et j'ai obtenu la jupe
que je porte aujourd'hui.
									","
											In den letzten Monaten
war ich teilweise wochenlang
											mit nur einem Koffer
voller Kleidung unterwegs.
											Eines Tages war ich
zu einem wichtigen Event eingeladen
											und wollte etwas Besonderes
und Neues tragen.
											Also sah ich in meinem Koffer nach
und fand nichts anzuziehen.
											Zum Glück war ich an diesem Tag
auf der Technologiekonferenz
											und hatte Zugang zu 3D-Druckern.
											Also entwarf ich schnell
einen Rock am Computer
											und lud die Datei in den Drucker.
											Er druckte die Teile über Nacht.
											Am nächsten Tag nahm ich alle Teile,
											setzte sie in meinem Hotelzimmer zusammen
											und daraus wurde der Rock,
den ich gerade trage.
									",Forget shopping. Soon you'll download your new clothes,Danit Peleg,6:20,"TEDYouth,art,business,design,future,fashion,invention,materials,shopping,manufacturing,3D printing"
"
","
","
",Forget shopping. Soon you'll download your new clothes,Danit Peleg,6:20,"TEDYouth,art,business,design,future,fashion,invention,materials,shopping,manufacturing,3D printing"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Applaus)
									",Forget shopping. Soon you'll download your new clothes,Danit Peleg,6:20,"TEDYouth,art,business,design,future,fashion,invention,materials,shopping,manufacturing,3D printing"
"
","
","
",Forget shopping. Soon you'll download your new clothes,Danit Peleg,6:20,"TEDYouth,art,business,design,future,fashion,invention,materials,shopping,manufacturing,3D printing"
"
											So it wasn't the first time
that I printed clothes.
											For my senior collection
at fashion design school,
											I decided to try and 3D print
an entire fashion collection from my home.
											The problem was that I barely knew
anything about 3D printing,
											and I had only nine months to figure out
how to print five fashionable looks.
									","
											Ce n'était pas la première fois
que j'imprimais des habits.
											Pour mon projet de fin d'études
à l'école de stylisme,
											j'ai décidé d'essayer d'imprimer chez moi
une collection entière.
											Le problème, c'est que je n'y connaissais
rien en imprimantes 3D,
											et que je n'avais que 9 mois pour réussir
à imprimer 5 tenues à la mode.
									","
											Ich habe also nicht 
zum ersten Mal Kleidung gedruckt.
											Für meine Abschlusskollektion
an der Schule für Modedesign
											beschloss ich, eine ganze Modekollektion
zu Hause mit 3D zu drucken.
											Das Problem war, dass ich
kaum etwas über 3D-Druck wusste
											und nur neun Monate Zeit hatte,
um herauszufinden,
											wie man fünf modische Looks druckt.
									",Forget shopping. Soon you'll download your new clothes,Danit Peleg,6:20,"TEDYouth,art,business,design,future,fashion,invention,materials,shopping,manufacturing,3D printing"
"
","
","
",Forget shopping. Soon you'll download your new clothes,Danit Peleg,6:20,"TEDYouth,art,business,design,future,fashion,invention,materials,shopping,manufacturing,3D printing"
"
											I always felt most creative
when I worked from home.
											I loved experimenting with new materials,
											and I always tried
to develop new techniques
											to make the most unique textiles
for my fashion projects.
											I loved going to old factories
and weird stores
											in search of leftovers
of strange powders and weird materials,
											and then bring them home to experiment on.
											As you can probably imagine,
											my roommates didn't like that at all.
									","
											C'est chez moi que je me sentais
la plus créative.
											J'adorais essayer de nouveau matériaux,
											et essayer de concevoir
de nouvelles techniques
											qui me permettront de réaliser mes projets
avec des tissus uniques.
											J'adorais les vieilles usines,
les magasins étranges
											où je trouvais de restes de poudres
bizarres et des matériaux incongrus
											que je ramenais chez moi
pour faire des expériences.
											Vous pouvez vous en douter,
											mes colocataires n'ont pas apprécié.
									","
											Wenn ich zu Hause arbeitete,
war ich immer kreativer.
											Ich spielte gerne mit neuen Materialien
											und versuchte,
neue Techniken zu entwickeln,
											um für meine Mode
einzigartige Textilien herzustellen.
											Ich besuchte gerne alte Fabriken
und seltsame Läden
											auf der Suche nach Ladenhütern
an ungewöhnlichen Materialien
											und nahm sie mit nach Hause,
um zu experimentieren.
											Wie Sie sich vorstellen können,
											mochten meine Mitbewohner das gar nicht.
									",Forget shopping. Soon you'll download your new clothes,Danit Peleg,6:20,"TEDYouth,art,business,design,future,fashion,invention,materials,shopping,manufacturing,3D printing"
"
","
","
",Forget shopping. Soon you'll download your new clothes,Danit Peleg,6:20,"TEDYouth,art,business,design,future,fashion,invention,materials,shopping,manufacturing,3D printing"
"
											(Laughter)
									","
											(Rires)
									","
											(Lachen)
									",Forget shopping. Soon you'll download your new clothes,Danit Peleg,6:20,"TEDYouth,art,business,design,future,fashion,invention,materials,shopping,manufacturing,3D printing"
