es,fr,de,title,speaker,duration,tags
"
","
","
",How I repaired my own heart,Tal Golesworthy,13:14,"TEDx,engineering,health,heart health,innovation,medicine,science,technology,biology,biomechanics,physiology,biotech,design,future,health care,medical research,product design,materials,Surgery,collaboration,disease"
"
											Soy un ingeniero de procesos.
											Conozco todo sobre incineradores y calderas
											y filtros de tela y ciclones y cosas así,
											pero también tengo el síndrome de Marfan,
											que es un trastorno hereditario.
											Y en 1992
											participé en un estudio genético
											y descubrí horrorizado que, 
como se aprecia en la imagen,
											mi aorta ascendente no estaba en el rango normal,
											la línea verde ahí abajo.
											Todos ustedes tienen entre 3.2 y 3.6 cm.
											Yo ya tenía 4.4.
											Y como pueden ver
											mi aorta se dilataba progresivamente
											y me acercaba más y más
											al momento en donde iba a requerir cirugía.
									","
											Je suis ingénieur procédé.
											Je sais tout des chaudières et des incinérateurs
											et des filtres en tissu et des cyclones et des choses comme ça,
											mais j'ai aussi le syndrome de Marfan.
											Il s'agit d'une maladie héréditaire.
											Et en 1992
											j'ai participé à une étude génétique
											et j'ai découvert à ma grande horreur, comme vous pouvez le voir sur la diapo,
											que mon aorte ascendante n'était pas dans la fourchette normale,
											la ligne verte en bas.
											Tout le monde ici sera dans la fourchette entre 3,2 et 3,6 cm.
											J'étais déjà à 4,4.
											Et comme vous pouvez le voir,
											mon aorte se dilatait progressivement,
											et petit à petit, j'en suis arrivé
											au point où la chirurgie allait être nécessaire.
									","
											Ich bin Prozessingenieur.
											Ich weiß alles über Boiler und Verbrennungsöfen,
											Materialfilter, Zyklone und so weiter,
											aber ich habe auch das Marfan-Syndrom.
											Das ist eine Erbkrankheit.
											1992 nahm ich
											an einer Genetikstudie teil.
											Zu meinem Entsetzen erfuhr ich, dass, wie Sie hier sehen,
											meine Aorta ascendens nicht im Normalbereich war,
											die grüne Linie hier unten.
											Alle hier im Raum werden bei 3,2 und 3,6 cm liegen.
											Ich war bereits bei 4,4.
											Wie Sie sehen können,
											erweiterte sich meine Aorta zunehmend
											und allmählich geriet ich an den Punkt,
											dass eine Operation nötig sein würde.
									",How I repaired my own heart,Tal Golesworthy,13:14,"TEDx,engineering,health,heart health,innovation,medicine,science,technology,biology,biomechanics,physiology,biotech,design,future,health care,medical research,product design,materials,Surgery,collaboration,disease"
"
","
","
",How I repaired my own heart,Tal Golesworthy,13:14,"TEDx,engineering,health,heart health,innovation,medicine,science,technology,biology,biomechanics,physiology,biotech,design,future,health care,medical research,product design,materials,Surgery,collaboration,disease"
"
											La cirugía disponible era bastante horripilante;
											te anestesian, te abren el pecho,
											te pasan a una máquina de 
corazón y pulmón artificial,
											bajan tu temperatura corporal a unos 18 grados C,
											detienen tu corazón, remueven la aorta,
											la reemplazan con una válvula y 
una aorta de plástico,
											y, lo más importante,
											te obligan a seguir una terapia de anticoagulación,
											usualmente warfarina, por el resto de tu vida.
											No me atraía la idea de la cirugía.
											El pensamiento de la warfarina
											fue bastante aterrador.
									","
											La chirurgie disponible était assez horrible -
											on vous anesthésiait, on vous ouvrait la poitrine,
											on vous branchait à une machine cœur-poumon,
											on faisait descendre votre température corporelle à environ 18°C,
											on arrêtait votre cœur, on coupait l'aorte,
											on la remplaçait par une valve en plastique et une aorte en plastique,
											et, surtout,
											on vous condamnait à une vie entière de traitement anticoagulant,
											normalement de la warfarine.
											L'idée de la chirurgie n'était pas très attrayante.
											L'idée de la warfarine
											était vraiment effrayante.
									","
											Die angebotene Operation war ziemlich gruselig –
											Anästhesie, Öffnen des Brustkorbs,
											man hängt Sie an eine künstliche Herzlungenmaschine,
											lässt Ihre Körpertemperatur auf etwa 18 Grad fallen,
											hält Ihr Herz an, schneidet die Aorta raus,
											ersetzt sie mit einer Klappe und Aorta aus Plastik,
											und, am wichtigsten,
											verdonnert Sie lebenslang zu Antikoagulationstherapie,
											normalerweise mit Warfarin.
											Der Gedanke an diese Operation war nicht gerade ansprechend.
											Der Gedanke an Warfarin
											war geradezu beängstigend.
									",How I repaired my own heart,Tal Golesworthy,13:14,"TEDx,engineering,health,heart health,innovation,medicine,science,technology,biology,biomechanics,physiology,biotech,design,future,health care,medical research,product design,materials,Surgery,collaboration,disease"
"
","
","
",How I repaired my own heart,Tal Golesworthy,13:14,"TEDx,engineering,health,heart health,innovation,medicine,science,technology,biology,biomechanics,physiology,biotech,design,future,health care,medical research,product design,materials,Surgery,collaboration,disease"
"
											Así que me dije a mí mismo, 
soy ingeniero, estoy en I&amp;D,
											esto es sólo un problema de tuberías.
											Puedo hacerlo. Puedo cambiarla.
											Así que me lancé
											a cambiar el tratamiento completo
											para dilatación aórtica.
											El objetivo del proyecto es realmente muy sencillo.
											El único problema serio con la aorta ascendente
											en personas con síndrome de Marfan
											es que carece de cierta resistencia a la tracción.
											Por lo que existe la posibilidad de
											envolver el tubo externamente.
											Se mantendría estable y funcionaría sin problema.
											Si un tubo de manguera de alta presión,
											o una línea de alta presión hidráulica, 
se abulta un poco,
											sólo se debe envolver el exterior con cinta.
											El concepto es realmente así de simple,
											aunque no en ejecución.
											La gran ventaja de un apoyo externo para mí
											fue que pude retener todas mis partes,
											todo mi endotelio y mis válvulas,
											para no necesitar ningún tratamiento de anticoagulantes.
									","
											Donc, je me suis dit, je suis ingénieur, je suis dans la recherche et le développement,
											c'est juste un problème de plomberie.
											Je peux le faire. Je peux changer ça.
											Alors je me suis mis
											à modifier tout le traitement
											de la dilatation de l'aorte.
											Le but du projet est vraiment très simple.
											Le seul vrai problème avec l'aorte ascendante
											chez les personnes atteintes du syndrome de Marfan
											est qu'elle manque de résistance à la traction.
											Donc, la possibilité existe
											de simplement envelopper le tuyau à l’extérieur.
											Et elle resterait stable et fonctionnerait tout à fait bien.
											Si votre tuyau d'arrosage à haute pression,
											ou votre conduite hydraulique haute pression gonfle un peu,
											vous vous contentez de mettre un peu de ruban adhésif autour.
											C'est aussi simple que ça dans le concept,
											mais pas dans l'exécution.
											Le grand avantage d'un soutien externe pour moi
											c'était de pouvoir conserver la totalité de mes propres morceaux,
											tout mon endothélium et mes valves,
											sans avoir besoin de traitement anticoagulant.
									","
											So sagte ich mir: Ich bin Ingenieur, arbeite in Forschung und Entwicklung
											das ist ganz einfach eine Sache für den Klempner.
											Ich kann das. Ich kann das ändern.
											Also machte ich mich daran,
											die gesamte Behandlung
											für Aortaerweiterung zu ändern.
											Das Ziel des Projekts ist ganz einfach.
											Das einzige wirkliche Problem mit der Aorta ascendens
											bei Menschen mit dem Marfan-Syndrom ist,
											dass etwas Spannkraft fehlt.
											Also besteht die Möglichkeit, die Röhre
											einfach von außen zu umwickeln.
											Sie würde stabil bleiben und fröhlich funktionieren.
											Wenn sich Ihr Hochdruckschlauch oder
											Ihre Hydraulikleitung ein wenig ausbeult,
											umwickeln Sie die Außenseite einfach mit Isolierband.
											Das Konzept ist ganz einfach,
											die Ausführung allerdings nicht.
											Der große Vorteil dieser Stütze von außen war,
											dass ich alle meine eigenen Stücke behalten dürfte,
											alle meine Endothel und Klappen,
											und keine Antikoagulationstherapie brauchen würde.
									",How I repaired my own heart,Tal Golesworthy,13:14,"TEDx,engineering,health,heart health,innovation,medicine,science,technology,biology,biomechanics,physiology,biotech,design,future,health care,medical research,product design,materials,Surgery,collaboration,disease"
"
","
","
",How I repaired my own heart,Tal Golesworthy,13:14,"TEDx,engineering,health,heart health,innovation,medicine,science,technology,biology,biomechanics,physiology,biotech,design,future,health care,medical research,product design,materials,Surgery,collaboration,disease"
"
											¿Por dónde empezamos?
											Bueno, esto es un segmento sagital mío.
											En medio puede verse
											como se está saliendo el dispositivo, 
aquella estructura pequeña.
											Esto es un ventrículo izquierdo
											empujando la sangre a través de la válvula aórtica
											—pueden ver dos de los folletos de la 
válvula aórtica trabajando ahí—
											hasta la aorta ascendente.
											Y es esa parte, la aorta ascendente,
											que se dilata y finalmente estalla,
											lo cual, por supuesto, es fatal.
											Empezamos por organizar las imágenes
											de resonancia magnética
											y de tomografía computarizada
											para construir un modelo
											de la aorta del paciente.
									","
											Alors, par où commencer ?
											Eh bien c'est une coupe sagittale à travers moi.
											On pouvait voir au milieu
											ce dispositif, cette petite structure, qui pompe.
											C'est un ventricule gauche
											qui pousse le sang à travers la valve aortique -
											vous pouvez voir deux des feuillets de la valve aortique qui y travaillent -
											vers le haut dans l'aorte ascendante.
											Et c'est cette partie, l'aorte ascendante,
											qui se dilate et, finalement, éclate,
											ce qui, bien sûr, est fatal.
											Nous avons commencé par organiser l'acquisition d'images
											à partir de machines IRM
											et de scanners
											à partir desquelles on puisse faire un modèle
											de l'aorte du patient.
									","
											Wo sollen wir also anfangen?
											Hier ist ein sagittaler Schnitt durch meinen Körper.
											In der Mitte können Sie diese Vorrichtung,
											diesen kleinen hervorquellenden Aufbau sehen.
											Das ist ein linkes Ventrikel,
											das Blut durch die Aortenklappe pumpt –
											hier können Sie zwei Segel der Aortenklappe bei der Arbeit sehen –
											hoch in die Aorta ascendens.
											Das da, die aufsteigende Aorta, ist der Teil,
											der sich erweitert und letzten Endes platzt,
											was natürlich tödlich ist.
											Wir fingen mit der Bildbeschaffung
											von Magnet-Resonanz-Tomographie-
											und CT-Bildgebungsmaschinen an,
											aus denen wir ein Modell der Aorta
											des Patienten anfertigen wollten.
									",How I repaired my own heart,Tal Golesworthy,13:14,"TEDx,engineering,health,heart health,innovation,medicine,science,technology,biology,biomechanics,physiology,biotech,design,future,health care,medical research,product design,materials,Surgery,collaboration,disease"
"
","
","
",How I repaired my own heart,Tal Golesworthy,13:14,"TEDx,engineering,health,heart health,innovation,medicine,science,technology,biology,biomechanics,physiology,biotech,design,future,health care,medical research,product design,materials,Surgery,collaboration,disease"
"
											Este es el modelo de mi aorta.
											Tengo una de verdad en mi bolsillo,
											por si alguien quisiera mirarlo y jugar con él.
											Como pueden ver, es una estructura compleja.
											La parte inferior tiene forma trilobal,
											que contiene la válvula aórtica.
											Luego hace una figura redonda
											para después terminar en una curva
											Es una estructura bastante difícil
											de producir.
											Este, como les dije, es un modelo CAD de mí,
											y este es uno de los últimos modelos de CAD.
											Pasamos por un proceso iterativo
											para producir mejores y mejores modelos.
											Cuando finalmente obtuvimos ese modelo
											lo convertimos en un modelo de plástico sólido,
											como pueden ver,
											utilizando una técnica de creación rápida de prototipos,
											otra técnica de ingeniería.
											Luego utilizamos esta tecnología.
											para fabricar una malla textil porosa
											hecha perfectamente a la medida,
											que toma la forma del anterior
											y se adapta perfectamente a la aorta.
											Así que esto es medicina absolutamente personalizada
											en su máxima expresión.
											Cada paciente atendido
											tiene un implante confeccionado a la medida.
									","
											Voici un modèle de mon aorte.
											J'en ai un vrai dans ma poche,
											si quelqu'un souhaite le voir et jouer avec.
											Vous pouvez le voir, c'est une structure très complexe.
											Il a une drôle de forme trilobée en bas,
											qui contient la valve aortique.
											Il revient ensuite en une forme ronde
											puis se rétrécit et se courbe.
											Il s'agit donc d'une structure assez difficile
											à produire.
											Ceci, comme je l'ai dit, est un modèle CAO de moi,
											et c'est l'un des derniers modèles de CAO.
											Nous sommes passés par une méthode itérative
											de production de modèles de plus en plus bons.
											Une fois le modèle produit,
											nous le transformons en un modèle en plastique solide,
											comme vous pouvez le voir.
											en utilisant une technique de prototypage rapide,
											une autre technique d'ingénierie.
											Nous utilisons ensuite ce premier modèle
											pour en fabriquer un en maille textile poreuse,
											parfaitement sur mesure,
											qui prend la forme du premier
											et s'adapte parfaitement à l'aorte.
											C'est donc de la médecine absolument personnalisée
											vraiment au mieux.
											Chaque patient sur qui nous intervenons
											a un implant parfaitement sur mesure.
									","
											Hier ist das Modell meiner Aorta.
											Ich habe ein echtes in meiner Tasche,
											falls es jemand anschauen und damit spielen will.
											Sie sehen, dass die Struktur ziemlich komplex ist.
											Unten hat es eine seltsame dreilappige Form
											mit der Aortenklappe.
											Dann kommt sie in einer runden Form zurück,
											verjüngt sicht und krümmt dann ab.
											Also lässt sich diese Struktur schwierig
											herstellen.
											Wie gesagt, das ist ein CAD-Modell von mir,
											und das ist ein späteres CAD-Modell.
											Wir wiederholten den Prozess
											und stellten immer bessere Modelle her.
											Als wir dieses Modell herstellten,
											wandelten wir es in ein solides Plastikmodell
											wie Sie sehen können,
											mit einer schnellen Prototyptechnik,
											eine weitere Ingenieurtechnik.
											Dann benutzen wir das vorherige Modell,
											um ein völlig maßschneidertes
											poröses Textilnetz herzustellen,
											das dann die Form des früheren Modells annimmt
											und in die Aorta perfekt hineinpasst.
											Das ist völlig personalisierte Medizin
											in Topform.
											Jeder Patient, den wir behandeln,
											hat ein passgenaues Implantat.
									",How I repaired my own heart,Tal Golesworthy,13:14,"TEDx,engineering,health,heart health,innovation,medicine,science,technology,biology,biomechanics,physiology,biotech,design,future,health care,medical research,product design,materials,Surgery,collaboration,disease"
