en,tr,title,speaker,duration,tags
"
","
",The dangers of mixing drugs,Céline Valéry,4:45,"education,health,animation,TED-Ed,health care,technology,healthcare,medicine,science,biology,public health,physiology,human body,pharmaceuticals"
"
											Which of these three people 
is doing something risky?
									","
											Bu üç kişiden hangisi
riskli bir şey yapıyor?
									",The dangers of mixing drugs,Céline Valéry,4:45,"education,health,animation,TED-Ed,health care,technology,healthcare,medicine,science,biology,public health,physiology,human body,pharmaceuticals"
"
","
",The dangers of mixing drugs,Céline Valéry,4:45,"education,health,animation,TED-Ed,health care,technology,healthcare,medicine,science,biology,public health,physiology,human body,pharmaceuticals"
"
											Is it the one who takes their cholesterol 
medication with grapefruit juice?
									","
											Kolesterol ilaçlarını
greyfurt suyu ile içen kişi mi?

									",The dangers of mixing drugs,Céline Valéry,4:45,"education,health,animation,TED-Ed,health care,technology,healthcare,medicine,science,biology,public health,physiology,human body,pharmaceuticals"
"
","
",The dangers of mixing drugs,Céline Valéry,4:45,"education,health,animation,TED-Ed,health care,technology,healthcare,medicine,science,biology,public health,physiology,human body,pharmaceuticals"
"
											The one who takes Acetaminophen pain 
relievers
											for a sore ankle before 
going out for drinks?
									","
											İçki içmek için dışarı çıkmadan önce
											ağrıyan bileği için
ağrı kesicisi içen kişi mi?
									",The dangers of mixing drugs,Céline Valéry,4:45,"education,health,animation,TED-Ed,health care,technology,healthcare,medicine,science,biology,public health,physiology,human body,pharmaceuticals"
"
","
",The dangers of mixing drugs,Céline Valéry,4:45,"education,health,animation,TED-Ed,health care,technology,healthcare,medicine,science,biology,public health,physiology,human body,pharmaceuticals"
"
											Or the one who’s on a blood-thinning 
medication
											and takes an aspirin for a headache?
									","
											Ya da kan sulandırıcı bir ilaç kullanan
											kişinin baş ağrısı için aspirin alması mı?
									",The dangers of mixing drugs,Céline Valéry,4:45,"education,health,animation,TED-Ed,health care,technology,healthcare,medicine,science,biology,public health,physiology,human body,pharmaceuticals"
"
","
",The dangers of mixing drugs,Céline Valéry,4:45,"education,health,animation,TED-Ed,health care,technology,healthcare,medicine,science,biology,public health,physiology,human body,pharmaceuticals"
"
											Actually, all of them are.
											Each has inadvertently created a drug 
interaction that could, in extreme cases,
											lead to kidney failure; liver damage;
											or internal bleeding.
											Drug interactions happen
											when the combination of a drug 
with another substance
											causes different effects than either 
would individually.
											Foods, herbal supplements, legal drugs, 
and illicit substances
											can all cause drug interactions.
									","
											Aslında hepsi riskli.
											Her biri, istemeden de olsa,
bir ilaç etkileşimi yaratır.
											Bu da, olağanüstü durumlarda,
böbrek yetmezliğine, karaciğer hasarına
											veya iç kanamaya yol açabilir.
											Bir ilaç başka bir maddeyle
											bir araya geldiğinde
ilacın tek başına kullanılmasının
											yol açtığı etkilerden daha farklı
ilaç etkileşimlerine sebep olur.
											Besinler, bitkisel takviyeler,
yasal ilaçlar ve yasa dışı maddeler
											ilaç etkileşimlerine neden olabilir.
									",The dangers of mixing drugs,Céline Valéry,4:45,"education,health,animation,TED-Ed,health care,technology,healthcare,medicine,science,biology,public health,physiology,human body,pharmaceuticals"
"
","
",The dangers of mixing drugs,Céline Valéry,4:45,"education,health,animation,TED-Ed,health care,technology,healthcare,medicine,science,biology,public health,physiology,human body,pharmaceuticals"
"
											Most drug interactions
fall into two categories.
											Some take place when two substances’ 
effects influence each other directly.
											In other cases, one substance effects 
how the body processes another,
											like how it is absorbed, metabolized, 
or transported around the body.
									","
											İlaç etkileşimlerinin
çoğu iki kategoriye ayrılır.
											Bazıları, iki maddenin birbirini
doğrudan etkilediğinde meydana gelir.
											Diğer durumlarda, bir madde
diğerinin vücutta emilimini,
											metabolize edilmesini 
veya vücuttaki dolaşımını etkiler.
									",The dangers of mixing drugs,Céline Valéry,4:45,"education,health,animation,TED-Ed,health care,technology,healthcare,medicine,science,biology,public health,physiology,human body,pharmaceuticals"
"
","
",The dangers of mixing drugs,Céline Valéry,4:45,"education,health,animation,TED-Ed,health care,technology,healthcare,medicine,science,biology,public health,physiology,human body,pharmaceuticals"
"
											Blood thinners and aspirin, for example,
											have similar effects that become 
dangerous when combined.
											Both prevent blood clots from forming—
											blood thinners by preventing the formation
of the clotting factors
											that hold clots together,
											and aspirin by preventing blood cells 
from clumping into groups
											that become clots.
											Individually, these effects 
are usually safe,
											but taken together, they can prevent blood
clotting to a dangerous extent,
											possibly causing internal bleeding.
									","
											Örneğin, kan sulandırıcılar ve aspirin
											bir araya geldiğinde tehlikeli
olan benzer etkilere sahiptir.
											Her ikisi de kan pıhtılarının
oluşmasını önler—
											kan sulandırıcılar,
											pıhtılaşma faktörlerinin 
oluşumunu engeller.
											Aspirin ise, kan hücrelerinin
											bir araya toplanıp pıhtılaşmasını önler.
											Bu etkiler genellikle
tek başına zararsızdır.
											Ama, bu ilaçlar birlikte alınırsa
iç kanamaya yol açarak
											pıhtılaşmayı tehlikeli ölçüde
engelleyebilirler.
									",The dangers of mixing drugs,Céline Valéry,4:45,"education,health,animation,TED-Ed,health care,technology,healthcare,medicine,science,biology,public health,physiology,human body,pharmaceuticals"
"
","
",The dangers of mixing drugs,Céline Valéry,4:45,"education,health,animation,TED-Ed,health care,technology,healthcare,medicine,science,biology,public health,physiology,human body,pharmaceuticals"
