en,es,de,fr,title,speaker,duration,tags
"
","
","
","
",A Parkland teacher's homework for us all,Diane Wolk-Rogers,15:46,"activism,United States,guns,communication,community,culture,education,history,society,leadership,social change,violence"
"
											I teach history
											at Marjory Stoneman Douglas High School.
											On February 14, 2018,
											my school experienced one of the worst
mass school shootings in American history.
											People want to know what we saw,
											what I felt.
											I don't remember everything,
											but I do remember I went into crisis mode,
											mother mode.
											There was no emotion.
											I lined up the kids,
											I held up a sign so they could
follow me through the hall,
											just like a fire drill.
											I heard shots from one direction.
											Luckily, we were already
moving in the opposite direction.
									","
											Enseño historia
											en el instituto Marjory Stoneman Douglas.
											El 14 de Febrero de 2018,
											mi escuela experimentó uno de los peores
tiroteos de la historia estadounidense.
											La gente quiere saber lo que vimos,
											lo que sentí.
											No recuerdo nada.
											Pero recuerdo que entré 
en un estado de crisis,
											en el estado de madre.
											No había emoción.
											Enfilé a los chicos,
											sostenía una señal para que pudieran
seguirme por el pasillo,
											como un simulacro de incendio.
											Escuché disparos en una dirección.
											Por suerte, ya nos estábamos moviendo 
hacia el lado opuesto.
									","
											Ich unterrichte Geschichte
											an der Marjory Stoneman
Douglas High School.
											Am 14. Februar 2018
											erlebte meine Schule eine der
schlimmsten Massenerschießungen
											der amerikanischen Geschichte.
											Leute wollen wissen,
was wir gesehen haben,
											was ich gefühlt habe.
											Ich erinnere mich nicht an alles,
											aber ich erinnere mich,
dass ich in den Krisenmodus schaltete,
											den Muttermodus.
											Da gab es keine Emotionen.
											Ich reihte die Kinder auf,
											ich hielt ein Schild hoch,
sodass sie mir folgen konnten,
											wie bei einer Feuerübung.
											Ich hörte Schüsse aus einer Richtung.
											Zum Glück bewegten wir uns bereits
in die andere Richtung.
									","
											J'enseigne l'histoire
											au lycée Marjory Stoneman Douglas.
											Le 14 février 2018,
											mon école a connu l'une des pires
fusillades de masse dans une école
											de l'histoire américaine.
											Les gens veulent savoir
ce que nous avons vu,
											ce que j'ai ressenti.
											Je ne me souviens pas de tout,
											mais je me souviens
d'être passée en mode de crise,
											en mode mère.
											Il n'y avait pas d'émotion.
											J'ai aligné les enfants,
											j'ai tenu une pancarte en l'air
pour qu'ils puissent me suivre,
											comme un exercice incendie.
											J'ai entendu des tirs d'un côté.
											Heureusement, nous nous dirigions
déjà dans la direction opposée.
									",A Parkland teacher's homework for us all,Diane Wolk-Rogers,15:46,"activism,United States,guns,communication,community,culture,education,history,society,leadership,social change,violence"
"
","
","
","
",A Parkland teacher's homework for us all,Diane Wolk-Rogers,15:46,"activism,United States,guns,communication,community,culture,education,history,society,leadership,social change,violence"
"
											We made it outside.
											We made it to safety.
											I called my mother.
											""I'm OK.""
											I called my husband.
											""I'm OK.""
											Then my daughter called, my voice cracked,
and I knew I had to pull myself together.
											I sat alone in my thoughts,
											worried about my colleagues and students.
											We sat there, only understanding
that somehow, Valentine's Day —
											We sat there, only understanding
that somehow, Valentine's Day
											had ended up with our babies dead,
											and we didn't know what to do next.
									","
											Logramos salir.
											Nos pusimos a salvo.
											Llamé a mi madre.
											""Estoy bien.""
											LLamé a mi marido.
											""Estoy bien.""
											Entonces mi hija llamó, mi voz se quebró,
y supe que tenía que reponerme.
											Me senté sola con mis pensamientos,
											preocupada por los compañeros 
y los estudiantes.
											Nos sentamos allí, conscientes sólo 
de que, de algún modo,
											el día de San Valentín...
											Nos sentamos allí, conscientes sólo 
de que, de algún modo,
											el día de San Valentín
acabó con nuestros hijos muertos,
											y no sabíamos qué hacer tras eso.
									","
											Wir schafften es nach draußen.
											Wir waren in Sicherheit.
											Ich rief meine Mutter an.
											""Ich bin okay.""
											Ich rief meinen Ehemann an.
											""Ich bin okay.""
											Meine Tochter rief an, meine Stimme brach.
Ich wusste, ich muss mich zusammenreißen.
											Ich saß alleine in Gedanken,
											besorgt über meine Kollegen und Schüler.
											Wir saßen dort und wussten nur,
dass Valentinstag irgendwie — .
											Wir saßen dort und wussten nur,
dass Valentinstag irgendwie
											damit geendet hatte,
dass unsere Babys tot waren,
											und wir wussten nicht,
was wir nun tun sollten.
									","
											Nous nous en sommes sortis.
											Nous avons atteint un lieu sûr.
											J'ai appelé ma mère.
											« Je vais bien. »
											J'ai appelé mon mari.
											« Je vais bien. »
											Puis ma fille a appelé,
ma voix s'est brisée,
											et j'ai su qu'il fallait
que je me reprenne.
											Je me suis assise seule, avec mes pensées,
											inquiète au sujet
de mes collègues et élèves.
											Nous sommes restés assis là,
comprenant juste que la Saint Valentin —
											Nous sommes restés assis là,
comprenant juste que la Saint Valentin
											s'était finie avec nos bébés morts
											et nous ignorions quoi faire.
									",A Parkland teacher's homework for us all,Diane Wolk-Rogers,15:46,"activism,United States,guns,communication,community,culture,education,history,society,leadership,social change,violence"
"
","
","
","
",A Parkland teacher's homework for us all,Diane Wolk-Rogers,15:46,"activism,United States,guns,communication,community,culture,education,history,society,leadership,social change,violence"
"
											It's been two months,
											and every day I still hear the echoes
of the ""pop, pop"" sound of the gunfire.
											I remember the fearful faces
of my students
											when we knew it wasn't a drill.
											Still, there's no constant emotion,
											except for flashes
of pain, grief and anger
											triggered by the news,
											or an insensitive comment,
											or just silence.
									","
											Han pasado dos meses,
											y todos los días aún escucho
											el eco del sonido del pum, pum 
del arma de fuego.
											Recuerdo las caras asustadas 
de mis estudiantes
											cuando supimos que no era un simulacro.
											Aún así, no hay emoción constante,
											salvo los rayos de dolor,
pena e indignación
											desencadenados por las noticias,
											por un comentario insensible,
											o por el silencio.
									","
											Es ist zwei Monate her
											und jeden Tag höre ich noch immer
die Echos und das ""Pop, Pop"" der Schüsse.
											Ich sehe noch die ängstlichen
Gesichter meiner Schüler,
											als wir merkten, dass es keine Übung war.
											Trotzdem ist da noch immer
keine konstante Emotion,
											abgesehen vom Aufblitzen
von Schmerz, Trauer und Wut,
											ausgelöst durch die Nachrichten,
											oder einem unsensiblen Kommentar,
											oder nur Stille.
									","
											Cela fait deux mois
											et tous les jours j'entends encore
											les échos du « pop pop »
des coups de feu.
											Je me souviens des visages
effrayés de mes élèves
											quand nous avons su
que ce n'était pas un exercice.
											Pourtant, il n'y a pas
d'émotion constante,
											à part pour les éclairs de douleur,
de peine et de colère
											provoqués par les informations,
											un commentaire insensible
											ou le silence.
									",A Parkland teacher's homework for us all,Diane Wolk-Rogers,15:46,"activism,United States,guns,communication,community,culture,education,history,society,leadership,social change,violence"
"
","
","
","
",A Parkland teacher's homework for us all,Diane Wolk-Rogers,15:46,"activism,United States,guns,communication,community,culture,education,history,society,leadership,social change,violence"
"
											Marjory Stoneman Douglas High School
lost 17 precious lives
											on that horrible day.
											After, students asked us, the adults
											the hardest question:
											How can we stop the senseless violence?
											This was the most difficult
question I've been asked.
											But it was not the first time
I've been humbled by a student's question.
									","
											El instituto Marjory Stoneman Douglas 
perdió 17 valiosas vidas
											ese horrible día.
											Después, los estudiantes 
nos hicieron a los adultos
											la pregunta más dura:
											¿Cómo podemos detener 
esta descabellada violencia?
											Fue la pregunta más difícil
que jamás me hicieron.
											Pero no fue la primera vez
											que me ha humillado 
la pregunta de un estudiante.
									","
											Marjory Stoneman Douglas High School
											verlor an diesem schrecklichen Tag
17 kostbare Leben.
											Danach fragten Schüler uns,
die Erwachsenen,
											die schwierigste Frage:
											Wie können wir die
sinnlose Gewalt stoppen?
											Das war die schwierigste Frage,
die ich je gefragt wurde.
											Aber es war nicht das erste Mal, dass mich
die Frage eines Schülers überwältigte.
									","
											Le lycée Marjory Stoneman Douglas
a perdu 17 précieuses vies
											durant ce jour terrible.
											Après, les élèves nous ont posé,
à nous les adultes,
											la question la plus complexe qu'il soit :
											« Comment mettre un terme
à cette violence insensée ? »
											C'est la question la plus compliquée
que l'on m'ait jamais posée.
											Ce n'était pas la première fois
											que la question d'un élève
me rendait humble.
									",A Parkland teacher's homework for us all,Diane Wolk-Rogers,15:46,"activism,United States,guns,communication,community,culture,education,history,society,leadership,social change,violence"
"
","
","
","
",A Parkland teacher's homework for us all,Diane Wolk-Rogers,15:46,"activism,United States,guns,communication,community,culture,education,history,society,leadership,social change,violence"
"
											I've been teaching
in the public schools for 33 years,
											so I know you have to admit
what you don't know
											before you can share what you do know.
											In fact, there's a method
to being an engaged student,
											teacher, citizen.
											First, listen closely
to the person asking you a question.
											Second, admit your vulnerability.
Admit what you don't know.
											Third, do your homework.
											Fourth, humbly share your knowledge.
									","
											Llevo enseñando 
en las escuelas públicas 33 años,
											así que sé que hay que admitir 
lo que no se sabe
											antes de poder compartir lo que se sabe.
											De hecho, hay un método para ser
											un estudiante, profesor o 
ciudadano comprometido.
											Primero, escuchen atentamente
a la persona que le hace una pregunta.
											Segundo, admitan su vulnerabilidad.
Admitan lo que no saben.
											Tercero, hagan sus deberes.
											Cuarto, compartan humildemente 
su conocimiento.
									","
											Ich unterrichte seit 33 Jahren an
öffentlichen Schulen,
											also weiß ich, dass man zugeben muss,
was man nicht weiß,
											bevor man berichten kann, was man weiß.
											Es gibt tatsächlich eine Methode,
um ein engagierter Schüler,
											Lehrer oder Bürger zu sein.
											Erstens, höre der Person,
die dir eine Frage stellt, genau zu.
											Zweitens, gib deine Verwundbarkeit zu:
Gib zu, was du nicht weißt.
											Drittens, mach deine Hausaufgaben.
											Viertens, teile dein Wissen bescheiden.
									","
											J'enseigne depuis 33 ans
dans des écoles publiques,
											je sais qu'il faut reconnaître
ce que l'on ne sait pas
											avant de pouvoir partager
ce que l'on sait.
											En fait, il y a une méthode
pour être un élève engagé,
											un professeur engagé, un citoyen engagé.
											Premièrement : écoutez attentivement
la personne qui vous pose une question.
											Deuxièmement : admettez
votre vulnérabilité.
											Reconnaissez ce que vous ne savez pas.
											Troisièmement : faites vos devoirs.
											Quatrièmement : partagez
vos connaissances humblement.
									",A Parkland teacher's homework for us all,Diane Wolk-Rogers,15:46,"activism,United States,guns,communication,community,culture,education,history,society,leadership,social change,violence"
