es,pt,fr,de,title,speaker,duration,tags
"
","
","
","
",Where is home?,Pico Iyer,14:01,"culture,happiness,travel,world cultures,writing"
"
											¿De dónde eres?
											Es una pregunta tan sencilla.
											Pero hoy día 
las preguntas sencillas
											van acompañadas 
de respuestas complicadas.
									","
											De onde vimos?
											É uma questão tão simples,
											mas, atualmente,
as questões simples
											implicam respostas cada vez
mais complicadas.
									","
											D'où venez-vous ?
											C'est une question tellement simple,
											mais de nos jours, bien sûr, 
les questions simples
											appellent des réponses toujours 
plus compliquées.
									","
											Wo kommst du her?
											Das ist eine solch einfache Frage.
											Und doch bringen heutzutage einfache Fragen
											zunehmend komplizierte Antworten mit sich.
									",Where is home?,Pico Iyer,14:01,"culture,happiness,travel,world cultures,writing"
"
","
","
","
",Where is home?,Pico Iyer,14:01,"culture,happiness,travel,world cultures,writing"
"
											La gente siempre me pregunta 
de dónde soy
											y esperan que les responda de la India,
											y aciertan en un 100 % si consideramos
											que mis raíces y antepasados
son de la India.
											Con la excepción de que no
he vivido un solo día de mi vida allí.
											Y no sé decir nada
											en ninguno de sus 
más de 22 000 dialectos.
											Así que no creo que tenga el derecho
											a decir que soy indio.
											Y si ""¿de dónde eres?""
											significa ""¿dónde naciste, 
creciste y te educaste?"",
											entonces vengo enteramente
de ese pequeño país
											que llamamos Inglaterra,
											con la excepción de que me fui
tan pronto como terminé
											mis estudios universitarios,
											y de niño siempre
											fui el único chico en todas mis clases
											que no se parecía 
a esos clásicos héroes ingleses
											que aparecían en nuestros libros de texto.
											Y si ""¿de dónde eres?""
											significa ""¿dónde pagas tus impuestos?"",
											""¿dónde vas al médico o al dentista?"",
											entonces soy claramente
de los Estados Unidos
											y lo he sido 48 años,
											desde que era un niño muy pequeño.
											Excepto que durante muchos de esos años,
											tenía que cargar conmigo 
una pequeña tarjeta rosa
											con líneas verdes sobre mi rostro
											que me identificaba
como residente permanente.
											Aunque realmente mientras más tiempo 
paso viviendo allí, menos residente me siento.
									","
											As pessoas estão sempre
a perguntar-me de onde venho.
											E esperam que eu diga: ""Da Índia"".
											Estão absolutamente certas,
pois 100% do meu sangue
											e da minha ancestralidade vêm da Índia.
											O problema é que nunca
vivi lá um único dia.
											Não consigo dizer uma palavra
											de qualquer um dos seus
mais de 22 000 dialetos.
											Por isso, acho que não tenho o direito
											de me considerar indiano.
											Se ""De onde vem?""
											significa ""Onde nasceu,
cresceu e estudou?"",
											então, eu sou daquele pequeno
e curioso país
											conhecido como Inglaterra.
											Só que eu deixei a Inglaterra
											quando terminei os meus
estudos universitários
											e, durante o meu crescimento,
											eu era a única criança na sala
											que não se parecia com os heróis
ingleses clássicos
											representados nos livros escolares.
											Se ""De onde vem?"" significa
""Onde paga os seus impostos?
											""Onde consulta o seu médico e dentista?"",
											então eu me consideraria
dos Estados Unidos da América,
											onde já estou há 48 anos,
											desde que era muito pequeno.
											Só que, durante muitos desses anos,
andei com um cartão cor-de-rosa,
											pequeno e engraçado, com linhas verdes
a atravessar o meu rosto
											identificando-me como um
alienígena permanente.
											Na verdade, quanto mais tempo ali vivo,
mais me sinto um alienígena.
									","
											Les gens me demandent toujours d'où je viens,
											et s'attendent à ce que je dise 
que je viens d'Inde,
											et ils ont complètement raison 
dans la mesure où 100 pour cent
											de mon sang et de mon ascendance 
vient effectivement d'Inde.
											Sauf que je n'ai jamais vécu 
un seul jour de ma vie là-bas.
											Je ne sais même pas dire un mot
											dans aucun de ses 22.000 dialectes.
											Donc je ne crois pas 
que j'aie vraiment le droit
											de dire que je suis Indien.
											Et si « D'où venez-vous ? »
											veut dire : « Où êtes-vous né, 
avez-vous grandit et avez été instruit ? »
											alors je suis complètement originaire 
de ce drôle de petit pays
											connu sous le nom d'Angleterre,
											sauf que j'ai quitté l'Angleterre 
juste après avoir terminé
											mon premier cycle universitaire,
											et pendant tout le temps où j'ai grandi,
											j'étais le seul enfant 
dans toutes mes classes
											qui ne ressemblait en rien 
aux héros anglais classiques
											que l'on voyait dans nos livres scolaires.
											Et si « D'où venez-vous ? »
											veut dire : « Où payez-vous vos impôts ?
											Où voyez-vous votre médecin et votre dentiste ? »
											alors je viens avant tout des États-Unis,
											et ça depuis 48 ans maintenant,
											depuis ma petite enfance.
											Sauf que pendant nombre de ces années,
											j'ai dû emporter partout avec moi 
cette drôle de petite carte rose
											avec des lignes vertes 
en travers de mon visage
											qui m'identifiaient comme un étranger résident.
											D'ailleurs, effectivement, plus je vis ici 
plus je me sens étranger.
									","
											Leute fragen mich immer, 
wo ich herkomme,
											und erwarten, dass ich sage,
ich komme aus Indien.
											Und sie haben vollkommen Recht, 
insofern, dass
											mein Blut und meine Herkunft 
zu 100% aus Indien stammen.
											Ich habe aber keinen einzigen Tag 
meines Lebens in Indien gelebt.
											Ich kann nicht eimal ein Wort
											in einem der über 22.000 Dialekte sagen.
											Somit denke ich, dass ich das Recht,
											mich selber Inder zu nennen, 
nicht verdient habe.
											Und wenn ""Wo kommst du her?"" bedeutet:
											""Wo bist du geboren, aufgewachsen 
und zur Schule gegangen?"",
											so stamme ich voll und ganz 
aus dem lustigen kleinen Land,
											das sich England nennt.
											Außer dass ich England verließ,
											sobald ich meinen 
Bachelorabschluss hatte.
											Und während meiner ganzen Kindheit
											war ich auch stets das einzige Kind in der Klasse,
											das nicht so auszusehen begann, 
wie die klassischen englischen Helden,
											die wir aus unseren Lehrbüchern kannten.
											Und wenn ""Wo kommst du her?"" bedeutet:
											""Wo zahlst du deine Steuern?
											Wo gehst du zu deinem Haus- oder Zahnarzt?"",
											dann bin ich viel eher aus den USA,
											und das bereits seit 48 Jahren,
											seit ich ein kleines Kind war.
											Außer dass ich einen großen Teil dieser Zeit
											diese kleine lustige rosa Karte 
mit mir herumtragen musste,
											auf der mein Foto 
mit grünen Linien versehen war
											und mit der man mich als 
""ansässigen Ausländer"" identifiziert hat.
											Ehrlich gesagt, fühle ich mich dort 
umso fremder, je länger ich dort lebe.
									",Where is home?,Pico Iyer,14:01,"culture,happiness,travel,world cultures,writing"
"
","
","
","
",Where is home?,Pico Iyer,14:01,"culture,happiness,travel,world cultures,writing"
"
											(Risas)
									","
											(Risos)
									","
											(Rires)
									","
											(Gelächter)
									",Where is home?,Pico Iyer,14:01,"culture,happiness,travel,world cultures,writing"
"
","
","
","
",Where is home?,Pico Iyer,14:01,"culture,happiness,travel,world cultures,writing"
"
											Y si ""¿de dónde eres?""
											significa ""¿a qué sitio te sientes 
arraigado profundamente
											y dónde pasas la mayor parte 
de tu tiempo?"",
											entonces soy japonés,
											porque he tratado de vivir en Japón
lo máximo posible
											en los últimos 25 años.
											Excepto que en todos estos años
entraba con una visa de turista
											y estoy muy seguro de
que no muchos japoneses
											me considerarían uno de los suyos.
									","
											Se ""De onde vem?""
											significa ""Qual o lugar que o toca mais
											""e onde procura estar
a maior parte do tempo?"",
											então, eu sou japonês,
porque tenho vivido no Japão,
											tanto tempo quanto posso,
nos últimos 25 anos.
											Só que durante todos esses anos, 
estive lá com um visto de turista,
											e estou certo de que muitos japoneses
											não me considerariam um deles.
									","
											Et si « D'où venez-vous ? »
											veut dire : « Quel est le lieu qui est 
le plus profondément ancré en vous
											et où essayez-vous de passer 
la plupart de votre temps ? »
											alors je suis Japonais,
											car je vis autant que je peux,
											depuis 25 ans, au Japon.
											Sauf que pendant toutes ces années, 
j'y ai vécu avec un visa de touriste
											et je suis à peu près sûr que peu de Japonais
											seraient prêts à me considérer 
comme l'un d'entre eux.
									","
											Und wenn ""Wo kommst du her?"" bedeutet:
											""Welcher Ort ist am tiefsten in dir verankert,
											und wo versuchst du deine meiste Zeit zu verbringen?"",
											dann bin ich Japaner,
											da ich in den letzten 25 Jahren so viel Zeit
											wie möglich in Japan verbracht habe.
											Außer dass ich dort all diese Jahre
mit einem Touristenvisum verbracht habe,
											und ich bin mir sicher, nicht viele Japaner
											würden mich als einen 
von ihnen halten wollen.
									",Where is home?,Pico Iyer,14:01,"culture,happiness,travel,world cultures,writing"
"
","
","
","
",Where is home?,Pico Iyer,14:01,"culture,happiness,travel,world cultures,writing"
"
											Y les cuento todo esto 
solo para enfatizar
											lo anticuada y directa
											que es mi historia personal,
											porque cuando voy a Hong Kong,
Sydney, o Vancouver,
											la mayoría de los jóvenes que conozco
											son mucho más internacionales
y multiculturales que yo.
											Porque tienen un hogar 
relacionado con sus padres,
											uno relacionado con sus parejas,
											un tercero quizás relacionado
con el sitio en el que están,
											un cuarto relacionado con el sitio
en el que sueñan estar,
											y así muchos otros más.
											Y se pasarán toda la vida 
recogiendo pedacitos
											de muchos sitios diferentes 
y juntándolos
											en un vitral de colores.
											El hogar para ellos es realmente
una obra en construcción.
											Es como un proyecto 
que constantemente
											se actualiza, mejora y corrige.
									","
											Eu digo tudo isto para sublinhar
											quão antiquado e simples
é o meu passado,
											porque quando vou a Hong Kong,
a Sidney ou a Vancouver
											a maioria das crianças que eu encontro
											são muito mais internacionais
e multiculturais do que eu.
											Têm um lar associado aos seus pais,
											outro aos seus colegas,
											um terceiro ligado, talvez, ao lugar
em que estão,
											um quarto ligado ao lugar
em que sonham estar
											e muitos outros.
											A sua vida será passada
a pegar em pedaços
											de muitos lugares diferentes
											e a juntá-los num único mosaico.
											O lar, para eles, é realmente
um trabalho em curso.
											É como um projeto em que estão
constantemente a acrescentar
											atualizações, melhorias e correções.
									","
											Et je dis tout cela seulement pour souligner
											à quel point mes origines sont
											démodées et simples,
											parce que quand je vais 
à Hong Kong, à Sidney ou à Vancouver
											la plupart des enfants que je rencontre
											sont bien plus internationaux 
et multiculturels que moi.
											Et ils ont un « chez soi » 
associé à leurs parents,
											mais un autre associé à leur partenaire,
											un troisième peut-être associé à l'endroit 
où il se trouvent être,
											un quatrième associé à l'endroit 
où ils rêveraient d'être,
											et beaucoup d'autres encore.
											Et ils passeront toute leur vie 
à récolter des morceaux
											de beaucoup d'endroits différents 
et à les rassembler
											en un tout semblable à un vitrail.
											Leur « chez soi » est un projet en cours.
											C'est comme un projet 
dans lequel ils ajoutent constamment
											des mises à jour, des améliorations 
et des corrections.
									","
											Ich sage das alles nur, um zu betonen,
											wie äußerst altmodisch und überschaubar
											meine Herkunft ist.
											Denn wenn ich nach Hong-Kong, 
nach Sydney oder nach Vancouver gehe,
											sind die meisten jungen Leute, 
die ich dort treffe,
											um einiges internationaler 
und multikultureller als ich.
											Sie haben ein Zuhause, 
das sie mit ihren Eltern assoziieren,
											ein anderes, 
das sie mit ihrem Lebenspartner assoziieren
											ein drittes, verbunden mit dem Ort, 
an dem sie gerade leben
											ein viertes, das mit dem Ort ihrer Träume 
zusammenhängt,
											und mehrere darüber hinaus.
											Ihr ganzes Leben werden sie damit verbringen,
											einzelne Stücke 
aus den verschiedenen Orten zu nehmen
											und zu einem bunten Glas zusammenzufügen.
											Zuhause ist für sie in Wirklichkeit 
ein laufender Prozess.
											Es ist wie eine Art Projekt, welches sie stets
											aktualisieren, verbessern und korrigieren.
									",Where is home?,Pico Iyer,14:01,"culture,happiness,travel,world cultures,writing"
