en,tr,fr,pt,title,speaker,duration,tags
"
","
","
","
",A new class of drug that could prevent depression and PTSD,Rebecca Brachman,5:10,"PTSD,depression,medicine,medical research,science,pharmaceuticals,brain,mental health,neuroscience,humanity,chemistry,disease,health,TED Fellows"
"
											So the first antidepressants
were made from, of all things,
											rocket fuel, left over after World War II.
											Which is fitting, seeing as today,
one in five soldiers develop depression,
											or post-traumatic stress disorder or both.
											But it's not just soldiers
that are at high risk for these diseases.
											It's firefighters, ER doctors,
cancer patients, aid workers, refugees —
											anyone exposed to trauma
or major life stress.
											And yet, despite how commonplace
these disorders are,
											our current treatments,
if they work at all,
											only suppress symptoms.
									","
											İlk antidepresanlar her şeyden,
											2. Dünya Savaşından kalmış
roket yakıtlarından yapılırdı.
											Günümüzden bakıldığında bu uygun,
çünkü beş askerden biri depresyon
											veya travma sonrası stres bozukluğu
ya da ikisini birden yaşıyor.
											Ama bu hastalıklarda yüksek riskte
olanlar, yalnızca askerler değil.
											İtfaiyeci, acil servis doktoru, kanser
hastası, yardım görevlisi, mülteci —
											yani travmaya veya büyük hayat
stresine maruz kalan herkes.
											Fakat bu hastalıklar
ne kadar sıradan olursa olsun,
											mevcut tedavilerimiz, işe yararlarsa eğer,
											yalnızca semptomları bastırır.
									","
											Les premiers antidépresseurs ont été faits
											à partir de combustible pour fusée
											excédentaire après la deuxième
guerre mondiale.
											Ce qui est approprié
quand on voit qu'aujourd'hui,
											un soldat sur cinq souffre de dépression,
											de trouble de stress
post-traumatique ou bien des deux.
											Il n'y a pas que les soldats qui sont
à haut risque pour ces maladies.
											Ce sont les pompiers, les urgentistes,
les patients atteints de cancer,
											les travailleurs humanitaires,
les réfugiés —
											quiconque exposé à un traumatisme
ou un stress majeur dans sa vie.
											Pourtant, malgré le fait
que ces maladies soient courantes,
											nos traitements actuels,
s'ils fonctionnent,
											ne font qu'éradiquer les symptômes.
									","
											Os primeiros antidepressivos 
foram produzidos a partir de, imagine-se,
											combustível para mísseis remanescente
da Segunda Guerra Mundial.
											Bastante irónico, visto que hoje um em
cada cinco militares sofre de depressão,
											de perturbação de ""stress""
pós-traumático ou de ambos.
											Contudo, os militares não são os únicos
em risco de desenvolverem estas doenças.
											Bombeiros, médicos do serviço de urgência,
											doentes oncológicos, 
trabalhadores humanitários, refugiados
											— pessoas expostas a situações
de trauma e de ""stress"" elevado.
											Ainda que estes distúrbios 
sejam bastante frequentes,
											os tratamentos que hoje temos disponíveis,
quando se revelam eficazes,
											somente suprimem os sintomas.
									",A new class of drug that could prevent depression and PTSD,Rebecca Brachman,5:10,"PTSD,depression,medicine,medical research,science,pharmaceuticals,brain,mental health,neuroscience,humanity,chemistry,disease,health,TED Fellows"
"
","
","
","
",A new class of drug that could prevent depression and PTSD,Rebecca Brachman,5:10,"PTSD,depression,medicine,medical research,science,pharmaceuticals,brain,mental health,neuroscience,humanity,chemistry,disease,health,TED Fellows"
"
											In 1798, when Edward Jenner
discovered the first vaccine —
											it happened to be for smallpox —
											he didn't just discover
a prophylactic for a disease,
											but a whole new way of thinking:
											that medicine could prevent disease.
											However, for over 200 years,
											this prevention was not believed
to extend to psychiatric diseases.
											Until 2014, when my colleague and I
accidentally discovered
											the first drugs that might prevent
depression and PTSD.
											We discovered the drugs in mice,
											and we're currently studying
whether they work in humans.
											And these preventative
psychopharmaceuticals
											are not antidepressants.
											They are a whole new class of drug.
											And they work by increasing
stress resilience,
											so let's call them resilience enhancers.
									","
											1798'de, Edward Jenner
ilk aşıyı bulduğunda
											— çiçek hastalığı içindi —
											yalnızca bir hastalık için
korucuyu bulmamıştı,
											yeni bir düşünme biçimi de bulmuştu:
											hastalığı önleyebilecek o ilacı.
											Ancak, yaklaşık 200 yıldır
											bu önlemenin, psikiyatri hastalıklarına
uzanabileceğine inanılmıyordu.
											2014'de meslektaşım ve ben,
											tesadüfen depresyon ve TSSB önleyici
ilk ilaçları keşfedene dek.
											İlaçları farelerde bulduk
											ve insanlarda işe yarayıp yaramadığı
üzerinde çalışıyoruz.
											Bu önleyici psikofarmasötikler,
											antidepresan değiller.
											Onlar tamamen yeni bir ilaç sınıfı.
											Stres direncini yükselterek
işe yarıyorlar,
											bu yüzden onlara direnç arttırıcı diyelim.
									","
											En 1798, quand Edward Jenner
a découvert le premier vaccin —
											celui pour la variole —
											il n'a pas découvert qu'un médicament
prophylactique pour une maladie
											mais une nouvelle manière de penser :
											les médicaments pouvaient
prévenir les maladies.
											Cependant, pendant plus de 200 ans,
											on n'a pas cru que cette prévention
s'étendait aux maladies psychiatriques.
											Jusqu'à 2014, quand mon collègue et moi
avons accidentellement découvert
											les premiers médicaments qui pourraient
prévenir la dépression et le TSPT.
											Nous les avons découverts chez les souris
											et nous étudions actuellement
leurs effets chez les êtres humains.
											Ces psychotropes préventifs
											ne sont pas des antidépresseurs.
											C'est une nouvelle classe de médicaments.
											Ils fonctionnent en augmentant
la résilience au stress,
											appelons-les agents
amplificateurs de la résilience.
									","
											Em 1798, quando Edward Jenner
descobriu a primeira vacina
											— a vacina contra a varíola —
											não desvendou apenas um profilático
para uma dada doença,
											mas também uma nova forma de pensar:
											a medicina permitia
a prevenção de doenças.
											Porém, ao longo de 200 anos,
											acreditámos que esta prevenção
não poderia incluir doenças psiquiátricas.
											Mas, em 2014, eu e um colega
descobrimos acidentalmente
											os primeiros fármacos que podem evitar
depressão e PSPT.
											Fizemos esta descoberta em ratos
											e estamos agora a estudar
se os fármacos funcionam em humanos.
											Estes psicofármacos profiláticos
											não são antidepressivos.
											São uma nova classe de medicamentos.
											E dado que estimulam
a resiliência ao ""stress"",
											vamos chamar-lhes
estimulantes de resiliência.
									",A new class of drug that could prevent depression and PTSD,Rebecca Brachman,5:10,"PTSD,depression,medicine,medical research,science,pharmaceuticals,brain,mental health,neuroscience,humanity,chemistry,disease,health,TED Fellows"
"
","
","
","
",A new class of drug that could prevent depression and PTSD,Rebecca Brachman,5:10,"PTSD,depression,medicine,medical research,science,pharmaceuticals,brain,mental health,neuroscience,humanity,chemistry,disease,health,TED Fellows"
"
											So think back to a stressful time
that you've since recovered from.
											Maybe a breakup or an exam,
you missed a flight.
											Stress resilience
is the active biological process
											that allows us
to bounce back after stress.
											Similar to if you have a cold
and your immune system fights it off.
											And insufficient resilience
											in the face of a significant
enough stressor,
											can result in a psychiatric disorder,
such as depression.
											In fact, most cases
of major depressive disorder
											are initially triggered by stress.
											And from what we've seen so far in mice,
											resilience enhancers can protect
against purely biological stressors,
											like stress hormones,
											and social and psychological stressors,
like bullying and isolation.
									","
											Henüz atlattığınız
stresli bir zamanı düşünün.
											Belki bir ayrılık veya bir sınav,
belki uçağı kaçırmışsınızdır.
											Stres direnci, stres sonrası
kendimizi toparlamamızı sağlayan
											aktif, biyolojik bir süreçtir.
											Soğuk algınlığı sonrası bağışıklık
sisteminin onunla savaşması gibi.
											Yeterince önemli
bir stres etkeni karşısında
											yetersiz direnç,
											depresyon gibi psikiyatrik bir
bozuklukla sonuçlanabilir.
											Aslında çoğu majör
depresif bozukluk durumuna,
											öncelikle stres neden olur.
											Farelerde şimdiye dek gördüğümüz şey,
											direnç artırıcılar, stres hormonları gibi
saf biyolojik stres etkenlerine karşı,
											şiddet ve yalnızlık gibi sosyal ve
psikolojik stres etkenlerine karşı
											koruma sağlayabilir.
									","
											Repensez à une période stressante
dont vous vous êtes remis.
											Peut-être une rupture,
un examen ou un avion manqué.
											La résilience au stress
est un processus biologique actif
											qui nous permet
de rebondir après du stress.
											Comme quand vous avez un rhume
et votre système immunitaire le combat.
											Une résilience insuffisante
											face à un facteur de stress important
											peut résulter en un trouble psychiatrique
tel que la dépression.
											La majorité des cas
des troubles dépressifs importants
											sont initialement déclenchés
par du stress.
											De ce que j'ai observé chez les souris,
											les agents amplificateurs de la résilience
											peuvent protéger des facteurs
de stress biologiques,
											tels que les hormones du stress,
											et des facteurs de stress
sociaux et psychologiques,
											tels que le harcèlement et l'isolement.
									","
											Pensem num momento
de ""stress"" que tenham ultrapassado.
											O fim de uma relação, um exame,
talvez quando perderam um voo.
											A resiliência ao ""stress""
é o processo biológico ativo
											que nos ajuda a reerguermo-nos
após um evento de ""stress"".
											É similar ao nosso sistema imunitário
combater uma constipação.
											Uma resiliência insuficiente
											perante um agente de ""stress""
bastante significativo
											pode originar um distúrbio psiquiátrico,
como a depressão.
											Na verdade, a maioria dos casos
de grande depressão
											é inicialmente desencadeada por ""stress"".
											E segundo os resultados obtidos em ratos,
											estes fármacos podem proteger-nos
contra agentes de ""stress"" biológicos,
											tais como hormonas de ""stress"",
											e agentes de ""stress""
sociais e psicológicos
											como o ""bullying"" e o isolamento.
									",A new class of drug that could prevent depression and PTSD,Rebecca Brachman,5:10,"PTSD,depression,medicine,medical research,science,pharmaceuticals,brain,mental health,neuroscience,humanity,chemistry,disease,health,TED Fellows"
"
","
","
","
",A new class of drug that could prevent depression and PTSD,Rebecca Brachman,5:10,"PTSD,depression,medicine,medical research,science,pharmaceuticals,brain,mental health,neuroscience,humanity,chemistry,disease,health,TED Fellows"
"
											So here is an example where we gave mice
											three weeks of high levels
of stress hormones.
											So, in other words, a biological stressor
without a psychological component.
											And this causes depressive behavior.
											And if we give three weeks
of antidepressant treatment beforehand,
											it has no beneficial effects.
											But a single dose of a resilience
enhancer given a week before
											completely prevents
the depressive behavior.
											Even after three weeks of stress.
											This is the first time
a drug has ever been shown
											to prevent the negative effects of stress.
									","
											Farelere üç hafta boyunca
											yüksek seviyede stres hormonu
verdiğimiz bir örnek var burada.
											Başka bir deyişle, psikolojik bir öge
bulundurmayan, biyolojik bir stres etkeni.
											Bu da depresif davranışa sebep olur.
											Önceden üç haftalık
antidepresan tedavisi verirsek
											hiçbir yararlı etkisi de olmaz.
											Fakat bir hafta öncesinden verilmiş
tek doz direnç artırıcı,
											depresif davranışı tamamen önler.
											Üç haftalık stresten sonra bile.
											Bir ilacın, stresin
negatif etkilerini önlediği,
											ilk kez bu noktada görülmüştür.
									","
											Voici un exemple où
nous avons donné aux souris
											trois semaines avec beaucoup
d'hormones du stress.
											En d'autres mots, un facteur de stress
biologique sans composante psychologique.
											Cela entraîne un comportement dépressif.
											Si nous donnons auparavant trois semaines
de traitement antidépresseur,
											cela n'a pas d'effets bénéfiques.
											Mais une seule dose d'un agent
amplificateur de la résilience
											donnée une semaine auparavant
											évite entièrement
le comportement dépressif.
											Même après trois semaines de stress.
											C'est la première fois
que l'on a montré qu'un médicament
											prévenait les effets négatifs du stress.
									","
											Aqui temos um exemplo,
em que administrámos a ratos
											altos níveis de hormonas de ""stress""
durante três semanas.
											Por outras palavras, um agente de ""stress""
biológico sem componente psicológica.
											Isto desencadeou
um comportamento depressivo.
											Um tratamento com antidepressivos
durante três semanas antes
											não trouxe qualquer efeito benéfico.
											Mas uma dose única de estimulantes
de resiliência, dada uma semana antes,
											evitou na totalidade
o comportamento depressivo,
											mesmo após três semanas de ""stress"".
											Estamos perante o primeiro caso
de um fármaco
											que evita os efeitos
negativos do ""stress"".
									",A new class of drug that could prevent depression and PTSD,Rebecca Brachman,5:10,"PTSD,depression,medicine,medical research,science,pharmaceuticals,brain,mental health,neuroscience,humanity,chemistry,disease,health,TED Fellows"
"
","
","
","
",A new class of drug that could prevent depression and PTSD,Rebecca Brachman,5:10,"PTSD,depression,medicine,medical research,science,pharmaceuticals,brain,mental health,neuroscience,humanity,chemistry,disease,health,TED Fellows"
"
											Depression and PTSD are chronic,
often lifelong, clinical diseases.
											They also increase the risk
of substance abuse, homelessness,
											heart disease, Alzheimer's, suicide.
											The global cost of depression alone
is over three trillion dollars per year.
											But now, imagine a scenario
where we know someone is predictively
											at high risk for exposure
to extreme stress.
											Say, a red cross volunteer
going into an earthquake zone.
											In addition to the typhoid vaccine,
											we could give her a pill or an injection
of a resilience enhancer
											before she leaves.
											So when she is held at gunpoint
by looters or worse,
											she would at least be protected
against developing depression or PTSD
											after the fact.
											It won't prevent her
from experiencing the stress,
											but it will allow her to recover from it.
											And that's what's revolutionary here.
											By increasing resiliency,
											we can dramatically reduce
her susceptibility to depression and PTSD,
											possibly saving her from losing her job,
her home, her family or even her life.
									","
											Depresyon ve TSSB kroniktir, genelde
yaşam boyu süren klinik hastalıklardır.
											Ayrıca madde bağımlılığı, evsizlik,
kalp hastalığı, Alzheimer, intihar
											riskini de yükseltirler.
											Yalnızca depresyonun dünya çapında
bedeli, yılda üç trilyon dolar.
											Fakat şu an, birisinin
tahminen aşırı stresten ötürü
											yüksek risk taşıdığı
bir senaryo hayal edelim.
											Diyelim ki bir kızıl haç gönüllüsü,
bir deprem bölgesine gidiyor.
											Tifo aşısına ek olarak
											gitmeden önce ona bir direnç artırıcı
											hap veya iğne verebiliriz.
											Yağmacılar tarafından silah zoruyla
tutulduğunda veya daha kötü bir durumda,
											olay sonrası depresyon
veya TSSB gelişimine karşı
											korunmuş olacaktır.
											Bu, onun stresi yaşamasını önlemeyecek,
											fakat onu atlatmasını sağlayacaktır.
											İşin devrimsel yanı da bu.
											Direnci artırarak
											onun depresyon ve TSSB yatkınlığını
çarpıcı şekilde azaltabiliyoruz
											ve belki de işini, evini, ailesini,
hatta hayatını kaybetmemesini sağlıyoruz.
									","
											La dépression et le TSPT
sont des maladies chroniques,
											souvent permanentes, cliniques.
											Elles augmentent aussi les risques
de toxicomanie, d'être sans abri,
											de maladies cardiaques,
d'Alzheimer, de suicide.
											A lui seul, le coût mondial
de la dépression
											est de plus de trois mille milliards
de dollars par an.
											Mais imaginez un scénario
où nous prévoyons quand quelqu'un
											a un risque élevé d'exposition
à un stress extrême.
											Disons un bénévole de la Croix-Rouge
allant dans une zone de séisme.
											En plus du vaccin pour la typhoïde,
											nous pourrions lui donner
un cachet ou une injection
											d'un agent amplificateur
de la résilience avant son départ.
											Quand il sera sous la menace
de pillards ou pire,
											il sera protégé contre le développement
d'une dépression ou d'un TSPT
											après les faits.
											Cela ne lui évitera pas
de ressentir le stress,
											mais cela lui permettra de s'en remettre.
											C'est ce qui est révolutionnaire.
											En augmentant la résilience,
											nous pouvons dramatiquement réduire
											sa susceptibilité
à la dépression et au TSPT,
											évitant possiblement
qu'il ne perde son travail,
											sa maison, sa famille ou même sa vie.
									","
											A depressão e a PSPT são distúrbios
crónicos e muitas vezes permanentes.
											Podem também aumentar o risco
de abuso de drogas, de indigência,
											de doenças cardiovasculares,
de doença de Alzheimer, de suicídio.
											Só o custo global da depressão
perfaz três biliões de dólares, por ano.
											Mas imaginem agora um cenário
em que conseguimos prever
											que alguém possui um elevado risco
de exposição a altos níveis de ""stress""
											— por exemplo, um voluntário
da Cruz Vermelha numa zona sísmica.
											Além da vacina contra a febre tifoide,
											podemos dar-lhe um comprimido ou injeção
com estimulantes de resiliência
											antes da sua ida.
											Desta forma, caso se encontre
sob ameaça de fogo num assalto ou pior,
											pelo menos está protegido contra
o desenvolvimento de depressão ou PSPT
											após o evento.
											Não é possível evitar o ""stress""
que pode vir a sentir,
											mas é algo que ajuda a ultrapassá-lo.
											E é esse o elemento inovador.
											Ao estimular a resiliência ao ""stress"",
											conseguimos reduzir a suscetibilidade
à depressão e à PSPT,
											evitando assim
que alguém perca o emprego,
											a casa, a família ou até a vida.
									",A new class of drug that could prevent depression and PTSD,Rebecca Brachman,5:10,"PTSD,depression,medicine,medical research,science,pharmaceuticals,brain,mental health,neuroscience,humanity,chemistry,disease,health,TED Fellows"
