en,tr,es,fr,pt,title,speaker,duration,tags
"
","
","
","
","
",The myth of Sisyphus,Alex Gendler,4:38,"TED-Ed,history"
"
											Whether it’s being chained to a burning 
wheel, turned into a spider,
											or having an eagle eat one’s liver,
											Greek mythology is filled 
with stories of the gods
											inflicting gruesome horrors 
on mortals who angered them.
											Yet one of their most famous 
punishments is not remembered
											for its outrageous cruelty, 
but for its disturbing familiarity.
									","
											Alevli bir çarka zincirlenen,
örümceğe dönüştürülen
											ya da karaciğeri bir kartal tarafından
yenilen insanlar.
											Yunan mitolojisi, 
tanrıları kızdıran ölümlülerin
											başına gelen dehşet verici
olaylarla doludur.
											Fakat bunlardan bir tanesi
korkunçluğuyla değil,
											rahatsız edici benzerliğiyle hatırlanıyor.
									","
											Con personajes atados
a una rueda de fuego,
											convertidos en araña
											o condenados a que un águila
les devorase el hígado,
											la mitología griega relata
numerosas historias de dioses
											que imponen espantosos tormentos
a los mortales que los desafían.
											Sin embargo, uno de los castigos 
más famosos no se destaca
											por su gran crueldad, sino
por su inquietante familiaridad.
									","
											Que ce soit enchaîné à une roue en feu,
changé en araignée,
											ou avoir le foie dévoré vivant
par un aigle,
											la mythologie grecque regorge d'histoires
dans lesquelles les dieux
											infligent des souffrances atroces
aux mortels qui les ont offensés.
											L'un de leurs châtiments les plus connus
n'est pas le plus célèbre
											de par sa cruauté monstrueuse,
mais pour sa dérangeante familiarité.
									","
											Quer seja ser acorrentado
a uma roda abrasadora,
											transformado numa aranha
											ou ter uma águia a comer-nos o fígado,
											a mitologia grega está cheia
de histórias dos deuses
											que infligem horrores macabros
aos mortais que os irritam.
											Mas uma das punições mais famosas
											não é recordada
pela sua terrível crueldade
											mas pela sua familiaridade perturbadora.
									",The myth of Sisyphus,Alex Gendler,4:38,"TED-Ed,history"
"
","
","
","
","
",The myth of Sisyphus,Alex Gendler,4:38,"TED-Ed,history"
"
											Sisyphus was the first king of Ephyra, 
now known as Corinth.
											Although a clever ruler who made his city 
prosperous, he was also a devious tyrant
											who seduced his niece and 
killed visitors to show off his power.
											This violation of the sacred hospitality 
tradition greatly angered the gods.
											But Sisyphus may still have 
avoided punishment
											if it hadn’t been for his 
reckless confidence.
									","
											Sisifos, bugün Korint olarak bilinen
Efira'nın ilk kralıydı.
											Şehrine refah getiren zeki bir yöneticiydi
ama aynı zamanda yeğenini baştan çıkaran
											ve güç gösterisinde bulunmak için
ziyaretçileri öldüren hilekâr bir tirandı.
											Kutsal misafirperverlik geleneğini
ihlal etmesi tanrıları çok öfkelendirdi.
											Ama Sisifos umursamaz bir şekilde
kendine güvenmeseydi
											belki de cezalandırılmaktan 
kurtulabilirdi.
									","
											Sísifo fue el primer rey de Éfira,
antiguo nombre de la actual Corinto.
											Si bien gobernó su ciudad con inteligencia
y la llevó a la prosperidad,
											fue también un tirano perverso
											que sedujo a su sobrina y mataba
a sus huéspedes para demostrar su poder.
											Esta violación a la sagrada tradición
de la hospitalidad enfureció a los dioses.
											Sin embargo, Sísifo podría
haber evitado el castigo
											de no haber recurrido 
a temerarias provocaciones.
									","
											Sisyphe était le premier roi d'Éphyra,
maintenant appelée Corinthe.
											Souverain intelligent ayant rendu sa cité
prospère, il était aussi un tyran sournois
											qui avait séduit sa nièce et qui tuait
des invités pour montrer son pouvoir.
											Les dieux furent outrés de voir la
tradition de l'hospitalité sacrée bafouée.
											Sisyphe aurait néanmoins
pu éviter le châtiment,
											mais c’était sans compter sur
son assurance sans bornes.
									","
											Sísifo foi o primeiro rei de Éfira,
hoje conhecida por Corinto.
											Embora fosse um governante astuto
que tornou próspera a sua cidade,
											também foi um tirano desonesto
											que seduziu a sobrinha e matou
visitantes para exibir o seu poder.
											Esta violação da tradição da sagrada
hospitalidade irritou imenso os deuses.
											Mas Sísifo podia ter evitado a punição
											se não fosse
a sua autoconfiança inabalável.
									",The myth of Sisyphus,Alex Gendler,4:38,"TED-Ed,history"
"
","
","
","
","
",The myth of Sisyphus,Alex Gendler,4:38,"TED-Ed,history"
"
											The trouble began when Zeus 
kidnapped the nymph Aegina,
											carrying her away in the form 
of a massive eagle.
											Aegina’s father, the river god Asopus, 
pursued their trail to Ephyra,
											where he encountered Sisyphus.
											In exchange for the god making
a spring inside the city,
											the king told Asopus which way 
Zeus had taken the girl.
											When Zeus found out, he was so furious
that he ordered Thanatos, or Death,
											to chain Sisyphus in the underworld 
so he couldn’t cause any more problems.
									","
											Her şey Zeus'un 
kocaman bir kartal şeklini alarak
											su perisi Aegina'yı kaçırmasıyla başladı.
											Aegina'nın babası nehir tanrısı Asopos,
Efira'ya kadar onların izini sürdü.
											Ve orada Sisifos'la karşılaştı.
											Sisifos, şehrinin içine bir pınar
yapması karşılığında nehir tanrısına
											Zeus'un kızı hangi yöne
götürdüğünü söyledi.
											Zeus buna o kadar çok öfkelendi ki
daha fazla sorun çıkarmaması için
											ölüm tanrısı Thanatos'a Sisifos'u 
yeraltı dünyasına zincirlemesini söyledi.
									","
											Todo comenzó cuando Zeus 
raptó a la ninfa Egina
											y se la llevó bajo la forma
de una enorme águila.
											Asopo, padre de Egina y dios
de los ríos, los siguió hasta Éfira,
											donde encontró a Sísifo.
											Asopo le prometió al rey hacer brotar
un manantial dentro de la ciudad
											a cambio de información sobre el sitio 
adonde Zeus había llevado a la muchacha.
											Cuando Zeus se enteró, tal fue su ira
que ordenó a Tánatos, o la Muerte,
											que encadenara a Sísifo en el inframundo
para que no causara más problemas.
									","
											Les ennuis commencèrent lorsque
Zeus kidnappa la nymphe Égine,
											se transformant en un aigle immense
pour la kidnapper.
											Le père d'Égine, le roi de la rivière
Asopos, suivit leur trace jusqu'à Éphyra,
											où il rencontra Sisyphe.
											En échange d'une source au cœur
de la cité,
											le roi révéla à Asopos l'endroit
où Zeus avait emmené sa fille.
											Quand Zeus le découvrit, il était si
furieux qu'il ordonna à Thanatos, la Mort,
											d’enchaîner Sisyphe dans le royaume des
morts afin qu'il ne cause plus problème.
									","
											O problema começou quando Zeus
raptou a ninfa Egina,
											arrebatando-a sob a forma
duma enorme águia.
											O pai de Egina, o deus-rio Asopo,
perseguiu o seu rasto até Éfira,
											onde encontrou Sísifo.
											Em troca duma fonte dentro da cidade,
prometida pelo deus-rio,
											o rei revelou a Asopo para onde
Zeus tinha levado a rapariga.
											Quando Zeus descobriu, ficou tão furioso
que ordenou a Tánato, ou seja, a Morte,
											que acorrentasse Sísifo
no reino dos mortos,
											para ele não causar mais problemas.
									",The myth of Sisyphus,Alex Gendler,4:38,"TED-Ed,history"
"
","
","
","
","
",The myth of Sisyphus,Alex Gendler,4:38,"TED-Ed,history"
"
											But Sisyphus lived up to 
his crafty reputation.
											As he was about to be imprisoned,
											the king asked Thanatos to show him 
how the chains worked
											– and quickly bound him instead, 
before escaping back among the living.
											With Thanatos trapped, no one could die, 
and the world was thrown into chaos.
											Things only returned to normal 
when the god of war Ares,
											upset that battles were no longer fun, 
freed Thanatos from his chains.
									","
											Fakat Sisifos ün salmış kurnazlığı
sayesinde bunu da aştı.
											Zincirlenmek üzereyken,
											Thanatos'a zincirleri nasıl tutması
gerektiğini sordu,
											hızlıca onu zincirledikten sonra ise
canlıların dünyasına geri döndü.
											Thanatos bağlıyken kimse ölemiyordu
ve her şey kaosa dönüşmüştü.
											Artık savaşların eğlenceli olmamasından
yakınan savaş tanrısı Ares'in
											Thanatos'un zincirlerini çözmesiyle
her şey normale döndü.
									","
											Pero Sísifo hizo honor a su astucia.
											Cuando Tánatos se disponía a apresarlo,
											el rey le pidió que le enseñara
cómo se usaban las cadenas
											y, rápidamente, Sísifo lo hizo prisionero
											antes de que escapara 
al mundo de los vivos.
											Con Tánatos prisionero, nadie moría,
y el mundo se convirtió en un caos.
											Todo volvió a la normalidad 
cuando el dios de la guerra Ares,
											contrariado porque las guerras ya
no eran una diversión, liberó a Tánatos.
									","
											Mais Sisyphe était rusé et à la hauteur
de sa réputation.
											Alors qu'il allait d'être enfermé,
											le roi demanda à Thanatos de lui montrer
comment les chaînes fonctionnaient
											– et il l'emprisonna à sa place, avant de
s'échapper et retourner parmi les vivants.
											Thanatos enfermé, personne ne pouvait
mourir, le monde fut plongé dans le chaos.
											Les choses revinrent à la normale
lorsque le dieu de la guerre, Arès,
											contrarié que les guerres ne soient plus
amusantes, libéra Thanatos de ses chaînes.
									","
											Mas Sísifo fez jus à sua reputação astuta.
											Quando estava quase a ser preso,
											o rei pediu a Tánato que lhe mostrasse
como funcionavam as correntes
											e, rapidamente, prendeu-o a ele,
antes de fugir para o reino dos vivos.
											Com Tánato preso, ninguém podia morrer
e o mundo mergulhou no caos.
											As coisas só voltaram ao normal
quando Ares, o deus da guerra,
											preocupado porque as guerras
já não eram divertidas,
											libertou Tánato das correntes.
									",The myth of Sisyphus,Alex Gendler,4:38,"TED-Ed,history"
"
","
","
","
","
",The myth of Sisyphus,Alex Gendler,4:38,"TED-Ed,history"
"
											Sisyphus knew his reckoning was at hand.
											But he had another trick up his sleeve.
											Before dying, he asked his wife Merope
to throw his body in the public square,
											from where it eventually washed up on 
the shores of the river Styx.
											Now back among the dead, 
Sisyphus approached Persephone,
											queen of the Underworld, and complained
											that his wife had disrespected him 
by not giving him a proper burial.
											Persephone granted him permission to go
back to the land of living
											and punish Merope, on the condition that 
he would return when he was done.
											Of course, Sisyphus refused 
to keep his promise,
											now having twice escaped death
by tricking the gods.
									","
											Sisifos ise hesaplaşma zamanının 
geldiğini biliyordu.
											Ama aklında başka bir hile daha vardı.
											Ölmeden önce, karısı Merope'ye
vücudunu şehir meydanına atmasını söyledi.
											Böylece sonunda
Styks Nehri'nin kıyısına vurdu.
											Ölüler dünyasına geri döndükten sonra
yeraltı kraliçesi Persephone'ye yaklaştı
											ve karısının onu 
uygun bir şekilde gömmeyerek
											ona büyük bir saygısızlık
etmiş olduğundan yakındı.
											Bunun üzerine Persephone, 
geri dönmesi koşuluyla,
											canlıların dünyasına gitmesi ve karısı
Merope'yi cezalandırması için izin verdi.
											Elbette, Sisifos sözünü tutmayı reddetti.
											Böylece, tanrıları kandırarak
ikinci kez ölümden kaçmış oluyordu.
									","
											Sísifo sabía que tenía las horas contadas.
											Pero ocultaba otro as debajo de la manga.
											Antes de morir, pidió a su esposa Mérope
que arrojara su cuerpo a la plaza pública,
											y desde allí fue arrastrado por las aguas
hasta las costas del río Estigia.
											Ya de regreso al mundo de los muertos,
Sísifo se acercó a Perséfone,
											reina del inframundo, y se lamentó
de que su esposa lo había ofendido
											al no honrarlo con un funeral.
											Perséfone le concedió permiso
para regresar al mundo de los vivos
											y castigar a Mérope, siempre y cuando
regresara una vez terminada su misión.
											Como era de esperar, 
Sísifo rompió su promesa
											y, de este modo, logró escapar 
de la muerte por segunda vez
											engañando a los dioses.
									","
											Sisyphe sentit que
sa dernière heure arrivait.
											Mais il avait un autre tour dans son sac.
											Avant de mourir, il pria sa femme Mérope
de jeter son corps sur la place publique,
											d'où il finit par s'échouer sur les rives
de la rivière Styx.
											De retour parmi les morts,
Sisyphe se rapprocha de Perséphone,
											reine des Enfers, et se plaignit
											que sa femme, en ne l'ayant pas enterré
dignement, ne l'avait pas respecté.
											Perséphone l'autorisa à retourner
dans le monde des vivants
											pour punir Mérope, à la condition
qu'il revienne dès sa tâche accomplie.
											Bien sûr, Sisyphe ne tint pas sa promesse,
											et avait maintenant échappé par deux
fois à la mort en trompant les dieux.
									","
											Sísifo sabia que ia ter
que prestar contas.
											Mas ainda tinha um trunfo na manga.
											Antes de morrer,
pediu à sua mulher Mérope,
											que atirasse o corpo dele
para a praça pública,
											de onde acabou por ser levado
para as praias do rio Estige.
											De volta ao reino dos mortos,
Sísifo foi ter com Perséfone,
											a rainha do mundo dos mortos,
											e queixou-se de que a mulher
lhe tinha faltado ao respeito
											por não lhe ter dado
uma sepultura condigna.
											Perséfone deu-lhe autorização
para voltar ao reino dos vivos
											e punir Mérope, na condição de ele
voltar, quando terminasse.
											Claro que Sísifo
não cumpriu a sua promessa,
											escapando à morte pela segunda vez,
enganando os deuses.
									",The myth of Sisyphus,Alex Gendler,4:38,"TED-Ed,history"
