en,tr,pt,de,title,speaker,duration,tags
"
","
","
","
",Are you a giver or a taker?,Adam Grant,13:28,"anthropology,behavioral economics,business,collaboration,community,leadership,motivation,personal growth,personality,psychology,self,society,work"
"
											I want you to look
around the room for a minute
											and try to find the most
paranoid person here —
									","
											Sizlerden bir dakikalığına
etrafınıza bakıp
											salondaki en paranoyak kişiyi
bulmanızı istiyorum.
									","
											Quero que olhem para a sala
por um momento
											e tentem encontrar a pessoa
mais paranoica aqui.
									","
											Bitte schauen Sie sich
einen Moment im Raum um.
											Versuchen Sie, die paranoideste
Person hier zu finden.
									",Are you a giver or a taker?,Adam Grant,13:28,"anthropology,behavioral economics,business,collaboration,community,leadership,motivation,personal growth,personality,psychology,self,society,work"
"
","
","
","
",Are you a giver or a taker?,Adam Grant,13:28,"anthropology,behavioral economics,business,collaboration,community,leadership,motivation,personal growth,personality,psychology,self,society,work"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Risos)
									","
											(Lachen)
									",Are you a giver or a taker?,Adam Grant,13:28,"anthropology,behavioral economics,business,collaboration,community,leadership,motivation,personal growth,personality,psychology,self,society,work"
"
","
","
","
",Are you a giver or a taker?,Adam Grant,13:28,"anthropology,behavioral economics,business,collaboration,community,leadership,motivation,personal growth,personality,psychology,self,society,work"
"
											And then I want you to point
at that person for me.
									","
											Sonra bu kişiyi
bana göstermenizi istiyorum.
									","
											Depois quero que apontem
para essa pessoa.
									","
											Zeigen Sie mir bitte diese Person.
									",Are you a giver or a taker?,Adam Grant,13:28,"anthropology,behavioral economics,business,collaboration,community,leadership,motivation,personal growth,personality,psychology,self,society,work"
"
","
","
","
",Are you a giver or a taker?,Adam Grant,13:28,"anthropology,behavioral economics,business,collaboration,community,leadership,motivation,personal growth,personality,psychology,self,society,work"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Risos)
									","
											(Lachen)
									",Are you a giver or a taker?,Adam Grant,13:28,"anthropology,behavioral economics,business,collaboration,community,leadership,motivation,personal growth,personality,psychology,self,society,work"
"
","
","
","
",Are you a giver or a taker?,Adam Grant,13:28,"anthropology,behavioral economics,business,collaboration,community,leadership,motivation,personal growth,personality,psychology,self,society,work"
"
											OK, don't actually do it.
									","
											Tamam tamam yapmayın.
									","
											Ok, não façam isso.
									","
											Tun Sie das nicht wirklich.
									",Are you a giver or a taker?,Adam Grant,13:28,"anthropology,behavioral economics,business,collaboration,community,leadership,motivation,personal growth,personality,psychology,self,society,work"
"
","
","
","
",Are you a giver or a taker?,Adam Grant,13:28,"anthropology,behavioral economics,business,collaboration,community,leadership,motivation,personal growth,personality,psychology,self,society,work"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Risos)
									","
											(Lachen)
									",Are you a giver or a taker?,Adam Grant,13:28,"anthropology,behavioral economics,business,collaboration,community,leadership,motivation,personal growth,personality,psychology,self,society,work"
"
","
","
","
",Are you a giver or a taker?,Adam Grant,13:28,"anthropology,behavioral economics,business,collaboration,community,leadership,motivation,personal growth,personality,psychology,self,society,work"
"
											But, as an organizational psychologist,
											I spend a lot of time in workplaces,
											and I find paranoia everywhere.
											Paranoia is caused by people
that I call ""takers.""
											Takers are self-serving
in their interactions.
											It's all about what can you do for me.
											The opposite is a giver.
											It's somebody who approaches
most interactions by asking,
											""What can I do for you?""
									","
											Kurumsal bir psikolog olarak
											iş yerlerinde çok zaman geçiriyorum
											ve her yerde paranoya seziyorum.
											Paranoyaya ""alan taraf"" dediğim
kişiler sebep oluyor.
											Alan taraf ilişkilerinde
kendine hizmet eder.
											Benim için ne yapabilirsiniz der.
											Karşıtı ise veren taraftır.
											Veren taraf çoğu ilişkisine
""Sizin için ne yapabilirim?""
											sorusuyla yaklaşır.
									","
											Mas, enquanto psicólogo organizacional,
											passo muito tempo em locais de trabalho,
											e encontro paranoia por todo o lado.
											A paranoia é causada por pessoas
a quem chamo ""aproveitadores"".
											São pessoas egoístas nas suas interações.
											Pensam apenas no que
podemos fazer por elas.
											O oposto é um ""dador"".
											É alguém que aborda
a maioria das situações perguntando:
											""O que posso fazer por si?""
									","
											Als Organisationspsychologe
bin ich oft an Arbeitsplätzen.
											Überall stoße ich dort auf Paranoia.
											Paranoia entsteht durch Leute,
die ich ""Nehmer"" nenne.
											Nehmer handeln in
Interaktionen eigennützig.
											Wichtig ist nur, was Sie für mich tun.
											Das Gegenteil ist ein Geber.
											Er fragt sich bei Interaktionen meist:
											""Was kann ich für Sie tun?""
									",Are you a giver or a taker?,Adam Grant,13:28,"anthropology,behavioral economics,business,collaboration,community,leadership,motivation,personal growth,personality,psychology,self,society,work"
"
","
","
","
",Are you a giver or a taker?,Adam Grant,13:28,"anthropology,behavioral economics,business,collaboration,community,leadership,motivation,personal growth,personality,psychology,self,society,work"
