es,fr,title,speaker,duration,tags
"
","
",Why climate change is a threat to human rights,Mary Robinson,21:47,"climate change,global issues,humanity,inequality,politics"
"
											Una pregunta que siempre me hacen es,
											cuándo me apasioné
por los derechos humanos y la justicia.
											Empezó siendo muy joven.
											Crecí en el oeste de Irlanda,
en medio de cuatro hermanos,
											dos mayores y dos menores.
											Por supuesto que tuve que
interesarme por los derechos humanos,
											la igualdad y la justicia,
y ¡a punta de codazos!
											(Risas)
											Y esas preocupaciones se quedaron 
conmigo y me guiaron,
									","
											Il y a une question
qu'on me pose souvent :
											d'où me vient ma passion
pour les droits de l'Homme et la justice ?
											Ça a commencé tôt.
											J'ai grandi dans l'Ouest de l'Irlande,
											au milieu de quatre frères,
											deux plus grands
et deux plus petits.
											Il était donc naturel
que je m'intéresse aux Droits de l'Homme,
											(Rires)
à l'égalité et à la justice,
									",Why climate change is a threat to human rights,Mary Robinson,21:47,"climate change,global issues,humanity,inequality,politics"
"
","
",Why climate change is a threat to human rights,Mary Robinson,21:47,"climate change,global issues,humanity,inequality,politics"
"
											en especial cuando fui elegida
la primera mujer presidenta de Irlanda,
									","
											et que je sois amenée
à jouer des coudes !
									",Why climate change is a threat to human rights,Mary Robinson,21:47,"climate change,global issues,humanity,inequality,politics"
"
","
",Why climate change is a threat to human rights,Mary Robinson,21:47,"climate change,global issues,humanity,inequality,politics"
"
											de 1990 a 1997.
											Dediqué mi mandato a abrir espacios
											para quienes se sentían marginados
en la isla de Irlanda,
											y a reunir comunidades del norte del país
con otras de la República,
											tratando de construir la paz.
											Y como primera presidenta irlandesa
fui al Reino Unido
											a reunirme con la Reina Elizabeth II
											y también la recibí 
en mi residencia oficial,
											que llamamos ""Áras an Uachtaráin"",
la casa presidencial,
											a miembros de la familia real,
y de manera notable, al Príncipe de Gales.
											Era consciente de que, 
durante mi presidencia,
											Irlanda era un país que empezaba
a hacer rápidos progresos económicos.
											Éramos un país que se estaba beneficiando
de la solidaridad de la Unión Europea.
											Y en verdad, en 1973, cuando Irlanda
ingresó a la Unión Europea,
											había partes del país
que se consideraban en vía de desarrollo,
											incluyendo mi amado condado natal,
County Mayo.
											Envié delegaciones aquí, 
a los EEUU, a Japón e India,
											a alentar la inversión
que nos ayudara a crear empleos,
											a expandir nuestra economía,
											a fortalecer nuestros sistemas de salud
y educación— nuestro desarrollo.
									","
											Et ces sujets me sont restés
et m'ont guidée,
											et en particulier,
											quand j'ai été la première femme
à accéder à la Présidence de l'Irlande,
											de 1990 à 1997.
											J'ai dédié mon mandat
											à la création d'un espace pour ceux
qui se sentaient marginalisés en Irlande,
											et à intégrer des communautés
issues d'Irlande du Nord
											à celles de la République,
											dans une visée de paix.
											J'ai été le premier dirigeant irlandais
à aller au Royaume-Uni
											et à rencontrer Elizabeth II,
											et j'ai accueilli dans
ma résidence officielle,
											que l'on appelle « Áras an Uachtaráin »,
« la maison du Président »,
											des membres de la famille royale,
											notamment le Prince de Galles.
											Et je me rendais compte,
à ce moment de mon mandat,
											que l'Irlande s'engageait
sur un chemin de croissance rapide.
											Nous étions un pays qui bénéficiait
de la solidarité de l'Union Européenne.
											En effet, quand l'Irlande a rejoint l'UE
en 1973,
											on considérait certaines de ses régions
comme en voie de développement
											y compris mon cher pays natal,
le Comté de Mayo.
											J'ai mené des délégations économiques
ici aux États-Unis,
											au Japon, en Inde,
											pour encourager à investir,
pour aider à créer de l'emploi,
									",Why climate change is a threat to human rights,Mary Robinson,21:47,"climate change,global issues,humanity,inequality,politics"
"
","
",Why climate change is a threat to human rights,Mary Robinson,21:47,"climate change,global issues,humanity,inequality,politics"
"
											Lo que no me tocó hacer como presidente
fue comprar tierra en Europa continental
											a la que los irlandeses pudieran ir
cuando la isla se quedara bajo el agua.
											En lo que no tuve que pensar,
											ya bien sea como presidenta
o como abogada constitucionalista,
											fue en las implicaciones
para la soberanía del territorio
											debido al impacto del cambio climático.
											Eso es en lo que el Presidente Tong,
de la República de Kribati,
											tiene que pensar cada mañana.
											Ha comprado tierra en Fiji
como una póliza de seguro,
											algo que llama ""migración con dignidad"",
											porque sabe que su pueblo
quizás tenga que abandonar sus islas.
											Mientras escuchaba al Presidente Tong
describiendo la situación,
											en verdad sentía que ese era un problema
que ningún líder debería enfrentar.
											Y mientras lo escuchaba hablar
de la agonía de sus problemas,
											pensé en Eleanor Roosevelt.
											Pensé en ella 
y en el equipo que trabajó con ella
											en la Comisión de Derechos Humanos,
que ella presidió en 1948,
											y que redactó la Declaración Universal 
de los Derechos Humanos.
											Para ellos hubiera sido inimaginable
											que todo un país dejara de existir
											debido al cambio climático 
producido por la humanidad.
									","
											pour construire notre économie,
											notre système de santé,

											d'éducation, notre développement.
									",Why climate change is a threat to human rights,Mary Robinson,21:47,"climate change,global issues,humanity,inequality,politics"
"
","
",Why climate change is a threat to human rights,Mary Robinson,21:47,"climate change,global issues,humanity,inequality,politics"
"
											No llegué al tema del cambio climático
como científica o abogada ambiental,
											no me impresionaban particularmente
las imágenes de los osos polares
											o de los glaciales que se derretían.
											Llegué por su impacto en la gente
y en sus derechos —
											los derechos a comida, a agua potable,
a salud, a educación y a vivienda.
											Y lo digo con humildad porque llegué tarde
al tema del cambio climático.
											Cuando fui al Alto Comisionado de la ONU 
para los Derechos Humanos
											de 1997 a 2002,
											el cambio climático no ocupaba mi mente.
											No recuerdo haber dado ninguna charla
sobre el cambio climático.
											Sabía que había otra instancia
de la ONU, por ejemplo,
											la Convención sobre Cambio Climático,
											que se ocupaba del asunto
del cambio climático.
											Fue más tarde, cuando empecé a trabajar
en los países africanos
											en temas de desarrollo y derechos humanos.
											Y todo el tiempo escuchaba
esta sentencia taladrante:
											""Oh, pero las cosas están
mucho peor ahora,
											las cosas están mucho peor"".
											Y entonces hice una exploración
de lo que había detrás de eso:
											se trataba de cambios en el clima—
									","
											Ce que je n'ai pas eu à faire
en tant que Présidente,
											c'était d'acheter des terres
sur le continent,
											pour que les Irlandais puissent y aller
car leur île disparaissait sous les eaux.
											Ce à quoi je n'avais pas à penser,
											que ce soit comme dirigeant
ou comme constitutionnaliste,
											c'était les conséquences
pour la souveraineté du territoire
											à cause de l'impact 
du changement climatique.
											Mais c'est ce à quoi le Président Tong,
de la République de Kiribati,
											doit penser tous les matins
en se levant.
											Il a acheté des terres aux îles Fidji
comme police d'assurance,
											pour ce qu'il appelle 
« une migration avec dignité »,
											parce qu'il sait que son peuple
devra peut-être quitter ses îles.
											Lorsque j'ai écouté le Président Tong
décrire cette situation,
											j'ai vraiment senti
qu'il y avait un problème
											auquel aucun dirigeant
ne devrait être confronté.
											Et lorsque je l'ai entendu parler
des douleurs que représentait ce problème,
											j'ai pensé à Eleanor Roosevelt.
											J'ai pensé à elle
et à ceux qui travaillaient avec elle
											à la Commission des Droits de l'Homme,
qu'elle a présidée en 1948,
											à qui nous devons
											la Déclaration Universelle 
des Droits de l'Homme.
											Pour eux, il aurait été inimaginable
											qu'un pays entier
soit rayé de la carte
											à cause d'un changement climatique
induit par l'homme.
									",Why climate change is a threat to human rights,Mary Robinson,21:47,"climate change,global issues,humanity,inequality,politics"
