en,pt,es,fr,title,speaker,duration,tags
"
","
","
","
",Our story of rape and reconciliation,Thordis Elva and Tom Stranger,19:06,"activism,collaboration,communication,sexual violence,humanity,identity,personal growth,social change,society,women,men"
"
											[This talk contains graphic language
and descriptions of sexual violence
											Viewer discretion is advised]
									","
											[Esta palestra contém imagens
e descrições de violência sexual
											[Destina-se a um público avisado]
									","
											[Contenido con lenguaje gráfico
y descripciones de violencia sexual.
											Se recomienda discreción]
									","
											[L'intervention contient des images
et descriptions de violences sexuelles,
											s'adresse à un public averti]
									",Our story of rape and reconciliation,Thordis Elva and Tom Stranger,19:06,"activism,collaboration,communication,sexual violence,humanity,identity,personal growth,social change,society,women,men"
"
","
","
","
",Our story of rape and reconciliation,Thordis Elva and Tom Stranger,19:06,"activism,collaboration,communication,sexual violence,humanity,identity,personal growth,social change,society,women,men"
"
											Tom Stranger: In 1996,
when I was 18 years old,
											I had the golden opportunity to go
on an international exchange program.
											Ironically I'm an Australian
who prefers proper icy cold weather,
											so I was both excited and tearful
when I got on a plane to Iceland,
											after just having farewelled
my parents and brothers goodbye.
											I was welcomed into the home
of a beautiful Icelandic family
											who took me hiking,
											and helped me get a grasp
of the melodic Icelandic language.
											I struggled a bit with the initial
period of homesickness.
											I snowboarded after school,
											and I slept a lot.
											Two hours of chemistry class in a language
that you don't yet fully understand
											can be a pretty good sedative.
									","
											Tom Stranger: Em 1996,
quando eu tinha 18 anos,
											tive a oportunidade de ouro de entrar
num programa internacional de intercâmbio.
											Ironicamente, sou um australiano
que prefere um tempo gélido,
											por isso, estava animado e triste
ao mesmo tempo,
											quando entrei num avião para a Islândia,
											logo depois de ter dito adeus
aos meus pais e irmãos.
											Fui acolhido em casa
de uma linda família islandesa
											que me levou em caminhadas,
											e que me ajudou a compreender
a melódica língua islandesa
											De início, tive problemas
com saudades de casa.
											Fazia ""snowboard"" depois da escola,
											e dormia muito.
											Duas horas de química numa língua
que ainda não compreende totalmente
											pode ser um bom sedativo.
									","
											Tom Stranger: En 1996,
cuando tenía 18 años,
											tuve la oportunidad única de ir
a un programa de intercambio.
											Irónicamente soy un australiano
que prefiere un clima bien frío,
											entonces estaba tan animado
como afligido cuando viajé a Islandia,
											justo después de haberme despedido
de mis padres y mis hermanos.
											Fui recibido en la casa
de una linda familia islandesa
											que me llevó a excursiones,
											y me ayudó a comprender un poco
la melódica lengua islandesa.
											Me costó un poco al comienzo
porque extrañaba mi casa.
											Practicaba snowboard 
después de clases
											y dormía mucho.
											Dos horas de clases de química
en un idioma que no entiendes
											puede ser un buen sedativo.
									","
											Tom Stranger : En 1996,
lorsque que j'avais 18 ans,
											j'ai eu la chance de participer
à un programme d'échange international.
											Je suis un Australien
qui préfère un climat froid et glacial,
											alors j'ai pleuré de joie au moment
de monter à bord de l'avion pour l'Islande
											après avoir fait mes au revoirs
à mes parents et mes frères.
											J'ai été accueilli dans la maison
d'une belle famille islandaise
											qui m'a emmené en randonnée
											et qui m'a aidé à comprendre
la langue mélodique de l'Islande.
											J'ai eu un peu de mal au début
à cause du mal du pays.
											Après l'école, je faisais du snowboard
											et je dormais beaucoup.
											Deux heures de chimie dans une langue
qu'on ne comprend pas totalement
											peut être un très bon calmant.
									",Our story of rape and reconciliation,Thordis Elva and Tom Stranger,19:06,"activism,collaboration,communication,sexual violence,humanity,identity,personal growth,social change,society,women,men"
"
","
","
","
",Our story of rape and reconciliation,Thordis Elva and Tom Stranger,19:06,"activism,collaboration,communication,sexual violence,humanity,identity,personal growth,social change,society,women,men"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Rires)
									",Our story of rape and reconciliation,Thordis Elva and Tom Stranger,19:06,"activism,collaboration,communication,sexual violence,humanity,identity,personal growth,social change,society,women,men"
"
","
","
","
",Our story of rape and reconciliation,Thordis Elva and Tom Stranger,19:06,"activism,collaboration,communication,sexual violence,humanity,identity,personal growth,social change,society,women,men"
"
											My teacher recommended
I try out for the school play,
											just to get me a bit more socially active.
											It turns out I didn't end up
being part of the play,
											but through it I met Thordis.
											We shared a lovely teenage romance,
											and we'd meet at lunchtimes
to just hold hands
											and walk around old downtown Reykjavík.
											I met her welcoming family,
and she met my friends.
											We'd been in a budding relationship
for a bit over a month
											when our school's Christmas Ball was held.
									","
											O meu professor recomendou-me
que tentasse o teatro da escola,
											para me tornar um pouco
mais activo socialmente.
											Acabei por não fazer parte da peça,
											mas através dela conheci Thordis.
											Partilhámos um encantador romance juvenil,
											e encontrávamo-nos à hora do almoço
para andar de mãos dadas
											e passear pelo centro antigo de Reykjavík.
											Conheci a família de acolhimento dela
e ela conheceu os meus amigos.
											Estávamos numa relação crescente
há pouco mais de um mês
											quando se realizou
o Baile de Natal da escola.
									","
											Mi profesora me recomendó
participar en el teatro escolar,
											para que socializara más.
											Resulta que no actué en la pieza teatral,
											pero fue allí que conocí a Thordis.
											Compartimos un bonito romance juvenil,
											nos veíamos en el almuerzo
para tomarnos de las manos
											y caminar por el centro de Reykjavík.
											Conocí su acogedora familia,
y ella conoció a mis amigos.
											Estuvimos en esa relación
poco más de un mes
											hasta el baile escolar de Navidad.
									","
											Mon prof m'a dit de participer
au spectacle de l'école
											pour que je m'implique plus socialement.
											Il s'est avéré que je n'ai pas
participé à la pièce,
											mais j'ai rencontré Thordis par ce biais.
											On a eu un bel amour d’adolescents,
											on se retrouvait le midi
pour se tenir la main
											et se balader dans le centre de Reykjavik.
											J'ai rencontré sa famille
et elle a rencontré mes amis.
											On sortait ensemble
depuis à peu près un mois
											lorsque le bal de Nöel
de notre école a eu lieu.
									",Our story of rape and reconciliation,Thordis Elva and Tom Stranger,19:06,"activism,collaboration,communication,sexual violence,humanity,identity,personal growth,social change,society,women,men"
"
","
","
","
",Our story of rape and reconciliation,Thordis Elva and Tom Stranger,19:06,"activism,collaboration,communication,sexual violence,humanity,identity,personal growth,social change,society,women,men"
"
											Thordis Elva: I was 16
and in love for the first time.
											Going together to the Christmas dance
											was a public confirmation
of our relationship,
											and I felt like the luckiest
girl in the world.
											No longer a child, but a young woman.
											High on my newfound maturity,
											I felt it was only natural to try drinking
rum for the first time that night, too.
											That was a bad idea.
											I became very ill,
											drifting in and out of consciousness
											in between spasms of convulsive vomiting.
											The security guards wanted
to call me an ambulance,
											but Tom acted as my knight
in shining armor,
											and told them he'd take me home.
									","
											Thordis Elva: Eu tinha 16 anos
e estava apaixonada pela primeira vez.
											Irmos juntos ao baile de Natal
											era a oficialização da nossa relação,
											e eu sentia-me a rapariga
mais sortuda do mundo.
											Já não era uma criança,
mas uma jovem adolescente.
											Feliz com a minha maturidade
recém-descoberta,
											decidi que seria natural experimentar rum
pela primeira vez naquela noite.
											Foi uma má ideia.
											Senti-me muito mal,
											com perdas de consciência
											e espasmos de vómitos compulsivos.
											Os seguranças queriam chamar
uma ambulância,
											mas o Tom fez de cavaleiro andante,
											e disse-lhes que me levaria a casa.
									","
											Thordis Elva: Yo tenía 16 años
y fue mi primer amor.
											Ir juntos al baile navideño
											fue una confirmación pública
de nuestra relación,
											y me sentí la niña más dichosa 
del mundo.
											No más una niña sino una joven mujer.
											Ilusionada con mi madurez,
											sentí que era natural intentar beber
un poco de ron aquella noche.
											Fue una mala idea.
											Me enfermé,
											perdiendo a ratos la consciencia
											en medio de espasmos de vómitos.
											Los guardias querían llamar
a una ambulancia,
											pero Tom actuó como mi caballero
de brillante armadura
											y les dijo que me llevaría a casa.
									","
											Thordis Elva : J'avais 16 ans
											et j'étais amoureuse
pour la première fois.
											Aller ensemble au bal de Noël
											était une façon de dévoiler
notre relation au grand public,
											j'avais l'impression d'être
la fille la plus chanceuse du monde.
											Je n'étais plus une petite fille,
mais une jeune femme.
											Du haut de ma nouvelle maturité,
											il me semblait naturel d'essayer aussi
de boire du rhum
											pour la première fois cette nuit-là.
											C'était une très mauvaise idée.
											Je suis tombée malade,
											entre la conscience et l'inconscience,
											les spasmes
et les vomissements convulsifs.
											Les agents de sécurité voulaient
appeler une ambulance,
											mais Tom a été mon chevalier
en armure étincelante,
											et leur a dit qu'il m’emmènerait chez moi.
									",Our story of rape and reconciliation,Thordis Elva and Tom Stranger,19:06,"activism,collaboration,communication,sexual violence,humanity,identity,personal growth,social change,society,women,men"
