en,fr,es,title,speaker,duration,tags
"
","
","
",How can we support the emotional well-being of teachers?,Sydney Jensen,11:31,"education,teaching,student,emotions,psychology,community,communication"
"
											Like many teachers,
											every year on the first day of school,
											I lead a sort of icebreaker activity
with my students.
											I teach at Lincoln High School
in Lincoln, Nebraska,
											and we are one of the oldest
and most diverse high schools
											in our state.
											Also, to our knowledge,
											we're the only high school in the world
whose mascot is the Links.
											Like, a chain.
									","
											Comme beaucoup d'enseignants,
le premier jour de l'année,
											je fais une activité pour briser la glace
avec mes élèves.
											J'enseigne au lycée
de la ville de Lincoln, dans le Nebraska.
											Le lycée est l'un des plus anciens
et des plus divers
											de notre État.
											Et, à notre connaissance,
											nous sommes le seul lycée au monde
dont la mascotte est « les Maillons »,
											comme un maillon de chaîne.
									","
											Como muchos profesores,
											cada año, en el primer día de clase
											organizo una actividad con mis alumnos
para romper el hielo.
											Soy profesora en la Secundaria Lincoln
de Lincoln, en Nebraska,
											una de las escuelas secundarias 
más antiguas y diversas
											de nuestro estado.
											Hasta donde sabemos,
											somos la única secundaria del mundo 
cuya mascota es Eslabones.
											Como una cadena.
									",How can we support the emotional well-being of teachers?,Sydney Jensen,11:31,"education,teaching,student,emotions,psychology,community,communication"
"
","
","
",How can we support the emotional well-being of teachers?,Sydney Jensen,11:31,"education,teaching,student,emotions,psychology,community,communication"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									",How can we support the emotional well-being of teachers?,Sydney Jensen,11:31,"education,teaching,student,emotions,psychology,community,communication"
"
","
","
",How can we support the emotional well-being of teachers?,Sydney Jensen,11:31,"education,teaching,student,emotions,psychology,community,communication"
"
											And with that being our mascot,
											we have a statue out front of our building
											of four links connected like a chain.
											And each link means something.
											Our links stand for tradition,
											excellence, unity and diversity.
									","
											Avec cela comme mascotte,
											devant notre bâtiment,
nous avons une statue
											de quatre maillons reliés
comme une chaîne.
											Chaque maillon a une signification.
											Nos maillons représentent la tradition,
											l'excellence, l'unité et la diversité.
									","
											Como ese es nuestra mascota,
											tenemos una escultura frente al edificio
											de cuatro eslabones formando una cadena.
											Y cada eslabón significa algo.
											Nuestros eslabones significan tradición,
											excelencia, unidad y diversidad.
									",How can we support the emotional well-being of teachers?,Sydney Jensen,11:31,"education,teaching,student,emotions,psychology,community,communication"
"
","
","
",How can we support the emotional well-being of teachers?,Sydney Jensen,11:31,"education,teaching,student,emotions,psychology,community,communication"
"
											So on the first day of school,
											I teach my new ninth-graders
about the meaning behind those links,
											and I give them each a slip of paper.
											On that paper, I ask them
to write something about themselves.
											It can be something that they love,
											something that they hope for —
											anything that describes their identity.
											And then I go around
the room with a stapler,
											and I staple each of those slips together
											to make a chain.
											And we hang that chain up in our classroom
as a decoration, sure,
											but also as a reminder
that we are all connected.
											We are all links.
									","
											Le premier jour de l'année,
											j'explique la signification des maillons
à ma classe de troisième
											et je donne un bout de papier à chacun.
											Sur ce papier, je leur demande d'écrire
un peu sur eux-mêmes.
											Ce qu'ils aiment,
											ce qu'ils désirent,
											quelque chose pour révéler
leur personnalité.
											Ensuite, je fais le tour de la classe
											et j'agrafe ensemble tous les papiers
											pour créer une chaîne.
											On accroche cette chaîne dans la classe,
comme décoration, bien sûr,
											mais aussi pour nous rappeler
que nous sommes tous connectés.
											Nous sommes tous des maillons.
									","
											En el primer día de clase
											explico a mis nuevos estudiantes de noveno
el significado tras esos eslabones
											y reparto un trozo de papel a cada uno.
											Les pido que escriban algo 
sobre sí mismos en ese papel.
											Puede ser algo que les guste,
											algo que desean...
											cualquier cosa que describa su identidad.
											Entonces recorro el aula con una grapadora
											y grapo esos trozos de papel 

											para formar una cadena.
											Y colgamos esa cadena en el aula 
como un adorno, por supuesto,
											pero también como recordatorio
de que todos estamos conectados.
											Todos somos eslabones.
									",How can we support the emotional well-being of teachers?,Sydney Jensen,11:31,"education,teaching,student,emotions,psychology,community,communication"
"
","
","
",How can we support the emotional well-being of teachers?,Sydney Jensen,11:31,"education,teaching,student,emotions,psychology,community,communication"
"
											So what happens when one
of those links feels weak?
											And what happens when that weakness
											is in the person holding the stapler?
											The person who's supposed
to make those connections.
											The teacher.
									","
											Qu'est-ce qu'il arrive quand
un des maillons se sent faible ?
											Qu'est-ce qu'il arrive quand la faiblesse
											est chez la personne avec l'agrafeuse ?
											La personne qui doit créer ces liens.
											L'enseignant.
									","
											¿Qué ocurre cuando 
uno de los eslabones se siente débil?
											¿Qué ocurre cuando esa debilidad
											es la de la persona 
que sostiene la grapadora?
											La persona que se supone 
que debe crear esas conexiones.
											El profesor.
									",How can we support the emotional well-being of teachers?,Sydney Jensen,11:31,"education,teaching,student,emotions,psychology,community,communication"
