en,fr,tr,es,title,speaker,duration,tags
"
","
","
","
",Should we create a solar shade to cool the earth?,Danny Hillis,6:51,"science,technology,future,Anthropocene,curiosity,climate change,social change,society"
"
											[A provocation from Danny Hillis:]
									","
											[Provocation de Danny Hillis :]
									","
											[Danny Hillis'ten bir provokasyon]
									","
											[Una provocación de Danny Hillis:
									",Should we create a solar shade to cool the earth?,Danny Hillis,6:51,"science,technology,future,Anthropocene,curiosity,climate change,social change,society"
"
","
","
","
",Should we create a solar shade to cool the earth?,Danny Hillis,6:51,"science,technology,future,Anthropocene,curiosity,climate change,social change,society"
"
											[It's time to start talking
about engineering our climate]
									","
											[Il est grand temps de débattre
sur l'ingénierie de notre climat]
									","
											[İklime yönelik jeomühendislik
hakkında konuşmanın zamanı]
									","
											Es hora de empezar a hablar
de manipular nuestro clima]
									",Should we create a solar shade to cool the earth?,Danny Hillis,6:51,"science,technology,future,Anthropocene,curiosity,climate change,social change,society"
"
","
","
","
",Should we create a solar shade to cool the earth?,Danny Hillis,6:51,"science,technology,future,Anthropocene,curiosity,climate change,social change,society"
"
											What if there was a way
to build a thermostat
											that allowed you to turn down
the temperature of the earth
											anytime you wanted?
											Now, you would think if somebody
had a plausible idea about how to do that,
											everybody would be very excited about it,
											and there would be lots
of research on how to do it.
											But in fact, a lot of people
do understand how to do that.
											But there's not much support
for research in this area.
											And I think part of it
											is because there are some real
misunderstandings about it.
											So I'm not going to try to convince you
today that this is a good idea.
											But I am going to try to get
your curiosity going about it
											and clear up some
of the misunderstandings.
									","
											Imaginez que nous puissions
concevoir un thermostat
											qui nous permettrait de baisser
la température de notre planète
											quand nous le souhaitons.
											On croirait bien que si quelqu'un a une
idée plausible pour réaliser cet exploit,
											ça susciterait l'enthousiasme
du monde entier
											et que de nombreuses recherches
s'attacheraient à y parvenir.
											En fait, de nombreuses personnes
savent comment faire.
											Hélas, il y a peu de recherche
dans le domaine.
											Je pense qu'une partie de la raison
											se trouve dans les incompréhensions
nourries à ce sujet.
											Mon but aujourd'hui n'est pas de vous
convaincre que c'est une bonne idée.
											Mais j'aimerais éveiller votre curiosité
											et dissiper certains malentendus.
									","
											İstediğiniz zaman 
Dünya sıcaklığını düşürmenize yarayan
											bir termostat icat etmenin bir yolu olsa
											nasıl olurdu?
											Birinin bunu yapmaya dair
bir fikri olsa
											herkes çok heyecanlanırdı
diye düşünüyorsunuz
											ve bunun yapılması için
çok sayıda araştırma olurdu.
											Gerçek şu ki pek çok insan 
zaten bunu nasıl yapacağını biliyor.
											Ancak bu alanda araştırma için
çok fazla destek yok.
											Bunun bir sebebi de
											konu hakkında 
bazı yanlış anlaşılmalar olması.
											O yüzden bugün sizi bunun ne kadar
iyi bir fikir olduğuna ikna etmeyeceğim
											ama merakınızı cezbetmeye çalışıp
											bazı yanlış anlaşılmaları 
ortadan kaldıracağım.
									","
											¿Qué pensarían si se pudiera
construir un termostato
											que nos permitiera bajar
la temperatura de la Tierra
											cuando quisiéramos?
											Esperarían que, si alguien tiene
una idea plausible de cómo hacerlo,
											todos se emocionaran por ello,
											y que hubiera muchas
investigaciones sobre cómo hacerlo.
											De hecho, mucha gente sabe cómo lograrlo,
											pero no hay mucho apoyo
para la investigación en esta área.
											Y creo que en parte
											se debe a que hay
un malentendido al respecto.
											Así que no voy a tratar de convencerles
de que esto es una buena idea.
											Voy a tratar de despertar
su curiosidad al respecto
											y a aclarar algunos de los malentendidos.
									",Should we create a solar shade to cool the earth?,Danny Hillis,6:51,"science,technology,future,Anthropocene,curiosity,climate change,social change,society"
"
","
","
","
",Should we create a solar shade to cool the earth?,Danny Hillis,6:51,"science,technology,future,Anthropocene,curiosity,climate change,social change,society"
"
											So, the basic idea of solar geoengineering
											is that we can cool things down
											just by reflecting
a little bit more sunlight
											back into space.
											And ideas about how to do this
have been around literally for decades.
											Clouds are a great way to do that,
these low-lying clouds.
											Everybody knows it's cooler under a cloud.
											I like this cloud because it has exactly
the same water content
											as the transparent air around it.
											And it just shows that even a little bit
of a change in the flow of the air
											can cause a cloud to form.
											We make artificial clouds all the time.
											These are contrails,
which are artificial water clouds
											that are made by the passing
of a jet engine.
											And so, we're already changing
the clouds on earth.
											By accident.
											Or, if you like to believe it,
by supersecret government conspiracy.
									","
											L'idée fondamentale de la géo-ingénierie
solaire est la suivante :
											pouvons-nous rafraîchir la planète
											en faisant réfléchir
un petit peu de lumière solaire
											vers l'espace ?
											Des idées fourmillent sur comment
réaliser ça depuis des décennies.
											Les nuages sont un très bon moyen,
les petits nuages bas.
											Tout le monde sait qu'il fait
plus frais sous un nuage.
											J'aime bien ce nuage car il possède
exactement la même densité d'eau
											que l'air transparent qui l'entoure.
											Il démontre aussi qu'un petit changement
dans le flux de l'air
											peut causer la formation d'un nuage.
											Nous créons des nuages
artificiels tout le temps :
											les traînées qui sont des nuages
d'eau artificiels
											créées par le passage d'un moteur d'avion.
											Nous sommes déjà en train de changer
les nuages sur Terre.
											Par hasard.
											Si vous préférez, par une conspiration
gouvernementale super secrète.
									","
											Güneş jeomühendisliği genel olarak
											biraz daha fazla güneş ışığını
											uzaya yansıtarak 
Dünya'yı soğutmak
											anlamına geliyor.
											Bunun yapılmasıyla ilgili fikirler
uzun yıllardır zaten var.
											Bu alçak irtifada seyreden bulutlar
buna çok büyük bir örnek.
											Bulutun altında
daha serin olduğunu herkes bilir.
											Bu bulutu sevmemin sebebi
çevresindeki transparan hava ile
											eşdeğerde su tutuyor olması.
											Ayrıca hava akımındaki küçük bir
değişikliğin bile bir bulut oluşmasına
											neden olabileceğini gösteriyor.
											Her zaman yapay bulutlar yaratıyoruz.
											Bunlara kontreyl deniyor,
bir jet uçağın geçmesiyle
											arkasında bıraktığı 
su bazlı yapay bulutlar.
											Yani zaten Dünya'da 
bulutları değiştiriyoruz.
											Kaza eseri.
											Veya inanmak istediğiniz buysa
süper gizli hükûmet komplosu eseri.
									","
											La idea central de la geoingeniería solar
											es que podemos enfriar cosas
											con solo reflejar un poco de luz solar
											de vuelta al espacio.
											Ideas sobre cómo lograr esto
han existido literalmente por décadas.
											Las nubes bajas serían
de gran ayuda para lograrlo.
											Todos saben que se está
más fresco bajo una nube.
											Me gusta esta nube porque tiene
exactamente la misma cantidad de agua
											que el aire transparente a su alrededor.
											Y nos muestra que incluso
un pequeño cambio en el flujo de aire
											puede hacer que se forme una nube.
											Formamos nubes
artificialmente todo el tiempo.
											Estas estelas son nubes
artificiales de agua
											formadas por el paso del motor de un jet.
											Y así, ya estamos creando
nubes en la Tierra,
											por accidente.
											O, si creen en ello, se trata de una
conspiración ultra secreta del gobierno.
									",Should we create a solar shade to cool the earth?,Danny Hillis,6:51,"science,technology,future,Anthropocene,curiosity,climate change,social change,society"
"
","
","
","
",Should we create a solar shade to cool the earth?,Danny Hillis,6:51,"science,technology,future,Anthropocene,curiosity,climate change,social change,society"
"
											(Laughter)
									","
											(Rires)
									","
											(Kahkahalar)
									","
											(Risas)
									",Should we create a solar shade to cool the earth?,Danny Hillis,6:51,"science,technology,future,Anthropocene,curiosity,climate change,social change,society"
