en,tr,pt,fr,de,title,speaker,duration,tags
"
","
","
","
","
",How to stay calm under pressure,Noa Kageyama and Pen-Pen Chen,4:03,"health,animation,TED-Ed,education,psychology,mental health"
"
											Your favorite athlete 
closes in for a victorious win.
											The crowd holds its breath,
											and, at the crucial moment,
she misses the shot.
									","
											En sevdiğiniz sporcu zafere çok yakın.
											Tüm seyirciler nefesini tutmuş izliyor
											ve tam o en önemli anda
sporcu atışı ıskalıyor.
									","
											A nossa atleta favorita
aproxima-se duma vitória triunfante.
											A multidão retém a respiração
											e, no momento crucial,
ela falha o buraco.
									","
											Votre athlète favorite est à deux doigts
d'une glorieuse victoire
											La foule retient son souffle
											et, au moment crucial, elle rate son coup.
									","
											[""Druck ist ein Privileg.""
- Billie Jean King]
											Deine Lieblingsathletin 
setzt zum Endspurt an.
											Die Menge hält den Atem an.
											Aber im entscheidenden Moment
verfehlt sie den Schlag.
									",How to stay calm under pressure,Noa Kageyama and Pen-Pen Chen,4:03,"health,animation,TED-Ed,education,psychology,mental health"
"
","
","
","
","
",How to stay calm under pressure,Noa Kageyama and Pen-Pen Chen,4:03,"health,animation,TED-Ed,education,psychology,mental health"
"
											That competitor just experienced 
the phenomenon known as ""choking,""
											where despite months, 
even years, of practice,
											a person fails right when it matters most.
											Choking is common in sports,
											where performance often occurs 
under intense pressure
											and depends on key moments.
											And yet, performance anxiety 
also haunts public speakers,
											contestants in spelling bees,
											and even world-famous musicians.
											Most people intuitively
blame it on their nerves,
											but why does being nervous 
undermine expert performance?
									","
											Yarışmacı aslında
''choking'' fenomenini tecrübe etti,
											aylar ve hatta yıllar süren pratiğe rağmen
											kişinin en önemli anda 
başarısızlığa uğraması.
											Choking sporda oldukça yaygın,
											çünkü performans genellikle
yoğun bir baskı altında gerçekleşiyor
											ve önemli anlara bağlı oluyor.
											Yine de performans gerginliği
kitle konuşmacılarını,
											heceleme yarışmacılarını
											ve hatta dünyaca ünlü
müzisyenleri bile etkiliyor.
											İnsanların çoğu içgüdüsel olarak
bunu sinirlerine bağlar
											ama gergin olmak neden
uzman performansı etkiliyor?
									","
											Esta atleta acabou de experimentar
um fenómeno de ""bloqueio"",
											em que, apesar de meses
ou anos, de prática,
											uma pessoa falha exatamente
no momento mais importante.
											O bloqueio é vulgar no desporto
											em que o desempenho ocorre
frequentemente sob grande pressão
											e depende de momentos cruciais.
											Mas a ansiedade do desempenho
também afeta os oradores em público,
											os participantes
em concursos de ortografia
											e até os músicos
de fama mundial.
											Intuitivamente, atiramos as culpas
para os nervos,
											mas porque é que o nervosismo
prejudica o desempenho de um especialista?
									","
											Cette compétitrice vient de vivre
le phénomène de l'""échec sous pression""
											quand malgré des mois,
voire des années, d'entraînement,
											une personne échoue 
au moment le plus décisif.
											L'échec est courant dans le sport,
											où les performances se déroulent
souvent sous une intense pression
											et reposent sur des moments-clés.
											Pourtant, l'anxiété liée à la performance
affecte aussi les conférenciers,
											les participants
aux concours d'orthographe,
											et même les musiciens 
de renommée mondiale.
											La plupart des gens tiennent
le stress pour responsable,
											mais pourquoi affecte-t-il
la performance des experts ?
									","
											Diese Wettkämpferin erlebte
soeben das Phänomen ""Versagen"",
											also wenn eine Person trotz Monaten,
sogar Jahren des Trainings,
											genau dann scheitert, 
wenn es am wichtigsten ist.
											Versagen ist im Sport nicht unüblich,
											wo die Darbietung oft 
unter immensem Druck stattfindet
											und von Schlüsselmomenten abhängt.
											Dennoch sucht die Leistungsangst
auch öffentliche Redner heim,
											Kandidaten in Buchstabierwettbewerben
											und sogar weltberühmte Musiker.
											Die meisten Menschen geben intuitiv
ihren Nerven die Schuld daran,
											aber warum untergräbt die Nervosität 
tatsächlich die fachliche Leistung?
									",How to stay calm under pressure,Noa Kageyama and Pen-Pen Chen,4:03,"health,animation,TED-Ed,education,psychology,mental health"
"
","
","
","
","
",How to stay calm under pressure,Noa Kageyama and Pen-Pen Chen,4:03,"health,animation,TED-Ed,education,psychology,mental health"
"
											There are two sets of theories,
											which both say that primarily, choking 
under pressure boils down to focus.
									","
											Buna ilişkin iki teori var,
											ikisi de baskı altında choking sorununun
odakla ilgili olduğunu savunuyor.
									","
											Há dois conjuntos de teorias
											mas ambas dizem que
o bloqueio sob pressão
											resume-se, sobretudo, à concentração.
									","
											Il y a deux théories,
											qui disent que, principalement, l'échec
sous pression est lié à la concentration.
									","
											Es gibt zwei Gruppen von Theorien,
											nach denen Versagen vor allem 
auf die Konzentration hinausläuft.
									",How to stay calm under pressure,Noa Kageyama and Pen-Pen Chen,4:03,"health,animation,TED-Ed,education,psychology,mental health"
"
","
","
","
","
",How to stay calm under pressure,Noa Kageyama and Pen-Pen Chen,4:03,"health,animation,TED-Ed,education,psychology,mental health"
"
											First, there are the distraction theories.
											These suggest that performance suffers 
when the mind is preoccupied
											with worries, doubts, or fears,
											instead of focusing its attention
on performing the task at hand.
											When relevant and irrelevant thoughts 
compete for the same attention,
											something has to give.
											The brain can only process 
so much information at once.
									","
											Öncelikle dikkatin dağılma teorileri var.
											Bu teorilere zihniniz endişe,
şüphe ve korkuyla meşgulken
											dikkatini mevcut işe odaklaması gerekirken
											kişinin performansı düşecektir.
											İlgili ve ilgisiz düşünceler
aynı dikkat için rekabete girince de
											işler yolunda gitmez.
											Beynin aynı anda
odaklanabileceği şeyler sınırlı.
									","
											Primeiro, temos as teorias da distração.
											Estas sugerem
											que o desempenho se ressente
quando o espírito está preocupado
											com problemas, dúvidas ou receios,
											em vez de concentrar a atenção
no desempenho da tarefa em causa.
											Quando pensamentos relevantes
ou irrelevantes exigem a mesma atenção,
											alguma coisa tem que ceder.
											O cérebro só pode processar
tantas informações uma de cada vez.
									","
											Premièrement,
il y a les théories de distraction.
											Elles suggèrent que la performance 
se dégrade quand l'esprit est préoccupé
											par des soucis, des doutes ou des peurs
											au lieu de se concentrer 
sur la tâche à accomplir.
											Quand des pensées différentes
se disputent la même attention,
											il y a un lâcher-prise.
											Le cerveau ne peut traiter qu'un certain 
nombre d'informations à la fois.
									","
											Zuerst, Ablenkungstheorien.
											Die Darbietung leidet,
wenn der Kopf zu beschäftigt ist,
											mit Sorgen, Zweifel oder Ängsten,
											statt seine Aufmerksamkeit 
auf die Ausführung
											der jeweiligen Aufgabe zu lenken.
											Wenn wichtige und unwichtige Gedanken 
um die gleiche Aufmerksamkeit ringen,
											muss etwas passieren.
											Das Gehirn kann nur eine bestimmte Anzahl
von Informationen auf einmal verarbeiten.
									",How to stay calm under pressure,Noa Kageyama and Pen-Pen Chen,4:03,"health,animation,TED-Ed,education,psychology,mental health"
"
","
","
","
","
",How to stay calm under pressure,Noa Kageyama and Pen-Pen Chen,4:03,"health,animation,TED-Ed,education,psychology,mental health"
"
											Tasks that challenge working memory,
											the mental “scratch pad” we use
											to temporarily store phone numbers 
and grocery lists,
											are especially vulnerable to pressure.
											In a 2004 study, 
a group of university students
											were asked to perform math problems,
											some easy, others more complex 
and memory-intensive.
											Half the students completed both problem
types with nothing at stake,
											while the others completed them 
when calm and under pressure.
											While everyone did well 
on the easy problems,
											those who were stressed 
performed worse
											on the more difficult, 
memory-intensive tasks.
									","
											İşler hafızayı zorlayan görevler,
											telefon numaraları ve alışveriş listesini
aklımızda tutarken kullandığımız
											zihinsel ''not defteri''
											baskıya karşı hassas olur.
											2004 yılında yapılan bir çalışmada
üniversite öğrencilerinden
											matematik soruları cevaplamaları istendi,
											bazılar kolay, bazıları karmaşık
ve hafızaya yönelik sorulardı.
											Öğrencilerin yarısı iki soru tipini de
hiçbir baskı unsuru olmadan cevaplarken
											diğerleri baskı altında 
ve sakin bir şekilde yanıtladı.
											Kolay soruları herkes doğru cevaplarken
											zor ve hafızaya yönelik soruları
											stresli grup yanlışlarla tamamladı.
									","
											As tarefas que desafiam a memória,
											o ""bloco-notas"" mental que usamos
											para guardar temporariamente
números de telefones e listas de compras,
											são especialmente vulneráveis à pressão.
											Num estudo de 2004, pediu-se
a um grupo de estudantes universitários
											que resolvessem problemas de matemática,
											uns deles fáceis, outros mais complexos
e exigentes em memória.
											Metade dos estudantes completaram
os dois tipos de problemas sem dificuldade,
											enquanto os outros os completaram
em ambas as situações:
											com calma e sob pressão.
											Embora todos tenham resolvido bem
os problemas fáceis,
											os que estavam nervosos
tiveram pior desempenho
											nos problemas mais difíceis,
exigentes em memória.
									","
											Les tâches qui défient
la mémoire de travail,
											notre ""bloc-notes"" mental,
											de stocker temporairement
les numéros et listes de courses,
											sont particulièrement vulnérables
face à la pression.
											Dans une étude de 2004, on a demandé
à un groupe d'universitaires
											d'effectuer des problèmes de maths,
											certains simples, d'autres
nécessitant plus de mémoire.
											La moitié des étudiants a complété
les deux types de problèmes sans enjeu,
											alors que les autres les ont complétés
en étant calmes et sous pression.
											Bien qu'ils aient tous résolu
les problèmes simples,
											Ceux qui étaient stressés
ont été moins bons
											dans les tâches qui exigent
une mémoire plus intense.
									","
											Anspruchsvolle Aufgaben
für das Arbeitsgedächtnis,
											der geistige ""Notizblock"",
den wir verwenden,
											um uns kurzzeitig Telefonnummern
und Einkaufslisten zu merken,
											setzen das Gehirn besonders unter Druck.
											In einer Studie von 2004 wurde
eine Gruppe von Studenten gebeten,
											Matheaufgaben zu lösen,
											manche leicht, manche schwieriger
und speicherungsintensiver.
											Die Hälfte der Studenten führte
beide Aufgaben ohne Probleme aus,
											während die anderen diese 
unter Ruhe und Druck bewältigten.
											Während allen die einfachen
Fragestellungen leicht fielen,
											taten sich diejenigen, 
die unter Stress standen,
											bei den schwereren Aufgaben schwerer.
									",How to stay calm under pressure,Noa Kageyama and Pen-Pen Chen,4:03,"health,animation,TED-Ed,education,psychology,mental health"
