en,pt,es,de,title,speaker,duration,tags
"
","
","
","
",A climate change solution that's right under our feet,Asmeret Asefaw Berhe,13:42,"global issues,humanity,weather,climate change,farming,agriculture,future,big problems,science,innovation,sustainability"
"
											So one of the most important solutions
											to the global challenge
posed by climate change
											lies right under our foot every day.
											It's soil.
											Soil's just the thin veil
that covers the surface of land,
											but it has the power to shape
our planet's destiny.
											See, a six-foot or so of soil,
											loose soil material
that covers the earth's surface,
											represents the difference between life
and lifelessness in the earth system,
											and it can also help us
combat climate change
											if we can only stop treating it like dirt.
									","
											Uma das soluções mais importantes
											para a problemática mundial
das alterações climáticas
											está mesmo debaixo dos nossos pés,
todos os dias.
											Refiro-me ao solo.
											O solo é apenas o fino véu
que cobre a superfície da terra,
											contudo possui o potencial
para determinar o destino do planeta.
											Cerca de dois metros de solo,
											o tipo de solo solto
que cobre a superfície da terra,
											representa a diferença entre a vida
e a ausência de vida no sistema Terra,
											e pode ser uma preciosa ajuda
no combate à alteração climática,
											se pararmos de deitar por terra
o seu potencial.
									","
											Una de las soluciones más importantes
											al desafío global que supone
el cambio climático
											descansa cada día bajo nuestros pies.
											Es el suelo.
											El suelo es solo un fino velo
que cubre la superficie de la tierra,
											pero tiene el poder de moldear
el destino de nuestro planeta.
											Verán, unos dos metros de suelo,
											de material de suelo suelto
que cubren la superficie de la Tierra,
											representan la diferencia entre la vida
y falta de vida en el sistema terrestre,
											y también puede ayudarnos
a combatir el cambio climático
											si podemos dejar de tratarla
como algo sucio.
									","
											Einer der wichtigsten Lösungsansätze
											für die globale Herausforderung
des Klimawandels
											liegt direkt unter unseren Füßen:
											der Erdboden.
											Er ist nur eine dünne Schicht,
die die Erdoberfläche bedeckt.
											Aber er hat das Potenzial,
das Schicksal der Erde zu verändern.
											Das lose Bodenmaterial ist ca. 1,80 m tief
											und bedeckt die gesamte Erdoberfläche.
											Es bildet die Grenze zwischen Leben
und Leblosigkeit auf der Erde.
											Außerdem kann der Boden uns
im Kampf gegen den Klimawandel helfen —
											wenn wir nur aufhören würden,
ihn wie Dreck zu behandeln.
									",A climate change solution that's right under our feet,Asmeret Asefaw Berhe,13:42,"global issues,humanity,weather,climate change,farming,agriculture,future,big problems,science,innovation,sustainability"
"
","
","
","
",A climate change solution that's right under our feet,Asmeret Asefaw Berhe,13:42,"global issues,humanity,weather,climate change,farming,agriculture,future,big problems,science,innovation,sustainability"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Lachen)
									",A climate change solution that's right under our feet,Asmeret Asefaw Berhe,13:42,"global issues,humanity,weather,climate change,farming,agriculture,future,big problems,science,innovation,sustainability"
"
","
","
","
",A climate change solution that's right under our feet,Asmeret Asefaw Berhe,13:42,"global issues,humanity,weather,climate change,farming,agriculture,future,big problems,science,innovation,sustainability"
"
											Climate change is happening,
											the earth's atmosphere is warming,
											because of the increasing amount
of greenhouse gases
											we keep releasing into the atmosphere.
											You all know that.
											But what I assume you might not have heard
											is that one of the most important things
our human society could do
											to address climate change
											lies right there in the soil.
									","
											A alteração climática é uma realidade,
											a atmosfera da Terra está a aquecer,
											devido ao aumento 
de gases de efeito de estufa
											que continuamos a libertar
para a atmosfera.
											Estamos todos a par disto.
											Porém, assumo que ainda não estejam a par
											de que uma das soluções mais importantes
que a sociedade pode vir a implementar
											como resposta à alteração climática
											está ali mesmo no solo.
									","
											El cambio climático está sucediendo,
											la atmósfera de la Tierra
se está calentando,
											por el incremento de la cantidad
de gases efecto invernadero
											que seguimos soltando a la atmósfera.
											Todos saben eso.
											Pero lo que supongo que
quizás no hayan escuchado
											es que una de las cosas más importantes
que puede hacer la sociedad humana
											para abordar el cambio climático
											reside en el suelo.
									","
											Das Klima ändert sich
											und die Erdatmosphäre erwärmt sich,
											weil wir immer mehr Treibhausgase
in die Atmosphäre freisetzen.
											Das wissen Sie alle.
											Aber was Sie vermutlich
noch nicht gehört haben:
											Einer der wichtigsten Lösungsansätze
zur Bekämpfung des Klimawandels
											liegt direkt im Erdboden.
									",A climate change solution that's right under our feet,Asmeret Asefaw Berhe,13:42,"global issues,humanity,weather,climate change,farming,agriculture,future,big problems,science,innovation,sustainability"
"
","
","
","
",A climate change solution that's right under our feet,Asmeret Asefaw Berhe,13:42,"global issues,humanity,weather,climate change,farming,agriculture,future,big problems,science,innovation,sustainability"
"
											I'm a soil scientist who has been
studying soil since I was 18,
											because I'm interested in unlocking
the secrets of soil
											and helping people understand this
really important climate change solution.
									","
											Sou uma cientista que estuda o solo,
e já o faço desde os 18 anos,
											porque sempre gostei de desvendar
os segredos do solo
											e de ajudar as pessoas
a compreender o seu potencial
											para a solução da alteração climática.
									","
											Soy una científica del suelo que
lo ha estado estudiando desde los 18 años,
											porque estoy interesada en desvelar
los secretos del suelo
											y ayudar a la gente a entender que es
una solución muy importante para
											el cambio climático.
									","
											Ich bin Bodenkundlerin
und erforsche den Erdboden,
											seit ich 18 bin.
											Ich möchte die Geheimnisse 
des Bodens entschlüsseln
											und den Menschen diesen wichtigen Ansatz
gegen den Klimawandel erklären.
									",A climate change solution that's right under our feet,Asmeret Asefaw Berhe,13:42,"global issues,humanity,weather,climate change,farming,agriculture,future,big problems,science,innovation,sustainability"
"
","
","
","
",A climate change solution that's right under our feet,Asmeret Asefaw Berhe,13:42,"global issues,humanity,weather,climate change,farming,agriculture,future,big problems,science,innovation,sustainability"
"
											So here are the facts about climate.
											The concentration of carbon dioxide
in the earth's atmosphere
											has increased by 40 percent
											just in the last 150 years or so.
											Human actions are now releasing
9.4 billion metric tons of carbon
											into the atmosphere,
											from activities
such as burning fossil fuels
											and intensive agricultural practices,
											and other ways we change
the way we use land,
											including deforestation.
											But the concentration of carbon dioxide
that stays in the atmosphere
											is only increasing by about half of that,
											and that's because half of the carbon
we keep releasing into the atmosphere
											is currently being taken up
by land and the seas
											through a process we know
as carbon sequestration.
											So in essence, whatever consequence
you think we're facing
											from climate change right now,
											we're only experiencing the consequence
of 50 percent of our pollution,
											because the natural ecosystems
are bailing us out.
									","
											Eis os factos sobre o clima.
											A concentração de dióxido de carbono
na atmosfera terrestre
											aumentou cerca de 40%,
											somente nos últimos 150 anos,
aproximadamente.
											A atividade humana liberta 9400 milhões
de toneladas métricas de carbono
											para a atmosfera,
											fruto de práticas humanas,
como a combustão de combustíveis fósseis,
											a exploração agrícola intensiva,
											e outras práticas
de exploração de terrenos,
											incluindo a desflorestação.
											Mas a concentração de dióxido de carbono
que permanece na atmosfera
											tem vindo a aumentar
apenas metade desse valor,
											e isto porque metade do carbono
que libertamos para a atmosfera
											vai sendo absorvido
pela terra e pelos oceanos
											através de um processo
denominado retenção de carbono.
											Em suma, as consequências
que estamos a sentir atualmente
											devido à alteração climática
											correspondem apenas a 50%
da poluição que causamos,
											devido às boas graças
dos ecossistemas naturais.
									","
											Así que aquí van algunos
datos sobre el clima.
											La concentración de dióxido 
de carbono en la atmósfera de la Tierra
											se ha incrementado un 40 %
											solo en los últimos 150 años,
más o menos.
											Las acciones humanas liberan 9400 millones
de toneladas métricas de carbono
											a la atmósfera
											desde actividades como
quemar combustibles fósiles
											y prácticas de agricultura intensiva,
											y otras formas en que cambiamos
la manera de usar la tierra,
											incluyendo la desforestación.
											Pero la concentración de dióxido
de carbono que permanece en la atmósfera
											solo aumenta aproximadamente
la mitad de eso
											y es porque la mitad del carbono
que liberamos en la atmósfera
											está siendo absorbido
por la tierra y los mares
											a través de un proceso que conocemos
como secuestro de carbono.
											Así que, en esencia, las consecuencias
que creen que sufrimos
											por el cambio climático en este momento,
											solo experimentamos las consecuencias
del 50 % de nuestra polución,
											porque los ecosistemas naturales
nos están rescatando.
									","
											Hier sind ein paar Fakten zum Klima:
											Die Konzentration von Kohlenstoffdioxid
in der Erdatmosphäre
											hat in den letzten 150 Jahren
um 40 % zugenommen.
											Zurzeit werden durch den Menschen
jährlich 9,4 Milliarden Tonnen Kohlenstoff
											in die Atmosphäre freigesetzt.
											Dies geschieht etwa
durch Verbrennen fossiler Treibstoffe,
											intensive Landwirtschaft
											und andere Entwicklungen
in unserer Landnutzung,
											einschließlich Entwaldung.
											Aber die Konzentration des Kohlendioxid,
das in der Atmosphäre bleibt,
											steigt nur halb so stark an.
											Die Hälfte des freigesetzten Kohlenstoffs
											wird nämlich im Moment von der Erde
und dem Meer aufgenommen.
											Dieser Vorgang heißt Kohlenstoffbindung.
											Die aktuellen Auswirkungen
des Klimawandels
											entsprechen also nur der Hälfte
											der durch den Menschen
verursachten Verschmutzung.
											Die natürlichen Ökosysteme
stärken uns hier enorm den Rücken.
									",A climate change solution that's right under our feet,Asmeret Asefaw Berhe,13:42,"global issues,humanity,weather,climate change,farming,agriculture,future,big problems,science,innovation,sustainability"
