fr,en,tr,de,es,title,speaker,duration,tags
"
","
","
","
","
",Wiring an interactive ocean,John Delaney,20:50,"mission blue,oceans,poetry,science,technology,global commons"
"
											Tout d'abord, ce que je dois faire
											c'est projeter une image sur l'écran de votre imagination.
											Nous sommes au 17ème siècle, au Japon,
											sur la côte ouest,
											et un petit moine tout ratatiné
											marche d'un pas pressé, vers minuit,
											vers le sommet d'une petite colline.
											Il arrive sur la colline
											tout en sueur.
											Il se tient là,
											et son regard embrasse l'île de Sado.
											Et il observe l'étendue de l'océan, et il regarde le ciel.
											Et puis il se murmure à lui-même, très doucement
											""Mer houleuse,
											Et là-bas, vers l’île de Sado
											La Voie Lactée.""
											Basho était quelqu'un de brillant.
											Il a plus exprimé en moins de mots
											que n'importe qui
											que j'aie jamais lu, ou avec qui j'aie parlé.
											Basho, en 17 syllabes,
											a juxtaposé
											un océan houleux
											agité par une tempête maintenant enfuie,
											et a capturé la quasi
											impossible beauté
											de notre galaxie natale,
											avec ses millions d'étoiles,
											ses centaines et centaines — qui sait combien — de planètes,
											peut-être même un océan,
											que probablement nous appellerons Sylvia le moment venu.
											Alors qu'il approchait de sa mort,
											ses disciples et ses dévots
											lui demandaient encore
											""Quel est le secret ?
											Comment pouvez-vous
											composer de si beaux poèmes haïku avec autant de facilité ?""
											Et, vers la fin, il dit :
											""Pour connaître le pin,
											va à la rencontre du pin.""
											C'était ça.
									","
											For a moment, what I need to do
											is project something on the screen of your imagination.
											We're in 17th century Japan
											on the west coast,
											and a little, wizened monk
											is hurrying along, near midnight,
											to the crest of a small hill.
											He arrives on the small hill,
											dripping with water.
											He stands there,
											and he looks across at the island, Sado.
											And he scans across the ocean, and he looks at the sky.
											Then he says to himself, very quietly,
											""[Turbulent the sea,]
											[Stretching across to Sado]
											[The Milky Way].""
											Basho was a brilliant man.
											He said more with less
											than any human
											that I have ever read or talked to.
											Basho, in 17 syllables,
											juxtaposed
											a turbulent ocean
											driven by a storm now past,
											and captured the almost
											impossible beauty
											of our home galaxy
											with millions of stars,
											probably hundreds and hundreds of — who knows how many — planets,
											maybe even an ocean
											that we will probably call Sylvia in time.
											As he was nearing his death,
											his disciples and followers
											kept asking him,
											""What's the secret?
											How can you
											make haiku poems so beautiful so easily?""
											And toward the end, he said,
											""If you would know the pine tree,
											go to the pine tree.""
											That was it.
									","
											Bir dakika için, yapmam gereken şey
											hayal dünyanızın perdesine birşey yansıtmak.
											17. yüzyılın Japonya'sındayız
											batı sahilinde
											ve bilgeliğe ulaşmış küçük bir keşiş
											gece yarısına doğru aceleyle
											küçük bir tepenin sırtına doğru ilerlemekte.
											Küçük tepeye
											kan-ter içinde varır.
											Orada dikilir,
											ve Sado Adası'na doğru boylu boyunca bakar.
											Okyanusu uzunlamasına tarar ve gökyüzüne bakar.
											Ardından kendi kendine sessizce der ki,
											""[Çalkantılı deniz,]
											[Sado karşısında uzanıyor]
											[Samanyolu]""
											Basho dahi bir adamdı.
											O bir çok şeyi
											daha evvel okuduğum veya konuştuğum insanlara nazaran
											daha kısa şekilde söylerdi.
											Basho, 17 hecede
											bir arada
											etkisi yeni geçmiş olan
											fırtınadan çalkalanan bir okyanus,
											ve kendi galaksimizin
											akıl almayan güzelliğini
											birlikte yakalamıştı,
											beraberinde milyonlarca yıldız,
											belki yüzlerce ve yüzlerce —kim bilir kaç tane— gezegen,
											ve belki de zaman içinde Sylvia
											ismi ile alınan bir okyanusla beraber.
											Ölümüne yaklaşırken
											onun müritleri ve takipçileri
											ona hep şu soruyu sordular,
											""İşin sırrı nedir?
											Sen nasıl
											haiku şiirlerini nasıl bu kadar güzel ve bu kadar kolay üretebiliyorsun?""
											Ve ölmeden önce, dedi ki,
											""Eğer çam ağacını bilmek istiyorsanız,
											çam ağacına gidin.""
											Sadece bunu söyledi.
									","
											Was ich jetzt machen muss,
											ist, etwas auf den Schirm Ihrer Vorstellung zu projizieren.
											Wir sind im Japan des 17. Jahrhunderts,
											an der Westküste,
											und ein kleiner, runzliger Mönch
											beeilt sich, gegen Mitternacht zur
											Kuppe eines Hügels zu gelangen.
											Er kommt auf dem Hügel an,
											wassertriefend.
											Er steht dort
											und er blickt über die Insel Sado.
											Und er schaut prüfend über das Meer und er betrachtet den Himmel.
											Dann sagt er zu sich selbst, sehr leise,
											""Tosende See.
											zur Insel Sado hinüber
											reicht nur die Milchstraße.""
											Basho war ein genialer Mensch.
											Er drückte mehr mit weniger aus
											als jeder andere Mensch,
											den ich je gelesen oder gesprochen habe.
											Mit 17 Silben
											stellte Basho
											einen stürmischen Ozean,
											aufgewühlt vom vergangenen Sturm,
											unserer Heimatgalaxie gegenüber
											und fing dabei
											ihre unmögliche Schönheit ein,
											aus Millionen von Sternen,
											wahrscheinlich Aberhunderten - wer weiß, wie vielen - Planeten,
											vielleicht sogar ein Ozean,
											den wir einst vielleicht Sylvia nennen werden.
											Als er dem Tod nahekam,
											fragten ihn seine Schüler und Anhänger
											immer wieder:
											""Was ist das Geheimnis?
											Wie kannst du
											Haiku Gedichte so einfach so schön machen?""
											Und, dem Ende nahe, sagte er
											""Wenn ihr von der Kiefer wissen wollt,
											geht zur Kiefer.""
											Das war's.
									","
											Quisiera por un momento
											proyectar algo en la pantalla de su imaginación.
											Es el s.XVII, estamos en Japón
											en la costa oeste,
											en donde un monje pequeño y arrugado
											se apronta a medianoche
											hacia la cima de una colina.
											Alcanza finalmente la cima
											chorreando agua.
											Se queda inmóvil
											y mira hacia la isla Sado.
											Estudia el océano todo, dirige la vista al cielo
											y se dice en un murmullo:
											-[Mar agitado]
											[Extiende hasta Sado]
											[La Vía Láctea]-
											Basho era un hombre brillante.
											Capaz de decir más con menos
											como ningún otro ser humano
											del que yo haya sabido.
											Basho, en 17 sílabas
											yuxtapuso
											un océano turbulento
											sacudido por una tormenta pasada,
											y capturó
											la casi imposible belleza
											de nuestra galaxia
											con millones de estrellas,
											y probablemente cientos de planetas,
											tal vez incluso un océano
											al que quizá llamaremos Sylvia.
											Hacia el final de su vida
											sus discípulos y seguidores
											no dejaban de preguntarle:
											-¿Cuál es el secreto?
											¿Cómo puedes crear tan rápidamente
											poemas haiku tan bellos?-
											Y hacia su fin, el dijo:
											-Si pudieras conocer el pino,
											ve hacia él.-
											Nada más.
									",Wiring an interactive ocean,John Delaney,20:50,"mission blue,oceans,poetry,science,technology,global commons"
"
","
","
","
","
",Wiring an interactive ocean,John Delaney,20:50,"mission blue,oceans,poetry,science,technology,global commons"
"
											(Rires)
									","
											(Laughter)
									","
											(Kahkahalar)
									","
											(Gelächter)
									","
											(Risas)
									",Wiring an interactive ocean,John Delaney,20:50,"mission blue,oceans,poetry,science,technology,global commons"
"
","
","
","
","
",Wiring an interactive ocean,John Delaney,20:50,"mission blue,oceans,poetry,science,technology,global commons"
"
											Sylvia a dit que nous devions mettre à contribution
											tout notre potentiel
											pour apprendre à connaître les océans.
											Pour connaître les océans,
											nous devons aller à la rencontre des océans.
											Et ce dont je voudrais vous parler un peu aujourd'hui,
											c'est de transformer véritablement
											la relation, ou l'interaction,
											entre humains et océans,
											avec une nouvelle capacité
											qui jusqu'ici n'est pas encore du tout habituelle.
											J'espère qu'elle le deviendra.
											Voici quelques points clé.
											L'un d'eux est que les océans sont au cœur
											de la qualité de la vie sur terre.
											Un autre est qu'il existe des moyens audacieux et nouveaux
											d’étudier les océans
											que nous n'avons pas encore correctement exploités.
											Et le dernier point est que ces moyens audacieux et nouveaux
											que nous explorons
											en tant que communauté
											vont transformer la façon dont nous regardons notre planète, nos océans,
											et finalement, probablement la façon dont nous gérons
											la planète toute entière, pour ce que ça vaut.
											Donc, ce que font les scientifiques, pour démarrer,
											c'est de commencer par le système.
											Ils définissent ce qu'est le système.
											Le système, ce n'est pas la baie de Chesapeake.
											Ce n'est pas le ""Caro Arc"". Ce n'est même pas le Pacifique tout entier.
											Il s'agit de toute la planète,
											la planète toute entière, continents et océans compris.
											Voilà le système.
									","
											Sylvia has said we must use
											every capacity we have
											in order to know the oceans.
											If we would know the oceans,
											we must go to the oceans.
											And what I'd like to talk to you today about, a little bit,
											is really transforming
											the relationship, or the interplay,
											between humans and oceans
											with a new capability
											that is not at all routine yet.
											I hope it will be.
											There are a few key points.
											One of them is the oceans are central
											to the quality of life on earth.
											Another is that there are bold, new ways
											of studying oceans
											that we have not used well yet.
											And the last is that these bold, new ways
											that we are exploring
											as a community
											will transform the way we look at our planet, our oceans,
											and eventually how we manage
											probably the entire planet, for what it's worth.
											So what scientists do when they begin
											is to start with the system.
											They define what the system is.
											The system isn't Chesapeake Bay.
											It's not the Kuril arc. It's not even the entire Pacific.
											It's the whole planet,
											the entire planet, continents and oceans together.
											That's the system.
									","
											Sylvia der ki;
											tüm kapasitemizi kullanarak
											okyanusları öğrenmeye çalışmalıyız.
											Eğer okyanusları tanımak istersek
											okyanuslara gitmek zorundayız.
											Ve bugün sizlerle biraz olsun anlatmak istediğim şey
											gerçek manasıyla
											insanlar ve okyanuslar arasındaki
											bağlantıyı veya etkileşimi
											henüz alışılmamış yeni bir özelliği ile
											sizlere aktarmak.
											Umarım bunu başarabilirim.
											Bir kaç anahtar nokta var.
											Bunlardan birisi, okyanuslar
											dünyadaki yaşam kalitesinin merkezidir.
											İkincisi ise, okyanus araştırmalarında hala
											çok iyi kullanmadığımız cesur
											ve yeni araştırma yöntemleri olduğu.
											Ve sonuncusu da, toplum olarak
											araştırmakta olduğumuz
											bu secur ve yeni yöntemler
											er ya da geç gezegenimize, okyanuslarımıza bakış açımızı
											ve sonuçta da muhtemelen tüm gezegenimizi
											ne şekilde kullandığımızı değiştirecek.
											Devam edersek, bilim adamlarının en başta yaptığı
											sistemden başlamak.
											Sistemin ne olduğunu tanımlarlar.
											Buradaki sistem Chesapeake Koyu değil.
											Caro Arc da değil. Hatta tüm Pasifik bile değil.
											Bu bütün gezegen,
											tüm gezegen, kıtaların ve okyonusların tamamı.
											Sistem bu
									","
											Sylvia hat gesagt, dass wir all unser
											Vermögen daransetzen müssen,
											die Ozeane zu verstehen.
											Wenn wir Ozeane verstehen wollen,
											müssen wir zu den Ozeanen gehen.
											Das, was ich Ihnen heute kurz vortragen möchte,
											verändert tatsächlich
											das Verhältnis, oder das Wechselspiel,
											zwischen Menschen und Ozeanen
											mit einem neuen Potential,
											das bislang noch nicht erreichbar ist.
											Ich hoffe, das wird es.
											Es gibt einige Hauptpunkte.
											Einen, dass die Ozeane maßgeblich sind
											für die Lebensqualität auf der Erde.
											Ein anderer, das Begehen neuer, mutiger Wege
											des Studiums der Ozeane,
											denen wir noch nicht gut folgen.
											Der letzte ist, dass diese neuen mutigen Wege,
											die wir als Gemeinschaft
											erkunden,
											die Art, wie wir unseren Planeten, unsere Ozeane, sehen, verändern werden,
											und vielleicht auch die Art, wie wir eventuell
											den Planeten als Ganzes handhaben können.
											Was Wissenschaftler zu Anfang tun,
											sie beginnen mit dem System.
											Sie definieren das System.
											Das System ist nicht Chesapeake Bay.
											Es ist nicht der Caro-Bogen. Es ist nicht einmal der ganze Pazifik.
											Es ist der ganze Planet,
											der ganze Planet, Kontinente und Ozeane zusammen.
											Das ist das System.
									","
											Sylvia nos dice que empleemos
											todas nuestras facultades
											para conocer los océanos.
											Si pudiéramos conocer los océanos,
											debemos de ir a los océanos.
											Y de lo quiero hablar un poco hoy
											es de transformar
											la relación, o la interacción
											entre seres humanos y océanos
											con una nueva facultad
											que aún no es cotidiana.
											Espero que algún día lo sea.
											Hay un par de puntos clave,
											uno es que los océanos son esenciales
											para la calidad de la vida en la Tierra.
											Otro es que existen nuevas maneras
											de estudiar los océanos
											que aún no hemos aprovechado bien.
											Y la última de estas nuevas maneras
											que estamos investigando
											como comunidad
											va a transformar nuestra visión de nuestro planeta y nuestros océanos,
											y probablemente hasta la manera en que conducimos
											al planeta en todos sus aspectos.
											Entonces los científicos inicialmente
											comienzan con el sistema.
											Definen qué es el sistema.
											No es la Bahía de Chesapeake,
											no es el Arco de Caro, ni siquiera el vasto Pacífico.
											Es el planeta entero,
											continentes y océanos juntos.
											Ese es el sistema.
									",Wiring an interactive ocean,John Delaney,20:50,"mission blue,oceans,poetry,science,technology,global commons"
"
","
","
","
","
",Wiring an interactive ocean,John Delaney,20:50,"mission blue,oceans,poetry,science,technology,global commons"
"
											Et, en gros, pour nous, le défi
											est d'optimiser les bénéfices
											et d'atténuer les risques qu'il y a
											à vivre sur une planète où règnent seulement deux processus,
											deux sources d'énergie,
											dont l'une est l'énergie solaire,
											qui alimente les vents, les vagues,
											les nuages, les tempêtes et la photosynthèse.
											La seconde est l'énergie interne.
											Et toutes deux se livrent une guerre quasi permanente
											l'une contre l'autre.
											Les chaînes de montagnes, les plaques tectoniques
											déplacent les continents, forment les gisements de minéraux.
											Les volcans entrent en éruption.
											Voilà la planète sur laquelle nous vivons.
											Elle est extraordinairement complexe.
									","
											And basically, our challenge
											is to optimize the benefits
											and mitigate the risks
											of living on a planet that's driven by only two processes,
											two sources of energy,
											one of which is solar,
											that drives the winds, the waves,
											the clouds, the storms and photosynthesis.
											The second one is internal energy.
											And these two war against one another
											almost continuously.
											Mountain ranges, plate tectonics,
											moves the continents around, forms ore deposits.
											Volcanoes erupt.
											That's the planet that we live on.
											It's immensely complex.
									","
											Ve kısaca, meydan okuduğumuz şey
											iki süreç ile yönlenen bir gezegende
											yaşamaya ilişkin faydaların
											artırılırken, zararların da azaltılması,
											iki tip enerji,
											birisi güneş,
											ki bu rüzgarları, dalgaları,
											bulutları, fırtınaları ve fotosentezi yönlendirir.
											İkincisi de iç enerji.
											Ve bu ikisi birbirlerine karşı hiç bitmeyen
											bir savaş içindedirler.
											Sıradağlar, plaka hareketleri
											kıtaları hareket ettirerek cevher yataklarını oluşturur.
											Volkanlar patlar.
											Bu bizim üzerinde yaşadığımız gezegen.
											Son derece karmaşık.
									","
											Und im Grunde ist unsere Herausforderung,
											die Vorteile zu optimieren
											und Risiken zu minimieren,
											die das Leben auf einem Planeten beinhalten, der von nur zwei Prozessen getrieben wird,
											zwei Energiequellen,
											der solaren,
											die die Winde, die Wellen treibt,
											die Wolken, die Stürme und Photosynthese.
											Die zweite ist innere Energie.
											Und diese zwei bekriegen sich
											beinahe andauernd.
											Bergketten, Plattentektonik
											bewegt die Kontinente, bildet Erzlager.
											Vulkane brechen aus.
											Auf diesem Planeten leben wir.
											Er ist ungeheuer komplex.
									","
											Y básicamente nuestro desafío
											es optimizar los beneficios
											y mitigar los riesgos
											de vivir en un planeta dirigido por dos únicos procesos,
											dos fuentes de energía,
											una es solar,
											que genera los vientos, las olas,
											las nubes, las tormentas y la fotosíntesis.
											La otra es energía interna.
											Y las dos están en conflicto
											casi permanentemente.
											Cadenas montañosas, placas tectónicas,
											que desplazan los continentes, forman depósitos de mena.
											Los volcanes erupcionan.
											Ese el es planeta en el que vivimos.
											Es inmensamente complejo.
									",Wiring an interactive ocean,John Delaney,20:50,"mission blue,oceans,poetry,science,technology,global commons"
"
","
","
","
","
",Wiring an interactive ocean,John Delaney,20:50,"mission blue,oceans,poetry,science,technology,global commons"
"
											Maintenant, je ne vous demande pas de voir tous les détails,
											mais ce que je veux que vous voyiez
											c'est à peu près 10%
											des processus qui sont en œuvre
											dans les océans, comme ils le sont
											en permanence depuis 4 milliards d'années.
											C'est un système qui fonctionne depuis très longtemps.
											Et ces deux systèmes ont co-évolué.
											Qu'est-ce que je veux dire par là ?
											Ils interagissent constamment l'un avec l'autre.
											Tous agissent les uns avec les autres.
											D'où la complexité du système que nous sommes en train d'examiner,
											celui alimenté par le soleil —
											la partie du haut supérieure, en gros —
											et la partie du bas inférieure qui est en partie alimentée
											par l'apport de la chaleur du dessous
											ainsi que d'autres processus.
											C'est très très important,
											parce que c'est là le système, c'est le creuset
											duquel est sortie la vie sur la planète.
											Et maintenant est venu le temps pour nous de le comprendre.
											Nous devons le comprendre;
											C'est un des thèmes que Sylvia nous a rappelés;
											comprendre cet océan qui est le nôtre,
											ce système essentiel qui pourvoit aux besoins de la vie,
											le plus important de la planète.
									","
											Now I don't expect all of you to see all the details here,
											but what I want you to see is
											this is about 10 percent
											of the processes that operate within
											the oceans almost continuously,
											and have for the last 4 billion years.
											This is a system that's been around a very long time.
											And these have all co-evolved.
											What do I mean by that?
											They interact with one another constantly.
											All of them interact with one another.
											So the complexity of this system that we're looking at,
											the one driven by the sun —
											upper portion, mostly —
											and the lower portion is partly driven
											by the input from heat below
											and by other processes.
											This is very, very important
											because this is the system, this is the crucible,
											out of which life on the planet came,
											and it's now time for us to understand it.
											We must understand it.
											That's one of the themes that Sylvia reminds us about:
											understand this ocean of ours,
											this basic life support system,
											the dominant life support system on the planet.
									","
											Şimdi buradaki detayların tümünü hepinizin görmesini beklemiyorum,
											ancak sizden görmenizi istediğim
											tüm sürecin okyanuslarda
											neredeyse hiç durmadan sürmekte.
											olan yüzde 10'luk bir kısmı,
											ve bu son 4 milyar yıldır devam etmekte.
											Bu uzun süreden beri var olan bir sistem.
											Ve tüm bunlar birlikte evrilmiş.
											Bundan ne demek istiyorum?
											Sürekli olarak hepsi birbirleriyle etkileşim halinde.
											Herbiri bir diğeri ile etkileşiyor.
											Böylece bakmakta olduğumuz sistemin karmaşıklığı
											biri güneş tarafından yönlendiriliyor—
											çoğunlukla yüzey kısım —
											ve daha alt kesimler kısmen
											aşağılardaki ısının girdisiyle
											ve diğer yollarla.
											Burası çok ama çok önemli;
											çünkü bu sistemimiz, gezegendeki yaşamın
											ortaya çıktığı yerin ta kendisi.
											Ve şimdi bizim için onu anlamanın zamanı geldi.
											Onu anlamak zorundayız.
											Bu Sylvia'nın bize hatırlattığı temalardan birisi.
											Okyanusumuzu anlayalım,
											bu temel yaşam destek sistemini
											gezegendeki baskın yaşam destek sistemini anlayalım.
									","
											Ich erwarte nicht, dass Sie all diese Details wahrnehmen,
											aber was ich Ihnen näherbringen möchte, ist,
											dass dies ca. 10 Prozent
											der Prozesse sind, die aktiv sind
											in den Ozeanen, andauernd,
											und auch über die letzten 4 Milliarden Jahre.
											Dies ist ein System, das es schon sehr lange gibt.
											Und sie haben sich alle parallel entwickelt.
											Was meine ich damit?
											Sie interagieren andauernd miteinander.
											Alle interagieren miteinander.
											Die Komplexität des betrachteten Systems liegt also in
											dem einen, sonnen-getriebenen -
											größtenteils oberen Teil,
											und dem unteren Teil, teilweise angetrieben
											durch die Hitze von unten
											und durch andere Prozesse.
											Das ist sehr, sehr wichtig,
											weil dies das System ist, der Schmelztiegel,
											aus dem das Leben auf dem Planeten kam.
											Und es ist nun an der Zeit für uns, es zu verstehen.
											Wir müssen es verstehen.
											Das ist eines der Themen, an die uns Sylvia erinnert:
											versteht unseren Ozean,
											dieses grundlegende Lebenserhaltungssystem,
											das dominierende Lebenserhaltungssystem des Planeten.
									","
											Sin pretender que se fijen en todos los detalles
											quiero que ustedes vean
											que esto es un 10 por ciento
											de los procesos que operan
											dentro de los océanos casi continuamente,
											desde hace 4.000 millones de años.
											Hace mucho que este sistema viene operando.
											Y han co-evolucionado.
											¿Qué quiero decir con eso?
											Interactúan entre ellos constantemente.
											Todos interactúan con todos.
											Así que la complejidad de este sistema,
											la parte dirigida por el sol,
											sobretodo la parte superior,
											y la parte inferior es en parte conducida
											por el influjo de calor desde abajo
											y por otros procesos.
											Esto es muy, muy importante
											porque este es el sistema, es el crisol
											de donde proviene la vida en el planeta.
											Y es hora de que lo entendamos.
											Debemos entenderlo.
											Ese es uno de los temas que Sylvia nos recuerda:
											entender éste, nuestro océano,
											el sistema vital básico,
											el sistema vital dominante en el planeta.
									",Wiring an interactive ocean,John Delaney,20:50,"mission blue,oceans,poetry,science,technology,global commons"
