en,fr,es,pt,tr,title,speaker,duration,tags
"
","
","
","
","
",How AI can bring on a second Industrial Revolution,Kevin Kelly,13:44,"AI,algorithm,collaboration,business,data,driverless cars,computers,decision-making,humanity,industrial design,future,intelligence,innovation,Internet,invention,machine learning,mind,society,robots,technology"
"
											I'm going to talk a little bit
about where technology's going.
											And often technology comes to us,
											we're surprised by what it brings.
											But there's actually
a large aspect of technology
											that's much more predictable,
											and that's because technological systems
of all sorts have leanings,
											they have urgencies,
											they have tendencies.
											And those tendencies are derived
from the very nature of the physics,
											chemistry of wires
and switches and electrons,
											and they will make reoccurring
patterns again and again.
											And so those patterns produce
these tendencies, these leanings.
									","
											Je vais vous parler de la direction
que prend la technologie.
											Souvent elle vient vers nous,
											nous sommes étonnés
de ce qu'elle amène.
											Il y a cependant une grande part
de la technologie
											qui est plus prévisible,
											car les systèmes technologiques
de toutes sortes ont des penchants,
											des nécessités,
											des tendances.
											Ces tendances proviennent
de la nature même de la physique,
											de la chimie des câbles, 
des commutateurs et des électrons,
											qui vont faire des motifs récurrents
encore et encore.
											Ces motifs produisent ces tendances
et ces penchants.
									","
											Les hablaré un poco de la
dirección tecnológica actual.
											A menudo, las nuevas
tendencias nos sorprenden,
											pero gran parte de ellas
es mucho más predecible,
											y eso se debe a que los sistemas
tecnológicos de todo tipo
											tienen ciertas directrices,
necesidades y tendencias.
											Estas tendencias derivan de 
la naturaleza de la física,
											de la química de los cables,
											interruptores y electrones,
											que generan patrones recurrentes 
una y otra vez,
											patrones que producen estas tendencias;
									","
											Vou falar um pouco sobre
o futuro da tecnologia.
											Normalmente, a tecnologia vem até nós
											e somos surpreendidos
pelo que traz.
											Mas, de facto, há um aspecto
importante da tecnologia
											que é muito mais previsível
											já que os sistemas tecnológicos, 
de vários tipos, têm inclinações,
											têm urgências,

											têm tendências.
											E essas tendências derivam da
própria natureza da física,
											da química dos fios, 
interruptores e eletrões
											que vão criar esses padrões
recorrentes uma e outra vez.
											E assim, esses padrões produzem essas
tendências, essas inclinações.
									","
											Teknolojinin nereye gittiği hakkında 
kısa bir konuşma yapacağım.
											Genellikle teknoloji bize gelir,
											bize ne getirdiğine şaşırırız.
											Ancak teknolojinin büyük bir boyutu
											çok daha öngörülebilirdir,
											çünkü teknolojik sistemlerin 
her türü eğilime,
											önceliğe
											ve yönelime sahiptir.
											Ve bu yönelimler fiziğin doğasından,
											tel, anahtar ve elektronların 
kimyasından elde edilir
											ve bu örnekleri yeniden 
tekrar tekrar yapacaklar.
											Böylece bu örnekler 
eğilimleri ve yönelimleri üretir.
									",How AI can bring on a second Industrial Revolution,Kevin Kelly,13:44,"AI,algorithm,collaboration,business,data,driverless cars,computers,decision-making,humanity,industrial design,future,intelligence,innovation,Internet,invention,machine learning,mind,society,robots,technology"
"
","
","
","
","
",How AI can bring on a second Industrial Revolution,Kevin Kelly,13:44,"AI,algorithm,collaboration,business,data,driverless cars,computers,decision-making,humanity,industrial design,future,intelligence,innovation,Internet,invention,machine learning,mind,society,robots,technology"
"
											You can almost think of it
as sort of like gravity.
											Imagine raindrops falling into a valley.
											The actual path of a raindrop
as it goes down the valley
											is unpredictable.
											We cannot see where it's going,
											but the general direction
is very inevitable:
											it's downward.
											And so these baked-in
tendencies and urgencies
											in technological systems
											give us a sense of where things
are going at the large form.
											So in a large sense,
											I would say that telephones
were inevitable,
											but the iPhone was not.
											The Internet was inevitable,
											but Twitter was not.
									","
											Vous pouvez penser à ça
comme à une sorte de pesanteur.
											Imaginez la pluie tombant dans une vallée.
											Le chemin précis d'une goutte qui dévale
											est imprévisible.
											Impossible de voir où elle va.
											Mais la direction générale
est inévitable :
											c'est vers le bas.
											De même ces tendances 
et ces nécessités natives
											aux systèmes technologiques
											nous donnent un indice sur à la direction
que prennent les choses.
											Donc grosso modo,
											je dirais que les téléphones
étaient inévitables,
											mais pas l'iPhone.
											Internet était inévitable,
											mais pas Twitter.
									","
											algo parecido a la gravedad.
											Imaginen unas gotas de agua
que caen por una valle;
											el trayecto exacto de una gota
al caer es impredecible,
											ya que no sabemos hacia dónde se dirige
											pero sí que sabemos su dirección:
inevitablemente hacia abajo.
											Del mismo modo,
											estas tendencias y necesidades
innatas a los sistemas tecnológicos
											nos dan una pista en cuanto
a la dirección de las cosas.
											Por lo tanto, en general, yo diría
que los teléfonos eran inevitables,
											pero no el iPhone.
											Internet también, pero no Twitter.
									","
											Podem quase pensar nisto 
como uma espécie de gravidade.
											Imaginem gotas de chuva a cair num vale.
											O trajeto exato de uma gota 
de chuva à medida que cai no vale
											é imprevisível.
											Não vemos para onde vai,
											mas a direção geral é inevitável:
											é para baixo.
											Por isso, estas tendências e
urgências calculadas
											em sistemas tecnológicos
											dão-nos uma ideia de para 
onde as coisas estão a evoluir.
											Por isso, eu diria que,
											""grosso modo"", os telefones
eram inevitáveis,
											mas o IPhone não era.
											A Internet era inevitável,
											mas o Twitter não era.
									","
											Bunu bir çeşit 
yer çekimi gibi düşünebilirsiniz.
											Yağmur damlalarının 
bir vadiye düştüğünü düşünün.
											Yağmur damlası yolunun bir vadiye düşmesi
											önceden tahmin edilemez.
											Nereye gittiğini göremeyiz
											fakat genel istikamet kaçınılmazdır:
											aşağıya doğru.
											Yönelim ve eğilimlerin
											teknolojik sistemlerde birleşmesi
											büyük çapta gidişatın 
nereye gittiğini anlamamızı sağlar.
											Bu yüzden büyük ölçüde
											telefonların kaçınılmaz 
olduğunu söyleyebilirim,
											fakat iPhone'ların değil.
											İnternet kaçınılmazdır
											fakat Twitter değil.
									",How AI can bring on a second Industrial Revolution,Kevin Kelly,13:44,"AI,algorithm,collaboration,business,data,driverless cars,computers,decision-making,humanity,industrial design,future,intelligence,innovation,Internet,invention,machine learning,mind,society,robots,technology"
"
","
","
","
","
",How AI can bring on a second Industrial Revolution,Kevin Kelly,13:44,"AI,algorithm,collaboration,business,data,driverless cars,computers,decision-making,humanity,industrial design,future,intelligence,innovation,Internet,invention,machine learning,mind,society,robots,technology"
"
											So we have many ongoing
tendencies right now,
											and I think one of the chief among them
											is this tendency to make things
smarter and smarter.
											I call it cognifying — cognification —
											also known as artificial
intelligence, or AI.
											And I think that's going to be one
of the most influential developments
											and trends and directions and drives
in our society in the next 20 years.
									","
											Nous avons donc beaucoup
de tendances actuellement
											et je pense que l'une des principales
											est la tendance à faire des choses
de plus en plus intelligentes.
											J'appelle ceci la « cognification »,
											on l'appelle aussi
l'intelligence artificielle ou IA.
											Et je pense que ça va devenir
l'un des développements, des tendances,
											et des directions les plus influents
de notre société des 20 prochaines années.
									","
											En este momento, hay muchas
tendencias emergentes
											y creo que una de las más importantes
											es la de hacer las cosas
cada vez más inteligentes.
											Este proceso de ""cognificación""
											es también conocido como
inteligencia artificial o IA.
											Creo que esto será uno de los desarrollos
o tendencias más influyentes
											en nuestra sociedad 
en los próximos 20 años.
									","
											Atualmente, temos muitas 
tendências em curso
											e penso que uma das principais
											é a tendência de criar coisas 
cada vez mais inteligentes.
											Chamo-lhe “cognificar” — cognificação —
											também conhecida por 
Inteligência Artificial, ou IA.
											E penso que será um dos mais influentes 
desenvolvimentos, tendências,
											direções e estímulos na nossa 
sociedade nos próximos 20 anos.
									","
											Süregelen birçok yönelime sahibiz,
											bence bunlar arasında 
en önemlilerinden biri
											bu yönelimi daha da 
akıllı hale getirmektedir.
											Ben ona akıllılık - akıllılaştırmak -
											yani yapay zekâ
ya da YZ olarak adlandırıyorum.
											Bence önümüzdeki 20 yıl içinde 
toplumumuzda yönlendirmeler
											ve yürütmeler, gelişmeler ve eğilimler 
en etkililerden biri olacak.
									",How AI can bring on a second Industrial Revolution,Kevin Kelly,13:44,"AI,algorithm,collaboration,business,data,driverless cars,computers,decision-making,humanity,industrial design,future,intelligence,innovation,Internet,invention,machine learning,mind,society,robots,technology"
"
","
","
","
","
",How AI can bring on a second Industrial Revolution,Kevin Kelly,13:44,"AI,algorithm,collaboration,business,data,driverless cars,computers,decision-making,humanity,industrial design,future,intelligence,innovation,Internet,invention,machine learning,mind,society,robots,technology"
"
											So, of course, it's already here.
											We already have AI,
											and often it works in the background,
											in the back offices of hospitals,
											where it's used to diagnose X-rays
better than a human doctor.
											It's in legal offices,
											where it's used to go
through legal evidence
											better than a human paralawyer.
											It's used to fly the plane
that you came here with.
											Human pilots only flew it
seven to eight minutes,
											the rest of the time the AI was driving.
											And of course, in Netflix and Amazon,
											it's in the background,
making those recommendations.
											That's what we have today.
									","
											Bien sûr, c'est déjà le cas.
											Nous avons déjà de l'IA,
											qui travaille souvent en arrière-plan,
											dans les coulisses des hôpitaux,
											où elle sert à diagnostiquer les radios
mieux que les médecins humains.
											Dans les services juridiques,
											elle parcourt les preuves légales
											mieux qu'un homme de loi.
											On l'utilise pour conduire l'avion
qui vous a transporté ici.
											Les humains n'ont piloté
que sept ou huit minutes,
											le reste du temps, c'était l'IA.
											Et bien sûr, Netflix et Amazon,
											qui font leurs recommandations
en tâche de fond.
											C'est notre réalité.
									","
											Bueno, de hecho ya está aquí.
											Ya tenemos IA
											y ya actúa entre bastidores:
											en los centros hospitalarios
											para emitir un diagnóstico
más acertado que un humano
											en un resultado de rayos UVA,
											en los bufetes de abogados
											para examinar las pruebas
forenses mejor que un humano.
											También para hacer volar el avión
que han tomado para venir aquí.
											Un piloto humano solo tiene
el control unos 7 u 8 minutos,
											y el resto del tiempo
está autopilotado por IA.
											Desde luego que en Netflix y en Amazon
											hay un algoritmo que hace sugerencias.
									","
											Como tal, é claro que já está aqui.
											Nós já temos IA,
											e, por norma, opera em plano de fundo,
											nos gabinetes dos hospitais,
											onde é usada para diagnosticar raios-X
melhor do que um médico humano.
											Está nos gabinetes jurídicos,
											onde é usada para rever provas legais
											melhor que um técnico jurídico humano.
											É utilizada para pilotar o avião 
no qual vocês vieram.
											Os pilotos humanos só o 
pilotaram 7 ou 8 minutos,
											no tempo restante
era a IA a conduzir.
											E claro, na Netflix e na Amazon,
											está no fundo, a fazer
aquelas recomendações.
											É isto que temos hoje.
									","
											Tabii ki hali hazırda mevcut durumda.
											Zaten YZ'ye sahibiz,
											genellikle arka planda çalışır,
											hastanelerin idare departmanında,
											röntgen filmini insan bir doktordan
daha iyi teşhis etmede kullanılır.
											Hukuk bürolarında,
											yasal delilleri 
insan bir avukat yardımcısından
											daha iyi araştırması için kullanılır.
											Buraya geldiğiniz uçağı 
uçurmak için kullanılır.
											İnsan pilotlar 7-8 dakika arası uçtu,
											zamanın geri kalanında ise YZ uçtu.
											Ve tabii ki Netflix ve Amazon'da
											öneriler hazırlanırken 
arka planda YZ çalışıyor.
											Bugün elimizde olan bu.
									",How AI can bring on a second Industrial Revolution,Kevin Kelly,13:44,"AI,algorithm,collaboration,business,data,driverless cars,computers,decision-making,humanity,industrial design,future,intelligence,innovation,Internet,invention,machine learning,mind,society,robots,technology"
"
","
","
","
","
",How AI can bring on a second Industrial Revolution,Kevin Kelly,13:44,"AI,algorithm,collaboration,business,data,driverless cars,computers,decision-making,humanity,industrial design,future,intelligence,innovation,Internet,invention,machine learning,mind,society,robots,technology"
"
											And we have an example, of course,
in a more front-facing aspect of it,
											with the win of the AlphaGo, who beat
the world's greatest Go champion.
											But it's more than that.
											If you play a video game,
you're playing against an AI.
											But recently, Google taught their AI
											to actually learn how to play video games.
											Again, teaching video games
was already done,
											but learning how to play
a video game is another step.
											That's artificial smartness.
											What we're doing is taking
this artificial smartness
											and we're making it smarter and smarter.
									","
											Et un exemple plus visible, bien sûr,
											est la victoire d'AlphaGo, qui a battu
le champion du monde de Go.
											Mais c'est plus que ça.
											Si vous jouez à un jeu vidéo,
vous jouez contre une IA.
											Pourtant récemment, Google
a enseigné à son IA
											à apprendre comment jouer
aux jeux vidéo.
											Même si enseigner les jeux vidéos
avait déjà été fait,
											apprendre à jouer à un jeu vidéo
est un pas supplémentaire.
											C'est de la subtilité artificielle.
											Ce que nous faisons est de prendre
cette subtilité artificielle
											et nous la rendons
de plus en plus subtile.
									","
											Contamos con esto hoy en día.
											Y tenemos el ejemplo que coloca
a la IA por delante de nosotros:
											la victoria del AlphaGo contra
el mejor campeón del mundo de go.
											Pero hay mucho más que esto.
											Al jugar con un videojuego
juegas contra una IA.
											Pero recientemente, Google
acaba de enseñar a su IA
											a aprender a jugar un videojuego.
											Enseñar a una máquina a jugar
un videojuego no es algo nuevo,
											pero enseñarle a aprender
a hacerlo es un paso más allá.
											Se denomina inteligencia artificial.
											Y esto hacemos:
											adoptamos esta inteligencia
para hacerla cada vez más inteligente.
									","
											E claro, temos um exemplo 
num aspeto mais frontal
											com a vitória do AlphaGo que derrotou
o maior campeão Go do mundo.
											Mas é mais do que isso.
											Se jogarem um videojogo,
jogam contra a IA.
											Mas, recentemente, 
a Google ensinou a sua IA
											a aprender, realmente,
como se jogam videojogos.
											De novo, ensinar videojogos
já tinha sido feito
											mas aprender como jogar 
um videojogo é outro passo.
											Isso é perspicácia artificial.
											O que estamos a fazer é pegar
nesta perspicácia artificial
											e torná-la cada vez mais perspicaz.
									","
											Tabii ki büyük ön yüz görünümünde
											dünyanın en büyük Go şampiyonu galibi 
AlphaGo zaferi örneğimiz var.
											Fakat olay bundan ibaret değil.
											Bilgisayar oyunu oynuyorsanız, 
YZ'ye karşı oynuyorsunuz.
											Son zamanlarda Google kendi YZ'sine
											bilgisayar oyunlarının 
nasıl oynanacağını öğretti.
											Zaten bilgisayar oyunlarını 
öğretmek çoktan yapıldı
											fakat nasıl oynandığını 
bilmek başka bir adım.
											Bu yapay zekâdır.
											Biz bu yapay zekâyı alıyoruz
											ve daha da akıllı hale getiriyoruz.
									",How AI can bring on a second Industrial Revolution,Kevin Kelly,13:44,"AI,algorithm,collaboration,business,data,driverless cars,computers,decision-making,humanity,industrial design,future,intelligence,innovation,Internet,invention,machine learning,mind,society,robots,technology"
