tr,fr,de,title,speaker,duration,tags
"
","
","
",Why we will rely on robots,Rodney Brooks,9:56,"robots,work"
"
											Arthur C. Clarke,
											1950'lerden ünlü bilimkurgu yazarı
											der ki, ''Bizler teknolojinin kısa vadeli etkilerini gözümüzde büyütürken,
											uzun vadeli etkilerini hafife alıyoruz.''
											Bana göre bizi korkutan kısım,
											biraz da yapay zeka ve robotların bazı iş alanlarında insanların yerini alacak olmasıyla alakalı.
											Yani, kısa vadede teknolojiden beklentimiz oldukça yüksek.
											Fakat, uzun vadede teknolojinin gerekli seviyede gelişip gelişmeyeceği de ayrı bir muamma.
											Çünkü gelecekte toplumsal istatikler bizi yapılacak çok sayıda işle baş başa bırakacakken
											toplumumuz da çelik robotların omuzları üzerinde yapılanacak.
											Beni korkutan, yeterli sayıda robotumuzun olmaması ihtimali.
									","
											Arthur C. Clarke,
											un célèbre écrivain de science fiction des années 50,
											a dit : « On surestime les technologies à court terme
											et on les sous-estime à long terme. »
											Je pense qu'on peut expliquer ainsi en partie la peur
											que l'intelligence artificielle et les robots ne volent les emplois :
											nous surestimons la technologie à court terme.
											Mais je me soucie de savoir si nous aurons la technologie nécessaire à long terme,
											car l'évolution démographique va produire beaucoup d'emplois à prendre en charge,
											et nous devrons alors construire notre société sur les épaules d'acier des robots du futur.
											J'ai donc peur que nous n'aurons pas assez de robots.
									","
											Arthur C. Clarke,
											ein berühmter Science-Fiction-Autor 
aus den 1950ern sagte:
											""Wir überschätzen Technologien auf kurze
											und wir unterschätzen sie auf lange Sicht.""
											Ich denke, wir befürchten,
											dass Menschen wegen künstlicher Intelligenzen 
und Automatisierung ihren Job verlieren.
											Wir überschätzen Technologie auf kurze Sicht.
											Ich frage mich, ob wir die Technologie bekommen,
die wir auf lange Sicht brauchen.
											Weil die demografische Entwicklung zeigt, 
dass wir eine Menge Arbeitsplätze brauchen
											und unsere Gesellschaft in Zukunft auf 
den Stahlschultern von Robotern stehen muss.
											Ich befürchte, wir werden nicht genug Roboter haben.
									",Why we will rely on robots,Rodney Brooks,9:56,"robots,work"
"
","
","
",Why we will rely on robots,Rodney Brooks,9:56,"robots,work"
"
											Fakat, teknolojinin gelişmesiyle insanların işlerini kaybetmesi fikri uzun zamandır akılları meşgul etmekte.
											1957'ye dönelim. Bir Spencer Tracy, Katherine Hepburn filmi vardı,
											nasıl bittiğini hatırlarsınız.
											Spencer Tracy, kütüphane görevlilerine yardımcı olmak amacıyla
											birden fazla sistemi idare edebileceği bir bilgisayar getiriyordu.
											Kütüphane görevlileri, idari işlerin yürütülmesi amacıyla
											''Noel Baba'nın geyiklerinin adları nedir?''
											gibi sorulara cevap verirlerdi.
											Ve bu ana bilgisayar, görevlilere bu konuda yardımcı olacaktı.
									","
											Mais cette peur de perdre des emplois à cause de la technologie est ancienne.
											Déjà en 1957, il y avait le film de Spencer Tracy et Katharine Hepburn.
											Vous savez comment ça se termine.
											Spencer Tracy acheta un ordinateur, un ordinateur central de 1957,
											pour aider les bibliothécaires.
											Les bibliothécaires de cette société accomplissaient des tâches telles que répondre aux dirigeants.
											On demandait : « Quels sont les noms des rennes du Père Noël ? »,
											et elles cherchaient la réponse.
											L'ordinateur central devait les aider dans cette tâche.
									","
											Aber die Angst, Jobs an Technologie 
zu verlieren, gibt es schon länger.
											1957 gab es einen Film 
mit Spencer Tracy und Katherine Hepburn.
											Sie wissen wie es ausging,
											Spencer Tracy besorgte einen Computer, 
einen Großrechner von 1957,
											um den Bibliothekaren zu helfen.
											Die Bibliothekare der Firma konnten 
der Geschäftsleitung Fragen beantworten wie:
											""Wie heißen die Rentiere des Weihnachtsmannes?"",
											und sie schauten es nach.
											Dieser Großrechner sollte sie 
bei ihrer Arbeit unterstützen.
									",Why we will rely on robots,Rodney Brooks,9:56,"robots,work"
"
","
","
",Why we will rely on robots,Rodney Brooks,9:56,"robots,work"
"
											Tabi ki 1957'den bir ana bilgisayar bu tarz işler için pek kullanılmadı.
											Görevliler bu bilgisayar yüzünden işlerini kaybetmekten oldukça endişeliydiler
											fakat olaylar böyle gelişmedi.
											Kütüphane görevlileri için uygun iş sayısı 1957'den sonra oldukça arttı.
											Bu artış, İnternet'in kullanılmaya başlanmasıyla da son bulmadı.
											Kütüphane görevlilerini bitiren,
											web ve arama motorlarının ortaya çıkışı oldu.
											Ve eminim ki 1957'de yaşamış herkes
											bugün ellerimizde ve ceplerimizde bulunan teknolojinin seviyesini kesinlikle küçümsemişlerdi.
											Şimdiyse ''Noel Baba'nın geyiklerinin adları nedir?'' sorusuna hemen cevap alabilir
											ya da dilediğimizi sorabiliriz.
									","
											Évidemment, l'ordinateur central de 1957 n'était pas d'une grande utilité pour ce travail.
											Les bibliothécaires avaient peur que leurs emplois disparaissent.
											Mais, en réalité, ce n'est pas ce qui est arrivé.
											Le nombre de postes de bibliothécaire a augmenté durant une longue période après 1957.
											Ce n'est que lorsqu'Internet est entré en jeu,
											lorsque le web et les moteurs de recherche sont entrés en jeu
											que le besoin de bibliothécaires a diminué.
											Je pense qu'en 1957 tout le monde a sous-estimé
											le niveau de technologie que nous allions avoir dans nos mains et nos poches aujourd'hui.
											On peut simplement demander : « Quels sont les noms des rennes du Père Noël ? » et obtenir immédiatement la réponse...
											ou tout autre chose qu'on veut demander.
									","
											Natürlich war ein Großrechner von 1957 
für diese Aufgabe nicht wirklich geeignet.
											Die Bibliothekare fürchteten um ihre Jobs.
											Aber das ist nicht passiert.
											Die Anzahl der Stellen stieg noch 
eine ganze Weile nach 1957.
											Erst als das Internet ins Spiel kam
											und die Suchmaschinen,
											sank der Bedarf an Bibliothekaren.
											Und 1957 unterschätzten alle völlig
											das Ausmaß an Technologie, das wir alle einmal 
in unseren Händen und Taschen tragen würden.
											Wir können nur fragen: ""Wie heißen die Rentiere 
des Weihnachtsmanns?"" und erfahren es sofort –
											oder was wir sonst fragen wollen.
									",Why we will rely on robots,Rodney Brooks,9:56,"robots,work"
"
","
","
",Why we will rely on robots,Rodney Brooks,9:56,"robots,work"
"
											Bu arada, kütüphane görevlilerinin maaşları,
											o dönem Amerika Birleşik Devletleri'ndeki diğer işlerin maaşlarından hızlıca yükselmekteydi
											çünkü onlar bilgisayarlarla adeta iş ortağı olmuşlardı.
											Bilgisayarlar rahatlıkla kullanabileceğimiz araç-gereçlere dönüştüler
											ve kazandıkları birçok işlevle o dönemde daha etkili hale geldiler.
									","
											Et d'ailleurs, le salaire des bibliothécaires a augmenté plus rapidement
											que le salaire des autres emplois aux États-Unis sur la même période,
											car les bibliothécaires sont devenus les partenaires des ordinateurs.
											Ils ont fait des ordinateurs leurs outils, ils avaient plus d'outils qu'ils ne pouvaient en utiliser
											et sont devenus encore plus efficaces à ce moment-là.
									","
											Übrigens stiegen die Gehälter 
für Bibliothekare schneller,
											als die Gehälter für andere Jobs 
in den USA in der gleichen Zeit,
											denn Bibliothekare arbeiteten 
mit Computern zusammen.
											Rechner wurden Hilfsmittel, und sie 
erhielten immer mehr nutzbare Hilfsmittel,
											und sie wurden in der Zeit immer effektiver.
									",Why we will rely on robots,Rodney Brooks,9:56,"robots,work"
"
","
","
",Why we will rely on robots,Rodney Brooks,9:56,"robots,work"
"
											Aynı durum ofislerde de kendini göstermişti.
											Önceleri, insanlar devasa, kalın defterler kullanıyorlardı.
											Üzerinde çizelgeler ve tablolar bulunan bu sayfalardaki her bilgi
											elle hesaplanmaktaydı.
											Fakat ilginç bir gelişme oldu.
											1980 civarındaki kişisel bilgisayar devrimiyle,
											ofis çalışanları için tablolama programları geliştirildi.
											Bu programlar çalışanların yerini almıyordu,
											aksine, çalışanlara yazılımcı statüsü kazandırarak iş kapasitelerini arttırıyordu.
											Yani, ofis çalışanları artık ''tablolama programı yazılımcısı'' olmuşlardı.
											Dolayısıyla, kapasiteleri ve yetenekleri de bu doğrultuda gelişmiş oldu.
											Bundan böyle, günlük hesaplamalarla uğraşmak zorunda değillerdi
											fakat yapabilecekleri çok daha fazla şey vardı.
									","
											Il s'est passé la même chose dans les bureaux.
											Autrefois, les gens utilisaient des feuilles de calcul.
											C'étaient de vraies feuilles de papier
											et les calculs étaient faits à la main.
											Mais il se produisit quelque chose d'intéressant :
											avec la révolution des ordinateurs personnels vers 1980,
											des feuilles de calcul informatiques, ont été mis au point pour les employés de bureau,
											pas pour remplacer les employés de bureau,
											mais en considérant que les employés de bureau étaient capables d'être des programmeurs.
											Ainsi, les employés de bureau sont devenus des programmeurs de feuilles de calcul.
											Cela a augmenté leurs capacités.
											Ils n'avaient plus à faire les calculs banaux,
											mais ils pouvaient faire bien plus de choses.
									","
											Dasselbe passierte in Büros.
											Früher nutzen die Menschen Tabellen.
											Tabellen waren Tabellenkalkulationen auf Papier,
											und sie wurden von Hand berechnet.
											Aber damals passierte eine interessante Sache.
											Mit der Revolution der PCs um 1980
											wurden die Programme zur Tabellenkalkulation 
auf die Büroangestellten zugeschnitten,
											nicht um die Büroangestellten zu ersetzen,
											sondern mit der Möglichkeit, 
von ihnen programmiert zu werden.
											Also wurden Büroangestellte 
zu Programmierern von Tabellen.
											Es erweiterte ihre Fähigkeiten.
											Sie mussten keine banalen 
Berechnungen mehr machen,
											sondern sie konnten viel mehr machen.
									",Why we will rely on robots,Rodney Brooks,9:56,"robots,work"
"
","
","
",Why we will rely on robots,Rodney Brooks,9:56,"robots,work"
"
											Bugün, robotları hayatımıza dahil etmiş durumdayız.
											Sol tarafta iRobot'tan PackBot'u görüyoruz.
											Askerler Irak ve Afganistan'da bombalarla karşılaştığında,
											bombanın kendisiyle haşır neşir olmak yerine
											-2002'ye kadar yaptıkları gibi-
											bundan böyle bu iş için robotları kullanıyorlar.
											Yani robot tehlikeli işleri üzerine alıyor.
									","
											Aujourd'hui, nous commençons à voir des robots dans nos vies.
											À gauche, voici le PackBot de iRobot.
											Quand les soldats affrontent des bombes le long des routes en Irak et en Afghanistan,
											au lieu de mettre une tenue anti-bombes, 
de sortir et de taper avec un bâton,
											comme ils en avaient l'habitude jusqu'en 2002 environ,
											ils envoient dorénavant le robot.
											Le robot accomplit donc les tâches dangereuses.
									","
											Heutzutage fangen wir an, 
Roboter in unserem Leben zu sehen.
											Links sieht man den PackBot von iRobot.
											Als Soldaten im Irak und Afghanistan 
auf Sprengbomben am Straßenrand stießen,
											legten sie keine Bombenschutzanzüge an, 
gingen raus und stocherten mit einem Stock rum,
											wie sie es bis 2002 getan hatten,
											jetzt schicken sie einen Roboter.
											Der Roboter übernimmt jetzt 
die gefährlichen Aufgaben.
									",Why we will rely on robots,Rodney Brooks,9:56,"robots,work"
"
","
","
",Why we will rely on robots,Rodney Brooks,9:56,"robots,work"
"
											Sağ tarafta ise Pittsburgh'ta yapılanmış Aethon adlı bir şirketten gelen TUG'lar var
											Amerika Birleşik Devletleri'ndeki yüzlerce hastanede görev alıyorlar.
											Kirli çamaşırların yıkanmasında,
											Bulaşıkların yıkanması ve mutfağa yerleştirilmesinde,
											eczaneden çeşitli ilaçların tedarik edilmesinde görev alıyorlar.
											Ayrıca hemşirelerin ve diğer görevlilerin
											daha az önem arz eden gündelik işlerle uğraşmak yerine
											hastalarla daha iyi ilgilenmelerine olanak sağlıyorlar.
									","
											À droite, il y a des remorqueurs d'une compagnie appelée Aethon, à Pittsburgh.
											On les trouve dans des centaines d'hôpitaux aux États-Unis.
											Ils portent le linge sale au nettoyage.
											Ils rapportent la vaisselle sale aux cuisines.
											Ils apportent les médicaments de la pharmacie.
											Cela libère les infirmiers et les aides-infirmiers
											du travail fastidieux de simplement pousser des trucs
											et leur permet de passer plus de temps avec les patients.
									","
											Rechts sind einige TUGs einer Firma 
namens Aethon in Pittsburgh.
											Es gibt hunderte davon in Kliniken in den USA.
											Und sie bringen die dreckigen 
Laken in die Wäscherei.
											Sie bringen das dreckige Geschirr 
zurück in die Küche.
											Sie bringen die Medikamente in die Apotheken.
											Es befreit die Krankenschwestern 
und Hilfspfleger davon,
											banale Arbeiten zu tun, wie einfach 
Dinge mechanisch herumzuschieben,
											um mehr Zeit mit ihren Patienten zu verbringen.
									",Why we will rely on robots,Rodney Brooks,9:56,"robots,work"
"
","
","
",Why we will rely on robots,Rodney Brooks,9:56,"robots,work"
"
											Aslında baktığımıza, robotlar yardım için hazır ve nazırlar.
											Fakat iş fabrika robotlarına geldiğinde, insanlar daha temkinli yaklaşıyor.
											Çünkü bu robotların etrafta olması ''tehlikeli'' bulunuyor.
											Bu robotları programlamak için, altı boyutlu vektörler ve kuaterniyonlar hakkında bilgi sahibi olmak gerekiyor.
											ve sıradan insanların bunu gerçekleştirebilmesi mümkün değil.
											Bu tip bir teknolojinin işleyiş tarzını yanlış buluyorum.
											Geliştirilen cihazın, çalışanın yerini almasına neden oluyor.
											Ve bence asıl yoğunlaşmamız gereken teknoloji,
											sıradan insanların da kontrol edebileceği teknolojiler olmalı.
									","
											En fait, les robots sont devenus comme omniprésents dans notre vie à bien des égards.
											Mais je pense que quand il s'agit de robots d'usine, 
les gens ont un peu peur,
											parce qu'il est dangereux d'être à côté d'eux.
											Afin de les programmer, vous devez comprendre les vecteurs en six dimensions et les quaternions,
											et les gens ordinaires ne peuvent pas interagir avec eux.
											Je pense que c'est le genre de technologie 
qui prend la mauvaise voie.
											Cela a éloigné le travailleur de la technologie
											et je crois qu'il faut vraiment se concentrer sur les technologies
											avec lesquelles les travailleurs ordinaires peuvent interagir.
									","
											Roboter sind in unseren Leben 
tatsächlich allgegenwärtig geworden.
											Aber wenn es sich um Fabrik-Roboter handelt, 
bekommen die Menschen Angst,
											denn Fabrik-Roboter sind 
ein gefährlicher Umgang.
											Um sie zu programmieren, muss man sechs-dimensionale Vektoren und Quaternionen verstehen.
											Normale Menschen können 
nicht mit ihnen umgehen.
											Diese Art der Technologie ist gescheitert.
											Es hat die Arbeiter durch Technologie ersetzt.
											Ich denke, wir müssen nach Technologien suchen,
											mit denen normale Arbeiter interagieren können.
									",Why we will rely on robots,Rodney Brooks,9:56,"robots,work"
"
","
","
",Why we will rely on robots,Rodney Brooks,9:56,"robots,work"
"
											Bugün size Baxter'dan bahsetmek istiyorum, bahsettiğimiz gibi
											Baxter, endüstriyel anlamda, sıradan bir insanın
											iletişim kurabileceği ilk robotlardan.
											Evet, Baxter burada.
											ve Chris Harbert, Rethink Robotics'ten.
											Orada gördüğünüz bir çeşit yük taşıyıcı.
											ve eğer ışıklandırma çok güçlü olmasaydı,
											İşte orada. Objeyi kavrıyor ve taşıyor,
											buraya doğru getirecek ve yerine koyacak.
											Sonrasında geri dönecek ve başka bir objeye ulaşacak.
									","
											Je veux donc vous parler aujourd'hui de Baxter, 
dont nous avons déjà parlé.
											Je vois Baxter comme une solution, 
une première vague de robots
											avec lesquels les personnes ordinaires peuvent interagir dans un contexte industriel.
											Alors, Baxter est ici.
											Voici Chris Harbert de Rethink Robotics.
											Nous avons là un convoyeur.
											Et si l'éclairage n'est pas trop dur...
											Ah, ah ! Voilà ! Il a récupéré l'objet sur le convoyeur.
											Il va le ramener ici et le poser.
											Ensuite, il repartira ramasser un autre objet.
									","
											Daher möchte ich Ihnen von ""Baxter"" erzählen, 
über den wir schon gesprochen haben.
											Und Baxter betrachte ich als 
erste Version eines Roboters,
											mit der gewöhnliche Menschen in einem 
industriellen Bereich umgehen können.
											Baxter ist also hier oben.
											Hier ist Chris Harbert von Rethink Robotics.
											Wir haben hier ein Förderband.
											Und wenn die Beleuchtung nicht zu extrem ist –
											Ah! Da ist es. Es hat das Objekt 
vom Förderband aufgehoben.
											Er kommt jetzt hier rüber und legt es ab.
											Und dann geht er rüber, 
und nimmt ein anderes Objekt.
									",Why we will rely on robots,Rodney Brooks,9:56,"robots,work"
"
","
","
",Why we will rely on robots,Rodney Brooks,9:56,"robots,work"
