fr,en,tr,de,es,title,speaker,duration,tags
"
","
","
","
","
",Design and the Elastic Mind,Paola Antonelli,17:40,"art,brain,design,museums,graphic design"
"
											Je travaille dans la conception; je suis curatrice d'architecture et de conception
											Je travaille au Musée d'Art Moderne.
											mais l'important — ce dont nous allons parler aujourd'hui
											est vraiment la conception. Les bons concepteurs sont comme les éponges
											Ils sont vraiment curieux
											et absorbent toutes les informations qu'ils rencontrent
											et les transforment pour qu'elle soit utilisées par les gens comme nous.
											Cela me donne l'opprtunité,
											puisque chaque exposition que je gère
											semble donner une vision d'un monde différent. Et cela est génial,
											car, chaque fois, il me semble que je change de travail.
									","
											I dabble in design. I'm a curator of architecture and design;
											I happen to be at the Museum of Modern Art.
											But what we're going to talk about today
											is really design. Really good designers are like sponges:
											they really are curious
											and absorb every kind of information that comes their way,
											and transform it so that it can be used by people like us.
											And so that gives me an opportunity,
											because every design show that I curate
											kind of looks at a different world. And it's great,
											because it seems like every time I change jobs.
									","
											Ben tasarımla uğraşıyorum. Mimari ve tasarım küratörüyüm;
											şu an Modern Sanat Müzesi' ndeyim.
											Fakat bugün konuşacağımız şey
											esas olarak tasarım. Gerçekten iyi olan tasarımcılar sünger gibidir:
											gerçekten meraklıdırlar
											ve karşılarına çıkan her türlü bilgiyi emerek,
											bizim gibi insanların kullanabileceği bir şekle sokarlar.
											Bu durum bana bir fırsat veriyor,
											çünkü küratörlügünü yaptigim her tasarım sergisi
											farklı bir dünyayı inceliyor. Ve bu harika,
											çünkü her seferinde işimi değiştirmişim gibi geliyor.
									","
											Ich versuche mich in Design. Ich bin Kuratorin für Architektur und Design.
											Zufällig arbeite ich am Museum of Modern Art.
											Aber heute werden wir über wahres Design sprechen.
											Wirklich gute Designer sind wie Schwämme:
											sie sind wirklich neugierig
											und saugen jede Art von Information auf, die ihnen in die Quere kommt,
											und wandeln sie so um, dass Leute wie wir sie nutzen können.
											Und das gibt mir Gelegenheiten,
											weil jede Design-Ausstellung, die ich kuratiere,
											quasi eine andere Welt betrachtet. Das ist grossartig,
											weil es mir so vorkommt, als würde ich jedesmal den Job wechseln.
									","
											Me interesa el diseño; soy curadora de arquitectura y diseño.
											Casualmente, soy del Museo de Arte Moderno,
											pero lo que importa — aquello de lo que vamos a conversar hoy —
											es realmente diseño. Los diseñadores muy buenos son como esponjas.
											Son muy curiosos
											y absorben todo tipo de información que sirva a sus propósitos,
											y la transforman para que pueda ser usada por gente como nosotros.
											Y eso me brinda una oportunidad,
											porque cada muestra de diseño que organizo,
											en cierto modo, explora un mundo diferente. Y eso es fabuloso,
											porque parece como si cambiara de trabajo a cada rato.
									",Design and the Elastic Mind,Paola Antonelli,17:40,"art,brain,design,museums,graphic design"
"
","
","
","
","
",Design and the Elastic Mind,Paola Antonelli,17:40,"art,brain,design,museums,graphic design"
"
											Mon objectif aujourd'hui est de vous donner un aperçu
											de la prochaine exposition que je suis en train de préparer, et qui s'appelle,
											""Conception et élasticité de l'esprit"".
											Le monde sur lequel j'ai décidé de concentrer cette fois
											c'est le monde de la science et de la technologie.
											La technologie est toujours impliquée lorsqu'on parle de conception,
											et la science un peu moins.
											Mais, les concepteurs font un travail merveilleux en prenant en considération les grandes révolutions
											et en les transformant pour que nous puissions les utiliser.
											Et c'est ce que cette exposition étudie.
									","
											And what I'm going to do today is I'm going to give you a preview
											of the next exhibition that I'm working on, which is called
											""Design and the Elastic Mind.""
											The world that I decided to focus on this particular time
											is the world of science and the world of technology.
											Technology always comes into play when design is involved,
											but science does a little less.
											But designers are great at taking big revolutions that happen
											and transforming them so that we can use them.
											And this is what this exhibition looks at.
									","
											Bugün yapacağım şey sizlere bir önizleme sunmak,
											şu an üzerinde çalıştığım, bir sonraki sergiden. Bu serginin ismi
											""Tasarım ve Elastik Zihin.""
											Bu defa üzerinde yoğunlaşmaya karar verdiğim dünya
											bilim ve teknoloji dünyası.
											Tasarım söz konusu olduğunda, teknoloji her zaman işin içindedir,
											ama bilim daha az dahil olur.
											Fakat tasarımcılar büyük devrimleri alıp,
											bizim kullanabileceğimiz bir şekle sokmakta çok iyidirler.
											Ve işte bu sergi de bu konuyu inceliyor.
									","
											Heute gebe ich Ihnen eine Vorschau auf die nächste
											Ausstellung, an der ich arbeite, die heisst:
											""Design und der elastische Verstand""
											Die Welt, auf die ich mich dieses Mal konzentriere,
											ist die Welt der Naturwissenschaft und Technologie.
											Technologie kommt immer ins Spiel, wenn Design beteiligt ist,
											aber die Naturwissenschaft ein bisschen weniger.
											Aber Designer sind gut im Aufgreifen von grossen Revolutionen
											und sie so umzuwandeln, dass wir sie alle nutzen können.
											Und das betrachtet diese Ausstellung.
									","
											Y lo que voy a hacer hoy es darles un anticipo
											de la próxima exposición sobre la que estoy trabajando, llamada,
											""El Diseño y la Mente Elástica"".
											El mundo que he decidido enfocar, en este momento,
											es el mundo de la ciencia y la tecnología.
											La tecnología siempre entra en juego cuando el diseño está involucrado,
											pero la ciencia lo hace un poco menos.
											Pero los diseñadores son fenomenales tomando a las grandes revoluciones que se producen
											y transformándolas para que podamos usarlas.
											Y esto es lo que esta exposición explora.
									",Design and the Elastic Mind,Paola Antonelli,17:40,"art,brain,design,museums,graphic design"
"
","
","
","
","
",Design and the Elastic Mind,Paola Antonelli,17:40,"art,brain,design,museums,graphic design"
"
											Si vous pensez à votre vie d'aujourd'hui,
											vous traversez chaque jour différentes étapes,
											et différents changement de rythme et de vitesse.
											Vous travaillez dans différents fuseaux horaires, vous parlez avec des personnes diverses.
											vous travaillez en multi-tâche. Nous le faisons tous, automatiquement.
											Quelques esprits présents dans cette audience sont super élastiques
											d'autres sont un peu plus lents,
											d'autres encore ont du pousser leurs limites, cependant,
											c'est une audience exceptionnelle de ce point de vue.
											D'autres personnes ne sont pas aussi élastiques.
											Je n'arrive pas à convaincre mon père, qui habite en Italie, d'utiliser Internet.
											Il ne veut pas une connexion à haut débit chez lui.
											Ceci est probablement du à un peu de peur,
											un peu de résistance ou des mécanismes un peu rouillés.
											Ainsi, les concepteurs travaillent sur ces types particuliers de malaise que nous avons,
											ces types de désagréments que nous avons,
											et essayent de rendre notre vie plus facile.
											Vous savez, l'élasticité de l'esprit est quelque chose dont nous avons vraiment besoin
											nous en avons besoin, nous l'aimons et nous y travaillons vraiment.
											Et cette exposition est sur le travail des concepteurs
											qui nous aident à être plus élastique,
											et pour les concepteurs qui y travaillent
											c'est une opportunité. Et une dernière chose,
											ce n'est pas seulement pour les concepteurs, mais aussi pour les scientifiques.
									","
											If you think about your life today,
											you go every day through many different scales,
											many different changes of rhythm and pace.
											You work over different time zones, you talk to very different people,
											you multitask. We all know it, and we do it kind of automatically.
											Some of the minds in this audience are super elastic,
											others are a little slower,
											others have a few stretch marks, but nonetheless
											this is a quite exceptional audience from that viewpoint.
											Other people are not as elastic.
											I can't get my father in Italy to work on the Internet.
											He doesn't want to put high-speed Internet at home.
											And that's because there's some little bit of fear,
											little bit of resistance or just clogged mechanisms.
											So designers work on this particular malaise that we have,
											these kinds of discomforts that we have,
											and try to make life easier for us.
											Elasticity of mind is something that we really need, you know,
											we really need, we really cherish and we really work on.
											And this exhibition is about the work of designers
											that help us be more elastic,
											and also of designers that really work on this elasticity
											as an opportunity. And one last thing is that
											it's not only designers, but it's also scientists.
									","
											Eğer bugünkü günlük yaşamınız hakkında düşünürseniz,
											her gün farklı ölçeklerden geçiyorsunuz,
											ve birçok farklı ritim ve hız değişikliğinden geçiyorsunuz.
											Farklı zaman dilimlerinde çalışıyor, birbirinden çok farklı insanlarla konuşuyorsunuz
											aynı anda birçok iş yapıyorsunuz. Hepimiz bunu biliyoruz ve bunu otomatik olarak yapıyoruz.
											Buradaki seyirci kitlesindeki zihinlerin bazıları super elastik,
											bazıları biraz daha yavaş,
											bazılarının birkaç yarası var, fakat herşeye rağmen
											bu elastik bakış açısından değerlendirildiğinde, bu seyirci epey istisnai bir grup.
											Diğer insanlar bu kadar elastik değil.
											Italya' daki babamı Internet'te çalışmaya ikna edemiyorum.
											Eve yüksek hızlı Internet bağlatmak istemiyor.
											Ve bunun nedeni, birazcık korku,
											biraz direniş veya sadece tıkanmış mekanizmalar.
											O yüzden tasarımcılar bu sıkıntımız üzerinde çalışıyorlar,
											sahip olduğumuz bu tarz rahatsızlıklar üzerinde
											ve hayatımızı kolaylaştırmaya çalışıyorlar.
											Zihin elastikliği gerçekten çok ihtiyacımız olan birşey, yani,
											gerçekten ihtiyacımız olan, gerçekten değer verdiğimiz ve üzerinde gerçekten çalıştığımız birşey.
											Bu sergi, tasarımcıların işleri hakkında,
											daha elastik olmamıza yardımcı olan işler,
											ve ayrıca gerçekten bu elastiklik üzerinde çalışmayı
											bir fırsat olarak gören tasarımcılar hakkında. Ve son bir nokta da şu ki
											buna sadece tasarımcılar değil, bilimciler de dahil.
									","
											Wenn Sie an Ihr Leben heute denken,
											dann durchleben Sie jeden Tag viele verschiedene Skalen,
											viele verschiedene Veränderungen von Rhythmus und Tempo.
											Sie arbeiten in verschiedenen Zeitzonen, Sie reden mit verschiedenen Leuten,
											Sie multitasken. Wir alle kennen das, und machen es ziemlich automatisch.
											Der Verstand von einigen hier im Publikum ist super-elastisch,
											bei anderen ist er ein wenig langsamer,
											bei anderen hat er ein paar Dehnungsstreifen, aber dennoch
											dies ist ein aussergewöhnliches Publikum in dieser Beziehung.
											Andere Leute sind nicht so elastisch.
											Ich kann meinen Vater in Italien nicht dazu bringen, das Internet zu nutzen.
											Er möchte kein Highspeed-Internet zu Hause haben.
											Der Grund ist ein wenig Angst,
											ein wenig Widerstand oder einfach verstopfte Mechanismen.
											Designer arbeiten an diesem gewissen Unwohlsein, das wir haben,
											dieser Art von Unbehagen, das wir haben,
											und versuchen, uns das Leben leichter zu machen.
											Elastizität des Verstands ist etwas, was wir wirklich brauchen,
											was wir wirklich wertschätzen und an dem wir wlrklich arbeiten.
											Diese Ausstellung ist über die Arbeit von Designern,
											die uns dabei helfen, elastischer zu sein,
											und auch über Designer, die an dieser Elastizität arbeiten
											als Chance. Und letztlich sind es
											nicht nur die Designer, sondern auch die Wissenschaftler.
									","
											Si piensas en tu vida hoy,
											cada día pasas por escalas muy diversas,
											cambios muy diversos de ritmo y pauta.
											Trabajas en diversas zonas horarias, hablas con gente muy diversa,
											tú ""multioperas"". Todos lo sabemos, y lo hacemos más o menos automáticamente.
											Algunas de las mentes de esta audiencia son superelásticas,
											otras un poco más lentas,
											otras tienen un poquito de estrías, pero sin embargo
											ésta es una audiencia completamente excepcional desde ese punto de vista.
											Otra gente no es tan elástica.
											No puedo poner a mi padre en Italia a trabajar en Internet.
											Él no desea colocar Internet de alta velocidad en casa.
											Y eso se debe a que hay un poco de temor,
											un poco de resistencia o simples mecanismos de obstrucción.
											Así que los diseñadores trabajan en este malestar particular que tenemos,
											este tipo de incomodidades que tenemos,
											e intentan hacernos la vida más fácil.
											Elasticidad mental es algo que realmente necesitamos, saben,
											realmente necesitamos, realmente apreciamos y realmente nos ocupa.
											Y esta exposición trata sobre el trabajo de diseñadores
											que nos ayudan a ser más elásticos,
											y también, de diseñadores que realmente trabajan en esta elasticidad
											como una oportunidad. Y una última cosa es que
											no son únicamente diseñadores sino también científicos.
									",Design and the Elastic Mind,Paola Antonelli,17:40,"art,brain,design,museums,graphic design"
"
","
","
","
","
",Design and the Elastic Mind,Paola Antonelli,17:40,"art,brain,design,museums,graphic design"
"
											Avant que je commence à vous montrer quelques diapositives
											et l'aperçu, je tiens à souligner
											ce superbe détail sur les scientifiques et la conception.
											Vous pouvez dire que la relation entre la science et la conception
											remonte à quelques siècles. Vous pouvez parler de
											Léonard de Vinci, beaucoup d'autres hommes et femmes de la Renaissance,
											et il y a une longue histoire derrière.
											Mais selon un grand historien des sciences, que vous connaissez probablement,
											Peter Galison — il enseigne à Harvard —
											ce que la nanotechnologie en particulier et la physique quantique
											ont amené aux concepteurs, c'est ce regain d'intérêt,
											cette véritable passion pour la conception.
									","
											And before I launch into the display of some of the slides
											and into the preview, I would like to point out
											this beautiful detail about scientists and design.
											You can say that the relationship between science and design
											goes back centuries. You can of course talk about
											Leonardo da Vinci and many other Renaissance men and women —
											and there's a gigantic history behind it.
											But according to a really great science historian you might know,
											Peter Galison — he teaches at Harvard —
											what nanotechnology in particular and quantum physics
											have brought to designers is this renewed interest,
											this real passion for design.
									","
											Presentasyona başlamadan önce,
											ve önizlemeden önce, üzerine dikkatinizi çekmek istediğim
											bilimciler ve tasarım ile ilgili güzel bir detay var.
											Diyebilirsiniz ki bilim ve tasarım arasındaki ilişki
											yüzyıllar öncesine dek uzanır. Ve tabi ki konuşabilirsiniz,
											Leonardo da Vinci ve tüm diğer Rönesans adam ve kadınları hakkında —
											bunun arkasında dev gibi bir tarih var.
											Ama ismini duymuş olabileceğiniz büyük bir bilim tarihçisine göre,
											Peter Galison - kendisi Harvard üniversitesi'nde eğitim veriyor -
											özellikle nanoteknoloji ve kuantum fiziği
											tasarımcıların alana olan ilgisini yeniledi,
											tasarım icin gerçek bir tutkuyu canlandırdı.
									","
											Bevor ich Ihnen ein paar Bilder zur Vorschau zeige,
											möchte ich auf dieses schöne Detail
											über Wissenschaflter und Design hinweisen.
											Man kann sagen, dass die Beziehung zwischen Wissenschaft und Design
											Jahrhunderte zurückgeht. Man kann natürlich über Leonardo da Vinci
											und viele andere Männer und Frauen der Renaissance reden –
											und dahinter steckt eine lange Geschichte.
											Aber laut eines bedeutenden Wissenschaftshistorikers
											Peter Galison – er unterrichtet an Harvard –
											hat die Nanotechnologie, insbesondere die Quantenphysik,
											den Designern dieses erneuerte Interesse gebracht,
											diese wirkliche Leidenschaft für Design.
									","
											Y antes de que me lance a la proyección de algunas diapositivas
											y al preestreno, quisiera puntualizar
											este bello detalle sobre los científicos y el diseño.
											Puedes decir que la relación entre ciencia y diseño
											remonta siglos. Seguro que puedes hablar acerca de
											Leonardo da Vinci, de muchos otros hombres y mujeres renacentistas,
											y hay una gigantesca historia detrás de ello.
											Pero según un gran historiador de la ciencia que podrían conocer
											Peter Galison — él enseña en Harvard —
											lo que la nanotecnología en particular y la física cuántica
											han brindado a los diseñadores es este renovado interés,
											esta verdadera pasión por el diseño.
									",Design and the Elastic Mind,Paola Antonelli,17:40,"art,brain,design,museums,graphic design"
"
","
","
","
","
",Design and the Elastic Mind,Paola Antonelli,17:40,"art,brain,design,museums,graphic design"
"
											Donc essentiellement, l'idée d'être en mesure de construire les choses en partant de la base,
											atome par atome, les a tous transformé en bricoleurs.
											Et tout d'un coup les scientifiques cherchent les concepteurs
											comme les concepteurs cherchent les scientifiques.
											c'est une nouvelle relation que nous essayons de cultiver
											à MOMA, ensemble avec Adam Bly, qui est le fondateur de ""Seed magazine"" —
											qui est maintenant une entreprise de multimédia, que vous connaissez peut-être —
											nous l'avons créé, il y a environ un an, comme un salon mensuel entre
											les concepteurs et les scientifiques, et c'est vraiment beau.
											Et Keith a participé, avec Jonathan et plusieurs autres.
											Et c'était intense, puisque au début il y avait une compétition d'excuses,
											vous savez, les scientifique disent aux concepteurs,
											- vous savez -, "" je ne sais pas quel style c'est, je ne suis pas vraiment élégant"".
											Et les concepteurs répondent avec: ""Oh, je ne sais pas résoudre une équation,
											je ne comprends pas ce que vous dites"". Et tout d'un coup
											ils ont commencé à parler leurs langues respectives,
											et maintenant nous avons atteint le point où ils collaborent.
									","
											So basically, the idea of being able to build things bottom up,
											atom by atom, has made them all into tinkerers.
											And all of a sudden scientists are seeking designers,
											just like designers are seeking scientists.
											It's a brand-new love affair that we're trying to cultivate
											at MOMA. Together with Adam Bly, who is the founder of Seed magazine —
											that's now a multimedia company, you might know it —
											we founded about a year ago a monthly salon
											for designers and scientists, and it's quite beautiful.
											And Keith has come, and also Jonathan has come and many others.
											And it was great, because at the beginning was this apology fest —
											you know, scientists would tell designers,
											you know, I don't know what style is, I'm not really elegant.
											And designers would like, oh, I don't know how to do an equation,
											I don't understand what you're saying. And then all of a sudden
											they really started talking each others' language,
											and now we're already at the point that they collaborate.
									","
											Yani kısacası, birşeyleri aşağıdan yukarıya dogru,
											atom atom inşa edebilme yetenegi, tüm tasarımcıları kurcalamaya ve oynamaya yönlendirdi.
											Ve birden bire bilimciler tasarımcıları aramaya,
											tasarımcılar da bilimcileri aramaya başladı.
											Bu bizim beslemeye çalıştığımız yepyeni bir aşk ilişkisi,
											MOMA' da. Seed magazininin kurucusu Adam Bly ile birlikte
											- Seed magazin şimdi bir multimedya şirketi, belki biliyorsunuzdur —
											bir sene kadar önce aylık bir salon kurduk
											tasarımcı ve bilimciler için, ve epey güzel oldu.
											Keith geldi, Jonathan da geldi ve diğerleri...
											Ve bu harikaydı çünkü olayın başlangıcında bir özür festivali oldu —
											nasıl diyeyim, bilimciler tasarımcılara şöyle diyordu,
											stil nedir bilmiyorum, çok zarif değilim.
											Ve tasarımcılar da, nasıl denklem yapılır bilmiyorum,
											ve dediklerini anlamıyorum diyordu. Ve birden bire
											gerçekten birbirlerinin dilini konuşmaya başladılar
											ve şu an çoktan işbirliği yapabilecekleri noktaya geldik.
									","
											Im Prinzip ist es die Idee, Dinge von Grund her aufzubauen,
											Atom für Atom. Das hat sie alle zu Tüftlern gemacht.
											Und plötzlich suchen die Wissenschaftler die Designer,
											so wie Designer die Wissenschaftler suchen.
											Es ist eine brandneue Liebesgeschichte, die wir bei MOMA versuchen
											zu kultivieren. Zusammen mit Adam Bly, dem Gründer der Zeitschrift Seed –
											das ist nun eine Multimediafirma, Sie kennen sie vielleicht –
											gründeten wir vor einem Jahr einen monatlichen Salon
											für Designer und Wissenschaftler. Es ist grossartig.
											Keith ist gekommen, und auch Jonathan und viele andere.
											Es war herrlich. Am Anfang war es ein Entschuldigungs-Festival.
											Die Wissenschaftler sagten zu Designern:
											""Ich weiss nicht, was Stil ist, ich bin nicht wirklich elegant.""
											Und die Designer: ""Ich weiss nicht, wie man eine Gleichung löst,
											ich verstehe nicht, was Sie sagen."" Und plötzlich
											fingen sie an, in der jeweils anderen Sprache zu sprechen,
											und nun sind wir am Punkt, wo sie zusammenarbeiten.
									","
											Así que básicamente, la idea de poder construir cosas de abajo a arriba,
											átomo por átomo, ha hecho de todos ellos zurcidores.
											Y súbitamente los científicos están buscando diseñadores,
											igual que los diseñadores están buscando científicos.
											Es una flamante aventura amorosa que estamos intentando cultivar
											en el MoMA, junto a Adam Bly, quien es fundador de la revista Seed —
											ahora compañía multimedia, pudieran conocerla —
											fundamos hace como un año un salón mensual en el ínterin
											para diseñadores y científicos, y es muy hermoso.
											Y Keith ha venido, y también Jonathan ha venido y muchos otros.
											Y fue grandioso, porque al comienzo era esta fiesta de disculpas,
											saben, los científicos les dirían a los diseñadores,
											saben, no sé qué estilo es, no soy muy elegante.
											Y a los diseñadores gustaría, oh, no sé cómo hacer una ecuación,
											no entiendo lo que están diciendo. Y luego, de repente
											los unos realmente comenzaron a hablar el idioma de los otros,
											y ahora ya estamos en el punto en que ellos colaboran.
									",Design and the Elastic Mind,Paola Antonelli,17:40,"art,brain,design,museums,graphic design"
