en,tr,pt,fr,title,speaker,duration,tags
"
","
","
","
",Let's bridge the digital divide!,Aleph Molinari,9:54,"TEDx,global issues,poverty,technology"
"
											The digital divide is a mother
that's 45 years old and can't get a job,
											because she doesn't know
how to use a computer.
											It is an immigrant that doesn't know
that he can call his family for free.
											It is a child who can't
resolve his homework,
											because he doesn't have
access to information.
											The digital divide is a new illiteracy.
											""Digital divide"" is also defined as:
											the gap between individuals
and communities
											that have access
to information technologies
											and those that don't.
									","
											Sayısal uçurum, 45 yaşında,
iş bulamayan bir annedir,
											çünkü, nasıl bilgisayar 
kullanacağını bilmiyor.
											Ailesini bedava arayabileceğini 
bilmeyen bir göçmendir o.
											Ya da ev ödevini araştırmayı
bilmeyen bir çocuk
											çünkü bilgiye erişimi yok.
											Sayısal uçurum yeni bir cehalet türü.
											""Sayısal uçurum""u şöyle açıklayabiliriz:
											Bilişim teknolojilerine 
erişimi olan ve bunlara
											erişimi olmayan kişi ve topluluklar
											arasındaki uçurum.
									","
											O fosso digital é uma mãe de 45 anos
que não consegue emprego
											porque não sabe usar um computador.
											É um emigrante que não sabe
que pode telefonar à família grátis.
											É uma criança que não pode
fazer os trabalhos de casa
											porque não tem acesso à informação.
											O fosso digital é o novo analfabetismo.
											""Fosso digital"" também se define
											como a diferença
entre indivíduos e comunidades
											que têm acesso às tecnologias
da informação e aqueles que não têm.
									","
											La fracture numérique, c'est une mère
de 45 ans qui ne peut pas trouver d'emploi
											car elle ne sait pas 
utiliser un ordinateur.
											C'est un immigrant qui ne sait comment
appeler sa famille gratuitement.
											C'est un enfant qui ne peut 
pas faire ses devoirs,
											car il n'a pas accès à l'information.
											La fracture numérique
est le nouvel analphabétisme.
											La fracture numérique est définie comme
											l'écart entre individus et communautés
											qui ont accès
aux technologies de l'information
											et ceux qui ne l'ont pas.
									",Let's bridge the digital divide!,Aleph Molinari,9:54,"TEDx,global issues,poverty,technology"
"
","
","
","
",Let's bridge the digital divide!,Aleph Molinari,9:54,"TEDx,global issues,poverty,technology"
"
											Why does this happen?
It happens because of 3 things.
											The first is that people can't get
access to these technologies
											because they can't afford them.
											The second is because
they don't know how to use them.
											The third is because they don't know
the benefits derived from technology.
											So let's consider
some very basic statistics.
											The population of the world
is nearly seven billion people.
											Out of these, approximately two billion
are digitally included.
											This is approximately 30%
of the entire world population,
											which means that the remaining
70% of the world —
											close to five billion people —
											do not have access
to a computer or the internet.
											Let's think about
that number for a second.
											Five billion people; that's four
times the population of India,
											that have never touched a computer,
have never accessed the internet.
											So this is a digital abyss
that we're talking about,
											this is not a digital divide.
									","
											Neden böyle bir durum söz konusu?
Üç sebebi var.
											Bunlardan ilki, insanların bu
teknolojilere erişimi yok
											çünkü yeterli maddi durumları yok.
											İkincisi,
nasıl kullanacaklarını bilmiyorlar.
											Son olarak, teknolojinin getirdiği
faydalardan bir haberler.
											Konuyla ilgili bazı istatistiklere
bir göz atalım.
											Dünya nüfusu neredeyse yedi milyar.
											Yaklaşık olarak, insanların, iki milyarı
dijital olarak varlar.
											Tüm dünya nüfusunun 
ortalama %30'u ediyor bu,
											bunun anlamı şu, geriye kalan %70 —
											neredeyse beş milyar insanın —
											bir bilgisayara ya da internete
erişimi yok.
											İkinci sayı üzerine biraz
kafa patlatalım.
											Beş milyar insan; Hindistan'ın 
nüfusunun dört katı,
											hayatları boyunca bir bilgisayara
dokunmadılar bile, internet erişimi yok.
											Hakkında konuştuğumuz şey,
bu dijital boşluk işte,
											bu bir sayısal uçurum değil.
									","
											Porque é que isto acontece?
Acontece por três razões.
											A primeira é porque as pessoas
não têm acesso a estas tecnologias
											porque não as podem pagar.
											A segunda é porque não as sabem usar
											e a terceira é porque desconhecem
os benefícios da tecnologia.
											Vejamos algumas
estatísticas muito simples.
											A população mundial é de quase
sete mil milhões de pessoas.
											Destas, cerca de dois mil milhões
estão digitalmente incluídas.
											Isto é aproximadamente
30% da população mundial,
											o que significa que os 
restantes 70% da população
											— quase cinco mil milhões de pessoas —
											não têm acesso a um
computador ou à Internet.
											Pensemos um pouco neste número.
											Cinco mil milhões de pessoas
— quatro vezes a população da Índia —
											nunca tocaram num computador
e nunca tiveram acesso à Internet.
											Isto é um abismo digital,
											não é um fosso digital.
									","
											Pourquoi cela arrive ? Trois raisons.
											La première est que les gens ne peuvent 
accéder à ces technologies
											car ils ne peuvent se les payer.
											La deuxième est qu'ils ne savent pas 
les utiliser.
											La troisième est qu'ils ne savent pas 
les avantages liés à la technologie.
											Considérons quelques statistiques de base.
											La population mondiale est d'environ 
sept milliards de personnes.
											Sur ce total, environ deux milliards 
sont inclus numériquement.
											C'est approximativement 30%
de la population mondiale,
											ce qui veut dire que les 70% restants -
											près de cinq milliards de gens -
											n'ont pas accès
à un ordinateur ou à Internet.
											Réfléchissons à ce nombre une seconde.
											Cinq milliards de personnes -
quatre fois la population de l'Inde -
											qui n'ont jamais touché un ordinateur,
ni eu accès à Internet.
											Donc c'est un abîme numérique 
dont nous parlons,
											ce n'est pas une fracture.
									",Let's bridge the digital divide!,Aleph Molinari,9:54,"TEDx,global issues,poverty,technology"
"
","
","
","
",Let's bridge the digital divide!,Aleph Molinari,9:54,"TEDx,global issues,poverty,technology"
"
											Here we can see a map by Chris Harrison
											that shows the internet connections
around the world.
											What we can see is that most
of the internet connections
											are centered on North America and Europe,
											while the rest of the world is engulfed
in the dark shadow of digital divide.
											Next, we can see connections,
city-to-city, around the world,
											and we can see that most
of the information generated
											is being generated
between North America and Europe,
											while the rest of the world is not
broadcasting their ideas or information.
											So what does this mean?
											We are living in a world that seems
to be having a digital revolution,
											a revolution that everyone here
thinks that we're part of,
											but the 70% of the world that is
digitally excluded is not part of this.
									","
											Chris Harrison'un haritasında görebiliriz,
											dünya boyunca internet 
bağlantılarını gösteriyor.
											En çok internet kulllanımın olduğu
yeri görebiliyoruz,
											Kuzey Amerika ve Avrupa'nın ortası,
											dünyanın geriye kalanı, sayısal uçurum
karanlığında kaybolup gidiyor.
											Sıradaki, şehirler arası, dünyadaki
internet trafiğini görebiliyoruz,
											ve bilişim alışverişinin çoğunlukta
olduğu yerler,
											yine Kuzey Amerika ile Avrupa arasında,
											dünyanın geriye kalanı ise
herhangi bir fikir ve bilgi yayınlamıyor.
											Peki, nedir bu, anlamı ne ?
											Görünen o ki, dijital bir devrim yaşıyoruz
											ve herkes kendini bu devrimin
bir parçası olarak düşünüyor
											ancak dünyanın %70'i bunun bir parçası
olmaktan çok uzak.
									","
											Temos aqui um mapa de Chris Harrison
											com as ligações à Internet no mundo.
											Vemos que a maioria
das ligações à Internet
											se concentra na América do Norte
e na Europa,
											enquanto o resto do mundo está debaixo
da sombra escura do fosso digital.
											Aqui, temos as ligações
entre cidades no mundo,
											e podemos ver
que a maior parte da informação
											é gerada entre
a América do Norte e a Europa,
											enquanto o resto do mundo não transmite
as suas ideias ou as suas informações.
											O que é que isso significa?
											Vivemos num mundo que parece
atravessar uma revolução digital,
											uma revolução da qual
todos pensamos fazer parte,
											mas os 70% digitalmente
excluídos não fazem parte dela.
									","
											Là on peut voir une carte
par Chris Harrison
											qui montre les connexions Internet 
autour du monde.
											On peut voir que la plupart
des connexions Internet
											sont concentrées en
Amérique du Nord et Europe,
											quand le reste du monde est englouti dans
l'ombre sombre de la fracture numérique.
											A côté, on peut voir les connexions 
ville-à-ville, dans le monde.
											On peut voir que la plupart 
des informations générées
											le sont entre
l'Amérique du Nord et l'Europe,
											tandis que le reste du monde ne 
diffuse pas ses idées ou ses informations.
											Donc qu'est-ce que cela veut dire ?
											Nous vivons dans un monde qui 
semble vivre une révolution numérique,
											une révolution dont chacun
pense faire partie,
											mais les 70% du monde qui sont 
numériquement exclus n'en font pas partie.
									",Let's bridge the digital divide!,Aleph Molinari,9:54,"TEDx,global issues,poverty,technology"
"
","
","
","
",Let's bridge the digital divide!,Aleph Molinari,9:54,"TEDx,global issues,poverty,technology"
"
											What does this mean?
											Well, the people that will be digitally
excluded won't be able to compete
											in the labor markets of the future,
											they won't be connected,
they'll be less informed,
											they'll be less inspired
											and they'll be less responsible.
											Internet should not be a luxury,
it should be a right,
											because it is a basic social necessity
of the 21st century.
											We can't operate without it.
									","
											Peki, ne demek bu?
											Dijital olarak dışlanmış insanlar,
rekabet edemeyecekler
											geleceğin iş dünyasında,
											iletişime geçemeyecekler,
daha az bilgi sahibi olacaklar
											daha az etkileşim,
											ve daha az sorumlulukları olacak.
											İnternet lüks olmamalı,
o bir hak olmalı,
											çünkü 21. yüzyılın temel sosyal
gerekliliğidir internet.
											Onsuz iş göremeyiz.
									","
											O que é que isto significa?
											As pessoas digitalmente
excluídas não poderão competir
											no mercado de trabalho do futuro,
											não estarão interligadas,
estarão menos informadas,
											menos inspiradas
e serão menos responsáveis.
											A Internet não deveria
ser um luxo, mas um direito
											porque é uma necessidade
social básica do século XXI,
											sem a qual não funcionamos.
									","
											Cela veut dire quoi ?
											Bien, les gens qui seront numériquement
exclus ne pourront pas être compétitifs
											sur les marchés de travail du futur,
											ils ne seront pas connectés,
ils seront moins informés,
											ils seront moins inspirés,
											et ils seront moins responsables.
											Internet ne doit pas être un luxe,
il doit être un droit,
											parce qu'il est une nécessité sociale 
de base du 21e siècle.
											On ne peut fonctionner sans.
									",Let's bridge the digital divide!,Aleph Molinari,9:54,"TEDx,global issues,poverty,technology"
"
","
","
","
",Let's bridge the digital divide!,Aleph Molinari,9:54,"TEDx,global issues,poverty,technology"
"
											(Applause)
									","
											(Alkış)
									","
											(Aplausos)
									","
											(Applaudissements)
									",Let's bridge the digital divide!,Aleph Molinari,9:54,"TEDx,global issues,poverty,technology"
