es,tr,en,fr,de,title,speaker,duration,tags
"
","
","
","
","
",Life lessons from an ad man,Rory Sutherland,16:39,"advertising,business,consumerism,creativity,economics,happiness,life,psychology"
"
											Esta es mi primera vez en TED. 
Normalmente como publicista,
											hablo en TED Diabólico, que es 
la organización hermana secreta de TED,
											la que paga las cuentas;
											se realiza cada dos años en Birmania.
											Y recuerdo en particular 
una muy buena ponencia
											de Kim Jong II sobre cómo hacer 
que los jóvenes vuelvan a fumar.
											(Risas)
									","
											Bu benim TED'deki ilk konuşmam. Normalde , bir reklamcı olarak,
											TED'in kardeş organizasyonu olan, Şeytan TED'de konuşuyorum.
											Faturaları ödeyen versiyonu.
											Burma'da iki yılda bir yapılır.
											Ve özellikle Kim Jong İI tarafından hazırlanan
											""Gençler nasıl yeniden sigaraya başlatılır"" konusunda iyi bi demeci hatırladım.
											(Kahkahalar)
									","
											This is my first time at TED. Normally, as an advertising man,
											I actually speak at TED Evil, which is TED's secret sister
											that pays all the bills.
											It's held every two years in Burma.
											And I particularly remember a really good speech
											by Kim Jong Il on how to get teens smoking again.
											(Laughter)
									","
											C'est la première fois que je viens à TED. D'habitude, comme je suis publicitaire,
											je parle plutôt à TED Démoniaque, une organisation secrète jumelle de TED,
											celle qui paie toutes les factures.
											Elle se tient tous les deux ans en Birmanie.
											Je me rappelle surtout un très bon discours
											de Kim Jong Il sur la façon de promouvoir la cigarette chez les ados.
											(Rires)
									","
											Dies ist mein erstes Mal bei TED. Normalerweise - als ein Mann, der in der Werbung arbeitet -
											spreche ich eigentlich bei TED Böse, der geheimen Schwesterorganisation von TED —
											derjenigen, die alle Rechnungen bezahlt.
											Sie findet alle zwei Jahre in Birma statt.
											Insbesondere erinnere ich mich an einen sehr guten Vortrag
											von Kim Jong Il darüber, wie man Teenager wieder zum Rauchen bewegt.
											(Gelächter)
									",Life lessons from an ad man,Rory Sutherland,16:39,"advertising,business,consumerism,creativity,economics,happiness,life,psychology"
"
","
","
","
","
",Life lessons from an ad man,Rory Sutherland,16:39,"advertising,business,consumerism,creativity,economics,happiness,life,psychology"
"
											En realidad, se me ocurre de repente, 
después de varios años en el negocio,
											que lo que creamos en la publicidad,
											que es un valor intangible 
—podrían llamarlo valor percibido,
											valor emblemático, valor subjetivo o
											valor intangible de algún tipo—
											tiene una cierta mala reputación.
											Si lo piensan, si quieren vivir 
en un mundo en el futuro
											donde haya menos cosas materiales, 
tienen básicamente dos opciones:
											Pueden vivir en un mundo 
que sea más pobre,
											lo que a la gente en 
general no le gusta,
											o pueden vivir en un mundo en el 
que de hecho el valor intangible
											constituya una gran parte del valor total;
											y en realidad, ese valor intangible 
es en muchas formas
											un sustituto muy muy bueno
											para utilizar mano de obra 
o recursos limitados
											en la creación de cosas.
									","
											Ama gerçekten, yıllar sonra bu işte çalışırken aklıma gelen şey :
											biz reklamcılık yaparken,
											manevi değeri — siz bunu hissedilen değer,
											etiket değeri, subjektif değeri,
											bir tür manevi değer olarak adlandırabilirsiniz—
											genelde kötü eleştiri alır.
											Ama düşündüğünüz zaman, gelecekte daha az materyalin
											bulunduğu dünya içinde, iki seçeneğiniz vardır.
											Fakir olan dünya içinde yaşayabilirsiniz,
											ki insanlar bunu pek sevmezler
											Ya da öyle bir dünya üzerinde yaşayabilirsiniz ki
											manevi değerin ortalama değer üzerine atandığı
											bir çok yönden , işçi kullanımı ve limitli
											kaynakları kullanmada çok çok iyi
											yedek güce sahip olunan bir ortamdır
											bir şeyleri yaratmada.
									","
											But, actually, it's suddenly come to me after years working in the business,
											that what we create in advertising,
											which is intangible value — you might call it perceived value,
											you might call it badge value, subjective value,
											intangible value of some kind —
											gets rather a bad rap.
											If you think about it, if you want to live in a world in the future
											where there are fewer material goods, you basically have two choices.
											You can either live in a world which is poorer,
											which people in general don't like.
											Or you can live in a world where actually intangible value
											constitutes a greater part of overall value,
											that actually intangible value, in many ways
											is a very, very fine substitute
											for using up labor or limited resources
											in the creation of things.
									","
											En fait, je me suis soudain rendu compte, après des années dans ce business,
											que ce qu'on crée en tant que publicitaire,
											une valeur intangible, qu'on pourrait appeler ""valeur perçue"",
											ou encore ""valeur de marque"", ""valeur subjective"",
											enfin une sorte de valeur intangible,
											a assez mauvaise presse.
											Quand on y pense, si on veut vivre dans le futur dans un monde
											où l'on a moins de biens matériels, on a en gros deux options.
											Soit on vit dans un monde plus pauvre,
											ce qu'en général les gens n'aiment pas.
											Ou bien on peut vivre dans un monde où la valeur intangible
											a plus d'importance au sein de la valeur globale.
											La valeur intangible, par bien des aspects,
											est un très très bon substitut
											à l'effort ou à l'utilisation de ressources limitées
											pour créer les choses.
									","
											Plötzlich, nach Jahren Arbeit in der Werbe-Industrie, habe ich erkannt,
											dass das, was wir in der Werbung produzieren,
											also immateriellen Wert — man kann ihn wahrgenommenen Wert nennen
											oder vielleicht ""Badge Value"" (Renommee), subjektiven Wert,
											irgendeine Art von immateriellem Wert also —
											einen ziemlich schlechten Ruf hat.
											Überlegen Sie sich Folgendes: Wenn man in Zukunft in einer Welt leben möchte,
											in der es weniger materielle Güter gibt, gibt es grundsätzlich zwei Möglichkeiten.
											Entweder lebt man in einer ärmeren Welt,
											was Menschen im Allgemeinen nicht gefällt.
											Oder man lebt in einer Welt, in welcher immaterieller Wert
											einen größeren Teil des Gesamtwerts ausmacht,
											In der Tat ist immaterieller Wert, auf viele Arten,
											bei der Herstellung von Dingen
											ein sehr, sehr guter Ersatz
											für den Verbrauch von Arbeit oder begrenzten Ressourcen.
									",Life lessons from an ad man,Rory Sutherland,16:39,"advertising,business,consumerism,creativity,economics,happiness,life,psychology"
"
","
","
","
","
",Life lessons from an ad man,Rory Sutherland,16:39,"advertising,business,consumerism,creativity,economics,happiness,life,psychology"
"
											Aquí tienen un ejemplo. Este es 
un tren que va de Londres a París.
											Le preguntaron a 
un grupo de ingenieros
											hace 15 años: ""¿Cómo mejoramos 
el recorrido a París?""
											Entonces se les ocurrió una 
muy buena solución de ingeniería,
											que vino a costar 
seis mil millones de libras,
											para construir rieles 
completamente nuevos
											de Londres a la costa,
											eliminando cerca de 40 minutos 
de un recorrido de 3 horas y media.
											Llámenme Sr. Delicado, 
soy simplemente un publicista...
											pero me llama la atención la ligera falta de 
imaginación para mejorar un viaje en tren
											meramente haciéndolo más corto.
											Ahora bien, ¿cuál es el costo 
de una oportunidad hedonista
											al gastar seis mil millones 
de libras en esos tramos de riel?
									","
											Size bir örnek vereyim. Londra'dan Paris'e giden bir tren var.
											15 sene önce bi grup mühendise sorulan soru şuydu :
											""Paris'e yapılan seyahati nasıl daha iyi bir hale getirebiliriz?""
											Ve onlar baya güzel bir mühendislik çözümüyle geldiler
											ki bunun için 6 milyar pound harcanmıştı.
											yeni yollar inşa ederek
											Londra'dan kıyıya kadar,
											üç buçuk saatlik yolculuğu 40 dakika daha erken bitirebiliyordu.
											Şimdi bana Mr. Pickey diyebilirsiniz,ben sadece bir reklamcıyım...
											ama bir tren yolculuğunu daha kısa yapmak birazcık
											yaratıcılıktan uzak geliyor.
											Daha zevkli olan diğer fırsatın maliyeti.
											ne olabilir?
									","
											Here is one example. This is a train which goes from London to Paris.
											The question was given to a bunch of engineers,
											about 15 years ago, ""How do we make the journey to Paris better?""
											And they came up with a very good engineering solution,
											which was to spend six billion pounds
											building completely new tracks
											from London to the coast,
											and knocking about 40 minutes off a three-and-half-hour journey time.
											Now, call me Mister Picky. I'm just an ad man ...
											... but it strikes me as a slightly unimaginative way of improving a train journey
											merely to make it shorter.
											Now what is the hedonic opportunity cost
											on spending six billion pounds on those railway tracks?
									","
											Un exemple : voici un train qui relie Londres et Paris.
											On a posé la question à un groupe d'ingénieurs,
											il y a environ 15 ans : ""Comment améliorer le voyage jusqu'à Paris ?""
											Ils ont répondu avec une très bonne solution d'ingénieurs
											à savoir dépenser 6 milliards de livres
											pour construire des voies toutes neuves
											de Londres jusqu'à la côte
											pour réduire de 40 minutes un trajet de 3 heures ½.
											Appelez-moi M. Rabat-Joie si vous voulez. Je suis juste publicitaire
											mais ça me paraît manquer un peu d'originalité pour améliorer un voyage en train
											que de juste le raccourcir.
											Quelle meilleure façon y a-t-il
											de dépenser ces 6 milliards de livres sur ce trajet ?
									","
											Hier ein Beispiel: Dies ist ein Zug, der von London nach Paris fährt.
											Die Frage, die vor ungefähr 15 Jahren einer Gruppe
											von Ingenieuren gestellt wurde, war: ""Wie verbessern wir die Reise nach Paris?""
											Und sie entwickelten eine sehr gute Ingenieur-Lösung,
											die daraus bestand, sechs Milliarden Pfund auszugeben und
											komplett neue Schienen von
											London an die Küste zu verlegen,
											und somit eine dreieinhalbstündige Reise um ca. 40 Minuten zu verkürzen.
											Sie können mich ruhig wählerisch nennen. Ich bin nur ein Werbe-Fachmann...
											... aber ich finde den Ansatz, um eine Zugreise zu verbessern, sie lediglich kürzer
											zu machen, leicht phantasielos.
											Wie hoch sind nun die hedonistischen Opportunitätskosten,
											wenn man sechs Milliarden Pfund für diese Gleise ausgibt?
									",Life lessons from an ad man,Rory Sutherland,16:39,"advertising,business,consumerism,creativity,economics,happiness,life,psychology"
"
","
","
","
","
",Life lessons from an ad man,Rory Sutherland,16:39,"advertising,business,consumerism,creativity,economics,happiness,life,psychology"
"
											Aquí tienen mi ingenua 
sugerencia de publicista:
											Lo que de hecho deberían hacer es 
emplear a todos los supermodelos,
											hombres y mujeres,
											y pagarles para que caminen a lo largo 
del tren regalando vino Chateau Petrus
											durante todo el recorrido.
											(Risas)
											(Aplausos)
											Todavía quedarían 
tres mil millones de libras
											y la gente pediría que 
los trenes fueran más despacio.
											(Risas)
									","
											İşte benim gibi bir reklamcının naif tavsiyesi.
											Aslında yapılması gereken dünyanın bütün erkek ve kadın
											süpermodellerini işe almak,
											onlara tren boyunca yürümeleri ve bütün yolculuk boyunca
											bedava Chateau Petrus şarabı vermeleri için para ödemek.
											(Kahkahalar)
											(Alkışlar)
											Bunu yapınca yine de yanınızda 3 milyar pound para kalırdı,
											ve insanlar trenin daha da yavaş gitmesini isterlerdi.
											(Kahkahalar)
									","
											Here is my naive advertising man's suggestion.
											What you should in fact do is employ all of the world's top male
											and female supermodels,
											pay them to walk the length of the train, handing out free Chateau Petrus
											for the entire duration of the journey.
											(Laughter)
											(Applause)
											Now, you'll still have about three billion pounds left in change,
											and people will ask for the trains to be slowed down.
											(Laughter)
									","
											Juste une suggestion naïve de publicitaire.
											Ce qu'on devrait faire en fait, ce serait d'employer tous les plus beaux
											mannequins hommes et femmes du monde
											et les payer pour parcourir les allées du train, à offrir du Château Petrus gratuitement
											pendant toute la durée du trajet.
											(Rires)
											(Applaudissements)
											Il vous restera encore 3 milliards de livres en argent de poche...
											et les passagers voudront ralentir le train !
											(Rires)
									","
											Hier ist der naive Vorschlag es Werbe-Fachmanns.
											Was man tun sollte, ist die besten männlichen und weiblichen
											Supermodels der ganzen Welt anheuern
											und sie dafür bezahlen, die Länge des Zugs auf- und abzuflanieren und die gesamte Fahrt über
											kostenlosen Château Pétrus auszuschenken.
											(Gelächter)
											(Applaus)
											So hätte man immer noch ca. drei Milliarden übrig
											und die Leute würden darum bitten, die Züge langsamer zu machen.
											(Gelächter)
									",Life lessons from an ad man,Rory Sutherland,16:39,"advertising,business,consumerism,creativity,economics,happiness,life,psychology"
"
","
","
","
","
",Life lessons from an ad man,Rory Sutherland,16:39,"advertising,business,consumerism,creativity,economics,happiness,life,psychology"
"
											Bien, aquí tienen otra pregunta 
ingenua de publicista,
											que muestra que los ingenieros,
											médicos y científicos
											tienen una obsesión por 
resolver problemas de la realidad,
											cuando en realidad la mayoría de los problemas, 
una vez que se alcanza un nivel básico de riqueza
											en la sociedad, son en realidad 
problemas de percepción.
											Así que les haré la siguiente pregunta:
											¿Qué diablos tienen 
de malo los placebos?
											A mí me parecen fantásticos, 
pues el costo de su desarrollo es bajo,
											funcionan extraordinariamente bien,
											no tienen efectos secundarios,
											o si los tienen, son imaginarios, así 
que pueden ignorarlos con toda seguridad.
											(Risas)
									","
											Bir başka naif soru daha.
											ve bu soru mühendislerin,
											tıp alanındakilerin, bilim adamlarının,
											ve gerçekliğin problemlerini çözmeye çalışan insanlar ile ilgili,
											aslında çoğu problem, belli bir refah seviyesine gelindiğinde
											çoğu problemler algı ile ilgili olur.
											Şimdi size soruyu sorayım.
											Dünyanın placebo etkisi ile alıp veremediği nedir?
											Bana çok fantastik gelirler.Geliştirmek için çok az para harcanır.
											İnanılmaz derecede iyi çalışırlar.
											Yan etkileri yoktur,
											olursa da, hayalidir, yani güvenle inkar edilebilir.
											(Kahkahalar)
									","
											Now, here is another naive advertising man's question again.
											And this shows that engineers,
											medical people, scientific people,
											have an obsession with solving the problems of reality,
											when actually most problems, once you reach a basic level of wealth
											in society, most problems are actually problems of perception.
											So I'll ask you another question.
											What on earth is wrong with placebos?
											They seem fantastic to me. They cost very little to develop.
											They work extraordinarily well.
											They have no side effects,
											or if they do, they're imaginary, so you can safely ignore them.
											(Laughter)
									","
											J'ai une autre question naïve de publicitaire.
											Ca montre que les ingénieurs,
											les médecins, les scientifiques
											ont tous l'obsession de résoudre les problèmes dans la réalité
											alors que la plupart des problèmes, quand on atteint un certain niveau de richesse
											dans une société, sont des problèmes de perception.
											Je vais vous poser une autre question.
											Quel est le problème des placébos ?
											Pour moi, c'est fantastique : ils ne demandent pas beaucoup d'argent à développer,
											ils sont redoutablement efficaces,
											ils n'ont pas d'effets secondaires,
											et s'ils en ont, ils sont imaginaires, donc on peut les ignorer sans problèmes.
											(Rires)
									","
											Hier noch eine Frage von einem naiven Werbe-Fachmann.
											Und die zeigt, dass Ingenieure,
											Mediziner, Wissenschaftler,
											davon besessen sind, Probleme der Wirklichkeit zu lösen,
											obwohl doch die meisten Probleme - sobald eine Gesellschaft ein Mindestmaß an
											Wohlstand erreicht hat – eigentlich Wahrnehmungsprobleme sind.
											Also stelle ich Ihnen eine andere Frage:
											Was zum Kuckuck soll denn an Plazebos schlecht sein?
											Mir erscheinen sie fantastisch. Die Entwicklungskosten sind außerordentlich gering.
											Sie haben eine ausgesprochen gute Wirkung.
											Sie haben keine Nebenwirkungen,
											oder wenn doch, dann sind sie lediglich eingebildet, und man kann sie guten Gewissens ignorieren.
											(Gelächter)
									",Life lessons from an ad man,Rory Sutherland,16:39,"advertising,business,consumerism,creativity,economics,happiness,life,psychology"
