en,fr,de,title,speaker,duration,tags
"
","
","
",What if all US health care costs were transparent?,Jeanne Pinder,7:04,"health care,health,data,economics,medicine,innovation,technology,crowdsourcing,public health,social change,United States,society"
"
											So, a little while ago,
											members of my family
had three bits of minor surgery,
											about a half hour each,
											and we got three sets of bills.
											For the first one, the anesthesia bill
alone was 2,000 dollars;
											the second one, 2,000 dollars;
											the third one, 6,000 dollars.
									","
											Il y a quelque temps,
											il y a eu trois opérations minimes
au sein de ma famille,
											d'environ une heure chacune
											et nous avons reçu trois factures.
											Pour la première, l’anesthésie seule
a coûté 2 000 dollars.
											Pour la deuxième, 2 000 dollars.
											Pour la troisième, 6 000 dollars.
									","
											Vor kurzer Zeit
											hatten Familienmitglieder von mir
drei kleinere Operationen
											jede jeweils etwa halbstündig,
											wir bekamen drei verschiedene Rechnungen.
											Bei der ersten betrugen die Kosten
für die Narkose allein 2000 Dollar;
											die zweite belief sich auf 2000 Dollar;
											die dritte auf 6000 Dollar.
									",What if all US health care costs were transparent?,Jeanne Pinder,7:04,"health care,health,data,economics,medicine,innovation,technology,crowdsourcing,public health,social change,United States,society"
"
","
","
",What if all US health care costs were transparent?,Jeanne Pinder,7:04,"health care,health,data,economics,medicine,innovation,technology,crowdsourcing,public health,social change,United States,society"
"
											So I'm a journalist.
I'm like, what's up with that?
											I found out that I was actually,
for the expensive one,
											being charged 1,419 dollars
for a generic anti-nausea drug
											that I could buy online
for two dollars and forty-nine cents.
											I had a long and unsatisfactory
argument with the hospital,
											the insurer and my employer.
											Everybody agreed
that this was totally fine.
											But it got me thinking, and the more
I talked to people, the more I realized:
											nobody has any idea
what stuff costs in health care.
											Not before, during or after
that procedure or test
											do you have any idea
what it's going to cost.
											It's only months later that you get
an ""explanation of benefits""
											that explains exactly nothing.
									","
											Je suis journaliste ; je me suis dit :
« On peut m'expliquer ? »
											J'ai découvert que, de fait,
pour l'opération la plus onéreuse,
											on me faisait payer 1 419 dollars
pour un générique contre la nausée
											que je pouvais me procurer sur Internet
pour 2 dollars et 49 centimes.
											J'ai eu une discussion longue
et peu satisfaisante avec l'hôpital,
											l'assureur et mon employeur.
											Tout le monde a affirmé
que c'était totalement normal.
											Cela m'a fait réfléchir
et plus j'en parlais, plus je réalisais :
											personne ne connaît
le prix des soins médicaux.
											Que ce soit avant, pendant, ou après
la procédure ou l'examen,
											vous n'avez aucune idée
de ce que ça va coûter.
											On ne reçoit qu'après des mois
une « explication des allocations »
											qui n'explique vraiment rien.
									","
											Ich bin Journalistin. Ich fragte mich:
Was hat es damit auf sich?
											Ich fand heraus, bei der teuren
											berechneten sie 1419 Dollar
für ein generisches Mittel gegen Übelkeit,
											das ich online kaufen kann:
für zwei Dollar und 49 Cent.
											Ich hatte eine lange, unbefriedigende
Diskussion mit dem Krankenhaus,
											der Versicherung und meinem Arbeitgeber.
											Alle meinten, das sei völlig in Ordnung.
											Es brachte mich zum Nachdenken 
und ich realisierte immer mehr:
											keiner hat eine Ahnung davon,
was Dinge im Gesundheitswesen kosten.
											Nicht vor, während oder nach
einem Eingriff oder einem Test
											hat man irgendeine Ahnung,
was es kosten wird.
											Monate später bekommt man
die ""Kostenerläuterung"",
											die absolut nichts erklärt.
									",What if all US health care costs were transparent?,Jeanne Pinder,7:04,"health care,health,data,economics,medicine,innovation,technology,crowdsourcing,public health,social change,United States,society"
"
","
","
",What if all US health care costs were transparent?,Jeanne Pinder,7:04,"health care,health,data,economics,medicine,innovation,technology,crowdsourcing,public health,social change,United States,society"
"
											So this came back to me
a little while later.
											I had volunteered for a buyout
from the New York Times,
											where I had worked for more than
20 years as a journalist.
											I was looking for my next act.
											It turned out that next act
was to build a company
											telling people what stuff costs
in health care.
											I won a ""Shark Tank""-type
pitch contest to do just that.
									","
											Cela m'est revenu un bout de temps après.
											J'étais bénévole pour un rachat
par le New York Times,
											où j'avais été journaliste
pendant plus de 20 ans.
											Je cherchais ma prochaine action.
											Il s'est avéré que cela serait
de fonder une entreprise
											qui indique aux gens
le coût des soins médicaux.
											J'ai gagné un concours oratoire
du style « Shark Tank » pour ça.
									","
											Eine Weile später kam ich wieder darauf.
											Ich hatte mich für einen Aufkauf
der New York Times entschieden,
											bei der ich mehr als 20 Jahre
als Journalistin arbeitete.
											Ich schaute mich nach etwas Neuem um.
											Ich gründete also ein Unternehmen,
											das aufzeigt, was Dinge
im Gesundheitswesen kosten.
											Ich gewann einen Wettbewerb
für Gründerideen, um genau das zu tun.
									",What if all US health care costs were transparent?,Jeanne Pinder,7:04,"health care,health,data,economics,medicine,innovation,technology,crowdsourcing,public health,social change,United States,society"
"
","
","
",What if all US health care costs were transparent?,Jeanne Pinder,7:04,"health care,health,data,economics,medicine,innovation,technology,crowdsourcing,public health,social change,United States,society"
"
											Health costs ate up almost 18 percent
of our gross domestic product last year,
											but nobody has any idea what stuff costs.
											But what if we did know?
											So we started out small.
											We called doctors and hospitals
											and asked them what they would accept
as a cash payment for simple procedures.
											Some people were helpful.
											A lot of people hung up on us.
											Some people were just plain rude.
											They said, ""We don't know,""
											or, ""Our lawyers won't
let us tell you that,""
											though we did get a lot of information.
											We found, for example,
that here in the New York area,
											you could get an echocardiogram
for 200 dollars in Brooklyn
											or for 2,150 dollars in Manhattan,
just a few miles away.
											New Orleans, the same simple blood test,
											19 dollars over here,
											522 dollars just a few blocks away.
											San Francisco, the same MRI,
											475 dollars
											or 6,221 dollars just 25 miles away.
											These pricing variations existed
for all the procedures
											and all the cities that we surveyed.
									","
											L'an dernier, la santé a avalé presque 18%
de notre produit intérieur brut
											mais personne ne sait combien cela coûte.
											Et si l'on savait ?
											Nous avons débuté modestement,
											en appelant des médecins et des hôpitaux
											pour leur demander ce qu'ils accepteraient
comme paiement pour de simples procédures.
											Quelques-uns nous ont aidés.
											Beaucoup nous ont raccroché au nez.
											Certains ont été carrément impolis.
											Ils disaient : « Nous l'ignorons. »
											ou : « Nos avocats nous défendent
de révéler cela. »
											Mais nous avons obtenu
beaucoup d'informations.
											Nous avons découvert,
par exemple, qu'ici à New York,
											un échocardiogramme coûte
200 dollars à Brooklyn
											et 2 150 dollars à Manhattan,
quelques kilomètres plus loin.
											A la Nouvelle-Orléans,
pour un même examen sanguin,
											19 dollars par-ci
											et 522 dollars quelques pâtés
de maisons plus loin.
											A San Francisco, pour un même IRM,
											475 dollars
											ou 6 221 dollars 40 kilomètres plus loin.
											Il y avait ces fluctuations des prix
pour toutes les procédures
											et dans toutes les villes sondées.
									","
											Gesundheitskosten machten fast 18 Prozent
unseres BIPs im letzten Jahr aus,
											aber niemand weiß,
wie viel die Dinge kosten.
											Aber was, wenn wir es wüssten?
											Wir fingen klein an.
											Wir riefen Ärzte und Krankenhäuser an
											und fragten sie, 
was einfache Eingriffe kosten.
											Manche Menschen waren hilfsbereit.
											Viele legten einfach auf.
											Einige waren einfach nur unhöflich.
											Sie sagten: ""Wir wissen es nicht.""
											Oder: ""Unsere Anwälte wollen nicht,
dass Sie es wissen"".
											Wir bekamen trotzdem viele Informationen.
											Wir fanden heraus, im Raum New York
											bekommt man in Brooklyn
eine Echokardiographie für 200 Dollar
											oder für 2150 Dollar in Manhattan,
nur wenige Kilometer entfernt.
											In New Orleans kostet der gleiche Bluttest
											hier 19 Dollar
											und 522 ein paar Blocks weiter.
											In San Francisco kostet das gleiche MRT
											475 Dollar
											oder 6221 nur 40 Kilometer weiter.
											Diese Preisunterschiede
gab es für sämtliche Eingriffe
											in allen Städten, die wir untersuchten.
									",What if all US health care costs were transparent?,Jeanne Pinder,7:04,"health care,health,data,economics,medicine,innovation,technology,crowdsourcing,public health,social change,United States,society"
"
","
","
",What if all US health care costs were transparent?,Jeanne Pinder,7:04,"health care,health,data,economics,medicine,innovation,technology,crowdsourcing,public health,social change,United States,society"
"
											Then we started to ask people
to tell us their health bills.
											In partnership with public radio station
WNYC here in New York,
											we asked women to tell us
the prices of their mammograms.
											People told us nobody would do that,
that it was too personal.
											But in the space of three weeks,
											400 women told us about their prices.
											Then we started to make it easier
for people to share their data
											into our online searchable database.
											It's sort of like a mash-up of Kayak.com
and the Waze traffic app for health care.
									","
											Nous avons ensuite demandé aux gens
leurs factures médicales.
											En partenariat avec WNYC,
une station de radio publique de New York,
											nous avons demandé à des femmes
les prix de leurs mammographies.
											On nous a dit que personne ne ferait ça,
que c'était trop personnel.
											Mais en l'espace de trois semaines,
											400 femmes nous ont révélé leurs coûts.
											Nous avons ensuite facilité
le partage d'informations
											dans notre base de données
accessible sur Internet.
											C'est une sorte de mélange entre kayak.com
et l'appli routière Waze, pour la santé.
									","
											Dann fingen wir an, 
nach Arztrechnungen zu fragen.
											Zusammen mit dem öffentlichen Radiosender
WNYC hier in New York
											fragten wir Frauen, 
was ihre Mammographien kosteten.
											Man glaubte, dass würde uns 
niemand verraten, es sei zu persönlich.
											Aber in nur drei Wochen
											teilten uns 400 Frauen die Kosten mit.
											Wir wollten es einfacher machen,
Informationen zu teilen
											und in unsere online verfügbare
Datenbank einzutragen.
											Es ist wie eine Mischung aus Kayak.com
und der App Waze fürs Gesundheitswesen.
									",What if all US health care costs were transparent?,Jeanne Pinder,7:04,"health care,health,data,economics,medicine,innovation,technology,crowdsourcing,public health,social change,United States,society"
