es,tr,fr,de,pt,title,speaker,duration,tags
"
","
","
","
","
",Why you will fail to have a great career,Larry Smith,15:15,"TEDx,business,failure,goal-setting,happiness,success"
"
											Quiero hablarles esta tarde
											sobre por qué no van a tener una gran carrera profesional. (Risas)
									","
											Ben, bu öğlen sizinle neden harika bir kariyer elde etmekte
											başarısız olacağınızı tartışmak istiyorum. (Kahkahalar)
									","
											Cet après-midi, je voudrais discuter avec vous
											de la raison pour laquelle vous n'allez pas réussir à faire carrière. (Rires)
									","
											Heute nachmittag möchte
ich mit Ihnen besprechen,
											warum Sie daran scheitern werden,
eine großartige Karriere zu haben. (Gelächter)
									","
											Quero conversar convosco esta tarde
											sobre o porquê de irem fracassar em 
ter uma excelente carreira. (Risos)
									",Why you will fail to have a great career,Larry Smith,15:15,"TEDx,business,failure,goal-setting,happiness,success"
"
","
","
","
","
",Why you will fail to have a great career,Larry Smith,15:15,"TEDx,business,failure,goal-setting,happiness,success"
"
											Soy economista, la ciencia funesta.
											Fin del día, listos para los comentarios funestos.
											Solo quiero decirles a aquellos de ustedes que quieran una gran carrera.
											Sé que algunos de ustedes ya han decidido
											que quieren una buena carrera.
											También van a fracasar (Risas)
											porque... Madre mía, están muy alegres con lo de fracasar. (Risas)
											Canadienses, sin duda. (Risas)
											Los que intenten tener una buena carrera fracasarán
											porque, en serio, los buenos trabajos están desapareciendo.
											Están los grandes trabajos y las grandes carreras,
											y luego están los empleos con mucha carga de trabajo, estresantes,
											que te chupan la sangre y te destruyen el alma,
											y, prácticamente, nada medio.
									","
											Ben bir ekonomistim. Ve kasvetliyim.
											Günün sonu, üzücü yorumların zamanı.
											Ben aranızdan sadece harika bir kariyer isteyenlerle konuşmak istiyorum.
											Biliyorum ki, bazılarınız çoktan harika bir
											kariyer istediklerine karar verdiler.
											Siz de başarısız olacaksınız — (Kahkahalar)
											çünkü — Aman tanrım, hepiniz başarısız olma konusunda ne kadar da neşelisiniz.
											Kanadalı grup, şüphesiz. (Kahkahalar)
											İyi bir kariyer sahibi olmaya çalışanlar başarısız olacak
											çünkü gerçekten de, iyi işler tükeniyor.
											Harika işler ve kariyerler var
											ve bolca stres, yüksek oranda iş yükü,
											kan emici, tekdüze ve can sıkıcı işler de var
											ve işten başka neredeyse hiçbir şey yok.
									","
											Je suis économiste. Je fais dans le lugubre.
											Fin de la journée, c'est l'heure des remarques lugubres.
											Je veux juste parler à ceux d'entre vous qui veulent une grande carrière.
											Je sais que certains d'entre vous ont déjà décidé
											que vous voulez une bonne carrière.
											Vous allez échouer, vous aussi - (Rires) -
											parce que - Mon Dieu, vous êtes tous si joyeux 
à l'idée d'échouer.
(Rires)
											Vous devez être canadiens, sans aucun doute. (Rires)
											Ceux qui essaient d'avoir une bonne carrière vont échouer,
											parce qu'en fait, les bons métiers sont en train de disparaître.
											Il y a de grands métiers et de grandes carrières,
											et il y a les métiers avec une charge de travail importante, beaucoup de stress
											des métiers qui vous sucent le sang, détruisent votre âme,
											et en fait, rien entre les deux.
									","
											Ich bin Wirtschaftswissenschaftler.
Ich rede düster.
											Am Ende des Tages ist es Zeit
für düstere Bemerkungen.
											Ich richte mich nur an jene unter Ihnen,
die eine großartige Karriere wollen.
											Ich weiß, einige unter Ihnen
haben bereits entschieden,
											dass Sie eine gute
Karriere wollen.
											Sie werden auch scheitern, – (Gelächter) –
											denn – Du meine Güte, Sie sind alle
vergnügt über das Scheitern. (Gelächter)
											Kanadische Gruppe,
zweifellos. (Gelächter)
											Die, die versuchen eine gute Karriere
zu haben, werden scheitern,
											denn tatsächlich verschwinden
derzeit gute Jobs.
											Es gibt großartige Jobs
und großartige Karrieren
											und dann gibt es die
arbeitsintensiven, stressreichen,
											blutsaugenden,
seelenzerstörenden Jobs
											und so gut wie
nichts dazwischen.
									","
											Eu sou economista. Eu lido com coisas tristes.
											No final do dia, está-se pronto para 
observações sombrias.
											Eu só quero conversar com aqueles de vocês 
que querem uma excelente carreira.
											Eu sei que alguns de vocês já decidiram que
											querem uma boa carreira.
											Vocês também vão fracassar — (Risos) —
											porque — meu Deus, estão todos alegres 
sobre irem fracassar. (Risos)
											Um grupo de canadianos, sem dúvida. (Risos)
											Aqueles que tentam ter boas carreiras vão falhar,
											porque, na verdade, os bons empregos 
estão a desaparecer.
											Existem excelentes empregos e 
excelentes carreiras,
											e depois há aqueles empregos com 
uma grande carga de trabalho, muito <i>stress</i>,
											sugadores de sangue, destruidores da alma,
											e praticamente nada entre os dois.
									",Why you will fail to have a great career,Larry Smith,15:15,"TEDx,business,failure,goal-setting,happiness,success"
"
","
","
","
","
",Why you will fail to have a great career,Larry Smith,15:15,"TEDx,business,failure,goal-setting,happiness,success"
"
											Así que la gente que busque buenos trabajos va a fracasar.
											Voy a hablar de aquellos que buscan grandes trabajos,
											grandes carreras, y de por qué... por qué fracasarán.
											La primera razón es que no importa las veces que te digan:
											""Si quieres una gran carrera profesional, debes
perseguir la pasión,
											perseguir tus sueños, debes perseguir
											la mayor fascinación de tu vida"",
											lo oyes una y otra vez y entonces decides
											no hacerlo. Da igual cuántas veces te hayas bajado
											el discurso de graduación de Stanford 
de Steve Jobs,
											lo ves y lo ves, y decides no hacerlo.
									","
											Bu yüzden iyi iş arayan insanlar başarısız olacaklar.
											Harika işler ile kariyer arayanlar ve neden
											başarısız olacakları konusunda da konuşacağım.
											İlk sebep, insanlar size defalarca şöyle diyecekler:
											""Eğer harika bir kariyer istiyorsan, tutkunu sürdürmen,
											hayallerinin peşinden gitmen, hayatında seni en cezbeden,
											büyüleyen şeyi takip etmen gerek.""
											tekrar tekrar bunu duysanız da sonunda yapmamaya
											karar vereceksiniz. Steven J.'nin Stanford'dan mezuniyet
											konuşmasını kaç kez indirirseniz indirin,
											yine ona bakacak ve yapmamaya karar vereceksiniz.
									","
											Donc les gens qui recherchent un bon job vont échouer.
											Je vais parler de ceux qui recherchent des grands jobs,
											des grandes carrières, et pourquoi vous allez échouer.
											Première raison : 
peu importe le nombre de fois que les gens vous diront :
											""Si tu veux une grande carrière, tu dois poursuivre 
ta passion,
											tu dois poursuivre tes rêves, tu dois poursuivre
											ta plus grande fascination dans la vie"",
											vous entendrez cela encore et encore 
et alors vous déciderez
											de ne pas le faire. Peu importe le nombre de fois 
que vous téléchargerez
											le discours d'ouverture à Stanford de Steven J [Steve Jobs],
											vous allez le regarder encore mais déciderez de ne rien faire.
									","
											Demnach werden die Leute, die
nach guten Jobs suchen, scheitern.
											Ich werde über jene reden, die
nach großartigen Jobs, großartigen
											Karrieren suchen und warum
Sie scheitern werden.
											Der erste Grund ist, dass egal
wie oft Leute Ihnen sagen,
											„Wenn du eine großartige Karriere möchtest,
musst du deiner Leidenschaft folgen,
											du musst deinen Träumen
folgen, du musst
											der größten Begeisterung
deines Lebens nachgehen“,
											das hören Sie immer wieder
und dann entscheiden Sie,
											es nicht zu tun. Es macht keinen
Unterschied, wie viele Male Sie
											Steven J.s Rede vor Stanford-
Universitätsabsolventen downloaden,
											Sie werden sie sich wieder anschauen
und entscheiden, es nicht zu tun.
									","
											Então as pessoas que procuram bons empregos 
vão fracassar.
											Eu vou falar sobre aqueles que procuram 
excelentes empregos, excelentes
											carreiras, e porque é que vocês vão fracassar.
											A primeira razão é que não importa quantas vezes 
as pessoas vos dizem:
											""Se queres uma excelente carreira, tens de 
perseguir a tua paixão,
											""tens de perseguir os teus sonhos, tens de perseguir,
											""aquilo que mais te fascina na vida.""
											Vocês ouvem isso uma e outra vez 
e depois decidem
											não o fazer. Não importa quantas vezes 
fazem o <i>download</i>
											do discurso de abertura do ano letivo 
em Stanford de Steven Jobs,
											ainda o veem e decidem não o fazer.
									",Why you will fail to have a great career,Larry Smith,15:15,"TEDx,business,failure,goal-setting,happiness,success"
"
","
","
","
","
",Why you will fail to have a great career,Larry Smith,15:15,"TEDx,business,failure,goal-setting,happiness,success"
"
											No estoy seguro de por qué decides no hacerlo.
											Eres muy perezoso, es muy difícil.
											Tienes miedo de buscar tu pasión y no encontrarla,
											te sientes como un idiota, así que te inventas excusas
											sobre por qué no vas a buscar tu pasión.
											Y mira que hay excusas, señoras y señores.
											Vamos a ver una larga lista, muy creativa,
											y pensar en excusas para no hacer lo que realmente
											debes hacer si quieres una gran carrera.
									","
											Neden böyle yaptığınız konusunda çok emin değilim.
											Bunu yapmak için çok tembelsiniz. Bu çok zor.
											Tutkunuz için bakmaktan ve onu bulamamaktan korkuyorsunuz,
											aptal gibi hissedeceksiniz, böylece neden tutkunuzu
											aramayacağınız hakkında bahaneler yaratıyorsunuz.
											Ve bunlar sadece bahaneler, bayanlar ve baylar.
											Şimdi, eğer harika bir kariyer istiyorsanız asıl yapmanız gereken
											neden yapmadığınız hakkında yaratıcılığınızla oluşturduğunuz
											bahanelerden oluşan uzun bir listenin üstünden geçeceğiz.
									","
											Je ne suis pas sur de 
pourquoi vous déciderez de ne rien faire.
											Vous êtes trop paresseux pour le faire. C'est trop compliqué.
											Vous avez peur, si vous cherchez votre passion 
et que vous ne la trouvez pas,
											de vous sentir idiot, alors vous créez des excuses
											sur pourquoi vous n'allez pas chercher votre passion.
											Ce ne sont que des excuses, Mesdames et Messieurs.
											Nous allons examiner une longue liste, votre créativité
											et réflexion pour créer des excuses de ne pas faire ce que
											vous avez vraiment besoin de faire 
si vous voulez avoir une grande carrière.
									","
											Ich bin mir nicht ganz sicher,
warum Sie sich dagegen entscheiden.
											Sie sind zu faul es zu tun.
Es ist zu schwierig.
											Sie haben Angst, dass wenn Sie Ihre
Leidenschaft suchen und diese nicht finden,
											Sie sich wie ein Idiot fühlen würden.
Also machen Sie Ausflüchte,
											warum Sie nicht nach Ihrer
Leidenschaft Ausschau halten.
											Das sind Ausreden,
meine Damen und Herren.
											Wir werden eine vollständige, lange
Liste durchsehen, Ihre Kreativität
											im Erfinden von Ausreden, nicht
das zu tun, was Sie wirklich
											tun müssen, wenn Sie eine
großartige Karriere haben wollen.
									","
											Eu não tenho bem a certeza porque é que 
decidem não o fazer.
											São demasiado preguiçosos para o fazerem. 
É demasiado difícil.
											Têm medo de que se procurarem
a vossa paixão e não a encontrarem,
											se vão sentir como idiotas, e então 
arranjam desculpas
											sobre o porquê de não procurarem 
as vossas paixões.
											E elas são desculpas, senhoras e senhores.
											Nós vamos analisar uma longa lista completa, 
a vossa criatividade,
											e pensar em pretextos para não fazerem 
o que realmente
											precisam de fazer se quiserem ter 
uma excelente carreira.
									",Why you will fail to have a great career,Larry Smith,15:15,"TEDx,business,failure,goal-setting,happiness,success"
"
","
","
","
","
",Why you will fail to have a great career,Larry Smith,15:15,"TEDx,business,failure,goal-setting,happiness,success"
"
											Así que, por ejemplo, una gran excusa es:
											""Bueno, las grandes carreras realmente son para la mayoría,
											cuestión de suerte, así que voy a quedarme por aquí,
											intentando tener suerte y si la tengo,
											entonces tendré una gran carrera; si no, tendré una buena carrera"".
											Pero tener una buena carrera es imposible, así que no va a funcionar.
									","
											Mesela, en büyük bahanelerinizden biri,
											""Harika kariyerler çoğu insan için sadece bir şans meselesi,
											o yüzden sadece bekleyeceğim ve şanslı olmayı deneyeceğim
											ve eğer şanslıysam, harika bir kariyere sahip olacağım.
											Eğer değilsem, iyi bir kariyerim olacak.""
											Ama iyi bir kariyer olanaksız, dolayısıyla bu karar işlemeyecek.
									","
											Donc, par exemple, une de vos grandes excuses est :
											""Les grandes carrières sont vraiment et réellement, 
pour la plupart des gens,
											juste une affaire de chance, donc je vais rester ici,
											je vais essayer d'être chanceux et si je suis chanceux,
											j'aurais une grande carrière. 
Sinon j'aurais une bonne carrière""
											Mais une bonne carrière est impossible, 
donc ça ne va pas marcher.
									","
											Also, zum Beispiel, eine
Ihrer tollen Ausreden ist:
											„Nun, großartige Karrieren sind wirklich
und wahrhaftig, für die meisten Menschen
											einfach Glückssache, also
werde ich herumstehen,
											ich werde versuchen Glück zu
haben und wenn ich Glück habe,
											werde ich eine großartige Karriere haben. Wenn
nicht, dann werde ich eine gute Karriere haben.“
											Aber eine gute Karriere ist eine Unmöglichkeit,
also wird das nicht funktionieren.
									","
											Então, por exemplo, uma das vossas 
grandes desculpas é:
											""Bem, carreiras excelentes são realmente e 
verdadeiramente, para a maioria das pessoas,
											""apenas uma questão de sorte, pelo que 
vou ficar por aqui,
											""vou tentar ter sorte, e se tiver sorte,
											""terei uma carreira excelente. 
Senão, terei uma carreira boa.""
											Mas uma carreira boa é uma impossibilidade, 
pelo que isso não vai funcionar.
									",Why you will fail to have a great career,Larry Smith,15:15,"TEDx,business,failure,goal-setting,happiness,success"
