pt,fr,de,title,speaker,duration,tags
"
","
","
",I got 99 problems ... palsy is just one,Maysoon Zayid,14:13,"comedy,entertainment,women,humor"
"
											Olá TEDWomen, está tudo bem?
									","
											Bonjour, TEDWomen, ça va ?
									","
											Hallo TEDWomen, was geht?
									",I got 99 problems ... palsy is just one,Maysoon Zayid,14:13,"comedy,entertainment,women,humor"
"
","
","
",I got 99 problems ... palsy is just one,Maysoon Zayid,14:13,"comedy,entertainment,women,humor"
"
											(Aplausos e vivas)
									","
											(Acclamations)
									","
											(Jubel)
									",I got 99 problems ... palsy is just one,Maysoon Zayid,14:13,"comedy,entertainment,women,humor"
"
","
","
",I got 99 problems ... palsy is just one,Maysoon Zayid,14:13,"comedy,entertainment,women,humor"
"
											Não é suficiente.
											Olá TEDWomen, está tudo bem?
									","
											C'est pas encore ça.
											Bonjour, TEDWomen, comment ça va ?
									","
											Das reicht nicht.
											Hallo TEDWomen, was geht?
									",I got 99 problems ... palsy is just one,Maysoon Zayid,14:13,"comedy,entertainment,women,humor"
"
","
","
",I got 99 problems ... palsy is just one,Maysoon Zayid,14:13,"comedy,entertainment,women,humor"
"
											(Vivas)
									","
											(Acclamations)
									","
											(Jubel)
									",I got 99 problems ... palsy is just one,Maysoon Zayid,14:13,"comedy,entertainment,women,humor"
"
","
","
",I got 99 problems ... palsy is just one,Maysoon Zayid,14:13,"comedy,entertainment,women,humor"
"
											O meu nome é Maysoon Zayid
											e não estou embriagada
											mas o médico que fez o parto 
à minha mãe, estava.
											Ele cortou a minha mãe seis vezes,
											em seis direções diferentes,
											sufocando-me a mim, pobrezinha,
nesse processo.
											Como resultado, tenho paralisia cerebral,
											o que significa que estou sempre a tremer.
											Vejam.
											É exaustivo. Sou como a Shakira,
											Shakira e Muhammad Ali, juntos.
											(Risos)
									","
											Je m'appelle Maysoon Zayid,
											et je ne suis pas saoule,
											mais le docteur qui m'a fait naître
l'était.
											Il a ouvert ma mère à six reprises,
											en six endroits différents,
											ce qui a eu pour conséquence
de m’asphyxier dans l'opération.
											Résultat :
j'ai une paralysie cérébrale,
											ce qui veut dire que 
je tremble tout le temps.
											Regardez.
											C'est épuisant. 
Je suis comme Shakira, Shakira
											qui rencontre Mohammed Ali.
											(Rires)
									","
											Mein Name ist Maysoon Zayid
											und ich bin nicht betrunken,
											aber der Arzt bei meiner Geburt schon.
											Er schnitt meine Mutter sechs Mal
											in sechs verschiedene Richtungen
											und schnürte mir armen Kleinen
dabei die Luft ab.
											Darum habe ich 
infantile Zerebralparese,
											was bedeutet, dass ich 
die ganze Zeit zappele.
											Schaut mal.
											Es ist anstrengend. 
Ich bin eine Kreuzung aus Shakira, Shakira
											und Muhammad Ali.
											(Lachen)
									",I got 99 problems ... palsy is just one,Maysoon Zayid,14:13,"comedy,entertainment,women,humor"
"
","
","
",I got 99 problems ... palsy is just one,Maysoon Zayid,14:13,"comedy,entertainment,women,humor"
"
											A P.C. não é genética.
											Não é uma malformação congénita. 
Não se apanha por contágio.
											Ninguém amaldiçoou o útero da minha mãe
											e eu não fiquei assim por os meus pais 
serem primos direitos,
											que até são.
											(Risos)
											Só acontece devido a acidentes,
											como o que me aconteceu
no dia em que nasci.
									","
											La paralysie cérébrale
n'est pas génétique.
											Ce n'est pas une anomalie congénitale.
Vous ne pouvez pas l'attraper.
											Personne n'a jeté de sort 
sur l'utérus de ma mère,
											et je n'ai pas eu ça parce que mes parents
étaient cousins au premier degré,
											même s'ils le sont.
											(Rires)
											Ça n'arrive que par un accident,
											comme celui qui m'est arrivé
le jour de ma naissance.
									","
											Zerebralparese ist nicht genetisch.
											Sie ist kein Geburtsfehler. 
Man kann sie nicht kriegen.
											Niemand hat die Gebärmutter 
meiner Mutter verhext,
											und ich habe es nicht bekommen, 
weil meine Eltern Cousins ersten Grades sind,
											was sie sind.
											(Lachen)
											Man bekommt sie nur durch Unfälle,
											wie der, der am Tag meiner Geburt geschah.
									",I got 99 problems ... palsy is just one,Maysoon Zayid,14:13,"comedy,entertainment,women,humor"
"
","
","
",I got 99 problems ... palsy is just one,Maysoon Zayid,14:13,"comedy,entertainment,women,humor"
"
											Agora, devo avisar-vos,
não sou inspiradora
											e não quero que alguém nesta sala
											sinta pena de mim,
											porque houve alturas na vossa vida,
											que vocês desejaram ser
pessoas com deficiência.
											Venham comigo numa viagem.
											É Véspera de Natal,
estão no centro comercial,
											estão a andar às voltas no carro, 
à procura de estacionamento
											e o que é que vocês veem?
											Dezasseis lugares vazios
para pessoas com deficiência.
											E dizem: ""Meu Deus, não posso ser
											""só um bocadinho deficiente?""
											(Risos)
											Também tenho de vos dizer
											que tenho 99 problemas, 
e a paralisia é apenas um.
											Se houvesse uma Olimpíada da Opressão
											eu ganharia a medalha de ouro.
											Sou palestiniana, muçulmana, mulher,
tenho uma deficiência,
											e vivo em Nova Jérsia.
											(Risos) (Aplausos)
											Se não se sentirem melhor convosco
próprias, talvez devessem sentir-se.
									","
											Je préfère vous prévenir, 
je ne suis pas un exemple,
											et je ne veux pas
que quiconque dans cette salle
											me plaigne,
											parce ce qu'il y a sûrement eu
un moment dans votre vie,
											où vous avez rêvé d'être handicapé.
											Imaginez.
											C'est la veille de Noël, 
vous êtes au centre commercial,
											vous tournez en rond
pour trouver une place de parking,
											et qu'est-ce que vous voyez ?
											Seize places pour handicapés,
vides.
											Et vous vous dites, « Mon dieu, 
pourquoi ne suis-je pas
											rien qu'un petit peu invalide ? »
											(Rires)
											Et puis, il faut que je vous dise,
											j'ai des tonnes de problèmes, 
la paralysie n'en est qu'un parmi 99 autres.
											S'il y avait des Jeux Olympiques de l'Oppression,
											je gagnerais la médaille d'or.
											Je suis Palestinienne, Musulmane, 
je suis une femme, je suis invalide,
											et je vis dans le New Jersey.
											(Rires)
(Applaudissements)
											Ça devrait vous aider
à vous sentir mieux dans votre peau.
									","
											Ich muss euch warnen. 
Ich bin keine Quelle der Inspiration
											und ich möchte nicht, 
dass irgendjemand hier
											mit mir Mitleid hat,
											denn ihr alle habt an einem Punkt
											in eurem Leben schon 
vom Behindertsein geträumt.
											Kommt mal kurz mit.
											Es ist kurz vor Weihnachten 
im Einkaufszentrum.
											Ihr dreht Kreise auf der Suche 
nach einem Parkplatz
											und was seht ihr?
											Sechzehn leere Behindertenparkplätze.
											Und ihr denkt: 
""Wieso kann ich nicht
											ein kleines bisschen behindert sein?""
											(Lachen)
											Ich muss euch auch sagen:
											Ich hab 99 Probleme 
und Zerebralparese ist nur eins davon.
											Wenn es eine Olympiade 
der Unterdrückung gäbe,
											bekäme ich eine Goldmedaille.
											Ich bin Palästinenserin, 
Muslima, weiblich, behindert
											und ich lebe in New Jersey.
											(Lachen) (Applaus)
											Wenn ihr euch jetzt nicht besser 
fühlt, dann weiß ich auch nicht.
									",I got 99 problems ... palsy is just one,Maysoon Zayid,14:13,"comedy,entertainment,women,humor"
"
","
","
",I got 99 problems ... palsy is just one,Maysoon Zayid,14:13,"comedy,entertainment,women,humor"
