en,tr,pt,de,title,speaker,duration,tags
"
","
","
","
",How your emotions change the shape of your heart,Sandeep Jauhar,16:02,"heart health,biology,human body,emotions,humanity,medical research"
"
											No other organ,
											perhaps no other object in human life,
											is as imbued with metaphor
and meaning as the human heart.
											Over the course of history,
											the heart has been a symbol
of our emotional lives.
											It was considered by many
to be the seat of the soul,
											the repository of the emotions.
											The very word ""emotion"" stems in part
from the French verb ""émouvoir,""
											meaning ""to stir up.""
											And perhaps it's only logical
that emotions would be linked to an organ
											characterized by its agitated movement.
									","
											Başka hiçbir organ,
											insan hayatında
muhtemelen başka hiçbir nesne
											mecaz ve anlam açısından
insan kalbi kadar ilham verici değil.
											Tarih boyunca
											kalp, duygusal hayatlarımızın
bir sembolü oldu.
											Pek çok kişi tarafından
ruhun merkezi olarak düşünüldü,
											duyguların saklandığı yer olarak.
											Duygu anlamındaki ""emotion"" kelimesi bile
kısmen Fransızca ""émouvoir""dan geliyor,
											anlamı güçlü bir hisse kapılmak.
											Duyguların, çalkantılı hareketiyle
anılan bir organla ilişkilendirilmesi
											belki de oldukça mantıklı.
									","
											Não há outro órgão,
											ou outro objeto na vida humana,
											tão embebido em significado e simbolismo
quanto o nosso coração.
											Ao longo da História,
											o coração tem servido como símbolo
das nossas vidas emocionais.
											Foi por muitos considerado
o cerne da alma,
											o repositório das nossas emoções.
											A própria palavra ""emoção"" provém em parte
do verbo francês ""émouvoir"",
											que significa ""agitar"".
											Visto bem, tem uma certa lógica
que as emoções estejam ligadas a um órgão
											conhecido pela sua atividade frenética.
									","
											Kein anderes Organ,
											vielleicht kein anderes Objekt
menschlichen Lebens,
											ist so reich mit Bedeutung und Metaphern
bestückt wie das menschliche Herz.
											Seit Jahrhunderten
											ist das Herz das Symbol
unseres emotionalen Lebens.
											Es wurde von vielen für
den Sitz der Seele gehalten,
											den Ursprung der Emotionen.
											Sogar das Wort „Emotion“ stammt
vom französischen „émouvoir“ ab,
											was „erregen“ bedeutet.
											Vielleicht naheliegend, dass die Emotionen
											einem bewegenden Organ zugeordnet wurden.
									",How your emotions change the shape of your heart,Sandeep Jauhar,16:02,"heart health,biology,human body,emotions,humanity,medical research"
"
","
","
","
",How your emotions change the shape of your heart,Sandeep Jauhar,16:02,"heart health,biology,human body,emotions,humanity,medical research"
"
											But what is this link?
											Is it real or purely metaphorical?
											As a heart specialist,
											I am here today to tell you
that this link is very real.
											Emotions, you will learn,
											can and do have a direct
physical effect on the human heart.
									","
											Ama bu bağlantı ne?
											Gerçek mi yoksa tamamen mecazi mi?
											Bir kalp uzmanı olarak
											bu bağlantının tamamen gerçek
olduğunu anlatmak için buradayım.
											Göreceksiniz ki duygular,
											insan kalbi üzerinde doğrudan
fiziksel bir etki yapabilir ve yapıyor da.
									","
											Mas porquê esta ligação?
											Terá um fundamento real
ou é puramente metafórica?
											Como cardiologista,
											estou aqui hoje para vos informar
que esta ligação é bem real.
											As emoções, como vão perceber,
											podem ter e acabam por ter
um efeito físico no coração humano.
									","
											Aber wie ist diese Zuordnung?
											Real oder nur metaphorisch?
											Als Herzspezialist möchte ich Ihnen sagen,
											dass sie sehr real ist.
											Emotionen, wie Sie lernen werden,
											haben eine direkte und körperliche
Auswirkung auf das Herz.
									",How your emotions change the shape of your heart,Sandeep Jauhar,16:02,"heart health,biology,human body,emotions,humanity,medical research"
"
","
","
","
",How your emotions change the shape of your heart,Sandeep Jauhar,16:02,"heart health,biology,human body,emotions,humanity,medical research"
"
											But before we get into this,
											let's talk a bit about
the metaphorical heart.
											The symbolism of the emotional heart
endures even today.
											If we ask people which image
they most associate with love,
											there's no question that the Valentine
heart would the top the list.
											The heart shape, called a cardioid,
											is common in nature.
											It's found in the leaves,
flowers and seeds of many plants,
											including silphium,
											which was used for birth control
in the Middle Ages
											and perhaps is the reason why
the heart became associated
											with sex and romantic love.
									","
											Ancak buna geçmeden önce
											şu mecazi kalp hakkında biraz konuşalım.
											Duygusal kalbin sembolizmi
bugün hâlâ yerini koruyor.
											İnsanlara sevgiyle en çok
hangi görseli ilişkilendirdiklerini sorsak
											listenin en başında sevgili kalbi
olacağına hiç şüphe yok.
											Kardiyoid denen kalp şekli
											doğada yaygın.
											Yapraklarda, çiçeklerde,
pek çok bitkinin çekirdeğinde,
											silfiyum da dahil,
											ki Orta Çağ'da doğum kontrolü
olarak kullanılıyordu
											ve muhtemelen kalp,
											bu yüzden seks ve romantizmle
anılmaya başladı.
									","
											Mas, antes disso,
											falemos um pouco
sobre o coração metafórico.
											O simbolismo do coração emocional
ainda perdura até hoje.
											Se perguntarmos a alguém
que imagem mais associam a amor,
											não há dúvida que o coração de S. Valentim
estaria no topo da lista.
											A forma em coração, denominada cardioide,
											é bastante comum na Natureza.
											Encontramo-la em folhas, em flores
e em sementes de várias plantas,
											nomeadamente, na planta sílfio,
											bastante usada como contracetivo
na era medieval,
											sendo provavelmente por isso
que associamos o coração
											ao sexo e ao amor romântico.
									","
											Lassen Sie uns ein wenig über
das metaphorische Herz sprechen.
											Das Symbol des emotionalen Herzens
gilt noch heutzutage.
											Nach einer bildlichen Assoziation
für Liebe gefragt,
											nennen die meisten das Valentinsherz.
											Diese kardioide Herzform
kommt häufig in der Natur vor.
											Sie steckt in den Blättern, Blüten
und Samen vieler Pflanzenarten
											wie dem Silphium,
											das im Mittelalter
zur Geburtskontrolle genutzt wurde.
											Möglicherweise rührt daher die Assoziation
											mit Sex und romantischer Liebe.
									",How your emotions change the shape of your heart,Sandeep Jauhar,16:02,"heart health,biology,human body,emotions,humanity,medical research"
"
","
","
","
",How your emotions change the shape of your heart,Sandeep Jauhar,16:02,"heart health,biology,human body,emotions,humanity,medical research"
"
											Whatever the reason,
											hearts began to appear in paintings
of lovers in the 13th century.
											Over time, the pictures
came to be colored red,
											the color of blood,
											a symbol of passion.
											In the Roman Catholic Church,
											the heart shape became known
as the Sacred Heart of Jesus.
											Adorned with thorns
and emitting ethereal light,
											it became an insignia of monastic love.
											This association between the heart
and love has withstood modernity.
											When Barney Clark, a retired dentist
with end-stage heart failure,
											received the first permanent
artificial heart in Utah in 1982,
											his wife of 39 years
reportedly asked the doctors,
											""Will he still be able to love me?""
									","
											Sebebi her neyse
											kalpler 13. yüzyılda aşıkların
resimlerinde görünmeye başladı.
											Zamanla bu resimler
kırmızıya boyanmaya başladı,
											kan rengine,
											bir tutku sembolü olarak.
											Roma Katolik Kilisesi'nde,
											kalp şekli, İsa'nın Kutsal Kalbi
olarak anılmaya başladı.
											Dikenlerle süslenmiş
ve göz alıcı bir ışık yayan kalp
											adeta kutsal aşkın nişanı hâline geldi.
											Kalp ve aşk arasındaki bu bağ
modern zamanda da ayakta kaldı.
											Son evresinde kalp hastası
emekli diş hekimi Barney Clark
											1982'de Utah'da ilk kalıcı
yapay kalp transplantını aldığında
											söylenenlere göre 39 yıllık karısı
doktorlara şunu sordu:
											''Beni sevmeye devam edecek mi?''
									","
											Independentemente da razão,
											o coração passou a ser gravado
em pinturas de apaixonados no século XIII.
											Ao longo dos anos, estas gravuras
passaram a tomar a cor vermelha,
											a cor do sangue,
											um símbolo de paixão.
											Na Igreja Católica Romana,
											a forma de coração passou a ser conhecida
como o Sagrado Coração de Jesus.
											Adornado de espinhos
e emitindo raios de luz celeste,
											tornou-se numa insígnia de amor monástico.
											A associação entre o coração e o amor
sobreviveu até à era moderna.
											Quando Barney Clark, um dentista reformado
em fase terminal de insuficiência cardíaca
											recebeu, em 1982 no Utah,
o primeiro coração artificial permanente,
											a sua mulher de há 39 anos
perguntou aos médicos:
											""Ele ainda vai ser capaz de me amar?""
									","
											Egal welcher Grund,
											ab dem 13. Jahrhundert tauchen Herzen
in den Liebesbildern auf.
											Mit der Zeit wurden
diese Darstellungen rot —
											die Farbe des Bluts,
											ein Symbol der Leidenschaft.
											Für die römisch-katholische Kirche
											steht die Herzform für
das Heiligste Herz Jesu.
											Geziert mit Dornen und
ätherisches Licht ausstrahlend
											wurde es zum Symbol klösterlicher Liebe.
											Die Verbindung zwischen Herz und Liebe
besteht auch in der Moderne weiter.
											Als Barney Clark, ein ehemaliger Zahnarzt
mit Herzversagen im Endstadium,
											1982 in Utah das erste permanente
künstliche Herz erhielt,
											fragte seine 39-jährige Frau die Ärzte:
											„Wird er mich noch lieben können?“
									",How your emotions change the shape of your heart,Sandeep Jauhar,16:02,"heart health,biology,human body,emotions,humanity,medical research"
"
","
","
","
",How your emotions change the shape of your heart,Sandeep Jauhar,16:02,"heart health,biology,human body,emotions,humanity,medical research"
"
											Today, we know that the heart
is not the source of love
											or the other emotions, per se;
											the ancients were mistaken.
											And yet, more and more,
we have come to understand
											that the connection between the heart
and the emotions is a highly intimate one.
											The heart may not originate our feelings,
											but it is highly responsive to them.
											In a sense, a record of our emotional life
											is written on our hearts.
											Fear and grief, for example,
can cause profound cardiac injury.
											The nerves that control unconscious
processes such as the heartbeat
											can sense distress
											and trigger a maladaptive
fight-or-flight response
											that triggers blood vessels to constrict,
											the heart to gallop
											and blood pressure to rise,
											resulting in damage.
											In other words,
											it is increasingly clear
											that our hearts are extraordinarily
sensitive to our emotional system,
											to the metaphorical heart, if you will.
									","
											Bugün kalp yalnızca aşkın kaynağı değil
											diğer duyguların da kaynağı;
											atalarımız yanılıyorlardı.
											Ve hâlâ günden güne anlıyoruz ki
											kalp ve duygular arasındaki
bu bağlantı oldukça derin.
											Kalp, hislerimizi yaratmıyor olabilir
											ama hislere çok fazla tepki veriyor.
											Bir bakıma,
duygusal hayatlarımızın bir kaydı
											kalplerimizde yazılı.
											Örneğin korku ve yas,
ciddi kardiyak yaralanmaya yol açabilir.
											Kalp atışı gibi bilinçaltı süreçleri
kontrol eden sinirler
											stresi hissedebilirler
											ve kötü huylu bir
savaş veya kaç tepkimesini tetikleyebilir;
											bu da kan damarlarının büzüşmesini,
											kalbin çok güçlü atmasını
											ve ardından tansiyonun
yükselmesini tetikler,
											bu da hasar demektir.
											Diğer bir deyişle
											şu giderek netleşiyor ki
											kalplerimiz, duygusal sistemimize
sıra dışı bir şekilde duyarlı,
											mecazi kalbe yani.
									","
											Hoje sabemos que o amor
não tem origem no coração,
											ou qualquer outra emoção, em si;
											um lapso dos nossos antepassados.
											E contudo, vamos desvendando
cada vez mais
											que a conexão entre o coração e as emoções
é altamente íntima.
											O coração pode não dar origem
aos nossos sentimentos,
											mas é certo
que é bastante sensível a eles.
											De certa forma, a nossa vida emocional
											vai sendo guardada no nosso coração.
											Por exemplo, o medo e a angústia
podem levar a lesões cardíacas extensas.
											Os nervos que regulam processos
involuntários como o batimento cardíaco,
											captam o ""stress"" sentido
											e despoletam uma resposta
mal adaptativa de ""luta ou fuga""
											que leva à constrição
dos vasos sanguíneos,
											ao aumento da frequência cardíaca,
											e à subida da pressão arterial,
											originando lesões.
											Por outras palavras,
											vai-se tornando evidente
											que o coração é incrivelmente recetivo
ao nosso sistema emocional,
											ao coração metafórico, por assim dizer.
									","
											Heute wissen wir, dass das Herz nicht
per se der Ursprung der Liebe
											oder anderer Emotionen ist,
											worin sich die Antike täuschte.
											Dennoch begreifen wir mehr und mehr,
											dass die Verbindung zwischen Herz
und Emotionen sehr eng ist.
											Auch wenn es Gefühle nicht hervorruft,
											so ist es ihnen doch sehr empfänglich.
											In gewisser Weise enthalten unsere Herzen
											eine Chronik unseres emotionalen Lebens.
											Furcht und Trauer können zum Beispiel
tiefe Herzschäden hinterlassen.
											Nerven, die unbewusste Vorgänge
wie den Herzschlag steuern,
											spüren die Anspannung und können
eine schädliche Notreaktion auslösen,
											wodurch sich die Blutgefäße verengen,
											das Herz rast,
											der Blutdruck ansteigt
											und schwerer Schaden entsteht.
											Anders ausgedrückt:
											es wird deutlich,
											dass unsere Herzen äußerst stark auf
das emotionale System reagieren,
											quasi auf das metaphorische Herz.
									",How your emotions change the shape of your heart,Sandeep Jauhar,16:02,"heart health,biology,human body,emotions,humanity,medical research"
