es,pt,tr,de,title,speaker,duration,tags
"
","
","
","
",Are we born to run?,Christopher McDougall,15:52,"TEDx,entertainment,health,journalism,science,sports"
"
											Derecha, izquierda, derecha, izquierda... eso es correr, ¿no?
											Hemos estado corriendo los últimos dos millones de años,
											así que sería arrogante por mi parte
											pensar que tengo algo que decir
											que no se haya dicho ya, o que puedo explicarlo mejor.
											Lo interesante de correr
											es que cuando lo hacemos
											siempre ocurren cosas raras.
											Un caso: hace dos meses, si vieron el maratón de Nueva York,
											les aseguro que vieron
											algo jamás visto.
											Una etíope llamada Derartu Tulu
											ha ido a participar.
											Tiene 37 años,
											no ha ganado ningún tipo de maratón en 8 años,
											y hace solo unos meses
											estuvo a punto de morir al dar a luz.
											Derartu Tulu estaba a punto de retirarse del deporte, pero
											decidió intentarlo y jugárselo
											todo en un último intento:
											la prueba de referencia,
											el maratón de la ciudad de Nueva York.
											Malas noticias para Derartu Tulu: no fue la única en tener esa idea.
											También acudieron la medalla de oro olímpica
											y Paula Radcliffe, un monstruo,
											la maratoniana más rápida de la historia,
											a solo 10 minutos del récord masculino.
											Paula Radcliffe es básicamente invencible.
											Ese es su deporte.
									","
											Correr: resume-se a direita, esquerda,
direita, esquerda, não é?
											Andamos a fazê-lo há dois milhões de anos,
											por isso é um pouco arrogante presumir
que tenho alguma coisa a dizer
											que não tenha sido dito e feito melhor,
já há muito tempo.
											Mas descobri o que correr
tem de interessante.
											Acontece um coisa estranha
nesta atividade a toda a hora.
											O caso em questão: Há uns meses,
se viram a Maratona de Nova Iorque,
											eu garanto que viram uma coisa
que ninguém tinha visto antes.
											Aparece na linha de partida
uma mulher etíope chamada Derartu Tulu
											Tem 37 anos,
											não ganha qualquer tipo
de maratona há 8 anos,
											e uns meses antes,
quase morreu durante o parto.
											Derartu Tulu estava preparada para arrumar
as botas e retirar-se do desporto,
											mas decidiu arriscar tudo
											e tentar ganhar um último grande prémio
no popular evento,
											a Maratona de Nova Iorque.
											Só que — infelizmente para Derartu Tulu —
outras pessoas tiveram a mesma ideia,
											incluindo a campeã olímpica
											e Paula Radcliffe, que é um fenómeno,
											de longe a maratonista
mais rápida da história.
											Apenas a 10 minutos
do recorde mundial masculino,
											Paula Radcliffe, praticamente,
é invencível.
											É contra elas que compete.
									","
											Koşmak: Basit. Sağ, sol, sağ, sol — değil mi?
											Yani, bunu iki milyon yıldır yapıyoruz.
											Uzun zaman önce söylenmemiş ya da yapılmamış
											birşeyler söyleyeceğimi
											varsaymak biraz küstahça görünebilir.
											Ama keşfettim ki, koşmakla ilgili güzel şey şu;
											bu etkinlik sırasında sürekli
											acayip birşeyler oluyor.
											Örnekle anlatayım: Birkaç ay önce, New York City Maratonu'nu gördüyseniz,
											garanti ederim ki,
											hiç kimsenin daha önce görmediği birşey gördünüz.
											Derartu Tulu adında Etiyopyalı bir kadın
											başlama çizgisinde göründü.
											37 yaşındaydı,
											8 yıl içinde herhangi bir maraton filan kazanmamıştı,
											ve daha birkaç ay önce
											bebek doğururken neredeyse ölüyordu.
											Derartu Tulu sporu bırakıp emekli olmaya hazırdı.
											Ama dişini tırnağına takıp
											son bir hesaplaşma için
											büyük bir koşuda şansını denemeye karar verdi.
											New York City Maratonu'nda.
											Ancak — Derartu Tulu için kötü haber — aynı hedefe sahip başkaları da vardı.
											Örneğin, Olimpiyat altın madalyası sahibi
											Paula Radcliffe — o bir canavardı.
											Açık arayla, gelmiş geçmiş en hızlı kadın maratoncu.
											Erkekler dünya rekorunun sadece 10 dakika gerisinde.
											Diyebiliriz ki Paula Radcliffe, geçilemez.
											Girdiği yarış buydu.
									","
											Laufen: Das ist im Grunde nur rechts, links, rechts, links — oder?
											Wir tun das doch bereits seit zwei Millionen Jahren,
											da ist es schon ein wenig arrogant anzunehmen,
											ich hätte dazu noch irgendetwas zu sagen,
											das zuvor noch nicht besser gesagt oder ausgeführt worden wäre.
											Aber das Interessante am Laufen ist, wie ich entdeckt habe,
											dass ständig etwas Kurioses geschieht
											bei dieser Tätigkeit.
											Ein Beispiel: Wenn ihr euch vor einigen Monaten den New-York-City-Marathon angeschaut habt,
											dann habt ihr sicher etwas mitbekommen,
											das man so noch nie gesehen hat.
											Eine Äthiopierin names Derartu Tulu
											taucht an der Startlinie auf.
											Sie ist 37 Jahre alt,
											sie hat seit 8 Jahren keinen Marathon irgendeiner Art gewonnen,
											und wenige Monate zuvor
											wäre sie beinahe während einer Geburt gestorben.
											Derartu Tulu war bereit, ihren Sport an den Nagel zu hängen und sich zurückzuziehen,
											aber sie entschied sich, vorher noch einmal alles auf eine Karte zu setzen
											und sich ein letztes Mal um einen großen Gewinn zu bemühen,
											bei dem begehrtesten Ereignis,
											dem New-York-City-Marathon.
											Schlechte Neuigkeiten für Derartu Tulu allerdings — einige andere Läufer hatten dieselbe Idee,
											darunter die olympische Goldmedaillengewinnerin
											und Paula Radcliffe, die ein Ungeheuer ist,
											mit Abstand die schnellste Marathon-Läuferin aller Zeiten.
											Gerade einmal 10 Minuten hinter dem Weltrekord der Männer —
											Paula Radcliffe ist praktisch unschlagbar.
											Das ist Derartu Tulus Konkurrenz.
									",Are we born to run?,Christopher McDougall,15:52,"TEDx,entertainment,health,journalism,science,sports"
"
","
","
","
",Are we born to run?,Christopher McDougall,15:52,"TEDx,entertainment,health,journalism,science,sports"
"
											Dan la salida, Derartu no está en la cola,
											está todavía más atrás.
											Pero en la cola de la cola aguanta.
											Y en el km 35 de una carrera de 40 km,
											ahí está Derartu Tulu,
											con el grupo en cabeza.
											Aquí es donde ocurre algo raro.
											Paula Radcliffe, la que seguro le va a quitar el premio de las manos
											a Derartu Tulu, el caballo perdedor,
											de pronto se agarra la pierna y retrocede.
											Todos sabemos qué hacer en esa situación, ¿no?
											Le das un codazo en la boca
											y sales corriendo hacia la línea de meta.
											Derartu Tulu no sigue el guion.
											En vez de acelerar,
											retrocede, agarra a Paula Radcliffe y le dice:
											""Venga, vamos. Puedes hacerlo"".
											Y Paula Radcliffe, por desgracia, lo hace.
											Alcanza al grupo que va en cabeza y
											aprieta el ritmo hacia la meta.
											Pero vuelve a retroceder.
											Esta vez Derartu Tulu la agarra y tira de ella, pero en ese momento
											Paula Radcliffe le dice:
											""Estoy fuera. Vete"".
											Es una historia fantástica y todos sabemos cómo acaba:
											ha perdido el premio
											pero se vuelve a casa con algo más valioso.
											Pero Derartu Tulu vuelve a desobedecer el guion.
											En vez de perder, acelera y sobrepasa al grupo en cabeza,
											y gana el maratón de Nueva York,
											y se lleva a casa el gran premio.
									","
											A arma dispara
e ela nem sequer é marginal,
											está à margem dos marginais.
											Mas a marginal aguenta-se, dá luta.
											Aos 36 km de uma corrida de 42 km,
											Derartu Tulu está no pelotão da frente.
											É agora que acontece
uma coisa muito estranha.
											Paula Radcliffe, a única pessoa
convencida que vai tirar o cheque
											das mãos da marginal Derartu Tulu,
											subitamente agarra-se à perna
e começa a perder terreno.
											Todos sabemos o que fazer nesta situação.
											É dar-lhe de uma cotovelada nos dentes
											e disparar na direção da linha de chegada.
											Derartu Tulu dá cabo do guião.
											Em vez de ganhar distância,
											fica para trás,
agarra em Paula Radcliffe e diz:
											""Anda. Vem connosco. Tu consegues.""
											Então Paula Radcliffe,
infelizmente, consegue.
											Alcança o pelotão da frente
e aproxima-se da meta.
											Mas depois perde terreno de novo.
											Pela segunda vez Derartu Tulu
tenta puxar por ela.
											E Paula Radcliffe neste momento diz:
""Estou feita. Vai.""
											Esta é uma história fantástica
e todos sabemos como acaba.
											Ela perde o cheque,
											mas vai para casa com uma coisa
maior e mais importante.
											Só que Derartu Tulu
estraga o guião de novo.
											Em vez de perder, ela passa, fulminante,
pelo pelotão e ganha,
											ganha a Maratona de Nova Iorque,
											vai para casa com um belo e gordo cheque.
									","
											Tabanca patladığında, kaybetmeye mahkum demeye bile gerek yok.
											Mahkumdan daha mahkumdu.
											Ama, bizim mahkum-mahkum sıkı çıkar.
											26 millik (42 km) yarışın 22. milinde
											Derartu Tulu
											lider grup içindedir.
											İşte acayip şey, orada olur.
											Paula Radcliffe, büyük ödül çekini
											Derartu Tulu'nun kaybeden ellerinden alıp eve götürmesi kesin olan kişi
											birden bire bacağını tutar ve geride kalmaya başlar.
											Böyle bir durumda yapmamız gerekeni hepimiz biliyoruz, öyle değil mi?
											Dirseğinizle çenesine şöyle bir çarpıp
											bitiş çizgisine doğru uçarsınız.
											Derartu Tulu, bu senaryoyu çöpe attı.
											Uçup gitmek yerine,
											o da geride kalır, Paula Radcliffe'i tutar
											ve der ki, ""Haydi. Bizimle gel. Yapabilirsin.""
											Ve Paula Radcliffe, maalesef, bunu başarır.
											Lider grubu yakalar
											ve bitiş çizgisine doğru hamle yapar.
											Ama sonra, yeniden geriye düşer.
											İkinci kez, Derartu Tulu onu yakalar ve çekmeye çalışır.
											Ve o noktada Paula Radcliffe der ki,
											""Ben bittim. Koş.""
											Bu masal gibi bir hikaye, ve sonunu hepimiz biliriz.
											Çeki kaybeder,
											ama eve daha büyük ve daha önemli birşeyle döner.
											Ancak, Derartu Tulu senaryoyu bir kez daha bozar.
											Kaybetmek yerine, lider grubu da geride bırakır ve kazanır.
											New York City Maratonu'nu kazanır
											ve eve büyük bir ödül çekiyle döner.
									","
											Der Startschuss fällt, und sie ist nicht einmal eine Außenseiterin;
											Sie liegt hinter den Außenseitern.
											Aber die Außen-Außenseiterin bleibt dran.
											Und nach 35 Kilometern in einem 42-Kilometer-Rennen,
											liegt Derartu Tulu mit vorn,
											direkt in der Spitzengruppe.
											An dieser Stelle geschieht das Kuriose.
											Paula Radcliffe, die eine Person, die sich sicher ist, den großen Preis zu schnappen,
											direkt aus Derartu Tulus Außen-Außenseiterhänden,
											greift plötzlich an ihr Bein und beginnt zurückzufallen.
											Wir wissen alle, was man in dieser Situation tut, richtig?
											Man gibt ihr einen kurzen Stoß mit dem Ellbogen
											und stürmt zur Ziellinie.
											Derartu Tulu hält sich nicht ans Skript.
											Statt durchzustarten,
											fällt sie zurück und packt Paula Radcliffe,
											sagt: ""Komm schon. Komm mit uns. Du kannst das.""
											Paula Radcliffe tut genau das - unglücklicherweise.
											Sie schließt wieder zur Führungsgruppe auf
											und drängt in Richtung Ziellinie.
											Aber dann fällt sie erneut zurück.
											Und ein zweites Mal greift sie Derartu Tulu, versucht sie mitzuziehen.
											An diesem Punkt sagt Paula Radcliffe:
											""Ich bin fertig. Lauf!""
											Das ist eine fantastische Geschichte, und wir wissen alle, wie sie endet.
											Sie verliert den Scheck,
											aber die kehrt mit etwas viel Größerem und Bedeutenderem nach Hause zurück.
											Außer, dass sich Derartu Tulu wieder nicht ans Skript hält.
											Statt zu verlieren, stürmt sie an der Führungsgruppe vorbei und gewinnt
											den New-York-City-Marathon,
											geht mit dem großen, üppigen Preisgeld nach Hause.
									",Are we born to run?,Christopher McDougall,15:52,"TEDx,entertainment,health,journalism,science,sports"
"
","
","
","
",Are we born to run?,Christopher McDougall,15:52,"TEDx,entertainment,health,journalism,science,sports"
"
											Es una historia reconfortante,
											pero si intentamos profundizar
											hemos de preguntarnos qué demonios ocurrió exactamente.
											Dos valores atípicos en un mismo organismo
											no son una coincidencia.
											Cuando alguien es el más competitivo y el más compasivo
											en una carrera, tampoco es una coincidencia.
											Si veo una criatura palmípeda y con branquias,
											sé que hay agua por alguna parte.
									","
											É uma história que aquece o coração,
											mas se escavarmos um pouco mais fundo,
											temos de nos perguntar
o que se passou ali exatamente.
											Quando temos dois dados atípicos
num organismo,
											não é uma coincidência.
											Quando temos uma pessoa que é
mais competitiva e mais compassiva
											do que toda a gente na corrida,
não é coincidência.
											Mostrem-me uma criatura
com membranas interdigitais e guelras.
											Há água envolvida.
Alguém com aquele tipo de coração.
									","
											Kalbimizi ısıtan bir hikaye bu.
											Ama biraz daha derine bakarsanız,
											orada olan biteni merak edebilirsiniz.
											Bir aykırılık, aynı organizma içinde iki kez tekrar ediyorsa,
											bu tesadüf değildir.
											Yarıştaki herkesten daha yarışçı ve daha şefkatli birisi varsa
											yine, bu tesadüf değildir.
											Bana ayakları perdeli ve solungaçlı bir yaratık gösterirseniz,
											bir şekilde suyla ilgisi olduğunu bilirim.
									","
											Das ist eine herzerwärmende Geschichte,
											aber wenn man ein wenig genauer hinschaut,
											wundert man sich doch, was genau dort vorgefallen ist.
											Wenn man zwei Ausreißer findet in einem Organismus,
											dann ist das kein Zufall.
											Wenn jemand zugleich wetteifernder und mitfühlender ist
											als irgendjemand sonst im Rennen, dann ist das kein Zufall.
											Zeig mir ein Tier mit Schwimmhäuten und Kiemen,
											dann hat es etwas mit Wasser zu tun.
									",Are we born to run?,Christopher McDougall,15:52,"TEDx,entertainment,health,journalism,science,sports"
"
","
","
","
",Are we born to run?,Christopher McDougall,15:52,"TEDx,entertainment,health,journalism,science,sports"
"
											Alguien con un corazón así... debe haber algún tipo de conexión.
											Y creo que podemos encontrar
											la respuesta en las Barrancas del Cobre en México,
											donde vive una tribu solitaria,
											los tarahumara.
											Los tarahumara son excepcionales por tres cosas.
											La primera
											es haber vivido sin grandes cambios
											durante los últimos 400 años.
											Cuando los conquistadores llegaron a Norteamérica había dos opciones:
											luchar contra ellos o quitarse de en medio.
											Los mayas y los aztecas lucharon,
											por eso quedan tan pocos.
											Los tarahumara siguieron una estrategia diferente.
											Se fueron y se escondieron
											en las Barrancas del Cobre,
											una red laberíntica de cañones
											parecida a una telaraña.
											Y allí han estado desde el siglo XVII,
											prácticamente sin grandes cambios.
											La segunda proeza de los tarahumara
											es que con 70 u 80 años
											no corren maratones,
											¡sino megamaratones!
											No andan 40 km,
											sino 120 km o 200 km en un día,
											sin ninguna lesión ni problema.
									","
											Há ali algum tipo de ligação.
											E a resposta, penso eu,
											pode ser encontrada
na Garganta de Cobre no México,
											onde há uma tribo, uma tribo isolada,
os índios Tarahumara.
											Os Tarahumara são notáveis
por causa de três coisas.
											Em primeiro lugar,
											vivem essencialmente sem alterações
há 400 anos.
											Quando os conquistadores
chegaram à América do Norte,
											havia duas possibilidades:
ou se ficava para lutar ou se fugia.
											Os maias e os aztecas ficaram
											e é por isso que há
muito poucos maias e aztecas.
											Os Tarahumara tiveram
uma estratégia diferente.
											Fugiram e esconderam-se
											numa rede labiríntica,
um sistema de gargantas rochosas
											chamado Garganta de Cobre
											e lá permaneceram desde a década de 1600,
											praticamente da mesma forma de sempre.
											A segunda coisa notável
acerca dos Tarahumara
											é que, até idade avançada
— 70 ou 80 anos —
											estes tipos não correm maratonas,
correm megamaratonas
											Eles não fazem 42 quilómetros,
											fazem 150 a 250 km de cada vez,
											e aparentemente sem lesões, sem problemas.
									","
											Öyle bir kalbi olan birisi varsa, ortada bir tür bağlantı olmalı.
											Ve bunun cevabı, bence
											Meksika'daki Bakır Kanyonlar'da bulunabilir.
											Orada, uzak bir kabile,
											Tarahumara yerlileri yaşıyor.
											Tarahumaralar, üç konuda dikkat çekiciler.
											Birincisi,
											son 400 yıl içinde
											temel hiçbir değişim geçirmemişler.
											İspanyol istilacılar Kuzey Amerika'ya ulaştığında, iki seçenek vardı:
											Ya savaşıp karşı koymak, ya da kaçıp uzaklaşmak.
											Mayalar ve Aztekler savaştılar.
											Bu nedenle bugün çok az Maya ve Aztek var.
											Tarahumaralar'ın farklı bir stratejisi vardı.
											Kaçtılar ve saklandılar.
											Labirent yapıdaki
											kanyonlardan oluşan örümcek ağı sisteminde,
											Bakır Kanyonlar'da.
											Ve 1600'lerden beri orada kaldılar,
											hep oldukları şekilde.
											Tarahumaralar hakkındaki ikinci dikkat çekici şey şu ki,
											ilerleyen yaşlarında dahi — 70-80 yaşlarında —
											maratonlar değil
											mega-maratonlar koşuyorlar.
											26 mil (42 km) değil,
											her seferinde 100-150 mil (160-240 km) koşuyorlar,
											hem de bir sakatlık ya da sorun yaşamadan.
									","
											Jemand mit dieser Art von Herz, da muss es doch einen Zusammenhang geben.
											Die Antwort darauf, glaube ich,
											findet man in den Copper Canyons in Mexiko,
											wo ein Stamm lebt, zurückgezogen,
											den man Tarahumara-Indianer nennt.
											Also, bemerkenswert sind die Tarahumara durch drei Umstände:
											Nummer Eins,
											ihr Leben hat sich in den letzten 400 Jahren
											nicht wesentlich verändert.
											Sie hatten zwei Optionen, als die Konquistadoren nach Nordamerika kamen:
											sich zur Wehr setzen, oder sich zurückziehen.
											Die Maya und die Azteken stellten sich dem Kampf,
											was der Grund dafür ist, dass es heute sehr wenige Maya und Azteken gibt.
											Die Tarahumara hatten eine andere Strategie.
											Sie flohen und versteckten sich
											in diesem labyrinthartigen, spinnwebenförmigen
											Netzwerk von Schluchten
											die man die Copper Canyons nennt,
											und sind dort seit dem 17. Jahrhundert geblieben.
											Im Wesentlichen auf dieselbe Art, wie sie immer gelebt haben.
											Das zweite Bemerkenswerte an den Tarahumara
											ist, dass sie bis ins hohe Alter — 70 bis 80 Jahre alt —
											Marathons laufen,
											nein, sie laufen Mega-Marathons.
											Sie laufen nicht 42 Kilometer,
											sondern 150, 250 Kilometer am Stück,
											und anscheinend ohne Verletzungen, ohne Probleme.
									",Are we born to run?,Christopher McDougall,15:52,"TEDx,entertainment,health,journalism,science,sports"
"
","
","
","
",Are we born to run?,Christopher McDougall,15:52,"TEDx,entertainment,health,journalism,science,sports"
"
											La última proeza de los tarahumara
											es que no conocen ninguna de las cosas de las que vamos
											a hablar hoy aquí. Todo lo que intentamos resolver
											con nuestra tecnología y nuestra inteligencia,
											cosas como los problemas cardíacos y el colesterol y el cáncer,
											y el crimen y la guerra y la violencia y la depresión clínica,
											los tarahumara no saben de qué estamos hablando.
											Son libres, no sufren
											ninguno de estos achaques modernos.
											¿Cuál es la conexión?
											De nuevo, los valores atípicos.
									","
											A última coisa que é notável
acerca dos Tarahumara
											é que todas as coisas
de que vamos falar hoje,
											todas as coisas em que estamos
a tentar usar a nossa tecnologia
											e capacidade cerebral para resolver,
											coisas como doenças cardíacas,
colesterol e cancro,
											crime, guerra, violência
e depressão clínica,
											tudo isto, os Tarahumara
não fazem ideia do que é.
											Eles estão isentos
de todas estas doenças modernas.
											Então qual é a ligação?
											Estamos a falar de dados atípicos.
									","
											Tarahumaralar hakkındaki son dikkat çekici şey de şu ki,
											bugün üzerinde konuşacağımız tüm şeylerden,
											— çözmeye çalışmak için
											tüm teknolojimiz ve beyin gücümüzle uğraştığımız
											kalp hastalığı, kolesterol ve kanser,
											suç, savaş, şiddet ve klinik depresyon —
											tüm bunlardan Tarahumaralar'ın haberi bile yoktur.
											Onlar özgürdür
											tüm bu 'modern' hastalıklardan.
											Peki bağlantısı nedir?
											Yine, aykırılıklardan bahsediyoruz.
									","
											Das dritte Bemerkenswerte an den Tarahumara
											ist dass sie nichts von dem kennen, über das wir heute reden,
											all die Dinge, die wir versuchen uns auszudenken,
											mit all unserer Technologie und unserem Intellekt lösen wollen —
											Dinge wie Herzerkrankungen und Cholesterin und Krebs
											und Verbrechen und Krieg und Gewalt und klinische Depression —
											all dieses Zeug, von dem die Tarahumara nicht wissen, wovon wir überhaupt reden.
											Sie sind vollkommen frei
											von diesen modernen Leiden.
											Was ist also der Zusammenhang?
											Wir reden wieder über Ausreißer.
									",Are we born to run?,Christopher McDougall,15:52,"TEDx,entertainment,health,journalism,science,sports"
