en,fr,es,de,tr,title,speaker,duration,tags
"
","
","
","
","
",It's time to reclaim religion,Sharon Brous,16:27,"communication,faith,community,humanity,identity,innovation,morality,religion,social change,society,violence,teaching,women"
"
											I was a new mother
											and a young rabbi
											in the spring of 2004
											and the world was in shambles.
											Maybe you remember.
											Every day, we heard devastating reports
from the war in Iraq.
											There were waves of terror
rolling across the globe.
											It seemed like humanity
was spinning out of control.
											I remember the night that I read
											about the series of coordinated bombings
											in the subway system in Madrid,
											and I got up and I walked over to the crib
											where my six-month-old baby girl
											lay sleeping sweetly,
											and I heard the rhythm of her breath,
											and I felt this sense of urgency
coursing through my body.
											We were living through a time
of tectonic shifts in ideologies,
											in politics, in religion, in populations.
											Everything felt so precarious.
											And I remember thinking,
											""My God, what kind of world
did we bring this child into?
											And what was I as a mother
and a religious leader
											willing to do about it?
									","
											J'étais une jeune mère
											et une jeune rabbin
											au printemps 2004,
											et le monde était en ruines.
											Souvenez-vous :
											des reportages quotidiens
désastreux de la guerre en Irak,
											des vagues de terreur
parcouraient le monde.
											On aurait dit que l'humanité
était hors de contrôle.
											Je me souviens du soir où j'ai lu
											sur les séries d'attentats coordonnés
											dans le système du métro de Madrid :
											je me suis levée,
suis allée jusqu'au berceau
											où ma petite fille de 6 mois
											dormait gentiment,
											j'ai entendu le rythme de sa respiration
											et j'ai ressenti une certaine urgence
parcourir mon corps.
											Nous vivions une période de profonds
bouleversements dans les idéologies,
											dans la politique, la religion
et dans les populations.
											Tout semblait si précaire.
											Et j'ai pensé :
											« Mon Dieu, dans quel genre de monde
avons-nous donné naissance à ce bébé ?
											Et, en tant que mère
et dirigeante religieuse,
											qu'allais-je y faire ? »
									","
											Yo era una madre
											y una rabina joven
											en la primavera de 2004
											y el mundo estaba en ruinas.
											Tal vez Uds. lo recuerden.
											Cada día escuchábamos noticias 
devastadoras de la guerra en Irak.
											Había olas de terror en todo el mundo.
											Parecía que la humanidad 
estaba fuera de control.
											Recuerdo la noche que leí
											sobre la serie de atentados coordinados
											en el sistema de metro en Madrid,
											me levanté y me acerqué a la cuna
											donde mi hijo de seis meses
											dormía dulcemente,
											escuché el ritmo de su respiración
											y sentí una sensación de urgencia 
que me recorrió el cuerpo.
											Estábamos viviendo una época 
de cambios tectónicos en las ideologías,
											en la política, en la religión, 
en las poblaciones.
											Todo parecía muy precario.
											Y recuerdo que pensé,
											""Mi Dios, ¿a qué clase de mundo 
he traído a este niño?
											Y lo que yo como madre y líder religiosa
											estaba dispuesta a hacer.
									","
											Ich war gerade Mutter geworden
											und eine junge Rabbinerin,
											im Frühjahr des Jahres 2004,
											und die Welt lag in Scherben.
											Vielleicht erinnern Sie sich.
											Jeden Tag hörten wir bestürzende
Berichte aus dem Krieg im Irak.
											Terrorwellen überzogen den Globus.
											Es schien, als würde die Menschheit
außer Kontrolle geraten.
											Ich kann mich an die Nacht erinnern,
											in der ich über eine Reihe
koordinierte Bombenangriffe
											in der Metro von Madrid las,
											und ich stand auf, ging zum Bettchen,
											in dem mein 6 Monate altes Baby
											friedlich schlafend lag,
											und ich hörte den Rhythmus ihres Atems,
											und ein Gefühl der Dringlichkeit
jagte durch meinen Körper.
											Wir durchlebten eine Zeit tektonischer
Verschiebungen von Ideologien,
											Politik, Religion und Bevölkerungen.
											Alles fühlte sich so unsicher an.
											Ich weiß noch, ich dachte:
											""Mein Gott, in was für eine Welt
bringe ich dieses Kind?""
											Was bin ich als Mutter
											und als religiöses Oberhaupt
bereit zu tun?
									","
											2004'ün ilkbaharında,
											yeni bir anneydim
											ve genç bir hahamdım
											ve dünya, karman çormandı.
											Belki hatırlarsınız.
											Irak'taki savaştan her gün
yıkıcı haberler duyuyorduk.
											Dünya geneline yayılan
bir terör dalgası vardı.
											İnsanlık kontrolden çıkmış gibiydi.
											Madrid'de metro sistemindeki
											eşgüdümlü bombalama serileri hakkında
											okuduğum geceyi hatırlıyorum,
											kalktım ve altı aylık kız bebeğimin
											içinde tatlıca uyuduğu
											beşiğe doğru yürüdüm
											ve nefesinin ritmini duydum
											ve vücudumdan akan
ivedilik hissiyatını sezinledim.
											İdeolojilerde, politikada, dinde,
nüfusta tektonik değişimlerin
											yaşandığı bir zamanda yaşıyorduk.
											Her şey çok kırılgandı.
											Şöyle düşünmüştüm,
											""Aman Tanrım, biz bu çocuğu
nasıl bir dünyaya getirdik?
											Bir anne ve dini lider olarak
bu konu hakkında
											ne yapmak istiyorum?""
									",It's time to reclaim religion,Sharon Brous,16:27,"communication,faith,community,humanity,identity,innovation,morality,religion,social change,society,violence,teaching,women"
"
","
","
","
","
",It's time to reclaim religion,Sharon Brous,16:27,"communication,faith,community,humanity,identity,innovation,morality,religion,social change,society,violence,teaching,women"
"
											Of course, I knew it was clear
											that religion would be
a principle battlefield
											in this rapidly changing landscape,
											and it was already clear
											that religion was a significant
part of the problem.
											The question for me was,
											could religion
also be part of the solution?
											Now, throughout history,
											people have committed
horrible crimes and atrocities
											in the name of religion.
											And as we entered the 21st century,
											it was very clear that religious extremism
was once again on the rise.
											Our studies now show
											that over the course
of the past 15, 20 years,
											hostilities and religion-related violence
											have been on the increase
all over the world.
											But we don't even need
the studies to prove it,
											because I ask you,
how many of us are surprised today
											when we hear the stories
of a bombing or a shooting,
											when we later find out
that the last word that was uttered
											before the trigger is pulled
or the bomb is detonated
											is the name of God?
											It barely raises an eyebrow today
											when we learn that yet another person
											has decided to show his love of God
											by taking the lives of God's children.
											In America, religious extremism
											looks like a white,
antiabortion Christian extremist
											walking into Planned Parenthood
in Colorado Springs
											and murdering three people.
											It also looks like a couple
											inspired by the Islamic State
											walking into an office party
in San Bernardino and killing 14.
											And even when religion-related extremism
does not lead to violence,
											it is still used
as a political wedge issue,
											cynically leading people
to justify the subordination of women,
											the stigmatization of LGBT people,
											racism, Islamophobia and anti-Semitism.
											This ought to concern deeply
											those of us who care
about the future of religion
											and the future of faith.
											We need to call this what it is:
											a great failure of religion.
									","
											Bien sûr, je savais qu'il était clair
											que la religion serait
un terrain de guerre de principes
											dans ce paysage qui changeait rapidement
											et il était déjà clair
											que la religion était
une grande partie du problème.
											La question était pour moi :
											et si la religion pouvait aussi
faire partie de la solution ?
											Au cours de l'histoire,
											des gens ont commis
d'horribles crimes et atrocités
											au nom de la religion.
											En entrant dans le XXIe siècle,
											il était clair que l'extrémisme religieux
était à nouveau en plein essor.
											Nos études montrent
											qu'au cours des 15 ou 20 dernières années,
											les hostilités et la violence
liées à la religion
											ont augmenté partout dans le monde.
											Pas besoin d'études pour le prouver,
											car je vous le demande :
combien d'entre nous sont surpris
											d'entendre parler d'un attentat
ou d'une fusillade
											quand on découvre ensuite
que le dernier mot prononcé
											avant d'appuyer sur la détente
ou le détonateur de la bombe
											est le nom de Dieu ?
											Aujourd'hui, cela nous fait
à peine sourciller
											d'entendre qu'encore une autre personne
											a décidé de montrer son amour de Dieu
											en prenant la vie des enfants de Dieu.
											En Amérique, l'extrémisme religieux
											ressemble à un extrémiste blanc,
chrétien et anti-avortement
											qui rentre au planning familial
de Colorado Springs
											et tue trois personnes.
											Il ressemble aussi à un couple
											inspiré par l’État Islamique
											allant à une fête dans un bureau
à San Bernardino et tuant 14 personnes.
											Même quand l'extrémisme lié à la religion
ne mène pas à la violence,
											il est tout de même utilisé
comme enjeu politique,
											menant cyniquement les gens
à justifier la subordination des femmes,
											la stigmatisation de la communauté LGBT,
											le racisme, l'islamophobie
et l'antisémitisme.
											Cela doit fortement préoccuper
											ceux d'entre nous qui s'inquiètent
du futur de la religion
											et du futur de la foi.
											Nous devons appeler un chat un chat,
											c'est un immense échec de la religion.
									","
											Por supuesto, sabía que estaba claro
											que la religión sería 
un campo de batalla de principios
											en este paisaje que cambia rápidamente,
											y ya estaba claro
											que la religión era 
parte importante del problema.
											La pregunta que me hice fue,
											¿podría ser la religión 
también parte de la solución?
											A lo largo de la historia,
											personas han cometido 
horribles crímenes y atrocidades
											en nombre de la religión.
											Y a medida que avanzamos en el siglo XXI,
											estaba claro que el extremismo religioso 
iba en aumento.
											Nuestros estudios muestran
											que en el transcurso 
de los últimos 15 a 20 años,
											las hostilidades y la violencia 
relacionadas con la religión
											han ido en aumento en todo el mundo.
											Pero ni siquiera necesitamos 
estudios para demostrarlo,
											porque yo les pregunto, 
¿cuántos de nosotros se sorprenden hoy
											cuando escuchamos las historias 
de un bombardeo o un tiroteo,
											cuando nos enteramos que 
la última palabra pronunciada
											antes de apretar el gatillo 
o detonar la bomba
											es el nombre de Dios?
											Apenas uno se sorprende hoy
											cuando nos enteramos de que otra persona
											ha decidido mostrar su amor a Dios
											tomando las vidas de los hijos de Dios.
											En EE.UU. el extremismo religioso
											se manifiesta como un extremista 
antiabortista cristiano blanco
											que entra en un centro de 
planificación familiar en Colorado Springs
											y asesina a tres personas.
											También se manifiesta como una pareja
											inspirada por el Estado Islámico
											que entra en una fiesta de oficina de 
un partido en San Bernardino y mata a 14.
											E incluso si el extremismo religioso 
no conduce a la violencia,
											aún se usa como una cuestión 
de cuño político,
											llevando cínicamente a la gente a
justificar la subordinación de la mujer,
											la estigmatización de las personas LGBT,
											el racismo, la islamofobia 
y el antisemitismo.
											Esto debe alertar profundamente
											a quienes nos preocupamos 
por el futuro de la religión
											y el futuro de la fe.
											Tenemos que llamar a esto por su nombre:
											un gran fracaso de la religión.
									","
											Natürlich war es klar,
											dass Religion ein zentrales Schlachtfeld
											in dieser sich rasant verändernden
Landschaft sein würde,
											und es war schon klar,
											dass Religion ein wesentliches
Teil des Problems war.
											Für mich war die Frage,
											ob Religion auch
Teil der Lösung sein könnte.
											Im Verlauf der Geschichte
											haben Menschen furchtbare
Verbrechen und Gräueltaten
											im Namen der Religion begangen.
											Zu Beginn des 21. Jahrhunderts war klar,
											dass religiöser Extremismus
wieder auf dem Vormarsch war.
											Unsere Studien zeigen jetzt,
											dass im Verlauf der letzten 15, 20 Jahre
											Feindseligkeiten und
religionsbezogene Gewalt
											überall auf der Welt zugenommen haben.
											Aber wir brauchen keine Studien,
um das zu beweisen,
											denn ich frage Sie, wie viele
von Ihnen heutzutage überrascht sind,
											wenn wir von einem Bombenanschlag
oder einer Schießerei hören
											und später herausfinden,
dass das letzte geäußerte Wort,
											bevor der Abzug betätigt wurde
oder die Bombe detonierte,
											der Name Gottes war?
											Keiner wundert sich heute,
											wenn wir erfahren, dass eine
weitere Person beschlossen hat,
											ihre Liebe zu Gott zu zeigen,
											indem sie den Kindern Gottes
das Leben nimmt.
											In den USA begegnet uns
religiöser Extremismus
											als weißer, christlicher,
extremistischer Abtreibungsgegner,
											der in Colorado Springs
in eine Abtreibungsklinik läuft
											und drei Menschen ermordet.
											Er begegnet uns als Pärchen,
											das vom Islamischen Staat inspiriert,
											in eine Betriebsfeier in
San Bernardino läuft und 14 tötet.
											Selbst wenn religionsbezogener
Extremismus nicht zu Gewalt führt,
											wird er immer noch für
politische Streitthemen genutzt.
											Zynischerweise führt es Menschen dazu,
die Unterordnung von Frauen,
											die Stigmatisierung von LGBT-Menschen,
											Rassismus, Islamfeindlichkeit
und Antisemitismus zu rechtfertigen.
											Das sollte all jene beunruhigen,
											die sich um die Zukunft der Religion
											und die Zukunft des Glaubens sorgen.
											Wir müssen es so nennen, wie es ist:
											ein großes Versagen der Religion.
									","
											Tabii ki dinin, bu hızla değişen
											manzarada bir prensipler
savaşı meydanı olduğunun
											aşikar olduğunu biliyordum
											ve dinin,
											sorunun önemli bir kısmı
olduğu da zaten aşikardı.
											Benim için soru şuydu,
											din, ayrıca çözümün de
bir parçası olabilir miydi?
											Şimdi, tarih boyunca,
											insanlar din adı altında
dehşet suçlar işlediler
											ve vahşete sebep oldular.
											21. yüzyıla girdiğimizde
											dini aşırıcılığın tekrar
yükselişe geçtiği aşikardı.
											Şu anda çalışmalarımız
											geçtiğimiz 15, 20 yıl boyunca
düşmanlıkların ve dinle ilgili şiddetin
											tüm dünyada
											yükselişe geçmiş olduğunu gösteriyor.
											Ama kanıtlamak için
çalışmalara bile gerek yok,
											çünkü soruyorum, bugün
bir bombalama ya da silahlı eylem
											hikayesi duyduğunuzda
ve sonra tetik çekilmeden
											veya bomba patlatılmadan önce
söylenen son kelimenin
											Tanrının adı olduğunu öğrendiğinizde
											kaçımız şaşırıyor?
											Başka bir insanın,
											Tanrının çocuklarının canlarını alarak
											Tanrıya sevgisini gösterme
kararı aldığını öğrenince
											sadece şaşkınlıktan gözlerimiz açılıyor.
											Amerika'da dini aşırıcılık,
											beyaz, kürtaj karşıtı, Hristiyan
bir aşırıcının Colorado Springs'deki
											Aile Planlaması Derneğine girip
üç kişiyi öldürmesi
											gibi görünüyor.
											Ayrıca bir çiftin, IŞİD'den etkilenerek
											San Bernardino'da
											bir ofis partisine girip
14 kişiyi öldürmesi gibi görünüyor.
											Hatta dine bağlı aşırıcılık
şiddete yol açmadığında bile,
											politik bir set
meselesi olarak kullanılıyor,
											bu da insanların, kadınların
itaatini, LGBT insanlarının
											damgalanmasını, ırkçılığı, İslam fobisini
											ve Yahudi karşıtlığını
meşrulaştırmasını sağlıyor.
											Dinin geleceği ve inancın geleceği
											konusuyla ilgilenenler, bu konuyla
											derinden ilgilenmeli.
											Bu, neyse odur:
											dinin büyük bir başarısızlığı.
									",It's time to reclaim religion,Sharon Brous,16:27,"communication,faith,community,humanity,identity,innovation,morality,religion,social change,society,violence,teaching,women"
"
","
","
","
","
",It's time to reclaim religion,Sharon Brous,16:27,"communication,faith,community,humanity,identity,innovation,morality,religion,social change,society,violence,teaching,women"
"
											But the thing is, this isn't even the only
challenge that religion faces today.
											At the very same time
											that we need religion
to be a strong force against extremism,
											it is suffering
from a second pernicious trend,
											what I call religious routine-ism.
											This is when our institutions
and our leaders
											are stuck in a paradigm
that is rote and perfunctory,
											devoid of life, devoid of vision
											and devoid of soul.
									","
											Mais le fait est que ce n'est pas
le seul défi auquel la religion fait face.
											Alors que nous avons besoin
											que la religion soit
une grande force contre l'extrémisme,
											elle souffre d'une autre mode pernicieuse
											que j'appelle « routinisme religieux ».
											Cela arrive quand
nos institutions et nos dirigeants
											sont bloqués dans un paradigme
qui est mécanique, superficiel,
											dépourvu de vie, dépourvu de vision
											et dépourvu d'âme.
									","
											Pero esto no es el único reto 
al que se enfrenta hoy la religión.
											En el mismo momento
											que precisamos la religión como fuerza 
poderosa contra el extremismo,
											ésta está sufriendo de 
una segunda tendencia perniciosa,
											lo que llamo rutinarismo religioso.
											Esto es cuando las instituciones 
y nuestros líderes
											están atrapados en un paradigma 
rutinario y superficial,
											desprovisto de vida, desprovisto de visión
											y carente de alma.
									","
											Aber das ist nicht die einzige,
aktuelle Herausforderung für Religion.
											Genau dann, wenn wir Religion
											als starke Kraft gegen
Extremismus brauchen,
											leidet sie an einem zweiten
verhängnisvollen Trend,
											die ich religiösen Routinismus nenne.
											Unsere Institutionen und unsere Anführer
											stecken in einem routinierten
und oberflächlichen System fest,
											ohne Leben, ohne Vision
											und ohne Seele.
									","
											Sorun şu ki, dinin günümüzde
karşılaştığı tek mücadele bu değil.
											Aynı zamanda
											dinin aşırıcılığa karşı baskın bir
kuvvet olmasına ihtiyacımız varken
											o, ikinci bir tehlike akımıyla uğraşıyor,
											buna dini rutin-cilik diyorum.
											Kurumlarımız ve liderlerimiz
hayattan yoksun,
											vizyondan yoksun ve ruhtan yoksun
											bu ezber ve üstünkörülük paradigmasında
											sıkışıp kaldılar.
									",It's time to reclaim religion,Sharon Brous,16:27,"communication,faith,community,humanity,identity,innovation,morality,religion,social change,society,violence,teaching,women"
"
","
","
","
","
",It's time to reclaim religion,Sharon Brous,16:27,"communication,faith,community,humanity,identity,innovation,morality,religion,social change,society,violence,teaching,women"
"
											Let me explain what I mean like this.
											One of the great blessings
of being a rabbi
											is standing under the chuppah,
under the wedding canopy, with a couple,
											and helping them proclaim publicly
											and make holy the love
that they found for one another.
											I want to ask you now, though,
											to think maybe from your own experience
											or maybe just imagine it
											about the difference
between the intensity of the experience
											under the wedding canopy,
											and maybe the experience
of the sixth or seventh anniversary.
									","
											Je vais expliquer ce que j'entends par là.
											Un des grands avantages
qu'il y a à être rabbin
											est de se tenir sous la houppa,
sous le dais nuptial, avec un couple
											et de les aider à proclamer publiquement
											et rendre sacré l'amour
qu'ils éprouvent l'un pour l'autre.
											Cependant, j'aimerais vous demander
											de penser, avec votre propre expérience
											ou avec votre imagination,
											à la différence entre
l'intensité de l'expérience
											sous le dais nuptial
											et peut-être l'intensité
du 6ème ou 7ème anniversaire.
									","
											Voy a explicar 
lo que quiero decir con esto.
											Una de las grandes 
bendiciones de ser rabina
											es estar de pie bajo la jupá, 
bajo el altar de la boda con una pareja,
											para ayudarles a proclamar públicamente
											y convertir en sagrado el amor 
que se profesan recíprocamente.
											Quiero pedirles, sin embargo,
											que piensen en su propia experiencia
											o tal vez que imaginen
											la diferencia entre 
la intensidad de la experiencia
											bajo el altar de la boda,
											y tal vez en la experiencia 
del sexto o séptimo aniversario.
									","
											Ich erkläre Ihnen, was ich meine.
											Einer der größten Segen,
ein Rabbi zu sein,
											ist, mit einem Paar unter der Chuppa,
dem Hochzeitsbaldachin, zu stehen,
											und ihnen zu helfen,
öffentlich zu bekunden,
											und die Liebe zu heiligen,
die sie ineinander gefunden haben.
											Ich möchte Sie bitten,
											aus eigener Erfahrung heraus
											oder indem Sie es sich vorstellen,
											über den Unterschied zwischen
der Intensität der Erfahrung
											unter dem Hochzeitsbaldachin
											und etwa der Erfahrung des 6.
oder 7. Hochzeitstags nachzudenken.
									","
											Ne demek istediğimi açıklayayım.
											Bir haham olmanın
en büyük lütuflarından birisi,
											bir çiftle birlikte chuppah adlı
nikah kubbesinin altında duruyorduk
											ve beyan ederek
											birbirlerinde buldukları sevgiyi
kutsallaştırmalarına yardımcı oldum.
											Şimdi düşünmenizi istiyorum,
											belki tecrübelerinizden yola çıkarsınız
											ya da hayal edersiniz;
											bir nikah kubbesi altında
yaşanılan tecrübenin yoğunluğuyla,
											belki de altıncı
											veya yedinci yıl kutlaması
tecrübeleri arasındaki fark nedir?
									",It's time to reclaim religion,Sharon Brous,16:27,"communication,faith,community,humanity,identity,innovation,morality,religion,social change,society,violence,teaching,women"
"
","
","
","
","
",It's time to reclaim religion,Sharon Brous,16:27,"communication,faith,community,humanity,identity,innovation,morality,religion,social change,society,violence,teaching,women"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									","
											(Gülüşmeler)
									",It's time to reclaim religion,Sharon Brous,16:27,"communication,faith,community,humanity,identity,innovation,morality,religion,social change,society,violence,teaching,women"
