en,es,fr,tr,de,title,speaker,duration,tags
"
","
","
","
","
",Why you don't like the sound of your own voice,Rébecca Kleinberger,12:42,"hearing,TEDx,sound,human body,humanity,science,self,speech,vocals"
"
											If you ask evolutionary biologists
											when did humans become humans,
											some of them will say that,
											well, at some point
we started standing on our feet,
											became biped and became
the masters of our environment.
											Others will say that because our brain
started growing much bigger,
											that we were able to have
much more complex cognitive processes.
											And others might argue
that it's because we developed language
											that allowed us to evolve as a species.
											Interestingly, those three
phenomena are all connected.
											We are not sure how or in which order,
											but they are all linked
											with the change of shape of a little bone
in the back of your neck
											that changed the angle
between our head and our body.
											That means we were able to stand upright
											but also for our brain
to evolve in the back
											and for our voice box to grow
from seven centimeters for primates
											to 11 and up to 17 centimetres for humans.
									","
											Si les preguntan a los biólogos evolutivos
											cuándo los humanos
se convirtieron en humanos,
											algunos responderán que
											en algún punto comenzamos
a caminar erguidos,
											nos convertimos en bípedos
y en maestros de nuestro entorno.
											Otros dirán que debido a que
nuestro cerebro comenzó a crecer más,
											fuimos capaces de tener procesos
cognitivos mucho más complejos.
											Y otros pueden argumentar
que desarrollar el lenguaje
											nos permitió evolucionar como especie.
											Curiosamente, esos tres fenómenos
están conectados.
											No estamos seguros de cómo o en qué orden,
											pero todos están ligados
											al cambio de forma en un
pequeño hueso de la nuca
											que modificó el ángulo
entre la cabeza y el cuerpo.
											Eso provocó que fuéramos capaces
de caminar erguidos,
											pero también que nuestro 
cerebro evolucionara
											y que nuestra laringe creciera
desde 7 centímetros en los primates
											a 11 y hasta 17 centímetros 
en los humanos.
									","
											Si l'on demande 
aux chercheurs évolutionnistes
											à quel moment nous
sommes devenus humains,
											certains répondront qu'à un moment donné,
											nous avons commencé à nous tenir debout,
											nous sommes devenus bipèdes 
et maîtres de notre environnement.
											D'autres diront que notre cerveau,
en grossissant,
											nous a rendus capables
de processus cognitifs plus complexes.
											Et d'autres diront que c'est 
en développant un langage
											que nous avons pu 
évoluer en tant qu'espèce.
											Ces trois phénomènes
sont en fait tous connectés.
											On ne sait pas bien comment 
ou dans quel ordre,
											mais ils sont tous liés
											au changement de forme d'un petit
os situé derrière dans la nuque
											qui a modifié l'angle 
entre notre tête et notre corps.
											Cela nous a non seulement permis
de nous tenir debout
											mais aussi à notre cerveau 
d'évoluer dans sa partie arrière
											et à notre boîte vocale de passer
de sept centimètres pour les primates
											à entre 11 et 17 centimètres 
pour les humains.
									","
											Evrimci biyologlara,
											insanların ne zaman insanlaşmaya 
başladıklarını sorarsanız
											içlerinden bazıları şunu söylecektir.
											Belli bir noktada ayaklarımızın
üstünde durmaya başladık,
											iki ayaklılar sınıfına geçtik 
ve çevremizin efendileri olduk.

											Diğerleri de, beynimizin daha çok
büyümeye başladığını,
											böylelikle daha karmaşık bilişsel
sürece sahip olabildiğimizi söyler.
											Kalan diğerleri de, bizi bir tür olarak
											evrimleştiren bir dil 
geliştirdiğimizi söyler.
											İlginçtir ki, bu üç fenomenin hepsi
birbiriyle bağlantılıdır.
											Bunun nasıl ya da hangi sırayla 
olduğundan emin değiliz
											ama hepsi
											boynumuzun arkasındaki vücudumuzla 
başımız arasındaki açıyı değiştiren
											küçük bir kemiğin
şeklindeki değişimle bağlantılıdır.
											Bu, dik durabilme kabiliyetine 
sahip olduğumuz
											ve bununla birlikte beynimizin 
arka tarafta gelişmesi
											ve gırtlak boyutumuzun maymunlarda 
yedi santimden on bir santime,
											insanlarda ise 17 santime
kadar büyümesi demek.
									","
											Fragt man Evolutionsbiologen,
											wann der Mensch zum Menschen wurde,
											werden einige sagen,
											dass wir irgendwann anfingen,
aufrecht zu stehen,
											zu Zweibeinern wurden und 
unsere Umgebung beherrschten.
											Andere werden sagen, dass
unser Gehirn sich stark vergrößerte,
											was uns zu sehr viel komplexeren
Denkprozessen befähigte.
											Wieder andere könnten die Entwicklung
von Sprache als Grund anführen,
											das die Entwicklung
unserer Spezies ermöglichte.
											Interessanterweise hängen
alle drei Phänomene zusammen.
											Wir sind nicht sicher, wie und
und in welcher Reihenfolge,
											aber sie alle haben zu tun
											mit der Umformung eines kleinen
Knochens hinten am Hals,
											der den Winkel zwischen 
Kopf und Körper veränderte.
											Wir konnten nun aufrecht stehen,
											außerdem konnte sich unser Gehirn
nach hinten hin vergrößern,
											und der Kehlkopf wuchs von den für
Primaten typischen sieben Zentimetern
											auf elf oder sogar 17 Zentimeter.
									",Why you don't like the sound of your own voice,Rébecca Kleinberger,12:42,"hearing,TEDx,sound,human body,humanity,science,self,speech,vocals"
"
","
","
","
","
",Why you don't like the sound of your own voice,Rébecca Kleinberger,12:42,"hearing,TEDx,sound,human body,humanity,science,self,speech,vocals"
"
											And this is called
the descent of the larynx.
											And the larynx is the site of your voice.
											When baby humans are born today,
their larynx is not descended yet.
											That only happens
at about three months old.
											So, metaphorically, each of us here
											has relived the evolution
of our whole species.
											And talking about babies,
											when you were starting to develop
in your mother's womb,
											the first sensation that you had
coming from the outside world,
											at only three weeks old,
when you were about the size of a shrimp,
											were through the tactile sensation
											coming from the vibrations
of your mother's voice.
									","
											A eso se le conoce como
el descenso de la laringe.
											Y en la laringe es donde se ubica la voz.
											Cuando los bebés humanos nacen,
la laringe aún no ha descendido.
											Eso solo ocurre cerca de los tres meses.
											Así que, metafóricamente,
cada uno de nosotros
											ha revivido la evolución
de toda nuestra especie.
											Y hablando de bebés,
											cuando comenzamos a desarrollarnos
en el vientre de nuestra madre,
											la primera sensación que
tuvimos del mundo exterior,
											con tan solo tres semanas y
apenas el tamaño de un camarón,
											fue a través de la sensación táctil
											que venía de las vibraciones
de la voz de nuestra madre.
									","
											C'est ce qu'on appelle 
la descente du larynx.
											Et le larynx est la base de votre voix.
											Quand un bébé humain naît,
son larynx n'est pas encore descendu.
											Cela n'arrive qu'au bout de trois mois.
											Donc métaphoriquement, 
chacun d'entre nous ici
											a revécu l'évolution 
de toute notre espèce.
											Et à propos des bébés,
											quand vous commenciez à vous développer
dans le ventre de votre mère,
											la première sensation ressentie 
du monde extérieur,
											à seulement trois semaines, quand vous
aviez encore la taille d'une crevette,
											s'est faite à travers la sensation tactile
											venue des vibrations 
de la voix de votre mère.
									","
											Bu larinksin alçalması 
olarak adlandırılır.
											Larinks sesinize ait olan bölgedir.
											Bebekler doğdukları zaman, 
onların larinksi henüz alçalmamıştır.
											Bu ancak 3 aylık bir süreden
sonra meydana gelir.
											Mecazi olarak, buradaki her birimiz
											tüm türümüzün evrimini yeniden yaşadı.
											Bebeklerden bahsetmişken
											anne rahminde gelişmeye başladığınızda,
											bir karides büyüklüğünde,
daha 3 haftalıkken
											dış dünyadan gelen yaşadığınız ilk his,
											annenizin ses titreşiminden gelen
											dokunma hissidir.
									","
											Das wird als Kehlkopfabsenkung bezeichnet.
											Und im Kehlkopf sitzt die Stimme.
											Bei Neugeborenen hat sich 
der Kehlkopf noch nicht abgesenkt.
											Das passiert erst im Alter von 3 Monaten.
											Das heißt, jeder hier hat gewissermaßen
											die komplette Evolution 
unserer Spezies durchlebt.
											Um bei Babys zu bleiben:
											Beim Heranwachsen in der Gebärmutter ...
											Der erste Sinneseindruck, der von
der Außenwelt zu uns vordrang —
											als wir gerade so groß waren
wie ein Schrimp, drei Wochen alt —
											war eine Tastempfindung,
											von den Schwingungen
der Stimme unserer Mutter.
									",Why you don't like the sound of your own voice,Rébecca Kleinberger,12:42,"hearing,TEDx,sound,human body,humanity,science,self,speech,vocals"
"
","
","
","
","
",Why you don't like the sound of your own voice,Rébecca Kleinberger,12:42,"hearing,TEDx,sound,human body,humanity,science,self,speech,vocals"
"
											So, as we can see, the human voice
is quite meaningful and important
											at the level of the species,
											at the level of the society —
											this is how we communicate
and create bonds,
											and at the personal
and interpersonal levels —
											with our voice, we share much more
than words and data,
											we share basically who we are.
											And our voice is indistinguishable
from how other people see us.
											It is a mask that we wear in society.
											But our relationship with our own voice
is far from obvious.
											We rarely use our voice for ourselves;
we use it as a gift to give to others.
											It is how we touch each other.
											It's a dialectical grooming.
									","
											Como pueden ver, la voz humana es
muy significativa e importante
											como especie,
											como sociedad
											—así es como nos comunicamos
y creamos lazos—
											y al nivel personal e interpersonal.
											Con nuestra voz compartimos
mucho más que palabras e información,
											básicamente compartimos quiénes somos.
											Y nuestra voz es indistinguible
de cómo la gente nos ve.
											Es una máscara que
nos ponemos en sociedad.
											Pero la relación con nuestra
propia voz no es tan obvia.
											Rara vez la usamos con nosotros mismos;
la usamos como un regalo para otros.
											Es cómo nos tocamos unos a otros.
											Es un ejercicio dialéctico.
									","
											Comme on peut le voir,
la voix humaine est assez importante
											au niveau de l'espèce,
											au niveau de la société -
											c'est par là que l'on communique,
que l'on crée des liens,
											aux niveaux personnel et interpersonnel -
											nous partageons par la voix
bien plus que des mots et des données,
											nous partageons en réalité 
qui nous sommes.
											Et notre voix est indissociable
de la manière dont les autres nous voient.
											C'est un masque 
que nous portons en société.
											Mais notre relation à notre voix
n'est pas si évidente.
											Nous utilisons peu notre voix 
pour nous ;
											nous l'offrons à l'autre en cadeau.
											C'est ainsi que l'on touche l'autre.
											C'est une préparation dialectique.
									","
											Gördüğümüz gibi, insan sesi 
oldukça anlamlı ve önemli.
											Hem türlerin düzeyinde,
											hem de toplum düzeyinde
											bu iletişime geçme ve 
bağ kurma yöntemimiz,
											hem kişisel, hem de karşılıklı olarak.
											Kendi sesimizle, bilgi ve kelimelerden
daha fazlasını paylaşırız,
											aslında kim olduğumuzu paylaşırız.
											Sesimiz, insanların bizi nasıl gördüğünün 
ayrılmaz bir parçasıdır.
											Toplum içinde giydiğimiz bir maskedir.
											Ama kendi sesimizle olan ilişkimiz
çok karmaşıktır.
											Sesimizi nadiren kendimiz için kullanırız,
başkalarına bir hediye olarak kullanırız.
											O, birbirimize dokunma şeklimizdir,
											diyalektik bir hazırlıktır.
									","
											Wir sehen also, die menschliche Stimme
ist von zentraler Bedeutung
											für unsere Spezies,
											für unser Miteinander —
											über sie kommunizieren wir
und knüpfen Beziehungen
											— auch auf persönlicher und
zwischenmenschlicher Ebene —
											über sie teilen wir viel mehr mit
als Worte und Informationen,
											wir teilen im Grunde uns selbst mit.
											Unsere Stimme ist ein untrennbarer
Teil dessen, wie andere uns sehen.
											Sie ist unsere soziale Maske.
											Wir selbst haben zu unserer Stimme
ein diffuses Verhältnis.
											Wir setzen sie kaum bei uns selbst ein;
sie ist etwas, das wir anderen geben.
											Durch sie berühren wir einander.
											Eine Art verbale Fellpflege.
									",Why you don't like the sound of your own voice,Rébecca Kleinberger,12:42,"hearing,TEDx,sound,human body,humanity,science,self,speech,vocals"
"
","
","
","
","
",Why you don't like the sound of your own voice,Rébecca Kleinberger,12:42,"hearing,TEDx,sound,human body,humanity,science,self,speech,vocals"
"
											But what do we think about our own voice?
											So please raise your hand
											if you don't like the sound of your voice
when you hear it on a recording machine.
									","
											Pero ¿qué pensamos de nuestra propia voz?
											Por favor, levanten la mano
											si no les gusta el sonido de su voz
al escucharla en una grabación.
									","
											Mais que pense-t-on de notre propre voix ?
											S'il vous plaît, levez la main
											si vous n'aimez pas le son 
de votre voix sur les répondeurs.
									","
											Peki kendi sesimiz hakkında 
ne düşünüyoruz?
											Eğer ses kayıt cihazından gelen
											sesinizi beğenmiyorsanız
lütfen ellerinizi kaldırın.
									","
											Aber wie denken wir über unsere Stimme?
											Bitte heben Sie die Hand,
											wenn Sie den Klang Ihrer Stimme
auf Tonband nicht mögen.
									",Why you don't like the sound of your own voice,Rébecca Kleinberger,12:42,"hearing,TEDx,sound,human body,humanity,science,self,speech,vocals"
"
","
","
","
","
",Why you don't like the sound of your own voice,Rébecca Kleinberger,12:42,"hearing,TEDx,sound,human body,humanity,science,self,speech,vocals"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Lachen)
									",Why you don't like the sound of your own voice,Rébecca Kleinberger,12:42,"hearing,TEDx,sound,human body,humanity,science,self,speech,vocals"
