en,tr,es,de,fr,title,speaker,duration,tags
"
","
","
","
","
","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
											On the 17th of October, 2009,
											President Mohamed Nasheed of the Maldives
did something unusual.
											He held his cabinet meeting underwater.
											He literally took his ministers
scuba diving, as it were,
											to warn the world
that his country could drown
											unless we control global warming.
									","
											17 Ekim 2009'da
											Maldivler'in başkanı Mohamed Nasheed 
sıra dışı bir şey yaptı.
											Kabine toplantısını su altında yaptı.
											Eğer küresel ısınmayı 
kontrol altında tutamazsak
											ülkesinin su altında kalacağına 
dair dünyayı uyarmak için
											bakanlarına gerçekten de 
tüplü dalış yaptırdı.
									","
											El 17 de octubre de 2009,
											el presidente de las Maldivas, Mohamed
Nasheed, hizo algo fuera de lo común:
											celebró una reunión
de gabinete bajo el agua.
											Llevó a sus ministros
a bucear, literalmente,
											para advertir al mundo que su país
puede terminar sumergido
											si no logramos controlar
el calentamiento global.
									","
											Am 17 Oktober, 2009,
											tat der Präsident der Malediven,
Mohamed Nasheed, etwas Ungewöhnliches.
											Er hielt seine Sitzung unter Wasser.
											Er nahm seine Minister mit zum Tauchen,
											um die Welt zu warnen,
dass sein Land untergehen könnte,
											wenn wir den Klimawandel nicht aufhalten.
									","
											Le 17 octobre 2009, aux Maldives,
											le président Mohamed Nasheed, 
a fait quelque chose d'inhabituel.
											Il a tenu son conseil
des ministres sous l'eau.
											Il a littéralement emmené ses ministres
faire de la plongée sous-marine,
											pour alerter le monde
que son pays risquait de couler
											à moins d'agir contre
le réchauffement climatique.
									","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
","
","
","
","
","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
											Now I don't know whether he got
his message across to the world or not,
											but he certainly caught mine.
											I saw a political stunt.
											You see, I'm a politician,
											and I notice these things.
											And let's be honest,
											the Maldives are distant
from where I come from —
											my country is Bhutan —
											so I didn't lose any sleep
over their impending fate.
									","
											Mesajını dünyaya iletip iletemedi mi
bilemiyorum ama
											ben mesajını kesinlikle aldım.
											Siyasi bir gösteri gördüm.
											Anlarsınız, ben bir siyasetçiyim
											ve böyle şeyleri fark ederim.
											Dürüst olayım,
											Maldivler, geldiğim yer olan 
Bhutan'dan oldukça uzakta,
											bu nedenle, yaklaşmakta olan kaderleri 
uykumu hiç kaçırmadı.
									","
											No sé si el mundo
prestó atención a su mensaje,
											pero yo sí.
											Vi un truco político.
											Soy un político, después de todo,
											y me doy cuenta de esas cosas.
											Seamos sinceros,
											las Maldivas quedan muy lejos de mi país,
											soy de Bután,
											y por eso su suerte inminente
no me quita el sueño.
									","
											Ich weiß nicht, ob er seine Nachricht
weltweit überbringen konnte,
											aber mich hat sie erreicht.
											Ich sah darin einen politischen Akt.
											Sehen Sie, ich bin Politiker
											und erkenne solche Sachen.
											Seien wir ehrlich,
											die Malediven sind weit weg von da, 
wo ich herkomme —
											meine Heimat ist Bhutan —
											nicht einmal ihr bevorstehendes Schicksal
brachte mich um meinen Schlaf.
									","
											Je ne sais pas s'il a réussi
à faire passer son message au monde,
											mais il a attiré mon attention.
											J'y ai vu un coup d'éclat médiatique.
											Voyez-vous, je suis un politicien
											et je remarque ce genre d'actions.
											Mais soyons honnêtes,
											les Maldives sont très loin
de mon pays d'origine –
											je viens du Bhoutan –
											alors leur destin imminent
ne m'a pas empêché de dormir.
									","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
","
","
","
","
","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
											Barely two months later,
I saw another political stunt.
											This time, the prime minister of Nepal,
											he held his cabinet meeting
on Mount Everest.
											He took all his ministers all the way up
to the base camp of Everest
											to warn the world
											that the Himalayan glaciers were melting.
											Now did that worry me?
											You bet it did.
											I live in the Himalayas.
											But did I lose any sleep over his message?
											No.
											I wasn't ready to let a political stunt
interfere with my beauty sleep.
									","
											Neredeyse iki ay kadar sonra, 
bir başka siyasi gösteri daha gördüm.
											Bu sefer de Nepal Başbakanı
											kabinesini Everest Dağı'nda toplamıştı.
											Tüm bakanlarını, dünyayı
											Himalaya buzullarının erimesiyle 
ilgili uyarmak için
											Everest'in üs kampına kadar götürmüştü.
											Peki bu beni endişelendirdi mi?
											Kesinlikle.
											Himalayalar'da yaşıyorum.
											Peki onun bu mesajı yüzünden
uykum hiç kaçtı mı?
											Hayır.
											Güzellik uykumu siyasi bir gösterinin 
bozmasına henüz hazır değildim.
									","
											A los dos meses, vi otro truco político.
											Esta vez fue del primer ministro de Nepal,
											quien celebró una reunión de su gabinete
en el monte Everest.
											Llevó a todos sus ministros
hasta el campamento base del Everest
											para advertirle al mundo
											que los glaciares del Himalaya
se estaban derritiendo.
											¿Y eso me preocupó?
											Se imaginarán que sí.
											Vivo en el Himalaya.
											¿Y me quitó el sueño su mensaje?
											No.
											No iba a permitir que un truco político
interfiera con mi sueño reparador.
									","
											Fast zwei Wochen später,
sah ich einen weiteren politischen Akt.
											Diesmal hielt der Premierminister Nepals
											seine Sitzung auf dem Mount Everest.
											Er nahm seine Minister ganz nach oben,
zum Basislager des Everest,
											um die Welt zu warnen,
											dass die Gletscher des Himalaya schmelzen.
											Beängstigte mich das?
											Darauf können sie wetten.
											Ich lebe im Himalaya.
											Aber hatte ich deswegen schlaflose Nächte?
											Nein.
									","
											A peine deux mois plus tard,
j'ai vu un autre coup médiatique.
											Cette fois, le premier ministre du Népal
											a tenu son conseil des ministres
sur l'Everest.
											Il a fait monter tous ses ministres
au camp de base de l'Everest
											pour alerter le monde entier
											sur la fonte des glaciers himalayens.
											Est-ce que ça m'a inquiété ?
											Complétement.
											Je vis dans l'Himalaya.
											Mais est-ce que j'en ai perdu le sommeil ?
											Non.
											Je n'allais pas laisser un coup médiatique
troubler mon sommeil réparateur.
									","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
","
","
","
","
","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
											(Laughter)
									","
											(Kahkaha)
									","
											(Risas)
									","
											Ich wollte nicht, dass ein politischer Akt
meinen Schönheitsschlaf stört.
									","
											(Rires)
									","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
","
","
","
","
","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
"
											Now fast-forward 10 years.
											In February this year,
											I saw this report.
											This here report basically concludes
											that one-third of the ice
on the Hindu Kush Himalaya mountains
											could melt by the end of the century.
											But that's only if,
											if we are able to contain global warming
											to 1.5 degrees centigrade
over preindustrial levels.
											Otherwise, if we can't,
											the glaciers would melt much faster.
									","
											Şimdi on yıl ileri saralım.
											Bu yılın Şubat ayında,
											bu raporu gördüm.
											Rapor basitçe,
											Hindukuş Himalaya dağlarındaki 
buzun üçte birinin
											yüzyılın sonunda eriyebileceğini
söylüyordu.
											Ama bu yalnızca,
											eğer biz küresel ısınmayı
endüstri öncesi seviyelerin
											1,5 santigrat derece üzerinde 
tutabilirsek gerçekleşebilecekti.
											Diğer türlü, eğer başaramazsak
											buzullar çok daha hızlı eriyecek.
									","
											Avancemos unos 10 años.
											En febrero de este año
											vi este informe.
											Un informe que concluye
											que un tercio de los glaciares 
en las montañas Hindú Kush Himalaya
											podrían derretirse a finales del siglo.
											Pero eso solo ocurrirá
											si podemos contener
el calentamiento global
											a 1,5 °C por encima 
de los niveles preindustriales.
											Si no podemos hacerlo,
											los glaciares se derretirán
mucho más rápido.
									","
											(Lachen)
											10 Jahre später,
											Im Februar dieses Jahres,
											sah ich diesen Bericht.
											Dieser Bericht kommt zum Schluss,
											dass ein Drittel des Eises
der Hindukusch Berge im Himalaya,
											bis zum Ende des Jahrhunderts
schmelzen könnte.
											Vorausgesetzt wir können
die globale Erwärmung
											auf 1,5 Grad Celsius, 
des vorindustriellen Niveaus begrenzen.
											Wenn nicht,
									","
											Faisons un bond de dix ans en avant.
											Cette année, en février,
											j'ai reçu ce rapport.
											Ce rapport conclut en gros
											qu'un tiers de la glace des montagnes
de l'Himalaya et de l'Hindou Kouch
											pourraient fondre d'ici la fin du siècle.
											Et cela seulement si
											nous parvenons à limiter
le réchauffement climatique
											à 1,5 degré Celsius
au-dessus du niveau pré-industriel.
											Sinon, si nous n'y arrivons pas,
											les glaciers fondront encore plus vite.
									","An urgent call to protect the world's ""Third Pole""",Tshering Tobgay,14:33,"environment,nature,sustainability,government,climate change,Anthropocene,politics,collaboration,glacier,conservation,Asia"
