es,en,pt,fr,title,speaker,duration,tags
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
											¿Se imaginan cómo se vería
la palabra ""TED""
											si hubiera existido en el Imperio romano?
											Yo pienso que podría ser algo así.
											Un artesano lo habría grabado con cincel,
en piedra, durante días,
											a pleno rayo del sol.
											¿Y en la Edad Media?
											Ahí un monje encerrado en su habitación
											escribiría T-E-D con su pluma.
											Y sin ir tan lejos en el tiempo,
											¿cómo se verían estas letras en los 80?
											Tendrían colores eléctricos,
raros, como nuestros peinados.
									","
											Can you imagine what the word
""TED"" would have looked like
											if it had existed during the Roman Empire?
											I think maybe something like this.
											An artisan would have spent days
in the sun chiseling it into stone.
											And in the Middle Ages?
											A monk, locked in his room,
											would write T-E-D with his pen.
											And without going so far back in time,
											how would these letters
have looked in the 80s?
											They would have had
electric, strange colors,
											just like our hairstyles.
									","
											Imaginam como se veria
a palavra TED
											se tivesse existido no Império Romano?
											Penso que podia ser talvez assim.
											Um artesão tê-la-ia gravado
em pedra, com um cinzel, durante dias,
											sob a luz dos raios do sol.
											E na Idade Média?
											Aí, seria um monge
encerrado na sua cela,
											a escrever T-E-D, com a sua pena.
											E sem ir tão longe no tempo,
											como seriam estas letras nos anos 80?
											Teriam cores elétricas, esquisitas,
como os nossos penteados.
									","
											Imaginez à quoi ressemblerait
le mot « TED »
											s'il avait existé dans l'Empire Romain ?
											Je pense qu'il pourrait être comme ça.
											Un artisan l'aurait gravé au burin,
dans la pierre, pendant des jours,
											en plein soleil.
											Et au Moyen-Âge ?
											Un moine enfermé dans sa cellule
											aurait écrit T-E-D à la plume.
											Et sans aller aussi loin dans le temps,
											de quoi ça aurait eu l'air
dans les années 80 ?
											Elles auraient eu des couleurs
électriques, bizarres comme nos coiffures.
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
											(Risas)
									","
											(Laughter)
									","
											(Risos)
									","
											(Rires)
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
											Si este evento fuera sobre niños,
											yo haría las formas de las letras así,
											como si fueran bloques que se encastran,
											y con colores vivos.
											Y si en cambio fueran sobre superhéroes
											yo las haría así,
											inspirada en, a mi criterio,
el más grande de todos:
											Superman.
									","
											If this event were about children,
											I would draw the letters like this,
											as if they were building blocks,
											in vivid colors.
											And if it were about superheroes instead?
											I would do them like this,
											inspired by — in my opinion —
the greatest of all:
											Superman.
									","
											Se esta palestra fosse sobre crianças,
											eu traçaria as letras assim,
											como se fossem blocos
que se encaixassem
											e com cores alegres.
											E se, em vez disso,
fosse sobre super-heróis,
											eu fá-las-ia assim,
											inspirada, segundo creio,
no maior de todos,
											o Super-Homem.
									","
											Si cet événement était sur les enfants,
											j'aurais fait les formes
des lettres ainsi,
											comme si elles étaient
des blocs encastrés,
											avec des couleurs vives.
											Mais si, par contre,
c'était sur les super-héros,
											je les aurais faites comme ça,
											inspirées par le plus grand de tous,
à mon avis :
											Superman.
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
											(Risas)
									","
											(Laughter)
									","
											(Risos)
									","
											(Rires)
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
											Las formas de estas letras hablan.
											Y nos cuentan cosas
más allá de lo que escriben.
											Nos remiten a épocas,
nos transmiten valores,
											nos cuentan historias.
									","
											The shapes of these letters talk.
											They tell us things
beyond what they represent.
											They send us to different eras,
											they convey values,
											they tell us stories.
									","
											As formas destas letras falam
											e contam-nos coisas
para além do que está escrito.
											Transportam-nos para épocas,
transmitem-nos valores,
											contam-nos histórias.
									","
											Les formes des lettres nous parlent.
											Elles nous disent des choses
au-delà de ce qu'elles écrivent.
											Elles nous envoient dans d'autres époques,
Elles nous transmettent des valeurs,
											elles nous racontent des histoires.
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
											Si nos ponemos a pensar,
un día nuestro está lleno de letras.
											Las vemos en el frente del colectivo,
en la fachada de la panadería,
											en el teclado en el que escribimos,
											en nuestro teléfono celular,
											en todas partes.
											Desde el principio de la historia,
la gente ha sentido la necesidad
											de darle una imagen al lenguaje.
											Y con razón,
											porque la lengua es la herramienta
más importante que tenemos
											para comunicarnos.
											Sin entender lo que una palabra escribe,
											podemos ver ciertas cosas que transmite.
											Hay letras que nos cuentan
que algo es moderno,
											al menos allá por los 70.
											Hay letras que vienen
a confirmar la magnitud
											y monumentalidad de un lugar.
											Y lo cuentan en mayúscula.
											Hay letras que no están hechas
para durar tanto tiempo,
											así como tampoco
la oportunidad que comunican.
											Y hay letras hechas por manos inexpertas
											que, queriendo o no, nos hacen imaginar
cómo ese lugar se ve por dentro.
									","
											If we think about it,
our days are full of letters.
											We see them on the front of the bus,
											on the bakery's facade,
											on the keyboard we write on,
											on our cell phones —
											everywhere.
											Since the beginning of history,
											people have felt the need
to give language an image.
											And rightly so,
											because language is the most important
communication tool we have.
											Without understanding what a word means,
											we can see certain things it conveys.
											Some letters tell us
that something is modern —
											at least it was back in the 70s.
											Others verify the importance
and monumentality of a place,
											and they do so in uppercase.
											There are letters not made to last long —
											and neither is the opportunity
they communicate.
											And there are letters made
by inexperienced hands
											that, whether they mean to or not,
											make us imagine
what a place looks like inside.
									","
											Se pensarmos bem, 
o nosso dia está cheio de letras.
											Vemo-las na frente do autocarro,
na fachada da padaria,
											no teclado em que escrevemos,
											no nosso telemóvel,
											por toda a parte.
											Desde o princípio da História,
as pessoas sentiram a necessidade
											de dar uma imagem à linguagem.
											E com toda a razão,
											porque a língua é a ferramenta
mais importante que temos
											para comunicarmos.
											Mesmo sem percebermos
o que uma palavra escreve
											podemos ver certas coisas
que ela transmite.
											Há letras que nos contam
que uma coisa é moderna,
											pelo menos, aí pelos anos 70.
											Há letras que vêm confirmar a importância
e a monumentalidade de um lugar
											e contam isso em maiúsculas.
											Há letras que não são feitas
para durar muito tempo,
											tal como não dura
a oportunidade que comunicam.
											E há letras feitas por mãos inexperientes
											que, mesmo sem querer, nos fazem
imaginar como será por dentro esse local.
									","
											Si on y pense,
notre journée est remplie de lettres.
											On les voit à l'avant des bus,
sur la façade de la boulangerie,
											sur le clavier où on écrit,
											sur notre téléphone portable,
											partout.
											Dès le début de l'Histoire,
les gens ont senti la nécessité
											de donner une image du langage.
											Et à raison,
											car la langue est l'outil
le plus important que nous avons
											pour communiquer.
											Sans comprendre
ce qu'un mot écrit signifie,
											on peut voir certaines choses
qu'il transmet.
											Des lettres nous disent
qu'une chose est moderne
											au moins durant les années 70.
											D'autres lettres confirment l'importance
											et l'aspect monumental d'un lieu.
											Elles le racontent en majuscules.
											D'autres encore ne sont pas faites
pour durer très longtemps,
											tout comme
l'opportunité qu'elles communiquent.
											Il y a des lettres faites par
des mains inexpérimentées
											qui, voulu ou non, nous font imaginer
à quoi ressemble un lieu de l'intérieur.
									",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
"
","
","
","
",The secret language of letter design,Martina Flor,12:15,"art,TED en Español,communication,books,design,creativity,TEDx"
