fr,en,es,tr,title,speaker,duration,tags
"
","
","
","
",Machine intelligence makes human morals more important,Zeynep Tufekci,17:42,"AI,choice,computers,algorithm,data,humanity,decision-making,intelligence,machine learning,potential,morality,privacy,robots,society,science,software,technology"
"
											Mon premier travail
était programmeuse informatique
											durant ma première année à l'université —
											quand j'étais adolescente.
									","
											So, I started my first job
as a computer programmer
											in my very first year of college —
											basically, as a teenager.
									","
											Empecé mi primer trabajo 
como programadora informática
											en mi primer año de universidad,
											básicamente, siendo aún adolescente.
									","
											Bilgisayar programcısı olarak 
ilk çalışmaya başladığımda
											üniversite birinci sınıftaydım,
											yani yeni yetme sayılırdım.
									",Machine intelligence makes human morals more important,Zeynep Tufekci,17:42,"AI,choice,computers,algorithm,data,humanity,decision-making,intelligence,machine learning,potential,morality,privacy,robots,society,science,software,technology"
"
","
","
","
",Machine intelligence makes human morals more important,Zeynep Tufekci,17:42,"AI,choice,computers,algorithm,data,humanity,decision-making,intelligence,machine learning,potential,morality,privacy,robots,society,science,software,technology"
"
											Peu après avoir commencé
à écrire des programmes en entreprise,
											un responsable de l'entreprise
est venu me voir
											et m'a murmuré :
											« Peut-il dire si je mens ? »
											Il n'y avait personne d'autre
dans la pièce.
									","
											Soon after I started working,
											writing software in a company,
											a manager who worked at the company
came down to where I was,
											and he whispered to me,
											""Can he tell if I'm lying?""
											There was nobody else in the room.
									","
											Poco después de empezar a trabajar,
											programando software en una empresa,
											un gerente que trabajaba en la compañía 
vino allí donde estaba yo,
											y me dijo al oído:
											""¿Puede decir ella si estoy mintiendo?""
											No había nadie más en la habitación.
									","
											Bir şirkette program yazma göreviyle
											işe girdikten kısa süre sonra
											şirkette çalışan bir müdür yanıma geldi
											ve fısıltıyla sordu:
											""Yalan söylediğimi anlayabilir mi?""
											Odada başka kimse yoktu.
									",Machine intelligence makes human morals more important,Zeynep Tufekci,17:42,"AI,choice,computers,algorithm,data,humanity,decision-making,intelligence,machine learning,potential,morality,privacy,robots,society,science,software,technology"
"
","
","
","
",Machine intelligence makes human morals more important,Zeynep Tufekci,17:42,"AI,choice,computers,algorithm,data,humanity,decision-making,intelligence,machine learning,potential,morality,privacy,robots,society,science,software,technology"
"
											« Qui peut dire si vous mentez ?
Et pourquoi chuchotez-vous ? »
									","
											""Can who tell if you're lying?
And why are we whispering?""
									","
											""¿Puede ""quién"" decir si está mintiendo? 
¿Y por qué estamos susurrando?""
									","
											""Yalanı kim anlayabilir mi?
Ayrıca neden fısıldaşıyoruz?"" dedim.
									",Machine intelligence makes human morals more important,Zeynep Tufekci,17:42,"AI,choice,computers,algorithm,data,humanity,decision-making,intelligence,machine learning,potential,morality,privacy,robots,society,science,software,technology"
"
","
","
","
",Machine intelligence makes human morals more important,Zeynep Tufekci,17:42,"AI,choice,computers,algorithm,data,humanity,decision-making,intelligence,machine learning,potential,morality,privacy,robots,society,science,software,technology"
"
											Le responsable a pointé du doigt
l'ordinateur dans la pièce.
											« Peut-il dire si je mens ? »
											Ce responsable avait une aventure
avec la réceptionniste.
									","
											The manager pointed
at the computer in the room.
											""Can he tell if I'm lying?""
											Well, that manager was having
an affair with the receptionist.
									","
											El gerente señaló la computadora 
de la habitación.
											""¿Puede ella decir si estoy mintiendo?""
											Bueno, el gerente tenía 
una aventura con la recepcionista.
									","
											Müdür, odada bulunan bilgisayarı gösterdi.
											""Yalan söyleyip söylemediğimi anlar mı?""
											Bu müdür danışmada çalışan 
biriyle ilişki yaşıyordu.
									",Machine intelligence makes human morals more important,Zeynep Tufekci,17:42,"AI,choice,computers,algorithm,data,humanity,decision-making,intelligence,machine learning,potential,morality,privacy,robots,society,science,software,technology"
"
","
","
","
",Machine intelligence makes human morals more important,Zeynep Tufekci,17:42,"AI,choice,computers,algorithm,data,humanity,decision-making,intelligence,machine learning,potential,morality,privacy,robots,society,science,software,technology"
"
											(Rires)
									","
											(Laughter)
									","
											(Risas)
									","
											(Gülüşmeler)
									",Machine intelligence makes human morals more important,Zeynep Tufekci,17:42,"AI,choice,computers,algorithm,data,humanity,decision-making,intelligence,machine learning,potential,morality,privacy,robots,society,science,software,technology"
"
","
","
","
",Machine intelligence makes human morals more important,Zeynep Tufekci,17:42,"AI,choice,computers,algorithm,data,humanity,decision-making,intelligence,machine learning,potential,morality,privacy,robots,society,science,software,technology"
"
											J'étais toujours adolescente.
											J'ai lui ai murmuré-crié :
											« Oui, l'ordinateur peut dire
si vous mentez. »
									","
											And I was still a teenager.
											So I whisper-shouted back to him,
											""Yes, the computer can tell
if you're lying.""
									","
											Y yo todavía era adolescente.
											Por lo tanto, le susurro yo a él:
											""Sí, la computadora puede determinar 
si Ud. está mintiendo"".
									","
											Ben de yeni yetmeyim tabii.
											Fısıltıyla bağırır gibi cevap verdim:
											""Evet, yalan söylerseniz
bilgisayar anlar."" dedim.
									",Machine intelligence makes human morals more important,Zeynep Tufekci,17:42,"AI,choice,computers,algorithm,data,humanity,decision-making,intelligence,machine learning,potential,morality,privacy,robots,society,science,software,technology"
"
","
","
","
",Machine intelligence makes human morals more important,Zeynep Tufekci,17:42,"AI,choice,computers,algorithm,data,humanity,decision-making,intelligence,machine learning,potential,morality,privacy,robots,society,science,software,technology"
"
											(Rires)
									","
											(Laughter)
									","
											(Risas)
									","
											(Gülüşmeler)
									",Machine intelligence makes human morals more important,Zeynep Tufekci,17:42,"AI,choice,computers,algorithm,data,humanity,decision-making,intelligence,machine learning,potential,morality,privacy,robots,society,science,software,technology"
"
","
","
","
",Machine intelligence makes human morals more important,Zeynep Tufekci,17:42,"AI,choice,computers,algorithm,data,humanity,decision-making,intelligence,machine learning,potential,morality,privacy,robots,society,science,software,technology"
