en,pt,fr,tr,title,speaker,duration,tags
"
","
","
","
",Can you solve the vampire hunter riddle?,Daniel Finkel,3:32,"math,TED-Ed,animation"
"
											The greatest challenge a vampire hunter 
can take on
											is to bring sunlight 
into a vampire's lair.
											You’ve stealthily descended into the 
darkness of a vampire cave,
											setting a sequence of mirrors as you go.
											When the sun reaches 
the right angle in the sky,
											a focused beam of light will ricochet 
along the mirrors,
											strike your diffuser,
											and illuminate the great chamber 
where the vampires sleep.
									","
											O maior desafio 
que um caça-vampiros pode enfrentar
											é fazer entrar a luz do sol
no covil de um vampiro.
											Desceste furtivamente
a uma escura gruta de vampiros,
											colocando uma série de espelhos,
à medida que avanças.
											Quando o sol atingir
o ângulo certo no céu,
											um raio de luz vai ricochetear
pelos espelhos,
											atingir um difusor
											e iluminar a grande câmara
onde os vampiros dormem.
									","
											Le plus grand défi qu'un chasseur
de vampires puisse relever
											est d'apporter la lumière du soleil
dans l'antre de vampire.
											Vous être descendu furtivement dans les
ténèbres d'une caverne de vampire,
											en installant une séquence de miroirs
au fur et à mesure.
											Lorsque le soleil atteindra
le bon angle dans le ciel,
											un faisceau de lumière
ricochera le long des miroirs,
											frappera votre diffuseur,
											et illuminera la grande chambre
où dorment les vampires.
									","
											Bir vampir avcısının üstlenebileceği
en büyük mücadele
											bir vampirin inine gün
ışığını getirmektir.
											Gizlice bir vampir mağarasının
karanlığına indin,
											inerken bir dizi ayna yerleştirdin.
											Güneş gökyüzünde doğru açıya ulaştığında
											odaklanmış bir ışık demeti
aynalardan sekerek
											ışık dağıtıcına çarpacak
											ve vampirin uyuduğu büyük
odayı aydınlatacak.
									",Can you solve the vampire hunter riddle?,Daniel Finkel,3:32,"math,TED-Ed,animation"
"
","
","
","
",Can you solve the vampire hunter riddle?,Daniel Finkel,3:32,"math,TED-Ed,animation"
"
											You set the final mirror
											and sneak through an opening 
in the corner of the great chamber.
											The diffuser must be wall-mounted,
											but the walls are crowded with coffins,
											which you don’t dare disturb.
											The only open spots are in the other 
three corners of the room.
									","
											Colocas o espelho final
											e esgueiras-te por uma abertura
no canto da grande câmara.
											O difusor tem de ser montado na parede,
											mas as paredes estão cheias de caixões
											que não te atreves a perturbar.
											Os únicos espaços livres estão
nos outros três cantos da sala.
									","
											Vous installez le dernier miroir
											et vous faufilez par une ouverture
dans le coin de la grande chambre.
											Le diffuseur doit être fixé au mur,
											mais les murs sont remplis de cercueils,
											que vous n'osez pas déranger.
											Les seuls endroits ouverts sont dans
les trois autres coins de la pièce.
									","
											Son aynayı da kurup
											büyük odanın köşesindeki bir
açıklıktan dışarı çıkıyorsun.
											Işık dağıtıcın duvara asılı olmalı.
											Ama duvarlar rahatsız etmeye
cesaret edemediğin
											tabutlarla dolu.
											Duvarlar dışındaki tek açık yerler
odanın diğer üç köşesi.
									",Can you solve the vampire hunter riddle?,Daniel Finkel,3:32,"math,TED-Ed,animation"
"
","
","
","
",Can you solve the vampire hunter riddle?,Daniel Finkel,3:32,"math,TED-Ed,animation"
"
											The light will enter through the southwest
corner at a 45 degree angle
											and bounce off the perfectly smooth 
metallic walls
											until it hits one of the 
other three corners.
											But which corner will it hit?
											You know the room is a rectangle 49 meters
wide and 78 meters long.
									","
											A luz vai entrar pelo canto sudoeste
num ângulo de 45 graus
											e refletir-se nas paredes metálicas
perfeitamente lisas
											até atingir um dos outros três cantos.
											Mas qual desses cantos vai atingir?
											Tu sabes que a sala é um retângulo
com 49 m de largura e 78 m de comprimento.
									","
											La lumière entrera par le coin sud-ouest
à un angle de 45 degrés
											et rebondira sur les murs métalliques
parfaitement lisses
											jusqu'à frapper
l'un des trois autres coins.
											Mais quel coin va-t-elle frapper?
											Vous savez que la pièce est un rectangle
de 49 mètres de large et 78 mètres de long
									","
											Işık odanın güneybatı köşesinden
45 derecelik açıyla girecek
											ve tamamen düz metalik duvarlardan
											odanın diğer üç köşesinden birine
çarpana dek sekecek.
											Peki hangi köşeye çarpacak?
											Odanın genişliği 49, boyu 78 metrelik
bir dikdörtgen olduğunu biliyorsun.
									",Can you solve the vampire hunter riddle?,Daniel Finkel,3:32,"math,TED-Ed,animation"
"
","
","
","
",Can you solve the vampire hunter riddle?,Daniel Finkel,3:32,"math,TED-Ed,animation"
"
											You could probably find the answer
											by drawing a scale model of the room 
and tracing the path of the light,
											but the sun will be in its 
place in just minutes,
											and you’ve got no time to spare.
											Fortunately, there’s a different way
to solve this puzzle
											that’s both simple and elegant.
									","
											Provavelmente, encontrarias a resposta
											desenhando um modelo da sala à escala
e traçando o percurso da luz,
											mas o sol estará nesse local
dentro de minutos
											e não podes perder tempo.
											Felizmente, há uma forma diferente
de resolver este enigma
											que é simples e elegante.
									","
											Vous pourriez probablement
trouver la réponse
											en dessinant une maquette de la pièce
et en traçant le chemin de la lumière,
											mais le soleil sera à sa place
dans quelques minutes,
											et vous n'avez plus beaucoup de temps.
											Heureusement, il existe une façon
différente de résoudre ce puzzle
											à la fois simple et élégant.
									","
											Cevabı muhtemelen
											odanın ölçekli bir modelini çizip
ışığın yolunu takip ederek bulabilirsin.
											Ama güneş dakikalar içinde
konumuna gelecek
											ve harcayacak zamanın yok.
											Neyse ki bu bulmacayı çözmenin
farklı bir yolu var,
											hem basit hem zarif bir yol.
									",Can you solve the vampire hunter riddle?,Daniel Finkel,3:32,"math,TED-Ed,animation"
"
","
","
","
",Can you solve the vampire hunter riddle?,Daniel Finkel,3:32,"math,TED-Ed,animation"
"
											So in which corner should 
you place the diffuser
											to flood the vampire lair with sunlight?
									","
											Então, em que canto
deves colocar o difusor
											para inundar o covil do vampiro
com a luz do sol?
									","
											Alors, dans quel coin
devriez-vous placer le diffuseur
											pour inonder l'antre de vampire
avec la lumière du soleil ?
									","
											Peki vampir inini gün ışığıyla
doldurmak için
											ışık dağıtıcıyı hangi köşeye
yerleştirmelisin?
									",Can you solve the vampire hunter riddle?,Daniel Finkel,3:32,"math,TED-Ed,animation"
