en,fr,tr,pt,title,speaker,duration,tags
"
","
","
","
","Know your worth, and then ask for it",Casey Brown,8:22,"behavioral economics,business,finance,economics,entrepreneur,goal-setting,personal growth,society,inequality,gender equality,TEDx,women,work,women in business"
"
											No one will ever pay you
what you're worth.
											No one will ever pay you
											what you're worth.
											They'll only ever pay you
											what they think you're worth.
											And you control their thinking,
											not like this,
											although that would be cool.
									","
											Personne ne vous paiera ce que vous valez.
											Personne ne vous paiera
											ce que vous valez.
											On ne vous paiera
											que ce que l'on pense que vous valez.
											Vous contrôlez cette pensée,
											pas ainsi,
											même si cela serait cool.
									","
											Size hak ettiğiniz
maaşı kimse vermeyecek.
											Size hak ettiğiniz maaşı
											hiç kimse vermeyecek.
											Yalnızca hak ettiğinizi düşündükleri
											maaşı verecekler.
											Ve onların düşüncelerini
siz yönetiyorsunuz,
											bu şekilde değil,
											tabii bu çok güzel olurdu.
									","
											Ninguém vos pagará o que vocês valem.
											Ninguém vos pagará
											o que vocês valem.
											Apenas vos pagarão
											o que pensam que vocês valem.
											E vocês controlam o que eles pensam,
											mas não desta forma,
											o que seria porreiro.
									","Know your worth, and then ask for it",Casey Brown,8:22,"behavioral economics,business,finance,economics,entrepreneur,goal-setting,personal growth,society,inequality,gender equality,TEDx,women,work,women in business"
"
","
","
","
","Know your worth, and then ask for it",Casey Brown,8:22,"behavioral economics,business,finance,economics,entrepreneur,goal-setting,personal growth,society,inequality,gender equality,TEDx,women,work,women in business"
"
											(Laughter)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risos)
									","Know your worth, and then ask for it",Casey Brown,8:22,"behavioral economics,business,finance,economics,entrepreneur,goal-setting,personal growth,society,inequality,gender equality,TEDx,women,work,women in business"
"
","
","
","
","Know your worth, and then ask for it",Casey Brown,8:22,"behavioral economics,business,finance,economics,entrepreneur,goal-setting,personal growth,society,inequality,gender equality,TEDx,women,work,women in business"
"
											That would be really cool.
											Instead, like this:
											clearly defining and communicating
your value are essential
											to being paid well for your excellence.
									","
											Ce serait vraiment cool.
											Mais plutôt ainsi :
											définir et communiquer clairement
votre valeur est essentiel
											pour être bien payé pour votre excellence.
									","
											Gerçekten güzel olurdu.
											Bunun yerine şöyle oluyor:
											başarınıza dair yüksek maaş almanız
için, değerinizi açık bir biçimde
											belirtmek ve iletmek çok önemli.
									","
											Isso seria muito porreiro.
											Ao invés disso, é assim:
											é essencial definir e comunicar
claramente o vosso valor
											para serem bem pagos
pela vossa excelência.
									","Know your worth, and then ask for it",Casey Brown,8:22,"behavioral economics,business,finance,economics,entrepreneur,goal-setting,personal growth,society,inequality,gender equality,TEDx,women,work,women in business"
"
","
","
","
","Know your worth, and then ask for it",Casey Brown,8:22,"behavioral economics,business,finance,economics,entrepreneur,goal-setting,personal growth,society,inequality,gender equality,TEDx,women,work,women in business"
"
											Anyone here want to be paid well?
											OK, good,
											then this talk is for everyone.
											It's got universal applicability.
											It's true if you're a business owner,
if you're an employee,
											if you're a job seeker.
											It's true if you're a man or a woman.
									","
											Qui ici veut être bien payé ?
											D'accord, bien,
											cela s'adresse à tout le monde.
											C'est applicable de façon universelle.
											C'est vrai que vous soyez
entrepreneur, employé,
											à la recherche d'un emploi,
											que vous soyez un homme ou une femme.
									","
											Yüksek maaş almak isteyen var mı?
											Pekala, güzel,
											o halde bu konuşma herkes için.
											Evrensel uygulanabilirliğe sahip.
											İş sahibiyseniz, çalışansanız
											veya iş arıyorsanız bu doğru.
											Kadın veya erkekseniz de doğru.
									","
											Alguém aqui quer ser bem pago?
											Ok, boa.
											Então a palestra é para todos.
											Isto tem uma aplicação universal.
											Isto vale se vocês forem um empresário, 
se vocês forem um empregado
											ou se procuram um emprego.
											E vale sejam homem ou mulher.
									","Know your worth, and then ask for it",Casey Brown,8:22,"behavioral economics,business,finance,economics,entrepreneur,goal-setting,personal growth,society,inequality,gender equality,TEDx,women,work,women in business"
"
","
","
","
","Know your worth, and then ask for it",Casey Brown,8:22,"behavioral economics,business,finance,economics,entrepreneur,goal-setting,personal growth,society,inequality,gender equality,TEDx,women,work,women in business"
"
											Now, I approach this today through
the lens of the woman business owner,
											because in my work I've observed
that women underprice more so than men.
											The gender wage gap is
a well-traveled narrative in this country.
											According to the Bureau
of Labor Statistics,
											a woman employee earns just 83 cents
for every dollar a man earns.
											What may surprise you
											is that this trend continues
even into the entrepreneurial sphere.
											A woman business owner earns just
80 cents for every dollar a man earns.
											In my work, I've often heard women express
											that they're uncomfortable
communicating their value,
											especially early on in business ownership.
											They say things like,
											""I don't like to toot my own horn.""
											""I'd rather let the work
speak for itself.""
											""I don't like to sing my own praises.""
									","
											Aujourd'hui, mon approche
est celle d'une entrepreneuse
											car j'ai pu voir que les femmes
sous-évaluent plus que les hommes.
											La disparité entre les sexes est
beaucoup évoquée dans ce pays.
											Selon le Bureau of Labor Statisics,
											une femme gagne 83 centimes
pour chaque dollar gagné par un homme.
											Ce qui pourrait vous surprendre
											est que cette tendance s'étend
même dans la sphère entrepreneuriale.
											Une entrepreneuse ne gagne que 80 centimes
par dollar gagné par un homme.
											Dans mon travail,
j'entends souvent des femmes dire
											qu'elles sont mal à l'aise
à communiquer leur valeur,
											surtout au début de leur entrepreneuriat.
											Elles disent des choses comme :
											« Je n'aime pas me vanter »,
											« Je préfère laisser le travail parler »,
											« Je n'aime pas chanter mes louanges ».
									","
											Bugün bu konuya bir iş sahibi olan
kadının gözünden yaklaşacağım,
											çünkü işimde kadınların erkeklerden
daha az maaş aldığını gözlemledim.
											Bu ülkede cinsiyet maaş uçurumu
iyi bilinen bir konu.
											İşgücü İstatistik Kurumuna
göre bir kadın çalışan
											bir erkeğin kazandığı her dolara
karşı yalnızca 83 sent kazanıyor.
											Şaşırtıcı olan şey,
											bu eğilimin girişimci dünyasında
bile devam ediyor olması.
											Bir erkeğin kazandığı her dolara karşı,
iş sahibi bir kadın 80 sent kazanıyor.
											İşimde genelde kadınların değerlerini
											göstermedeki huzursuzluklarını
ifade ettiklerini duydum,
											özellikle de ilk zamanlarında.
											Şöyle şeyler söylüyorlar,
											""Kendimi övmeyi sevmiyorum.""
											""İş zaten gün gibi ortada.""
											""Övünmeyi sevmiyorum.""
									","
											Hoje vou abordar este assunto
através das lentes de uma empresária
											porque já reparei que as mulheres
recebem menos do que os homens.
											A disparidade salarial entre sexos 
é muito falada neste país.
											Segundo o Gabinete de
de Estatística do Trabalho,
											uma mulher ganha apenas 83 cêntimos
por cada dólar que um homem ganha.
											O que vos pode surpreender
											é que esta tendência continue
mesmo no setor empresarial.
											Uma empresária ganha 80 cêntimos
por cada dólar que um homem ganha.
											No meu trabalho, tenho ouvido 
mulheres a dizer
											que não se sentem confortáveis
a expressar o seu valor,
											especialmente no início
de um negócio próprio.
											Elas dizem coisas como:
											""Eu não gosto de me gabar"".
											""Prefiro que o meu trabalho fale por si"".
											""Eu não gosto de autoelogios.""
									","Know your worth, and then ask for it",Casey Brown,8:22,"behavioral economics,business,finance,economics,entrepreneur,goal-setting,personal growth,society,inequality,gender equality,TEDx,women,work,women in business"
"
","
","
","
","Know your worth, and then ask for it",Casey Brown,8:22,"behavioral economics,business,finance,economics,entrepreneur,goal-setting,personal growth,society,inequality,gender equality,TEDx,women,work,women in business"
"
											I hear very different narratives
in working with male business owners,
											and I think this difference
is costing women 20 cents on the dollar.
									","
											J'entends des histoires très différentes
en travaillant avec des hommes
											et je pense que cette différence
coûte 20 centimes par dollar aux femmes.
									","
											Erkek iş sahipleri ile çalışma ortamında
çok farklı anlatılar duyuyorum
											ve bu farkın kadınlarda 20 sente 
mal olduğunu düşünüyorum.
									","
											Oiço histórias diferentes
quando trabalho com empresários
											e acho que esta diferença 
custa 20 cêntimos de dólar.
									","Know your worth, and then ask for it",Casey Brown,8:22,"behavioral economics,business,finance,economics,entrepreneur,goal-setting,personal growth,society,inequality,gender equality,TEDx,women,work,women in business"
"
","
","
","
","Know your worth, and then ask for it",Casey Brown,8:22,"behavioral economics,business,finance,economics,entrepreneur,goal-setting,personal growth,society,inequality,gender equality,TEDx,women,work,women in business"
